,,,Slide ID,b,a,c,d
,,,Antibody Name,b,a,c,d
,,,HUGO ID,b,a,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7120131822116099,0.5050008690559572,0.7987861009286472,0.6071746377472464
C1,no,Insulin,0.5050505050505051,0.3604794820497197,0.242323724978853,0.3762730468444345,0.38191089086093505
C1,no,Insulin,1.0101010101010102,0.18862211645929317,0.12269876547824721,0.19016053856771686,0.2560536201043322
C1,no,Insulin,1.5151515151515151,0.10138749101640307,0.06510862113536259,0.1029584935578096,0.17894726234934838
C1,no,Insulin,2.0202020202020203,0.05579674178254429,0.035966646719417586,0.05926768950279637,0.12827218821652106
C1,no,Insulin,2.5252525252525255,0.03139272538179484,0.020567170166722173,0.035884642825772084,0.09341470483171926
C1,no,Insulin,3.0303030303030303,0.01804358044997606,0.012117594707713192,0.02260314508788545,0.0687864436120575
C1,no,Insulin,3.5353535353535355,0.01058690359454319,0.007326175649338877,0.01467307011112634,0.05111206971883974
C1,no,Insulin,4.040404040404041,0.0063347230403127,0.0045294309586796835,0.009746024567860083,0.03829861946964416
C1,no,Insulin,4.545454545454546,0.003860448960017338,0.0028550409773716407,0.006589096120698226,0.028933530977301468
C1,no,Insulin,5.050505050505051,0.0023925760797528866,0.0018301169162558398,0.004517946686136876,0.02203586401663334
C1,no,Insulin,5.555555555555556,0.0015057750391007207,0.0011904783336810015,0.003133940374393429,0.016915368081355808
C1,no,Insulin,6.0606060606060606,0.0009609504650467754,0.0007844857744819638,0.002195478998795295,0.013083289558849052
C1,no,Insulin,6.565656565656566,0.0006210267350391923,0.0005229296208688482,0.0015514114942475638,0.01019190640491269
C1,no,Insulin,7.070707070707071,0.0004059582177079708,0.00035219895672453,0.001104842993878299,0.007992708463517883
C1,no,Insulin,7.575757575757576,0.0002681474530164125,0.00023944345776353695,0.000792431029860563,0.006307039990999384
C1,no,Insulin,8.080808080808081,0.0001788190484004154,0.00016419054883409887,0.0005721197962325263,0.005005557439081642
C1,no,Insulin,8.585858585858587,0.00012030518177389194,0.00011348607398952175,0.0004156219082909664,0.003993853605296029
C1,no,Insulin,9.090909090909092,8.160529453832474e-05,7.902303446882264e-05,0.0003037036035074089,0.0032024463509714145
C1,no,Insulin,9.595959595959597,5.5781584696771e-05,5.540992632198164e-05,0.00022316175552754744,0.002579756628590234
C1,no,Insulin,10.101010101010102,3.840714831650704e-05,3.91094197684622e-05,0.00016485606154528765,0.002087175697669022
C1,no,Insulin,10.606060606060607,2.66269473548494e-05,2.777778493272323e-05,0.00012241011534101486,0.001695571759285075
C1,no,Insulin,11.111111111111112,1.8581566619631705e-05,1.9848122500521778e-05,9.13441838517482e-05,0.00138279831563932
C1,no,Insulin,11.616161616161618,1.3048851653422062e-05,1.4264019272165557e-05,6.848985611143008e-05,0.0011318981121030659
C1,no,Insulin,12.121212121212121,9.219577479106962e-06,1.0308447986381556e-05,5.159432343367548e-05,0.0009298041360351328
C1,no,Insulin,12.626262626262626,6.552432005039253e-06,7.490260625820235e-06,3.904492161627162e-05,0.0007664305361651008
C1,no,Insulin,13.131313131313131,4.684311351440816e-06,5.471954459753719e-06,2.968228117872841e-05,0.0006338683979027785
