Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Gold_4_16_10_2018_14_31.sif,4,KM3,BESTFIT,100,0,1,8,3,4,0.25,0.2,0.5625,0.28125,-0.0778498944161523
Gold_6_16_10_2018_14_31.sif,6,KM3,BESTFIT,100,0,2,21,4,9,0.3333333333333333,0.18181818181818182,0.6388888888888888,0.3194444444444444,0.026967994498529685
Gold_5_16_10_2018_14_31.sif,5,KM3,BESTFIT,100,4,5,11,4,5,0.5555555555555556,0.5,0.64,0.32,0.23814483610392007
