,,,Slide ID,a,b,e,d,c
,,,Antibody Name,a,b,e,d,c
,,,HUGO ID,a,b,e,d,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5739878077473654,0.28715923803001364,0.018691037506631814,0.6231744817066829,0.5472672604253657
C1,no,Insulin,1.0204081632653061,0.17016279020204328,0.21978621402192625,0.21621877082209362,0.22127701422481072,0.20320976647902766
C1,no,Insulin,2.0408163265306123,0.18040615043766864,0.239392006550149,0.2760472613879016,0.13331890677791805,0.1273643860469007
C1,no,Insulin,3.0612244897959187,0.19004844217901656,0.25700768106859145,0.29167507937286397,0.11077877373543792,0.10759199741656794
C1,no,Insulin,4.081632653061225,0.19320315658932183,0.266191404490552,0.2960293679531207,0.10439793110427459,0.1019279588233947
C1,no,Insulin,5.1020408163265305,0.1941470216206062,0.270276989889095,0.29729100208412645,0.10252443372555683,0.10025523342963556
C1,no,Insulin,6.122448979591837,0.19442706946952368,0.27196080855324306,0.2976629642718738,0.10196809235732869,0.09975728524573368
C1,no,Insulin,7.142857142857143,0.19451031592849727,0.27262426113859795,0.297773409412566,0.10180234161933886,0.099608786733123
C1,no,Insulin,8.16326530612245,0.19453510790642592,0.272878081920078,0.297806296065564,0.10175291338704734,0.09956448664757526
C1,no,Insulin,9.183673469387756,0.19454249805062984,0.27297320012515747,0.29781609934980047,0.10173816991718675,0.09955127096495284
C1,no,Insulin,10.204081632653061,0.19454470142102107,0.2730083091406799,0.29781902284917267,0.10173377215724091,0.09954732880457003
C1,no,Insulin,11.224489795918368,0.19454535926057617,0.2730211189388173,0.2978198946078644,0.10173246059589237,0.09954615305473233
C1,no,Insulin,12.244897959183675,0.19454555509516175,0.2730257479933182,0.2978201542984023,0.10173206988178926,0.09954580280181778
C1,no,Insulin,13.26530612244898,0.19454561403284557,0.2730274153606242,0.2978202324889245,0.10173195224008777,0.09954569734284929
C1,no,Insulin,14.285714285714286,0.1945456314748403,0.27302800978016123,0.29782025560866915,0.1017319174548773,0.09954566616000245
C1,no,Insulin,15.306122448979592,0.19454563683790185,0.2730282249082026,0.29782026276358187,0.10173190669000227,0.0995456565098656
C1,no,Insulin,16.3265306122449,0.19454563824992904,0.273028298416387,0.29782026456232674,0.10173190398342091,0.09954565408369408
C1,no,Insulin,17.346938775510203,0.19454563887315549,0.2730283346608281,0.2978202653944655,0.10173190273137585,0.09954565296132033
C1,no,Insulin,18.367346938775512,0.19454563896724714,0.27302834438809565,0.29782026554443464,0.10173190250581908,0.09954565275907935
C1,no,Insulin,19.387755102040817,0.1945456389488797,0.2730283472375291,0.29782026553507246,0.10173190251997108,0.09954565277173417
C1,no,Insulin,20.408163265306122,0.1945456388511061,0.273028342077984,0.297820265403872,0.10173190271737652,0.09954565294869534
C1,no,Insulin,21.42857142857143,0.19454563880667056,0.2730283396226854,0.29782026534439404,0.10173190280686731,0.0995456530289181
C1,no,Insulin,22.448979591836736,0.1945456387802059,0.2730283380785126,0.297820265309081,0.10173190285999904,0.09954565307654739
C1,no,Insulin,23.46938775510204,0.19454563876346462,0.27302833707910507,0.2978202652867561,0.10173190289358894,0.09954565310665864
C1,no,Insulin,24.48979591836735,0.1945456387563212,0.27302833661742715,0.29782026527725153,0.10173190290788937,0.0995456531194781
C1,no,Insulin,25.510204081632654,0.1945456387508384,0.2730283362614327,0.29782026526995686,0.10173190291886482,0.09954565312931692
C1,no,Insulin,26.53061224489796,0.19454563875011868,0.2730283362085662,0.2978202652690008,0.1017319029203033,0.09954565313060644
C1,no,Insulin,27.551020408163264,0.19454563874939898,0.2730283361556997,0.2978202652680447,0.1017319029217418,0.09954565313189598
C1,no,Insulin,28.571428571428573,0.19454563874867925,0.2730283361028332,0.2978202652670886,0.1017319029231803,0.0995456531331855
C1,no,Insulin,29.591836734693878,0.19454563874795955,0.27302833604996674,0.29782026526613253,0.10173190292461878,0.09954565313447503
C1,no,Insulin,30.612244897959183,0.19454563874723982,0.2730283359971002,0.29782026526517646,0.10173190292605729,0.09954565313576455
C1,no,Insulin,31.63265306122449,0.1945456387465201,0.2730283359442337,0.29782026526422034,0.10173190292749577,0.09954565313705407
C1,no,Insulin,32.6530612244898,0.1945456387458004,0.2730283358913672,0.29782026526326427,0.10173190292893428,0.0995456531383436
C1,no,Insulin,33.673469387755105,0.19454563874564187,0.2730283358790954,0.2978202652630538,0.101731902929251,0.09954565313862752
C1,no,Insulin,34.69387755102041,0.1945456387455694,0.2730283358730491,0.29782026526295763,0.1017319029293957,0.09954565313875723
C1,no,Insulin,35.714285714285715,0.19454563874549696,0.27302833586700276,0.29782026526286143,0.10173190292954039,0.09954565313888694
C1,no,Insulin,36.734693877551024,0.1945456387454245,0.27302833586095643,0.2978202652627653,0.10173190292968508,0.09954565313901666
C1,no,Insulin,37.755102040816325,0.19454563874535205,0.2730283358549101,0.29782026526266914,0.10173190292982978,0.09954565313914636
C1,no,Insulin,38.775510204081634,0.19454563874527958,0.27302833584886377,0.297820265262573,0.10173190292997447,0.09954565313927607
C1,no,Insulin,39.79591836734694,0.19454563874520714,0.27302833584281744,0.2978202652624768,0.10173190293011918,0.09954565313940578
C1,no,Insulin,40.816326530612244,0.1945456387451687,0.2730283358396046,0.29782026526242583,0.10173190293019593,0.09954565313947458
C1,no,Insulin,41.83673469387755,0.19454563874516778,0.2730283358395166,0.2978202652624246,0.10173190293019777,0.09954565313947623
C1,no,Insulin,42.85714285714286,0.19454563874516687,0.2730283358394285,0.2978202652624234,0.1017319029301996,0.09954565313947787
C1,no,Insulin,43.87755102040816,0.19454563874516595,0.27302833583934044,0.29782026526242217,0.10173190293020143,0.09954565313947951
C1,no,Insulin,44.89795918367347,0.19454563874516503,0.27302833583925235,0.29782026526242095,0.10173190293020326,0.09954565313948116
C1,no,Insulin,45.91836734693878,0.19454563874516412,0.27302833583916425,0.2978202652624197,0.10173190293020509,0.0995456531394828
C1,no,Insulin,46.93877551020408,0.1945456387451632,0.2730283358390762,0.2978202652624185,0.10173190293020692,0.09954565313948444
C1,no,Insulin,47.95918367346939,0.19454563874516229,0.2730283358389881,0.2978202652624173,0.10173190293020876,0.09954565313948609
C1,no,Insulin,48.9795918367347,0.19454563874516137,0.27302833583890007,0.29782026526241606,0.10173190293021059,0.09954565313948772
C1,no,Insulin,50.0,0.19454563874516045,0.273028335838812,0.29782026526241484,0.10173190293021242,0.09954565313948936
