NON $ % + - .
#NON	a	c	e	b	d
0.0	0.1252628916308821	0.2198899730984808	0.20433511129635784	0.14219789873352218	0.45775214633709127
0.5050505050505051	0.16700543035457546	0.19186433536124228	0.1082366959712816	0.09853601098909204	0.27019465206446813
1.0101010101010102	0.16211634416563614	0.16489153631141304	0.06148077773768201	0.07575706364874223	0.18196921098195712
1.5151515151515151	0.14845929846147354	0.14459050817131436	0.0382832352438894	0.06268304004793676	0.13794946146673687
2.0202020202020203	0.1364443595880643	0.13079836461071212	0.026494311610481294	0.05466780562973632	0.11485960101857591
2.5252525252525255	0.12791503187067332	0.12194073939099839	0.020333299988100125	0.04956762278470541	0.10228703766610722
3.0303030303030303	0.1223723814371441	0.11644641419458031	0.01701532556359487	0.04627115408753996	0.09526518701670278
3.5353535353535355	0.1189307480984034	0.1131142836807622	0.01517489211539149	0.044135556567096355	0.09127964325984893
4.040404040404041	0.11684832281013723	0.11112328530640206	0.014126517170184288	0.042758557538652105	0.08899517389232228
4.545454545454546	0.1156076725237632	0.10994526601177727	0.013516043332820589	0.0418776817604803	0.08767811987796066
5.050505050505051	0.11487551091537976	0.10925275032797331	0.013154549320104684	0.04131919012582596	0.08691623826801656
5.555555555555556	0.11444596394717879	0.10884735460148263	0.012937956561294163	0.040968221096714205	0.08647465552432046
6.0606060606060606	0.11419487665605343	0.10861068162496199	0.012807201022151313	0.04074948289015064	0.08621842919385869
6.565656565656566	0.11404843577049152	0.10847274762532165	0.012727934795389752	0.04061417418291683	0.08606966133617462
7.070707070707071	0.11396314958038092	0.10839244946920192	0.012679798536299941	0.04053103154289261	0.08598325588769454
7.575757575757576	0.113913521483165	0.1083457348463959	0.012650563275481499	0.04048024136589251	0.085933057099531
8.080808080808081	0.11388465775031865	0.10831856961479511	0.012632827763400117	0.04044937474613978	0.08590389174496019
8.585858585858587	0.1138678763948432	0.10830277717765932	0.01262208762121426	0.040430701145176225	0.08588694587723739
9.090909090909092	0.11385812299840121	0.10829359865619169	0.012615596899792204	0.04041944823528711	0.08587709860437215
9.595959595959597	0.11385245235113627	0.10828826276186265	0.01261168428632402	0.040412691469116274	0.08587137674332607
10.101010101010102	0.11384915969497471	0.10828516406261118	0.012609331034007498	0.040408646166198235	0.08586805206764536
10.606060606060607	0.1138472435670393	0.10828336122598141	0.012607919199611368	0.04040623143871847	0.08586611984521138
11.111111111111112	0.11384613130297422	0.10828231455504882	0.012607074123614859	0.04040479316951418	0.08586499722072476
11.616161616161618	0.1138454848767814	0.10828170629156927	0.012606569524680979	0.040403938765542366	0.08586434505925745
12.121212121212121	0.11384510943927924	0.10828135300780041	0.012606268870040415	0.04040343213012177	0.08586396620267724
12.626262626262626	0.11384489055452701	0.10828114704557085	0.012606089534413396	0.0404031313392863	0.08586374537989189
13.131313131313131	0.1138447632986295	0.10828102729992102	0.012605982937852775	0.04040295334287928	0.08586361697588991
13.636363636363637	0.11384468922417568	0.10828095759880613	0.012605919618239687	0.04040284806449785	0.08586354224598335
14.141414141414142	0.11384464742279907	0.10828091826515394	0.012605883035200799	0.04040278753704007	0.08586350007408776
14.646464646464647	0.11384462372550502	0.10828089596624263	0.012605861870366962	0.04040275266723365	0.08586347616252711
15.151515151515152	0.11384460957198834	0.10828088264756953	0.012605849151245956	0.04040273174594768	0.08586346187764268
15.656565656565657	0.11384460088945182	0.10828087447728273	0.012605841361614715	0.04040271893671897	0.08586345311468092
16.161616161616163	0.11384459563190855	0.10828086953027684	0.012605836628390885	0.0404027111625336	0.0858634478110457
16.666666666666668	0.11384459252171765	0.10828086660403839	0.012605833792920526	0.0404027065168148	0.08586344467593006
17.171717171717173	0.11384459069687257	0.1082808648870915	0.012605832103497838	0.040402703755766906	0.08586344283671159
17.67676767676768	0.11384458961281309	0.10828086386690441	0.012605831089677616	0.040402702101458084	0.08586344174248367
18.181818181818183	0.11384458896682975	0.10828086325881374	0.012605830481733797	0.040402701110830275	0.08586344108884232
18.68686868686869	0.11384458858292172	0.10828086289744482	0.01260583011827545	0.04040270051973883	0.08586344070019788
19.191919191919194	0.11384458835451362	0.10828086268258456	0.012605829901226271	0.04040270016749599	0.08586344046998269
19.6969696969697	0.11384458815212516	0.10828086249216716	0.012605829708529238	0.040402699854793375	0.08586344026566889
20.202020202020204	0.11384458795752429	0.10828086230900152	0.012605829522888672	0.04040269955342092	0.08586344006853855
20.70707070707071	0.11384458781942933	0.10828086217902895	0.012605829390894921	0.04040269933925461	0.08586343992876337
21.212121212121215	0.11384458773784024	0.10828086210224946	0.012605829312547983	0.04040269921229446	0.08586343984634333
21.71717171717172	0.11384458771275707	0.10828086207866303	0.012605829287847859	0.040402699172540454	0.08586343982127843
22.222222222222225	0.11384458774417978	0.10828086210826968	0.012605829316794548	0.0404026992199926	0.08586343985356867
22.72727272727273	0.11384458781396767	0.10828086217399062	0.012605829382213576	0.0404026993267098	0.08586343992477673
23.232323232323235	0.11384458779344608	0.10828086215468395	0.012605829362284007	0.040402699294501875	0.08586343990412391
23.73737373737374	0.11384458778651589	0.10828086214816811	0.01260582935537256	0.040402699283401386	0.08586343989721004
24.242424242424242	0.1138445877931771	0.10828086215444309	0.012605829361479231	0.04040269929340833	0.08586343990403512
24.747474747474747	0.11384458781342972	0.1082808621735089	0.012605829380604023	0.040402699324522715	0.08586343992459915
25.252525252525253	0.11384458784727375	0.10828086220536552	0.012605829412746935	0.04040269937674453	0.08586343995890212
25.757575757575758	0.11384458789470918	0.10828086225001297	0.012605829457907966	0.040402699450073784	0.08586344000694404
26.262626262626263	0.11384458792501169	0.1082808622785491	0.012605829485951455	0.04040269949592176	0.08586344003785387
26.767676767676768	0.1138445879374628	0.10828086229026435	0.012605829498093538	0.040402699515525484	0.08586344005040236
27.272727272727273	0.11384458794991391	0.10828086230197959	0.012605829510235618	0.04040269953512921	0.08586344006295085
27.77777777777778	0.11384458796236503	0.10828086231369483	0.0126058295223777	0.04040269955473293	0.08586344007549934
