NON $ % + - .
#NON	a	d	b	c	e
0.0	0.4895449227986156	0.8168829187939157	0.5816515878109549	0.5227849314442132	0.5407764458148602
0.5050505050505051	0.22978169262721496	0.4457228155210217	0.33642242227737057	0.3440181402808941	0.2724077578589095
1.0101010101010102	0.15802788682023886	0.2821871962738418	0.21832308665619893	0.2607052607801546	0.1859125036294975
1.5151515151515151	0.13698227301299515	0.21042238668499352	0.16218850275258803	0.2196354396260706	0.15740627998909693
2.0202020202020203	0.1313147608572513	0.17970998705514069	0.13643672261444628	0.198555163007317	0.1488784101026015
2.5252525252525255	0.13036231059496153	0.16706274921131706	0.125150416137479	0.18744908306509234	0.14698833715403284
3.0303030303030303	0.13061936765723095	0.16209017492849825	0.12044233644543059	0.18150518825425715	0.1469959152789355
3.5353535353535355	0.13101379174455344	0.1602402615454715	0.11858106031684619	0.17829504771036228	0.14735444206543247
4.040404040404041	0.1312970068023586	0.1596001403431324	0.11789052098665694	0.17655244886305296	0.14765296655116947
4.545454545454546	0.13146139575253	0.15940179953461203	0.11765533840380463	0.17560379968005554	0.14783638396824048
5.050505050505051	0.1315468542943331	0.159352334137919	0.11758565708783132	0.17508655693418013	0.14793476265048158
5.555555555555556	0.13158815521328995	0.15934692366117784	0.11757065235733889	0.17480429000293413	0.14798329894786705
6.0606060606060606	0.1316070257854362	0.1593513001741465	0.11757094031979543	0.17465017560046098	0.1480058186686901
6.565656565656566	0.13161523672087325	0.1593558899255918	0.11757396447660336	0.1745660164175978	0.14801574139960777
7.070707070707071	0.1316186467847541	0.15935889679413642	0.11757645053177714	0.17452004842047253	0.14801990897604317
7.575757575757576	0.1316199939873847	0.15936055985417505	0.11757798141847883	0.17449494237114807	0.1480215738784692
8.080808080808081	0.13162049752052016	0.15936139457172727	0.11757880749707908	0.17448122655325804	0.1480222028224392
8.585858585858587	0.1316206702959739	0.15936178705893916	0.11757922011949305	0.17447373797093454	0.14802242310058167
9.090909090909092	0.13162072402754837	0.1593619602983266	0.1175794126608898	0.1744696465169656	0.1480224923946243
9.595959595959597	0.1316207378194311	0.15936203378547603	0.11757949903303744	0.17446741095714363	0.14802250986516893
10.101010101010102	0.13162073376133523	0.15936206132801956	0.11757953417621864	0.17446619071089353	0.14802251776875386
10.606060606060607	0.13162073781241376	0.15936207387862195	0.11757955060635207	0.1744655245659114	0.14802251015206558
11.111111111111112	0.1316207470404097	0.15936208093098966	0.11757955936103012	0.1744651597282162	0.14802249725921335
11.616161616161618	0.13162073667744897	0.15936207935262708	0.11757955885328439	0.17446496030271508	0.14802250737689465
12.121212121212121	0.13162073503332813	0.15936207938465682	0.11757955931990993	0.1744648510444311	0.14802250833967934
12.626262626262626	0.13162073471231525	0.15936207943811737	0.11757955956226288	0.17446479134473694	0.14802250821441298
13.131313131313131	0.13162073463894217	0.15936207944147662	0.11757955964710226	0.17446475850180146	0.14802250805077505
13.636363636363637	0.13162073474232477	0.15936207945537206	0.11757955968886344	0.174464741277099	0.1480225078207037
14.141414141414142	0.13162073501757685	0.1593620795277045	0.11757955976897695	0.17446473191456444	0.14802250745967935
14.646464646464647	0.13162073544124428	0.1593620796572688	0.1175795598987306	0.1744647264638454	0.14802250695844177
15.151515151515152	0.1316207353030308	0.15936207961504462	0.11757955986341206	0.1744647224667695	0.14802250710285425
15.656565656565657	0.13162073491500514	0.1593620794992079	0.11757955975569198	0.1744647205400783	0.14802250754253593
16.161616161616163	0.1316207346560021	0.1593620794220671	0.11757955968376647	0.17446471935586763	0.1480225078367546
16.666666666666668	0.1316207345528775	0.15936207939158387	0.11757955965530557	0.1744647188200016	0.1480225079542666
17.171717171717173	0.13162073442739938	0.1593620793545442	0.11757955962050509	0.174464718315089	0.14802250809794773
17.67676767676768	0.13162073446433467	0.15936207936587618	0.11757955963077997	0.17446471871356226	0.14802250805711048
18.181818181818183	0.1316207344988866	0.15936207937647948	0.1175795596403924	0.17446471908931574	0.1480225080189151
18.68686868686869	0.13162073450084552	0.1593620793771179	0.11757955964094542	0.1744647191543695	0.1480225080168473
19.191919191919194	0.13162073450280443	0.15936207937775637	0.11757955964149844	0.17446471921942328	0.1480225080147795
19.6969696969697	0.13162073450476336	0.1593620793783948	0.11757955964205145	0.17446471928447702	0.14802250801271172
20.202020202020204	0.1316207345067223	0.15936207937903327	0.11757955964260447	0.17446471934953078	0.1480225080106439
20.70707070707071	0.1316207345086812	0.1593620793796717	0.11757955964315749	0.17446471941458455	0.1480225080085761
21.212121212121215	0.13162073451064013	0.15936207938031016	0.11757955964371052	0.17446471947963832	0.14802250800650832
21.71717171717172	0.13162073451259904	0.1593620793809486	0.11757955964426353	0.1744647195446921	0.14802250800444053
22.222222222222225	0.13162073451455797	0.15936207938158706	0.11757955964481655	0.17446471960974586	0.14802250800237274
22.72727272727273	0.13162073451542128	0.1593620793818718	0.11757955964506182	0.17446471964261173	0.14802250800146766
23.232323232323235	0.13162073451552744	0.1593620793819121	0.11757955964509442	0.17446471965323224	0.1480225080013661
23.73737373737374	0.1316207345156336	0.15936207938195243	0.11757955964512701	0.17446471966385274	0.14802250800126454
24.242424242424242	0.13162073451573975	0.15936207938199273	0.1175795596451596	0.17446471967447325	0.148022508001163
24.747474747474747	0.1316207345158459	0.15936207938203303	0.11757955964519219	0.17446471968509375	0.14802250800106145
25.252525252525253	0.13162073451595205	0.15936207938207336	0.11757955964522479	0.17446471969571425	0.14802250800095992
25.757575757575758	0.1316207345160582	0.15936207938211366	0.11757955964525738	0.17446471970633476	0.14802250800085837
