,,,Slide ID,g,a,f,c,d,b,e
,,,Antibody Name,g,a,f,c,d,b,e
,,,HUGO ID,g,a,f,c,d,b,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5297792630139718,0.5299291215102335,0.9768767263286687,0.26436994521934865,0.7549633790365559,0.006501946007757442,0.22274371253349867
C1,no,Insulin,0.33557046979865773,0.314134680312619,0.34767083816088995,0.39734917381431967,0.14782173735371892,0.48777432888857014,0.029462678756934035,0.18808688888782513
C1,no,Insulin,0.6711409395973155,0.23468599489630296,0.23754314970723428,0.19101185639343835,0.0970139681587685,0.3446326361280766,0.033491181719077806,0.17213024277341094
C1,no,Insulin,1.0067114093959733,0.20497390138878965,0.17019043475057677,0.11481837032809022,0.07273552013524816,0.26756260830458395,0.031826963269492914,0.16446895715224866
C1,no,Insulin,1.342281879194631,0.19352394191105945,0.12836157673701096,0.08490269860627883,0.059731609120808264,0.22582734291412151,0.028920453689475885,0.16059325408628786
C1,no,Insulin,1.6778523489932886,0.18890458536217392,0.10193180375155224,0.07180115618442406,0.05194613194932265,0.20311356905703087,0.026166861557310926,0.15853579282486366
C1,no,Insulin,2.0134228187919465,0.1869269963243478,0.08493727532762352,0.0651104042911647,0.04687684701577719,0.19070333808108542,0.023922646256332197,0.1574023337916836
C1,no,Insulin,2.348993288590604,0.1860217170906779,0.07383036084691944,0.0611191850115853,0.04340675004954205,0.18390184141589125,0.022204903443570387,0.1567617069033085
C1,no,Insulin,2.684563758389262,0.18557901512250718,0.06646816720156826,0.05845920992582786,0.04097373895616166,0.18016491913511803,0.020932624822865595,0.15639355275579542
C1,no,Insulin,3.0201342281879198,0.18534977546202147,0.061531417823595086,0.056581405261159436,0.039253368594191436,0.17810735375187273,0.020008837821714778,0.1561797685478327
C1,no,Insulin,3.3557046979865772,0.18522569385038215,0.05819097955838813,0.05522722674267136,0.0380360258240353,0.17697225568843777,0.019346903509783304,0.15605483203797646
