,,,Slide ID,b,f,c,d,e,a
,,,Antibody Name,b,f,c,d,e,a
,,,HUGO ID,b,f,c,d,e,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.07516356591285456,0.6517942875749652,0.7290220993726838,0.430205413968928,0.11102601780151566,0.7815074824503573
C1,no,Insulin,0.33557046979865773,0.15431717563555225,0.3193138859847289,0.49077733438602245,0.2928130988536777,0.17983287475665835,0.6229048582666442
C1,no,Insulin,0.6711409395973155,0.17462984057937964,0.19475370161894148,0.3472533369022943,0.23714097787291755,0.20654569162017053,0.4992572061502444
C1,no,Insulin,1.0067114093959733,0.17333237931969492,0.14710586366683207,0.25899168724216853,0.21326172161655077,0.21367152648753068,0.40822995733997763
C1,no,Insulin,1.342281879194631,0.16675258489066935,0.1282481097859852,0.20403617964739001,0.20237794285932076,0.21328455111407948,0.344842208222474
C1,no,Insulin,1.6778523489932886,0.16055083640851878,0.12038150609208265,0.16955615120182055,0.19707398719508598,0.21075125777358325,0.3024432646828679
C1,no,Insulin,2.0134228187919465,0.15600412094247773,0.11688253654232211,0.14783674944448605,0.19434035055724797,0.20807204510672628,0.27478866997939455
C1,no,Insulin,2.348993288590604,0.15298578969351298,0.1152266907631658,0.13413617111750262,0.19288462128814635,0.20584693403378032,0.2570213016403012
C1,no,Insulin,2.684563758389262,0.1510791709865249,0.11440498764314741,0.12549552712514112,0.19210361419662925,0.20416434762439614,0.2457118931943299
C1,no,Insulin,3.0201342281879198,0.1499091619372347,0.11398614340647231,0.12005217330451212,0.19169096985508297,0.20295160543887325,0.23855750807963383
C1,no,Insulin,3.3557046979865772,0.14920511961377506,0.11377155257659036,0.11662865008151246,0.19148115185353656,0.20210258193069497,0.23405220674621993
C1,no,Insulin,3.691275167785235,0.14878802923128237,0.11366346459318748,0.11447966310971497,0.19138177865401465,0.2015199988355861,0.23122573169697389
C1,no,Insulin,4.026845637583893,0.1485444924700618,0.11361136831157678,0.11313361116939788,0.19134087435711292,0.20112629695260625,0.22945849330432183
C1,no,Insulin,4.3624161073825505,0.14840444745864617,0.11358841208337948,0.11229241918238493,0.19132945580184763,0.20086354801879966,0.22835713222081155
C1,no,Insulin,4.697986577181208,0.14832532299969872,0.11358018476603668,0.11176800551016196,0.19133171799895257,0.20069008705893404,0.22767299895088872
C1,no,Insulin,5.033557046979866,0.14828158586566498,0.11357899050033275,0.11144191058133388,0.1913393431312886,0.20057669357054023,0.22724946899649046
C1,no,Insulin,5.369127516778524,0.14825810059948016,0.11358080624833203,0.11123968868172308,0.1913481945492251,0.20050324884854542,0.22698821052591245
C1,no,Insulin,5.704697986577181,0.14824599818955697,0.11358360502946188,0.1111146460200129,0.19135640136676818,0.20045610466336167,0.2268276654751241
C1,no,Insulin,6.0402684563758395,0.1482401464118341,0.11358643732397823,0.11103756446028315,0.19136327585984503,0.20042611126177526,0.22672941327500928
C1,no,Insulin,6.375838926174497,0.1482376238688823,0.113588909002896,0.11099020475247785,0.19136870601058864,0.200407203830976,0.22666955373856196
C1,no,Insulin,6.7114093959731544,0.14823679558622113,0.11359090900131046,0.11096121045676717,0.19137283462966886,0.20039539867498987,0.22663326431281852
C1,no,Insulin,7.046979865771813,0.14823676986556064,0.11359245338874917,0.11094352833128104,0.19137588972143899,0.20038810392827341,0.22661138444591472
C1,no,Insulin,7.38255033557047,0.14823707634456057,0.11359360860456279,0.11093279107901353,0.19137810501851596,0.2003836479381202,0.2265982743911785
C1,no,Insulin,7.718120805369128,0.14823747839439033,0.11359445295877797,0.11092629942370034,0.1913796862049011,0.20038096063763058,0.2265904714418441
C1,no,Insulin,8.053691275167786,0.1482378678435116,0.11359505941709426,0.11092239959869127,0.19138080067583332,0.20037936616922233,0.22658587087137855
C1,no,Insulin,8.389261744966444,0.14823820039878627,0.11359548902071973,0.11092006915770942,0.19138157783234325,0.20037843747537393,0.2265831822639138
C1,no,Insulin,8.724832214765101,0.14823846611101182,0.11359578961266818,0.1109186856775289,0.19138211481911407,0.20037790945790163,0.22658162887134123
C1,no,Insulin,9.060402684563758,0.14823866970683872,0.11359599799514031,0.11091787059309277,0.1913824831557828,0.20037761861688103,0.22658074383397428
C1,no,Insulin,9.395973154362416,0.1482388210936383,0.1135961415473403,0.11091739591966786,0.19138273420308122,0.20037746604594547,0.22658024981079733
C1,no,Insulin,9.731543624161075,0.1482389312351101,0.11359623947499589,0.1109171216935332,0.19138290417181844,0.2003773915766555,0.22657997959894352
