NON $ % + -
#NON	a	c	b	d
0.0	0.9959334482797864	0.3218992872954993	0.916045878823636	0.8603969657893555
0.5050505050505051	0.6200335543153003	0.2660612498894421	0.5817015171213344	0.5779785855239816
1.0101010101010102	0.4138163599141224	0.23089126902728302	0.3905980104842569	0.42569438759170386
1.5151515151515151	0.29891156656840245	0.2081812378316236	0.28067332440906806	0.34032945369249307
2.0202020202020203	0.23384227556949583	0.19323083522831772	0.21698090064557699	0.2904041752231296
2.5252525252525255	0.1963632261102785	0.18324467824405163	0.1797686254394872	0.26011526038591837
3.0303030303030303	0.17439601384577552	0.1765028167845146	0.1578236890951935	0.24126405922071614
3.5353535353535355	0.16130189487188834	0.1719160202749553	0.14474835102309153	0.22935747782119492
4.040404040404041	0.15337819284292625	0.16877820329685178	0.1368704776285739	0.22178376230452324
4.545454545454546	0.14852251904771607	0.1666232643275561	0.13206775921518682	0.216953484785681
5.050505050505051	0.1455172863880897	0.1651392788258239	0.12910386068666146	0.2138719169688504
5.555555555555556	0.14364342444757297	0.1641153841399865	0.12725208307392868	0.2119076097991727
6.0606060606060606	0.1424687596257143	0.1634079909433852	0.1260810059182635	0.21065727868188994
6.565656565656566	0.1417297284120415	0.16291880943501633	0.125331715199815	0.20986285763293602
7.070707070707071	0.141263720800249	0.16258030847930915	0.12484700859609957	0.20935919025279945
7.575757575757576	0.14096952992793896	0.16234596936412612	0.12453028000254401	0.20904065856241172
8.080808080808081	0.14078375999444304	0.16218368991377352	0.12432142882710517	0.20883979781555187
8.585858585858587	0.1406665101942719	0.16207128683049252	0.12418259763552562	0.20871356618698872
9.090909090909092	0.14059259745970432	0.1619934194781677	0.12408966500721998	0.20863455285408491
9.595959595959597	0.1405460879233919	0.16193947058869324	0.12402707909658778	0.20858532594435406
10.101010101010102	0.14051689632651385	0.16190209056292687	0.12398471639284232	0.2085548288913466
10.606060606060607	0.14049863312541194	0.16187618951859786	0.12395591899068792	0.20853606224193888
11.111111111111112	0.14048725190341163	0.16185824121107617	0.1239362725387188	0.20852460727203964
11.616161616161618	0.140480193473739	0.16184580310595517	0.12392282900586664	0.20851768471970372
12.121212121212121	0.14047584451940406	0.1618371848459205	0.12391361003315415	0.20851355629594248
12.626262626262626	0.14047318203672607	0.16183121169889975	0.12390727290790801	0.20851113152727654
13.131313131313131	0.14047156915072337	0.16182707311740666	0.12390291210449669	0.20850974019828294
13.636363636363637	0.1404706031003267	0.16182420584831447	0.12389990719981771	0.20850896579709546
14.141414141414142	0.14047003144742073	0.16182221869093474	0.1238978331490266	0.20850855226121423
14.646464646464647	0.1404697002575202	0.16182084175702083	0.12389640114913886	0.20850834722925593
15.151515151515152	0.1404695139045283	0.1618198889392668	0.12389541303915756	0.20850825939337694
15.656565656565657	0.1404694121724436	0.1618192286691517	0.12389472969937687	0.20850823339888488
16.161616161616163	0.14046935845669292	0.1618187695200892	0.12389425521213226	0.20850823690662523
16.666666666666668	0.14046933336745446	0.16181845107023074	0.12389392668073389	0.2085082545765676
17.171717171717173	0.14046932377148247	0.16181822798127196	0.1238936968715274	0.208508277042281
17.67676767676768	0.1404693232029112	0.16181807494007913	0.12389353942342822	0.2085083001675175
18.181818181818183	0.140469326839128	0.16181797030597828	0.12389343187907587	0.20850832116714457
18.68686868686869	0.14046933152396568	0.16181789795740553	0.12389335754462433	0.20850833846980393
19.191919191919194	0.14046933608971474	0.16181784745887307	0.12389330566412964	0.2085083521831696
19.6969696969697	0.14046934021933413	0.16181781338792914	0.12389327066431627	0.20850836274230883
20.202020202020204	0.14046934363764002	0.16181778958261478	0.12389324621523935	0.20850837076577203
20.70707070707071	0.140469346327141	0.1618177730061439	0.12389322919515013	0.20850837672480482
21.212121212121215	0.14046934832943309	0.16181776135417802	0.12389321723456756	0.20850838105181085
21.71717171717172	0.1404693498247645	0.1618177530257908	0.12389320868649974	0.20850838424592014
22.222222222222225	0.14046935092625976	0.16181774720997713	0.12389320271738312	0.20850838657939755
22.72727272727273	0.14046935175164615	0.16181774313951214	0.12389319853914545	0.20850838831730556
23.232323232323235	0.1404693523775317	0.16181774025656934	0.12389319557972628	0.20850838962164042
23.73737373737374	0.1404693528461062	0.16181773826381418	0.12389319353419072	0.20850839057657972
24.242424242424242	0.14046935320210005	0.16181773685913822	0.12389319209267495	0.20850839126580178
24.747474747474747	0.14046935347693196	0.16181773586483084	0.12389319107259066	0.20850839175381392
25.252525252525253	0.14046935368874042	0.16181773517482015	0.12389319036491225	0.20850839208472438
25.757575757575758	0.14046935385318976	0.16181773468611246	0.12389318986370583	0.20850839231343962
26.262626262626263	0.14046935397524496	0.1618177343424739	0.12389318951122892	0.20850839247606645
26.767676767676768	0.14046935409149522	0.1618177340110658	0.12389318917134323	0.20850839263289933
27.272727272727273	0.14046935420931472	0.16181773367035618	0.12389318882199427	0.2085083927922035
27.77777777777778	0.14046935430209875	0.16181773339802827	0.12389318854275039	0.20850839292415974
