Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Gold_5_16_10_2018_14_19.sif,5,KM3,BESTFIT,100,0,4,15,1,5,0.8,0.4444444444444444,0.76,0.38,0.4583333333333333
Gold_6_16_10_2018_14_19.sif,6,KM3,BESTFIT,100,1,0,18,6,12,0.8,0.4444444444444444,0.76,0.38,0.4583333333333333
Gold_4_16_10_2018_14_19.sif,4,KM3,BESTFIT,100,1,1,6,3,6,0.25,0.14285714285714285,0.4375,0.21875,-0.21821789023599236
