,,,Slide ID,j,l,i,d,k,a,f,b,g,c,e,h
,,,Antibody Name,j,l,i,d,k,a,f,b,g,c,e,h
,,,HUGO ID,j,l,i,d,k,a,f,b,g,c,e,h
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8225007748314862,0.19713197906559277,0.1401416377580681,0.18774217675400973,0.6373660895329182,0.8221234311252819,0.20717711673927997,0.43580529454412986,0.32239449602256487,0.14955716054061896,0.5301757050672086,0.6102783518648272
C1,no,Insulin,0.5050505050505051,0.4384001763868315,0.1461303166913345,0.09964092877539554,0.12867348643840146,0.3977033213418909,0.4752429734540627,0.2208903950346768,0.23568548183461344,0.2054994528883268,0.1509132129196403,0.23616248382822988,0.4171083510536887
C1,no,Insulin,1.0101010101010102,0.29842367062471237,0.13663606566090025,0.0756887870403618,0.0914200079414947,0.2926278462540924,0.3206337821823106,0.19409469545190583,0.15565345082430856,0.16336829976977105,0.1596437619458724,0.14530559927142014,0.3121702574902625
C1,no,Insulin,1.5151515151515151,0.24088684447253816,0.13827846805476154,0.06174198154888423,0.06823067571809836,0.24369927794852114,0.2493713301706682,0.17002323639484015,0.12534022567007763,0.15027469899411483,0.16777582781786413,0.11949900266622601,0.2558930931651907
C1,no,Insulin,2.0202020202020203,0.21526587445187909,0.14140301509254424,0.05369326142781729,0.05390502400376741,0.21936569284292065,0.2158326192675578,0.15473969125407186,0.11457140879560085,0.1473032935512764,0.17315527288796229,0.11335937100632622,0.2263211766851642
C1,no,Insulin,2.5252525252525255,0.20331774409298212,0.14366154592642927,0.04906162670983874,0.04508816656538054,0.20667176840688753,0.1998401564675199,0.1461501179397681,0.11103205945280491,0.14727751933306724,0.17613260506291134,0.11252379525107925,0.2110580979923542
C1,no,Insulin,3.0303030303030303,0.19760698589481424,0.14494412353681638,0.04639564333216775,0.039672054303863995,0.19989557456608142,0.1921496646488072,0.14159533946782982,0.10999241255479672,0.14781010203155734,0.17760727885408178,0.11279573382977107,0.20328837619179604
C1,no,Insulin,3.5353535353535355,0.1948428973269827,0.14558937150076875,0.04486035976465188,0.03635009225908324,0.19626050614428855,0.18843060081607677,0.13925491449582691,0.10974625939527183,0.14826124723760192,0.1782840013125564,0.1131226187229766,0.19937341359496635
C1,no,Insulin,4.040404040404041,0.19349658883838605,0.14588970383306962,0.04397697924052266,0.034316311685904086,0.19431948388472542,0.18662518200362085,0.13807401096583885,0.10972012403111751,0.14854120530513426,0.17857702497526834,0.11332825883188245,0.19741545914266576
C1,no,Insulin,4.545454545454546,0.19283879289525777,0.14602161670803626,0.04346998829552749,0.033073997247672626,0.1932917730875651,0.1857464000723073,0.1374846526051886,0.1097390558679103,0.1486930159206291,0.1786978363275416,0.11343464799703595,0.19644156816819303
