,,,Slide ID,d,h,c,b,g,f,a,k,i,e,j
,,,Antibody Name,d,h,c,b,g,f,a,k,i,e,j
,,,HUGO ID,d,h,c,b,g,f,a,k,i,e,j
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,8.585858585858587,0.19085025673192685,0.18793702756839212,0.006599962115519333,0.206726839124546,0.0701603318449605,0.1303181501024276,0.017488267501440512,0.2199056316796173,0.06705468651306006,0.012511554038882489,0.1586305466681255
C1,no,Insulin,9.090909090909092,0.19085003687384755,0.1879365791362086,0.006599396579818815,0.20672347264190946,0.07015655485687054,0.1303179964547964,0.017487245838020974,0.21990534298973788,0.06703725284356797,0.012510753717863924,0.15862208160276872
C1,no,Insulin,9.595959595959597,0.19084993877926165,0.1879363789626591,0.006599111612745626,0.2067216770783898,0.07015464618901507,0.1303179279987982,0.017486730140012917,0.2199052141958552,0.06702772101113166,0.012510349934278813,0.15861761542044725
C1,no,Insulin,10.101010101010102,0.19084989490860074,0.1879362893066137,0.006598967858793299,0.2067207218727255,0.07015368448738994,0.13031789726718893,0.01748647033586872,0.21990515650409187,0.06702253071747602,0.012510146802058881,0.1586152608337366
C1,no,Insulin,10.606060606060607,0.19084987525893538,0.18793624954051968,0.006598896067720244,0.20672021464475956,0.07015320078423301,0.1303178837844798,0.01748633972684822,0.2199051309676321,0.06701971520125707,0.012510044556752361,0.15861402073296021
C1,no,Insulin,11.111111111111112,0.19084986574364113,0.1879362313333376,0.00659886002649739,0.20671994546076902,0.07015295651645997,0.13031787737715622,0.0174862739801052,0.21990511928286116,0.06701819116938301,0.012509993872235363,0.15861336659770048
C1,no,Insulin,11.616161616161618,0.190849862909883,0.18793622366231305,0.006598841300165409,0.2067198035498634,0.07015283768958618,0.1303178749661244,0.017486241233833213,0.21990511430020954,0.06701737147242692,0.012509967555633638,0.15861302394335192
C1,no,Insulin,12.121212121212121,0.19084986062856424,0.18793622006230684,0.006598832613689169,0.2067197283457714,0.07015277605351475,0.1303178736836729,0.017486224786286596,0.2199051120215191,0.06701693067862607,0.012509954792093813,0.15861284333742215
C1,no,Insulin,12.626262626262626,0.19084986008769647,0.18793621847582445,0.006598827812619335,0.20671968866080742,0.07015274626677728,0.1303178731065171,0.017486216534031863,0.21990511098126672,0.06701669419152541,0.012509948502723372,0.15861274831347458
C1,no,Insulin,13.131313131313131,0.19084985973774898,0.18793621775381492,0.006598825512043633,0.20671966764315675,0.07015273112864405,0.13031787286416843,0.017486212390363527,0.21990511051667588,0.06701656738252217,0.012509945188541895,0.15861269820709564
C1,no,Insulin,13.636363636363637,0.1908498596210044,0.18793621743332123,0.0065988243293167576,0.20671965650196011,0.07015272363578301,0.13031787275680523,0.017486210308358913,0.2199051103082304,0.06701649929453196,0.01250994359208409,0.15861267173078988
C1,no,Insulin,14.141414141414142,0.19084985955530476,0.18793621729035237,0.006598823750781453,0.20671965063419484,0.07015271989326592,0.13031787271012127,0.017486209272398284,0.21990511021596731,0.0670164630280803,0.01250994275812639,0.158612657833643
C1,no,Insulin,14.646464646464647,0.19084985951526834,0.18793621723157786,0.00659882347749438,0.20671964763636103,0.07015271808699615,0.13031787267110811,0.01748620877840098,0.21990511017821082,0.06701644427494031,0.012509942405367305,0.15861265076049735
C1,no,Insulin,15.151515151515152,0.19084985950491326,0.1879362172062307,0.006598823342347572,0.20671964608511148,0.0701527172285053,0.1303178726599849,0.01748620853702007,0.21990511016182365,0.06701643448031155,0.012509942237378623,0.1586126471082743
C1,no,Insulin,15.656565656565657,0.190849859510205,0.1879362171916163,0.006598823267104708,0.20671964523177794,0.07015271679217602,0.13031787267321504,0.017486208405720925,0.21990511015225964,0.06701642908657134,0.012509942110320216,0.15861264509708534
C1,no,Insulin,16.161616161616163,0.19084985951293482,0.18793621718318024,0.006598823226359015,0.2067196447604865,0.07015271655612863,0.13031787268588932,0.017486208334133533,0.21990511014676298,0.06701642610859057,0.012509942012460192,0.15861264398635277
C1,no,Insulin,16.666666666666668,0.19084985950787073,0.18793621717926182,0.0065988232063545135,0.20671964450619806,0.0701527164182648,0.13031787268160816,0.01748620829734868,0.21990511014426906,0.06701642449761762,0.012509941969558519,0.1586126433894938
C1,no,Insulin,17.171717171717173,0.19084985950220915,0.18793621717762268,0.006598823196416883,0.20671964436947105,0.07015271633929744,0.1303178726688833,0.017486208278662096,0.219905110143243,0.0670164236281815,0.012509941977659469,0.15861264306993159
C1,no,Insulin,17.67676767676768,0.19084985949990854,0.18793621717671502,0.006598823190265672,0.2067196442854323,0.07015271629458314,0.1303178726607135,0.017486208267479653,0.21990511014266267,0.06701642309184601,0.012509941996672002,0.15861264287351107
C1,no,Insulin,18.181818181818183,0.19084985949479852,0.18793621717584277,0.0065988231844934285,0.2067196442018791,0.07015271624277936,0.1303178726486792,0.0174862082563693,0.21990511014212707,0.0670164225603079,0.01250994200565983,0.15861264267875205
C1,no,Insulin,18.68686868686869,0.19084985949244457,0.18793621717529752,0.006598823180794223,0.20671964414860336,0.07015271621266725,0.1303178726434128,0.017486208249385418,0.2199051101417879,0.06701642222048475,0.01250994200749968,0.15861264255446098
C1,no,Insulin,19.191919191919194,0.19084985949284664,0.1879362171750793,0.006598823179168055,0.20671964412560503,0.07015271620424683,0.13031787264491432,0.017486208246528002,0.21990511014164513,0.06701642207237657,0.01250994200219155,0.15861264250063786
C1,no,Insulin,19.6969696969697,0.19084985949600478,0.1879362171751881,0.006598823179614924,0.20671964413288413,0.07015271621751809,0.13031787265318379,0.01748620824779706,0.21990511014169872,0.06701642211598335,0.012509941989735443,0.15861264251728266
C1,no,Insulin,20.202020202020204,0.19084985949894417,0.1879362171753272,0.006598823180314694,0.2067196441436809,0.07015271623158409,0.13031787266077435,0.017486208249489984,0.21990511014177294,0.06701642218242237,0.012509941978860954,0.15861264254217933
C1,no,Insulin,20.70707070707071,0.19084985949934144,0.1879362171752649,0.006598823179845786,0.20671964413709526,0.0701527162301237,0.13031787266186987,0.01748620824871494,0.21990511014173045,0.06701642213979148,0.01250994197638614,0.1586126425267353
C1,no,Insulin,21.212121212121215,0.19084985950001904,0.18793621717528272,0.006598823179935129,0.20671964413851648,0.07015271623296372,0.1303178726635358,0.017486208248984916,0.219905110141738,0.06701642214832478,0.012509941974028459,0.15861264252998053
C1,no,Insulin,21.71717171717172,0.19084985950097694,0.18793621717538062,0.006598823180582719,0.20671964414794466,0.07015271624010418,0.13031787266577213,0.017486208250299912,0.21990511014179565,0.06701642220802227,0.012509941971787907,0.15861264255191507
C1,no,Insulin,22.222222222222225,0.19084985950221514,0.18793621717555864,0.006598823181788559,0.20671964416537975,0.07015271625154505,0.13031787266857883,0.01748620825265993,0.2199051101419034,0.06701642231888397,0.012509941969664484,0.15861264259253888
C1,no,Insulin,22.72727272727273,0.19084985950391375,0.18793621717566678,0.006598823182408792,0.20671964417431943,0.07015271626103314,0.1303178726726932,0.017486208254041177,0.21990511014196357,0.06701642237462205,0.01250994196453342,0.15861264261326627
C1,no,Insulin,23.232323232323235,0.1908498595039084,0.18793621717571554,0.00659882318282493,0.20671964418053576,0.07015271626351807,0.130317872672553,0.01748620825479102,0.21990511014199485,0.06701642241473693,0.012509941965483305,0.1586126426277791
C1,no,Insulin,23.73737373737374,0.19084985950390304,0.1879362171757643,0.006598823183241067,0.20671964418675212,0.070152716266003,0.13031787267241277,0.017486208255540866,0.21990511014202613,0.06701642245485183,0.012509941966433189,0.15861264264229194
C1,no,Insulin,24.242424242424242,0.19084985950389768,0.18793621717581308,0.006598823183657204,0.20671964419296845,0.07015271626848793,0.13031787267227254,0.01748620825629071,0.2199051101420574,0.06701642249496671,0.012509941967383073,0.15861264265680478
C1,no,Insulin,24.747474747474747,0.19084985950389233,0.18793621717586184,0.006598823184073341,0.2067196441991848,0.07015271627097286,0.13031787267213232,0.01748620825704056,0.21990511014208872,0.0670164225350816,0.012509941968332957,0.1586126426713176
C1,no,Insulin,25.252525252525253,0.19084985950389205,0.18793621717586623,0.006598823184112155,0.20671964419977876,0.07015271627120463,0.13031787267212117,0.017486208257110485,0.2199051101420915,0.0670164225389173,0.012509941968416462,0.15861264267270325
C1,no,Insulin,25.757575757575758,0.19084985950389216,0.18793621717586748,0.006598823184124306,0.20671964419997538,0.07015271627127716,0.1303178726721191,0.017486208257132367,0.2199051101420923,0.06701642254018923,0.012509941968438739,0.15861264267316125
C1,no,Insulin,26.262626262626263,0.19084985950389227,0.1879362171758687,0.006598823184136456,0.206719644200172,0.0701527162713497,0.13031787267211706,0.01748620825715425,0.2199051101420931,0.06701642254146116,0.012509941968461018,0.15861264267361924
C1,no,Insulin,26.767676767676768,0.19084985950389238,0.18793621717586995,0.006598823184148606,0.20671964420036862,0.07015271627142224,0.130317872672115,0.01748620825717613,0.21990511014209388,0.06701642254273309,0.012509941968483295,0.15861264267407724
C1,no,Insulin,27.272727272727273,0.1908498595038925,0.1879362171758712,0.006598823184160757,0.20671964420056527,0.07015271627149476,0.13031787267211295,0.017486208257198013,0.21990511014209468,0.06701642254400501,0.012509941968505574,0.1586126426745352
C1,no,Insulin,27.77777777777778,0.1908498595038926,0.18793621717587242,0.006598823184172907,0.2067196442007619,0.0701527162715673,0.1303178726721109,0.017486208257219894,0.2199051101420955,0.06701642254527694,0.012509941968527852,0.1586126426749932
C1,no,Insulin,28.282828282828284,0.19084985950389272,0.18793621717587367,0.006598823184185057,0.2067196442009585,0.07015271627163984,0.13031787267210884,0.017486208257241776,0.21990511014209627,0.06701642254654887,0.01250994196855013,0.1586126426754512
C1,no,Insulin,28.78787878787879,0.19084985950389283,0.18793621717587491,0.006598823184197208,0.20671964420115513,0.07015271627171236,0.1303178726721068,0.017486208257263658,0.21990511014209707,0.0670164225478208,0.012509941968572408,0.1586126426759092
C1,no,Insulin,29.292929292929294,0.19084985950389294,0.18793621717587614,0.006598823184209358,0.20671964420135178,0.0701527162717849,0.13031787267210476,0.01748620825728554,0.21990511014209788,0.06701642254909272,0.012509941968594685,0.15861264267636718
C1,no,Insulin,29.7979797979798,0.19084985950389305,0.18793621717587738,0.006598823184221508,0.2067196442015484,0.07015271627185743,0.1303178726721027,0.01748620825730742,0.21990511014209865,0.06701642255036465,0.012509941968616965,0.15861264267682515
C1,no,Insulin,30.303030303030305,0.19084985950389316,0.18793621717587863,0.006598823184233659,0.20671964420174502,0.07015271627192997,0.13031787267210065,0.017486208257329303,0.21990511014209946,0.06701642255163658,0.012509941968639242,0.15861264267728314
C1,no,Insulin,30.80808080808081,0.19084985950389327,0.18793621717587985,0.006598823184245809,0.20671964420194164,0.07015271627200251,0.1303178726720986,0.017486208257351185,0.21990511014210026,0.0670164225529085,0.012509941968661521,0.15861264267774114
C1,no,Insulin,31.313131313131315,0.19084985950389338,0.1879362171758811,0.006598823184257959,0.2067196442021383,0.07015271627207503,0.13031787267209655,0.017486208257373067,0.21990511014210107,0.06701642255418043,0.012509941968683798,0.15861264267819913
C1,no,Insulin,31.81818181818182,0.1908498595038935,0.18793621717588235,0.00659882318427011,0.2067196442023349,0.07015271627214757,0.1303178726720945,0.01748620825739495,0.21990511014210185,0.06701642255545236,0.012509941968706077,0.15861264267865713
C1,no,Insulin,32.323232323232325,0.1908498595038936,0.18793621717588357,0.00659882318428226,0.20671964420253153,0.07015271627222011,0.13031787267209244,0.01748620825741683,0.21990511014210265,0.06701642255672428,0.012509941968728355,0.1586126426791151
C1,no,Insulin,32.82828282828283,0.19084985950389372,0.18793621717588482,0.006598823184294411,0.20671964420272818,0.07015271627229264,0.1303178726720904,0.017486208257438712,0.21990511014210345,0.06701642255799621,0.012509941968750634,0.1586126426795731
C1,no,Insulin,33.333333333333336,0.19084985950389383,0.18793621717588607,0.006598823184306561,0.2067196442029248,0.07015271627236518,0.13031787267208836,0.017486208257460594,0.21990511014210423,0.06701642255926814,0.012509941968772911,0.15861264268003109
C1,no,Insulin,33.83838383838384,0.19084985950389394,0.18793621717588732,0.006598823184318711,0.20671964420312142,0.0701527162724377,0.1303178726720863,0.017486208257482476,0.21990511014210504,0.06701642256054006,0.01250994196879519,0.15861264268048908
C1,no,Insulin,34.343434343434346,0.19084985950389405,0.18793621717588854,0.0065988231843308615,0.20671964420331804,0.07015271627251024,0.13031787267208425,0.017486208257504358,0.21990511014210584,0.06701642256181199,0.012509941968817467,0.15861264268094707
C1,no,Insulin,34.84848484848485,0.19084985950389416,0.1879362171758898,0.0065988231843430115,0.20671964420351469,0.07015271627258278,0.1303178726720822,0.01748620825752624,0.21990511014210662,0.06701642256308392,0.012509941968839746,0.15861264268140504
C1,no,Insulin,35.35353535353536,0.19084985950389427,0.18793621717589104,0.0065988231843551615,0.2067196442037113,0.0701527162726553,0.13031787267208014,0.01748620825754812,0.21990511014210742,0.06701642256435585,0.012509941968862024,0.15861264268186304
C1,no,Insulin,35.85858585858586,0.19084985950389438,0.18793621717589226,0.006598823184367312,0.20671964420390793,0.07015271627272784,0.1303178726720781,0.017486208257570003,0.21990511014210823,0.06701642256562777,0.012509941968884301,0.15861264268232103
C1,no,Insulin,36.36363636363637,0.1908498595038945,0.1879362171758935,0.006598823184379462,0.20671964420410455,0.07015271627280038,0.13031787267207603,0.017486208257591885,0.219905110142109,0.0670164225668997,0.01250994196890658,0.15861264268277903
C1,no,Insulin,36.86868686868687,0.1908498595038946,0.18793621717589476,0.006598823184391612,0.2067196442043012,0.07015271627287291,0.130317872672074,0.017486208257613767,0.2199051101421098,0.06701642256817163,0.012509941968928857,0.15861264268323702
C1,no,Insulin,37.37373737373738,0.19084985950389471,0.18793621717589598,0.006598823184403763,0.20671964420449782,0.07015271627294545,0.13031787267207195,0.01748620825763565,0.21990511014211062,0.06701642256944355,0.012509941968951136,0.158612642683695
C1,no,Insulin,37.87878787878788,0.19084985950389483,0.18793621717589723,0.006598823184415913,0.20671964420469444,0.07015271627301797,0.1303178726720699,0.01748620825765753,0.21990511014211142,0.06701642257071548,0.012509941968973414,0.15861264268415298
C1,no,Insulin,38.38383838383839,0.19084985950389494,0.18793621717589848,0.006598823184428063,0.20671964420489106,0.07015271627309051,0.13031787267206785,0.017486208257679412,0.2199051101421122,0.06701642257198741,0.012509941968995693,0.15861264268461098
C1,no,Insulin,38.88888888888889,0.19084985950389505,0.1879362171758997,0.006598823184440214,0.2067196442050877,0.07015271627316305,0.1303178726720658,0.017486208257701294,0.219905110142113,0.06701642257325933,0.01250994196901797,0.15861264268506897
C1,no,Insulin,39.3939393939394,0.19084985950389516,0.18793621717590095,0.006598823184452364,0.20671964420528433,0.07015271627323558,0.13031787267206374,0.017486208257723176,0.2199051101421138,0.06701642257453126,0.01250994196904025,0.15861264268552697
C1,no,Insulin,39.8989898989899,0.19084985950389527,0.1879362171759022,0.006598823184464514,0.20671964420548095,0.07015271627330812,0.13031787267206169,0.017486208257745058,0.21990511014211458,0.06701642257580319,0.012509941969062527,0.15861264268598493
C1,no,Insulin,40.40404040404041,0.19084985950389538,0.18793621717590342,0.006598823184476665,0.20671964420567757,0.07015271627338066,0.13031787267205963,0.01748620825776694,0.2199051101421154,0.06701642257707512,0.012509941969084806,0.15861264268644293
C1,no,Insulin,40.909090909090914,0.19084985950389546,0.18793621717590467,0.006598823184488815,0.20671964420587421,0.07015271627345318,0.1303178726720576,0.01748620825778882,0.2199051101421162,0.06701642257834704,0.012509941969107083,0.15861264268690092
C1,no,Insulin,41.41414141414142,0.19084985950389557,0.18793621717590592,0.006598823184500965,0.20671964420607084,0.07015271627352572,0.13031787267205555,0.017486208257810703,0.21990511014211697,0.06701642257961897,0.012509941969129362,0.15861264268735892
C1,no,Insulin,41.919191919191924,0.19084985950389569,0.18793621717590714,0.006598823184513116,0.20671964420626746,0.07015271627359825,0.1303178726720535,0.017486208257832585,0.21990511014211778,0.0670164225808909,0.01250994196915164,0.1586126426878169
C1,no,Insulin,42.42424242424243,0.1908498595038958,0.1879362171759084,0.006598823184525266,0.2067196442064641,0.07015271627367078,0.13031787267205144,0.017486208257854467,0.21990511014211858,0.06701642258216282,0.012509941969173918,0.15861264268827488
C1,no,Insulin,42.929292929292934,0.1908498595038959,0.18793621717590964,0.006598823184537416,0.20671964420666072,0.07015271627374332,0.1303178726720494,0.01748620825787635,0.21990511014211936,0.06701642258343475,0.012509941969196196,0.15861264268873287
C1,no,Insulin,43.43434343434344,0.19084985950389602,0.18793621717591086,0.006598823184549567,0.20671964420685734,0.07015271627381585,0.13031787267204734,0.01748620825789823,0.21990511014212016,0.06701642258470668,0.012509941969218473,0.15861264268919087
C1,no,Insulin,43.939393939393945,0.19084985950389613,0.1879362171759121,0.006598823184561717,0.20671964420705397,0.07015271627388839,0.13031787267204528,0.017486208257920112,0.21990511014212097,0.0670164225859786,0.012509941969240752,0.15861264268964886
C1,no,Insulin,44.44444444444445,0.19084985950389624,0.18793621717591336,0.006598823184573867,0.2067196442072506,0.07015271627396093,0.13031787267204323,0.017486208257941994,0.21990511014212175,0.06701642258725053,0.01250994196926303,0.15861264269010686
C1,no,Insulin,44.949494949494955,0.19084985950389635,0.18793621717591458,0.006598823184586018,0.20671964420744723,0.07015271627403345,0.1303178726720412,0.017486208257963876,0.21990511014212255,0.06701642258852246,0.012509941969285308,0.15861264269056483
C1,no,Insulin,45.45454545454546,0.19084985950389646,0.18793621717591583,0.006598823184598168,0.20671964420764385,0.07015271627410599,0.13031787267203915,0.017486208257985757,0.21990511014212336,0.06701642258979439,0.012509941969307586,0.15861264269102282
C1,no,Insulin,45.959595959595966,0.19084985950389657,0.18793621717591708,0.006598823184610318,0.20671964420784048,0.07015271627417852,0.1303178726720371,0.01748620825800764,0.21990511014212416,0.06701642259106631,0.012509941969329865,0.15861264269148082
C1,no,Insulin,46.46464646464647,0.19084985950389668,0.1879362171759183,0.0065988231846224685,0.20671964420803712,0.07015271627425106,0.13031787267203504,0.01748620825802952,0.21990511014212494,0.06701642259233824,0.012509941969352142,0.1586126426919388
C1,no,Insulin,46.969696969696976,0.1908498595038968,0.18793621717591955,0.0065988231846346185,0.20671964420823374,0.0701527162743236,0.13031787267203299,0.017486208258051403,0.21990511014212574,0.06701642259361017,0.012509941969374421,0.1586126426923968
C1,no,Insulin,47.47474747474748,0.1908498595038969,0.1879362171759208,0.0065988231846467685,0.20671964420843036,0.07015271627439612,0.13031787267203093,0.017486208258073285,0.21990511014212655,0.0670164225948821,0.012509941969396698,0.15861264269285477
C1,no,Insulin,47.979797979797986,0.19084985950389702,0.18793621717592202,0.006598823184658919,0.20671964420862698,0.07015271627446866,0.13031787267202888,0.017486208258095166,0.21990511014212732,0.06701642259615402,0.012509941969418978,0.15861264269331277
C1,no,Insulin,48.484848484848484,0.19084985950389713,0.18793621717592326,0.006598823184671069,0.20671964420882363,0.0701527162745412,0.13031787267202682,0.017486208258117048,0.21990511014212813,0.06701642259742595,0.012509941969441255,0.15861264269377076
C1,no,Insulin,48.98989898989899,0.1908498595038972,0.18793621717592415,0.00659882318467964,0.20671964420896244,0.07015271627459235,0.13031787267202538,0.01748620825813248,0.2199051101421287,0.06701642259832406,0.012509941969456945,0.15861264269409417
C1,no,Insulin,49.494949494949495,0.19084985950389724,0.18793621717592418,0.006598823184679995,0.20671964420896866,0.07015271627459445,0.13031787267202535,0.01748620825813312,0.2199051101421287,0.06701642259836432,0.012509941969457516,0.1586126426941086
C1,no,Insulin,50.0,0.19084985950389724,0.1879362171759242,0.0065988231846803485,0.20671964420897487,0.07015271627459654,0.13031787267202533,0.017486208258133757,0.21990511014212874,0.06701642259840457,0.012509941969458089,0.15861264269412306
