,,,Slide ID,e,d,b,i,h,f,c,g,a
,,,Antibody Name,e,d,b,i,h,f,c,g,a
,,,HUGO ID,e,d,b,i,h,f,c,g,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,35.35353535353536,0.20954670689145824,0.13005213118107992,0.044050487675613,0.2149413532262797,0.15363971755250994,0.2119716729894409,0.039772996579169495,0.14423658556826324,0.16225621099066054
C1,no,Insulin,35.85858585858586,0.20954670689145827,0.1300521311824578,0.04405048767561983,0.21494135322627983,0.15363971755250994,0.21197167298944075,0.03977299657936125,0.14423658556826324,0.1622562109906615
C1,no,Insulin,36.36363636363637,0.20954670689145827,0.13005213118383566,0.044050487675626665,0.21494135322627994,0.15363971755250994,0.2119716729894406,0.03977299657955301,0.14423658556826327,0.1622562109906625
C1,no,Insulin,36.86868686868687,0.20954670689145827,0.13005213118521355,0.04405048767563349,0.21494135322628005,0.15363971755250994,0.21197167298944047,0.03977299657974476,0.14423658556826327,0.1622562109906635
C1,no,Insulin,37.37373737373738,0.20954670689145827,0.13005213118659142,0.04405048767564033,0.2149413532262802,0.15363971755250994,0.21197167298944034,0.03977299657993651,0.14423658556826327,0.1622562109906645
C1,no,Insulin,37.87878787878788,0.20954670689145827,0.1300521311879693,0.044050487675647156,0.2149413532262803,0.15363971755250994,0.2119716729894402,0.03977299658012827,0.1442365855682633,0.16225621099066548
C1,no,Insulin,38.38383838383839,0.20954670689145827,0.13005213118934716,0.04405048767565399,0.2149413532262804,0.15363971755250996,0.21197167298944006,0.039772996580320026,0.1442365855682633,0.16225621099066648
C1,no,Insulin,38.88888888888889,0.20954670689145827,0.13005213119072503,0.04405048767566082,0.21494135322628052,0.15363971755250996,0.21197167298943992,0.03977299658051178,0.1442365855682633,0.16225621099066748
C1,no,Insulin,39.3939393939394,0.20954670689145827,0.1300521311921029,0.04405048767566765,0.21494135322628066,0.15363971755250996,0.21197167298943978,0.03977299658070353,0.14423658556826333,0.16225621099066848
C1,no,Insulin,39.8989898989899,0.2095467068914583,0.13005213119348077,0.04405048767567448,0.21494135322628077,0.15363971755250996,0.21197167298943967,0.03977299658089529,0.14423658556826333,0.16225621099066945
C1,no,Insulin,40.40404040404041,0.2095467068914583,0.13005213119485864,0.044050487675681316,0.21494135322628088,0.15363971755250996,0.21197167298943953,0.039772996581087044,0.14423658556826333,0.16225621099067045
C1,no,Insulin,40.909090909090914,0.2095467068914583,0.13005213119623651,0.044050487675688144,0.21494135322628102,0.15363971755250996,0.2119716729894394,0.0397729965812788,0.14423658556826335,0.16225621099067145
C1,no,Insulin,41.41414141414142,0.2095467068914583,0.13005213119761438,0.04405048767569498,0.21494135322628113,0.15363971755251,0.21197167298943925,0.03977299658147056,0.14423658556826335,0.16225621099067242
C1,no,Insulin,41.919191919191924,0.2095467068914583,0.13005213119899225,0.044050487675701806,0.21494135322628125,0.15363971755251,0.2119716729894391,0.03977299658166231,0.14423658556826335,0.16225621099067342
C1,no,Insulin,42.42424242424243,0.2095467068914583,0.13005213120037012,0.04405048767570864,0.21494135322628138,0.15363971755251,0.21197167298943898,0.03977299658185406,0.14423658556826338,0.16225621099067442
C1,no,Insulin,42.929292929292934,0.2095467068914583,0.130052131201748,0.04405048767571547,0.2149413532262815,0.15363971755251,0.21197167298943884,0.03977299658204582,0.14423658556826338,0.16225621099067541
C1,no,Insulin,43.43434343434344,0.20954670689145832,0.13005213120312586,0.044050487675722304,0.2149413532262816,0.15363971755251,0.2119716729894387,0.039772996582237576,0.14423658556826338,0.16225621099067639
C1,no,Insulin,43.939393939393945,0.20954670689145832,0.13005213120450373,0.04405048767572913,0.21494135322628175,0.15363971755251,0.21197167298943856,0.039772996582429325,0.1442365855682634,0.16225621099067739
C1,no,Insulin,44.44444444444445,0.20954670689145832,0.1300521312058816,0.044050487675735966,0.21494135322628186,0.15363971755251,0.21197167298943842,0.03977299658262108,0.1442365855682634,0.16225621099067838
C1,no,Insulin,44.949494949494955,0.20954670689145832,0.13005213120725947,0.044050487675742794,0.21494135322628197,0.15363971755251002,0.2119716729894383,0.03977299658281284,0.1442365855682634,0.16225621099067938
C1,no,Insulin,45.45454545454546,0.20954670689145832,0.13005213120863734,0.04405048767574963,0.2149413532262821,0.15363971755251002,0.21197167298943817,0.039772996583004594,0.14423658556826344,0.16225621099068036
C1,no,Insulin,45.959595959595966,0.20954670689145832,0.13005213121001521,0.04405048767575646,0.21494135322628222,0.15363971755251002,0.21197167298943803,0.03977299658319635,0.14423658556826344,0.16225621099068135
C1,no,Insulin,46.46464646464647,0.20954670689145832,0.13005213121139308,0.04405048767576329,0.21494135322628233,0.15363971755251002,0.2119716729894379,0.0397729965833881,0.14423658556826344,0.16225621099068235
C1,no,Insulin,46.969696969696976,0.20954670689145832,0.13005213121277096,0.04405048767577012,0.21494135322628247,0.15363971755251002,0.21197167298943775,0.039772996583579856,0.14423658556826346,0.16225621099068335
C1,no,Insulin,47.47474747474748,0.20954670689145835,0.13005213121414883,0.044050487675776955,0.21494135322628258,0.15363971755251002,0.21197167298943762,0.03977299658377161,0.14423658556826346,0.16225621099068432
C1,no,Insulin,47.979797979797986,0.20954670689145835,0.1300521312155267,0.04405048767578378,0.2149413532262827,0.15363971755251005,0.21197167298943748,0.03977299658396337,0.14423658556826346,0.16225621099068532
C1,no,Insulin,48.484848484848484,0.20954670689145835,0.13005213121690457,0.04405048767579062,0.21494135322628283,0.15363971755251005,0.21197167298943734,0.039772996584155125,0.1442365855682635,0.16225621099068632
C1,no,Insulin,48.98989898989899,0.20954670689145835,0.13005213121828244,0.044050487675797445,0.21494135322628294,0.15363971755251005,0.2119716729894372,0.039772996584346874,0.1442365855682635,0.1622562109906873
C1,no,Insulin,49.494949494949495,0.20954670689145835,0.13005213121898204,0.044050487675800894,0.214941353226283,0.15363971755251005,0.21197167298943714,0.03977299658444424,0.14423658556826346,0.16225621099068782
C1,no,Insulin,50.0,0.20954670689145832,0.13005213121902612,0.04405048767580108,0.214941353226283,0.15363971755251005,0.21197167298943714,0.03977299658445036,0.14423658556826346,0.16225621099068782
