NON $ % + - . 0
#NON	e	b	d	f	c	a
0.0	0.022298079957843386	0.9068702060264897	0.9518838356957773	0.042127798913675796	0.22004677779293547	0.03575132721017005
0.5050505050505051	0.10606424694788982	0.3775745597914902	0.25003192313570693	0.08982633990372589	0.1839694988864726	0.04399474638911126
1.0101010101010102	0.15580484314260917	0.20393261086131023	0.10037355722264611	0.13004572806281195	0.194528077648326	0.05484719827321076
1.5151515151515151	0.18554170965652217	0.15104095586020777	0.07377583371926559	0.16057109480966336	0.211019096765184	0.0650259379765718
2.0202020202020203	0.203728198910277	0.136957739919472	0.07202019083157896	0.18265148393214645	0.22449635447111835	0.0729485568100314
2.5252525252525255	0.21512552268463755	0.13440859680881614	0.07413554208945206	0.1982144490572807	0.23408902922716593	0.07861766567239097
3.0303030303030303	0.22241964633425781	0.13485555501241814	0.07619673705866262	0.20901779050262195	0.24061781499068624	0.08253321352262907
3.5353535353535355	0.22716433592976842	0.13581398537681558	0.07769333646910377	0.21644681450064718	0.2449977154696047	0.08519323209668912
4.040404040404041	0.23028752551292767	0.13665312818638578	0.07871071606369018	0.22152485812640127	0.2479266128009452	0.08698444159841581
4.545454545454546	0.23236061128843338	0.13727283686606867	0.07938999937307613	0.22498237760812143	0.24988673664415423	0.0881843853707334
5.050505050505051	0.2337446024218705	0.13770451869629086	0.0798413094092976	0.22733047194565484	0.2512010095728166	0.08898565598032078
5.555555555555556	0.23467217563446788	0.13799856226414672	0.08014079184124345	0.22892240996082233	0.2520839300012747	0.08951961089936787
6.0606060606060606	0.23529548633109665	0.13819718860144495	0.08033948639986255	0.23000046184773018	0.252678010598207	0.08987495171536607
6.565656565656566	0.23571507993385588	0.13833100769359769	0.08047132050692292	0.2307299520404882	0.253078225500791	0.09011121744335633
7.070707070707071	0.23599787309408227	0.13842113205703474	0.08055880150541539	0.23122332537053833	0.253348075797138	0.09026821870802951
7.575757575757576	0.2361886126192734	0.13848185169296184	0.08061685397312328	0.23155687939289982	0.25353013344665953	0.09037250328583296
8.080808080808081	0.23631734147535688	0.1385227898563115	0.08065538303207412	0.23178234880822182	0.2536530225549852	0.09044176059234658
8.585858585858587	0.23640424771513033	0.13855040360217108	0.08068095526403786	0.23193472747327326	0.2537359949657244	0.09048774568294023
9.090909090909092	0.23646293166974347	0.13856904088267769	0.08069792602087994	0.23203769852239717	0.25379202578025706	0.09051827513174472
9.595959595959597	0.2365025671257256	0.138581619816657	0.08070919312927759	0.2321072772568826	0.253829871438584	0.09053854238488411
10.101010101010102	0.23652933878587631	0.1385901154958013	0.08071666770846526	0.23215429009424987	0.2538554344579533	0.09055199604815886
10.606060606060607	0.23654742338485232	0.13859585237005773	0.08072163173189609	0.23218605487212396	0.25387270308919463	0.09056092678468372
11.111111111111112	0.2365596397876107	0.13859972732170006	0.08072492582257826	0.23220751562602526	0.2538843683885768	0.09056685457942243
11.616161616161618	0.2365678910761045	0.1386023442515221	0.08072711172210467	0.2322220122192813	0.25389224751751777	0.09057078839500468
12.121212121212121	0.23657346563472942	0.13860411210437676	0.08072856274595303	0.23223180673697807	0.25389757067656	0.09057339967808718
12.626262626262626	0.23657723217514215	0.13860530653832387	0.08072952588959728	0.23223842486796012	0.2539011673642912	0.090575133193645
13.131313131313131	0.23657978095054452	0.13860611476133752	0.08073016647745203	0.23224290341828804	0.25390360120919536	0.09057628600726891
13.636363636363637	0.23658150153441962	0.13860666034623778	0.08073059136819269	0.23224592679182499	0.2539052442117719	0.09057705040396374
