NON $ % + -
#NON	c	d	a	b
0.0	0.2581398370839928	0.12752045600111617	0.6656199348833833	0.8805415619853724
1.0204081632653061	0.2727122720181003	0.04366411695088189	0.23494146923366746	0.13317145130644406
2.0408163265306123	0.2994736289814578	0.016361905580645375	0.1228040046795861	0.0565968223970593
3.0612244897959187	0.319207711915038	0.008122552531854014	0.08076754438667143	0.03527649034245119
4.081632653061225	0.33102515307391744	0.0051154531777120975	0.061498793755609044	0.025998062148877222
5.1020408163265305	0.33778838654130766	0.00379883100604359	0.05162917719948441	0.02134823229496717
6.122448979591837	0.34168480684426317	0.0031452004647832704	0.04621098374138781	0.018833077832955646
7.142857142857143	0.3439711200467955	0.0027931924670895813	0.043101959648201224	0.01740413682069139
8.16326530612245	0.34533545028801577	0.002593550770192913	0.04126727156914151	0.01656632233343102
9.183673469387756	0.34615980998638834	0.002476576670703407	0.04016534395897036	0.01606517717942011
10.204081632653061	0.3466621140883204	0.002406627573420717	0.03949619817972296	0.01576164085082573
11.224489795918368	0.34696984372927725	0.002364266383532342	0.03908708056072718	0.015576357231058
12.244897959183675	0.3471590093224132	0.002338408709351158	0.03883589634784922	0.0154627257268136
13.26530612244898	0.34727556310292956	0.0023225496764999565	0.038681242990606546	0.015392788853523342
14.285714285714286	0.34734746475009287	0.002312792018073204	0.038585881582482016	0.015349685576168493
15.306122448979592	0.34739185115481774	0.00230677835215086	0.03852702956434991	0.01532309206613576
16.3265306122449	0.34741927547166124	0.002303066639951073	0.03849067383986779	0.015306666267192662
17.346938775510203	0.3474362253655976	0.002300774005170252	0.038468206266554325	0.015296516537639169
18.367346938775512	0.3474466991843918	0.002299357888136126	0.03845432379493551	0.015290245558765738
19.387755102040817	0.3474531723525672	0.002298482818704626	0.038445744378307986	0.015286370572303466
20.408163265306122	0.34745716731258997	0.002297942889758677	0.038440449632987296	0.015283978954308578
21.42857142857143	0.3474596370896756	0.0022976093092910723	0.038437176236553544	0.01528249914827789
22.448979591836736	0.34746117285660455	0.0022974017205976654	0.038435140884265286	0.015281580177715417
23.46938775510204	0.34746212608253596	0.0022972729333777518	0.03843387754580315	0.01528100940979917
24.48979591836735	0.34746271116661137	0.0022971939058113976	0.03843310211010658	0.015280658951336474
25.510204081632654	0.3474630721985207	0.002297145117709032	0.03843262363623443	0.015280442865844438
26.53061224489796	0.34746329658231506	0.0022971147939437543	0.03843232626191177	0.015280308577769828
27.551020408163264	0.34746343525961054	0.0022970960608574738	0.038432142468979434	0.015280225527605513
28.571428571428573	0.34746352026193944	0.002297084576298055	0.038432029814816034	0.015280174637868847
29.591836734693878	0.3474635729196337	0.0022970774605617517	0.038431960028124025	0.015280143121229113
30.612244897959183	0.3474636056009038	0.00229707304387033	0.03843191671606342	0.015280123563273665
31.63265306122449	0.3474636256838819	0.002297070330711126	0.03843189009961331	0.015280111537833057
32.6530612244898	0.34746363781955497	0.0022970686914231936	0.03843187401581998	0.01528010426979393
33.673469387755105	0.3474636450730215	0.002297067711299794	0.03843186440285099	0.01528009992813571
34.69387755102041	0.3474636495422162	0.0022970671072342027	0.03843185848000861	0.015280097254293624
35.714285714285715	0.3474636524885572	0.0022970667089640406	0.03843185457538761	0.01528009549184961
36.734693877551024	0.34746365434856186	0.002297066457735336	0.038431852110242956	0.015280094377713875
37.755102040816325	0.34746365558863734	0.0022970662902340572	0.03843185046670882	0.015280093634927841
38.775510204081634	0.34746365625076214	0.0022970662008923613	0.038431849589064024	0.015280093237588686
39.79591836734694	0.34746365654577593	0.0022970661610577535	0.0384318491980395	0.015280093060745884
40.816326530612244	0.34746365659093403	0.002297066154951953	0.03843184913818341	0.015280093033725014
41.83673469387755	0.3474636564990364	0.002297066167347123	0.03843184925999727	0.01528009308890997
42.85714285714286	0.3474636563698563	0.002297066184777487	0.03843184943122843	0.01528009316644013
43.87755102040816	0.3474636562379045	0.0022970662025875374	0.0384318496061334	0.015280093245598755
44.89795918367347	0.347463655905801	0.002297066247262724	0.03843185004649558	0.01528009344601351
45.91836734693878	0.34746365559530556	0.0022970662890375217	0.03843185045820245	0.0152800936333438
46.93877551020408	0.3474636553525648	0.0022970663217204788	0.038431850780046586	0.015280093779610735
47.95918367346939	0.34746365522372546	0.0022970663391201464	0.038431850950820565	0.015280093856835429
48.9795918367347	0.34746365525493433	0.0022970663350450732	0.03843185090931695	0.01528009383703899
50.0	0.34746365544324853	0.0022970663098855126	0.03843185065944295	0.015280093722040243
