,,,Slide ID,e,a,c,f,d,b
,,,Antibody Name,e,a,c,f,d,b
,,,HUGO ID,e,a,c,f,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,19.747899159663866,0.13092722938734327,0.01914778328008931,0.12868186934009665,0.007225761014042078,0.007804704457555892,0.04675127085240869
C1,no,Insulin,20.168067226890756,0.13092869391037562,0.019146374738565026,0.12868361997622949,0.007225153269101876,0.007803627468690632,0.046747159665765994
C1,no,Insulin,20.58823529411765,0.13092988280691137,0.01914523024644862,0.1286850423560006,0.007224658882118942,0.00780275255502177,0.04674381925843455
C1,no,Insulin,21.008403361344538,0.13093084403060362,0.019144301662926383,0.12868619627245168,0.007224256284719693,0.007802042916578052,0.046741108977617685
C1,no,Insulin,21.42857142857143,0.13093161993011473,0.019143547579653038,0.1286871333254565,0.007223927718380124,0.007801466676901222,0.04673890792199323
C1,no,Insulin,21.84873949579832,0.13093226061018468,0.01914293588151339,0.12868789369263794,0.0072236660617332514,0.007800998966764335,0.04673712285983606
C1,no,Insulin,22.26890756302521,0.1309327789185275,0.019142439022512486,0.1286885112982299,0.007223452724047072,0.00780061908780679,0.04673567291229579
C1,no,Insulin,22.689075630252102,0.13093319983061077,0.019142035549074995,0.12868901279741152,0.007223279304223295,0.007800310647569312,0.046734495464205224
C1,no,Insulin,23.10924369747899,0.1309335404769701,0.019141707914279646,0.12868942001234784,0.007223138027860695,0.007800060212814742,0.0467335393100693
C1,no,Insulin,23.529411764705884,0.1309338171225053,0.019141441693405547,0.12868975088746715,0.007223023156098763,0.007799856736477474,0.0467327623819269
C1,no,Insulin,23.949579831932773,0.13093404206239856,0.01914122520842493,0.12869001994336643,0.00722292972429555,0.00779969128277909,0.0467321306029654
C1,no,Insulin,24.369747899159663,0.13093422489854514,0.019141049251493906,0.1286902386268521,0.00722285377453914,0.007799556809146356,0.04673161710128082
C1,no,Insulin,24.789915966386555,0.1309343719575495,0.01914090770534834,0.12869041454235405,0.007222792667338221,0.007799448637254907,0.04673120402408131
C1,no,Insulin,25.210084033613445,0.13093449350884523,0.01914079067562862,0.12869055998866089,0.007222742144084262,0.007799359201849916,0.046730862495741335
C1,no,Insulin,25.630252100840337,0.13093458970351737,0.019140698012357894,0.1286906751519558,0.007222702140087375,0.007799288388644784,0.04673059207855178
C1,no,Insulin,26.050420168067227,0.1309346672191031,0.01914062327613088,0.1286907680357864,0.007222669884711202,0.007799231275186891,0.04673037397978954
C1,no,Insulin,26.47058823529412,0.1309347313155859,0.019140561385347487,0.12869084495605324,0.007222643194055555,0.007799183977004974,0.04673019336926362
C1,no,Insulin,26.89075630252101,0.13093478339849404,0.019140510937881237,0.12869090765488642,0.00722262147492644,0.007799145423172933,0.04673004615465555
C1,no,Insulin,27.310924369747898,0.1309348260270745,0.01914046941735351,0.1286909592594188,0.007222603653089585,0.0077991136908394446,0.046729924991775675
C1,no,Insulin,27.73109243697479,0.13093486013839023,0.019140435764809706,0.12869100108464535,0.007222589289126844,0.007799087972285743,0.04672982678874653
C1,no,Insulin,28.15126050420168,0.1309348869737743,0.019140408633267547,0.12869103480372146,0.007222577818727128,0.0077990672393565405,0.046729747613268736
C1,no,Insulin,28.571428571428573,0.13093490731199378,0.019140386829533753,0.12869106189937263,0.007222568754154095,0.007799050580233586,0.04672968398114409
C1,no,Insulin,28.991596638655462,0.13093492212058896,0.019140369246224496,0.12869108374797983,0.007222561612168947,0.007799037148333476,0.046729632659385734
C1,no,Insulin,29.411764705882355,0.1309349358225957,0.01914035564111059,0.12869110065427347,0.007222555803882741,0.0077990267545867955,0.04672959295209366
C1,no,Insulin,29.831932773109244,0.13093494878870632,0.01914034464602451,0.1286911143178183,0.00722255083463979,0.007799018354157772,0.04672956086275984
C1,no,Insulin,30.252100840336134,0.13093496224036613,0.019140335369648088,0.12869112584680273,0.007222546276741557,0.007799011265341196,0.04672953379097208
C1,no,Insulin,30.672268907563026,0.13093497145323538,0.019140328464102123,0.12869113442878768,0.0072225429934044925,0.007799005988853746,0.04672951363749025
C1,no,Insulin,31.092436974789916,0.13093497897051334,0.019140322694960427,0.12869114159891895,0.007222540269958369,0.0077990015801366434,0.046729496801287074
C1,no,Insulin,31.51260504201681,0.13093498500044878,0.019140317535204333,0.12869114801216539,0.007222537928042469,0.007798997636449028,0.04672948174444824
C1,no,Insulin,31.932773109243698,0.13093498972005052,0.019140313718564825,0.12869115275597906,0.007222536159155074,0.007798994719372391,0.046729470606825876
C1,no,Insulin,32.35294117647059,0.1309349933446976,0.019140310430266764,0.12869115684310248,0.007222534700517976,0.007798992206066665,0.046729461011083565
C1,no,Insulin,32.773109243697476,0.13093499702939662,0.01914030685682446,0.12869116128423622,0.007222533159854726,0.007798989475293827,0.046729450582707825
C1,no,Insulin,33.19327731092437,0.1309349985573416,0.01914030497099034,0.12869116362837651,0.007222532403059739,0.007798988033633985,0.04672944507994511
C1,no,Insulin,33.61344537815126,0.13093500017511472,0.019140303127567333,0.1286911659195676,0.007222531649847699,0.007798986624686483,0.04672943970058308
C1,no,Insulin,34.03361344537815,0.1309350018396891,0.019140301357217743,0.12869116811973824,0.007222530914270845,0.007798985271838626,0.04672943453415917
C1,no,Insulin,34.45378151260504,0.13093500315834336,0.019140299939806732,0.12869116988139967,0.007222530324588662,0.007798984188554142,0.04672943039791117
C1,no,Insulin,34.87394957983194,0.130935004374196,0.019140298702080685,0.12869117141966865,0.0072225298014006985,0.007798983242685953,0.046729426785918994
C1,no,Insulin,35.294117647058826,0.13093500548724704,0.0191402976440396,0.1286911727345452,0.007222529344706954,0.007798982434234058,0.04672942369818264
C1,no,Insulin,35.714285714285715,0.13093500647064174,0.01914029674143384,0.12869117385622147,0.007222528950602663,0.007798981744596927,0.04672942106401762
C1,no,Insulin,36.134453781512605,0.13093500728295737,0.019140295956858913,0.12869117483126832,0.007222528613064811,0.007798981145082138,0.046729418774394745
C1,no,Insulin,36.554621848739494,0.13093500795783125,0.019140295320689088,0.12869117562186794,0.007222528336984379,0.007798980658989335,0.04672941691785101
C1,no,Insulin,36.97478991596639,0.13093500849526335,0.019140294832924364,0.12869117622802037,0.007222528122361366,0.007798980286318517,0.04672941549438643
C1,no,Insulin,37.39495798319328,0.13093500895342894,0.019140294413216144,0.12869117674960268,0.007222527938223976,0.0077989799656400394,0.0467294142695417
C1,no,Insulin,37.81512605042017,0.13093500934136829,0.019140294049078514,0.12869117720213544,0.007222527779759291,0.00779897968740793,0.04672941320688258
C1,no,Insulin,38.23529411764706,0.13093500963356375,0.01914029377575505,0.1286911775418092,0.007222527660552573,0.0077989794785672814,0.046729412409250756
C1,no,Insulin,38.65546218487395,0.13093500983001538,0.01914029359324575,0.12869117776862402,0.007222527580603822,0.007798979339118092,0.04672941187664622
C1,no,Insulin,39.075630252100844,0.13093501012391204,0.019140293316029476,0.12869117811313693,0.007222527460191368,0.007798979127298349,0.04672941106764968
C1,no,Insulin,39.49579831932773,0.13093501038760805,0.019140293066685653,0.12869117842301195,0.00722252735198973,0.007798978936774503,0.04672941033999325
C1,no,Insulin,39.91596638655462,0.1309350106015865,0.01914029286395649,0.12869117867495708,0.007222527264052762,0.00779897878186801,0.0467294097483736
C1,no,Insulin,40.33613445378151,0.1309350107658474,0.019140292707841983,0.12869117886897236,0.007222527196380461,0.007798978662578868,0.04672940929279074
C1,no,Insulin,40.7563025210084,0.13093501088039078,0.019140292598342136,0.12869117900505775,0.007222527148972828,0.007798978578907079,0.046729408973244665
C1,no,Insulin,41.1764705882353,0.13093501094521662,0.019140292535456946,0.1286911790832133,0.007222527121829864,0.007798978530852641,0.04672940878973537
C1,no,Insulin,41.596638655462186,0.1309350109603249,0.019140292519186412,0.12869117910343894,0.0072225271149515685,0.007798978518415555,0.04672940874226286
C1,no,Insulin,42.016806722689076,0.13093501092571566,0.01914029254953054,0.12869117906573477,0.007222527128337941,0.007798978541595821,0.046729408830827136
C1,no,Insulin,42.436974789915965,0.1309350109104479,0.019140292562205705,0.12869117904998734,0.007222527133999807,0.0077989785512766014,0.046729408867825464
C1,no,Insulin,42.85714285714286,0.13093501095400312,0.019140292520460612,0.12869117910186834,0.007222527115935593,0.007798978519377519,0.04672940874600428
C1,no,Insulin,43.27731092436975,0.1309350109821573,0.019140292493386654,0.1286911791355164,0.007222527104227793,0.007798978498688874,0.046729408666997194
C1,no,Insulin,43.69747899159664,0.13093501099491045,0.019140292480983832,0.12869117915093148,0.007222527098876409,0.007798978489210666,0.046729408630804194
C1,no,Insulin,44.11764705882353,0.13093501099226257,0.019140292483252153,0.12869117914811362,0.007222527099881439,0.007798978490942895,0.046729408637425286
C1,no,Insulin,44.53781512605042,0.13093501097421364,0.01914029250019161,0.1286911791270628,0.007222527107242885,0.007798978503885561,0.04672940868686047
C1,no,Insulin,44.957983193277315,0.13093501094076368,0.019140292531802203,0.128691179087779,0.007222527120960745,0.007798978528038664,0.04672940877910974
C1,no,Insulin,45.378151260504204,0.13093501089191267,0.019140292578083935,0.12869117903026225,0.007222527141035021,0.007798978563402204,0.046729408914173105
C1,no,Insulin,45.79831932773109,0.13093501089553525,0.01914029257275003,0.12869117903689778,0.007222527138931025,0.007798978559319656,0.046729408898615835
C1,no,Insulin,46.21848739495798,0.13093501086470055,0.019140292602449184,0.12869117899998753,0.00722252715175498,0.007798978582014266,0.046729408985284604
C1,no,Insulin,46.63865546218487,0.13093501083386586,0.01914029263214834,0.12869117896307727,0.007222527164578935,0.007798978604708875,0.04672940907195337
C1,no,Insulin,47.05882352941177,0.1309350108030312,0.019140292661847493,0.12869117892616702,0.0072225271774028895,0.007798978627403484,0.04672940915862214
C1,no,Insulin,47.47899159663866,0.1309350107721965,0.01914029269154665,0.12869117888925677,0.007222527190226844,0.007798978650098092,0.04672940924529091
C1,no,Insulin,47.89915966386555,0.1309350107413618,0.019140292721245802,0.12869117885234652,0.007222527203050799,0.007798978672792702,0.04672940933195968
C1,no,Insulin,48.319327731092436,0.1309350107105271,0.01914029275094496,0.12869117881543626,0.007222527215874754,0.007798978695487311,0.046729409418628444
C1,no,Insulin,48.739495798319325,0.1309350106796924,0.01914029278064411,0.12869117877852604,0.007222527228698709,0.00779897871818192,0.04672940950529721
C1,no,Insulin,49.15966386554622,0.1309350106488577,0.019140292810343268,0.12869117874161579,0.007222527241522663,0.007798978740876528,0.04672940959196598
C1,no,Insulin,49.57983193277311,0.13093501063398494,0.019140292824667757,0.12869117872381322,0.007222527247707777,0.0077989787518226005,0.046729409633768065
C1,no,Insulin,50.0,0.1309350106316435,0.019140292826921975,0.12869117872101166,0.007222527248680897,0.007798978753545179,0.0467294096403464
