,,,Slide ID,n,f,i,h,a,g,m,d,b,k,c,e,l,j
,,,Antibody Name,n,f,i,h,a,g,m,d,b,k,c,e,l,j
,,,HUGO ID,n,f,i,h,a,g,m,d,b,k,c,e,l,j
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,4.201680672268908,0.08030283955602781,0.10098822737276919,0.12053921623983625,0.03189120403025838,0.10164156205743338,0.09551717229804908,0.04001802818249204,0.08653882124187524,0.06546845519032128,0.08062963874571466,0.017496584055429636,0.0182590037274114,0.29684869044090495,0.02479885901134888
C1,no,Insulin,4.621848739495799,0.07439591409350561,0.09534996889576139,0.1130151939959631,0.027871240500075643,0.09543210490382648,0.08967089805235698,0.037767040939707404,0.08011793494801014,0.06063385210922236,0.07349769838775727,0.016322912940922755,0.016929179980286452,0.29290329853422853,0.02325882008507497
C1,no,Insulin,5.042016806722689,0.06976479632560945,0.090800122284462,0.10705263195760646,0.024960560664695416,0.09054014270996491,0.08502860990161239,0.03594434273083286,0.07510463469572423,0.0568755969182064,0.0680007218663864,0.015387931378861472,0.015875314622104095,0.2902175713792307,0.022024977187629663
C1,no,Insulin,5.46218487394958,0.06614530269238203,0.08715351344360925,0.10234164639564203,0.02282322607043109,0.08669597489842211,0.08135829241854442,0.034477883853490016,0.07119724140497687,0.053955106447315035,0.06375417586272845,0.014646350415523465,0.015043106697966439,0.2883870599702156,0.02104216489902052
C1,no,Insulin,5.882352941176471,0.06332067230389751,0.08424623616426001,0.09862840117025336,0.02123467164083938,0.08367991878204133,0.07846504048061306,0.033304767515245914,0.06815369724566217,0.051684868821409505,0.060467459005453604,0.014060297497876148,0.014387861834739614,0.2871383655926758,0.020262852786522425
C1,no,Insulin,6.302521008403361,0.06111743096429063,0.08193778924242688,0.09570679212931538,0.02004189818613607,0.08131572844687858,0.07618890406045753,0.03237073744393433,0.06578282141479856,0.0499187973713201,0.05791940076314166,0.013598407893304574,0.01387303428793203,0.2862860576723334,0.01964697968214391
C1,no,Insulin,6.722689075630252,0.059398728888064314,0.08011050458786964,0.09341097141746219,0.019138692857941328,0.07946340296184365,0.07440064333407569,0.03162984381290228,0.06393505471928229,0.04854365496392732,0.05594099662212171,0.013235070164550505,0.01346909065007732,0.2857040704082855,0.019161445777281627
C1,no,Insulin,7.142857142857143,0.058057479604689585,0.0786675011005788,0.09160849120492696,0.018450001461157793,0.07801243564387611,0.07299691662924818,0.031043846895029707,0.06249401916195986,0.04747187241860615,0.05440275867483087,0.01294962673729486,0.01315241417026533,0.2853065573681401,0.0187793217007573
C1,no,Insulin,7.563025210084033,0.05701023804208834,0.07753000462566048,0.09019418583018475,0.01792191427751238,0.07687593489278746,0.07189566346988935,0.030581382346467793,0.06136937814864767,0.04663575985833128,0.053205253866227334,0.012725570316632457,0.01290426765469062,0.2850349931279206,0.018478943537696843
C1,no,Insulin,7.983193277310924,0.05619210035711752,0.07663455328571575,0.08908490139837356,0.01751513959370283,0.07598573044460054,0.07103202232485371,0.030217015620472732,0.06049105638918893,0.04598295751143173,0.05227196599386851,0.012549796894104645,0.012709865297655566,0.28484944776126125,0.018243021537891434
C1,no,Insulin,8.403361344537815,0.055552605220217564,0.0759303702548584,0.08821508167893526,0.017200670390376593,0.07528840546011335,0.07035488140070298,0.029930297856189253,0.05980467490944824,0.045472910958756566,0.05154388871869267,0.012411950662438657,0.01255757963493775,0.28472266271401975,0.0180578329827993
C1,no,Insulin,8.823529411764707,0.05505250680485319,0.07537703553006701,0.08753314897862255,0.016956857276786145,0.0747421295094068,0.06982404435990877,0.029704894583194526,0.05926799732843373,0.045074161665319516,0.050975425514233334,0.012303872234533579,0.012438286372629887,0.28463602458217696,0.01791252792298349
C1,no,Insulin,9.243697478991598,0.05466125427182998,0.07494249183353281,0.08699857269721042,0.016767388985788344,0.07431414727004305,0.06940793512163908,0.029527819287704638,0.058848175436013256,0.04476226452478978,0.05053126664543068,0.012219144877421612,0.01234483357379119,0.2845768163485688,0.017798549731050942
C1,no,Insulin,9.663865546218487,0.05435505037208755,0.07460139218225159,0.08657953966780546,0.016619885765483126,0.07397881793445085,0.06908177570848358,0.02938878545840559,0.05851963941363085,0.04451820199132067,0.05018402590622791,0.012152729483778053,0.012271619844638029,0.2845363541970026,0.017709163528546873
C1,no,Insulin,10.084033613445378,0.05411534296864428,0.07433373985646981,0.08625109810224546,0.016504887447263177,0.0737160783286919,0.06882613627006352,0.029279664709974475,0.058262465995735854,0.044327162537754136,0.049912425576232836,0.012100670309343252,0.012214257465384092,0.2845087025528451,0.01763907288021947
C1,no,Insulin,10.504201680672269,0.053927640182919984,0.0741237704102199,0.08599366048315361,0.01641512882882188,0.07351018849015023,0.06862576591082822,0.0291940497110675,0.05806109448649434,0.044177579778551045,0.04969989755347352,0.012059867434107675,0.012169313741555075,0.2844898039356333,0.01758412150995678
C1,no,Insulin,10.92436974789916,0.05378063519588711,0.0739590888856318,0.0857918852425137,0.016345008727516097,0.07334885055245806,0.06846872132715139,0.02912689096027924,0.05790338984659537,0.04406043676291095,0.049533543054924224,0.01202788528485704,0.012134095856245215,0.28447688942038946,0.017541039229829077
C1,no,Insulin,11.344537815126051,0.053665487962540004,0.07382994937718529,0.0856337421530136,0.0162901911153109,0.07322242401131315,0.06834563768608994,0.02907421975950342,0.057779865402537364,0.043968684794292,0.04940329682673332,0.012002817272285604,0.012106497757375009,0.28446806322737056,0.0175072644034385
C1,no,Insulin,11.764705882352942,0.05357528068188835,0.07372869198667649,0.08550979277994991,0.016247314418476072,0.07312333897265565,0.06824916783147589,0.029032920901418773,0.05768309616772121,0.04389680660914711,0.049301298401527166,0.011983173401127993,0.012084874537349483,0.28446203161922723,0.017480794979722717
C1,no,Insulin,12.184873949579831,0.053504606520932786,0.07364930465555383,0.08541264692158636,0.01621376114282772,0.07304569471045176,0.06817355973036489,0.02900053624116754,0.057607282852414024,0.043840495189979845,0.049221408314084614,0.011967772859018098,0.012067925057334707,0.28445790925887887,0.017460039561968826
C1,no,Insulin,12.605042016806722,0.05344923061247183,0.07358706807155949,0.08533650725201693,0.016187496033319135,0.07298484246891247,0.06811430087921373,0.0289751476517186,0.05754788071351568,0.04379637363025284,0.049158825709860805,0.011955703917556848,0.012054643450969134,0.2844550920375623,0.01744377322561697
C1,no,Insulin,13.025210084033613,0.05340583488550816,0.07353827659260147,0.08527682611794106,0.01616693039943015,0.07293713902169682,0.06806785155256413,0.028955247264934758,0.05750132899621454,0.04376179640129085,0.049109792440845616,0.01194624864763312,0.012044238432224972,0.28445316644578295,0.017431030331897995
C1,no,Insulin,13.445378151260504,0.05337183623311101,0.07350003598568033,0.08523006029174604,0.016150824665145426,0.07289977291323102,0.06803145443488348,0.028939643010546617,0.0574648596799799,0.04373470922434523,0.04907138088317335,0.011938831366565893,0.012036077683128834,0.28445185104973136,0.017421030577176623
C1,no,Insulin,13.865546218487395,0.05334519049667464,0.07347005908932436,0.08519340334542799,0.01613820960590582,0.07287047711171686,0.06800292481291438,0.02892741469756249,0.05743627672789998,0.04371347900731352,0.04904128101250699,0.011933022680295823,0.012029686399306858,0.28445095192692155,0.01741320108570381
C1,no,Insulin,14.285714285714286,0.05332430896365502,0.07344656200030579,0.08516467313613851,0.016128326701156392,0.07284751868103641,0.06798056453060637,0.02891782847394128,0.05741387735086978,0.0436968418792569,0.0490176944938464,0.011928468767473688,0.01202467612560635,0.2844503374046923,0.017407062164665612
C1,no,Insulin,14.705882352941178,0.05330794374041601,0.07342814400801305,0.08514215481594631,0.016120583500018028,0.07282952447466827,0.06796303888424772,0.02891031432555611,0.057396322599185846,0.043683803114558925,0.048999210656690446,0.01192489953522522,0.012020749327474083,0.28444991737971453,0.0174022505474679
C1,no,Insulin,15.126050420168067,0.05329511591189161,0.07341370540288537,0.08512450271256478,0.016114515440621566,0.07281541857662828,0.06794930054010422,0.028904423868008674,0.05738256233442492,0.04367358267931006,0.048984723015978913,0.011922101969893215,0.012017671524249119,0.2844496300452543,0.01739847929198801
C1,no,Insulin,15.546218487394958,0.05328505951341231,0.07340238549628955,0.08511066355601225,0.016109759767948265,0.07280435716503053,0.06793852971167831,0.028899807090876885,0.05737177464411349,0.043665569930718885,0.04897336622496704,0.011919910599673487,0.012015260403348299,0.28444943350691426,0.017395526090822417
C1,no,Insulin,15.966386554621849,0.05327718116337647,0.07339351666542317,0.08509982120715102,0.016106034803625942,0.07279569072747123,0.0679300912506678,0.02889619012902284,0.05736332331743654,0.04365929252914523,0.048964469584747525,0.011918193962095211,0.01201337163421582,0.28444929978693406,0.0173932127316777
C1,no,Insulin,16.386554621848738,0.053271008252051055,0.0733865663584286,0.0850913257137392,0.01610311503525803,0.07278890683119073,0.06792347943496287,0.02889335202065363,0.05735670228281762,0.043654375130728285,0.0489574981864807,0.011916843970869666,0.012011887041222151,0.284449208335583,0.01739139099823109
C1,no,Insulin,16.80672268907563,0.05326617148397909,0.07338111932463597,0.08508466904387314,0.01610082603590148,0.07278359699995901,0.06791829884116383,0.028891124760813063,0.05735151518100705,0.04365052316126799,0.048952035021454385,0.01191578231032201,0.012010720080582672,0.2844491456446143,0.017389956455595976
C1,no,Insulin,17.22689075630252,0.05326237874342356,0.07337684926932767,0.08507944902988539,0.016099033401439318,0.07277942337649558,0.06791423616274403,0.028889383998417603,0.05734744651843442,0.04364750099875332,0.048947752383733424,0.011914957090205049,0.012009811902512376,0.2844491028540255,0.01738884510289422
C1,no,Insulin,17.647058823529413,0.0532594052629793,0.07337350204611495,0.08507535646218317,0.016097628890396624,0.07277614784327548,0.06791105089163431,0.028888021255064626,0.05734425621446714,0.04364513098595619,0.04894439537567212,0.011914312150603719,0.012009101888360369,0.2844490735857416,0.017387977413285672
C1,no,Insulin,18.067226890756302,0.05325707602208848,0.07337087905037312,0.0850721506167605,0.016096527313988928,0.07277358830746182,0.06790855587979329,0.028886949951504863,0.05734175795602463,0.04364327558603668,0.0489417649272303,0.01191380255409688,0.012008541503855752,0.2844490535723405,0.0173872896774411
C1,no,Insulin,18.487394957983195,0.05325524825491195,0.0733688211602608,0.08506963492291522,0.0160956635819796,0.07277157684176101,0.06790659793852032,0.028886111050298955,0.05733979718168183,0.043641819128834185,0.04893970118455032,0.011913404764038878,0.012008103766846757,0.2844490398704213,0.01738675385638855
C1,no,Insulin,18.907563025210084,0.05325381565677344,0.07336720803035499,0.08506766312297458,0.016094986394457066,0.07277000122981897,0.0679050633224784,0.02888545293001948,0.057338260456728136,0.04364067773094852,0.04893808351997597,0.01191309227349216,0.012007760000694395,0.2844490305060627,0.01738633257874075
C1,no,Insulin,19.327731092436974,0.053252693934818456,0.07336594494227709,0.08506611919739415,0.01609445617508018,0.07276876748732307,0.06790386171284593,0.028884937637568935,0.05733705720015038,0.04363978401322299,0.04893681690116816,0.011912847621210565,0.01200749085825679,0.2844490241250805,0.017386002771366163
C1,no,Insulin,19.747899159663866,0.05325182005060187,0.07336496092222439,0.08506491638656519,0.016094043120235994,0.07276780628571988,0.06790292558606703,0.028884536217709905,0.057336119790982104,0.043639087750162585,0.04893583014307051,0.011912657055122722,0.012007281211583756,0.28444901984479903,0.017385745891372414
C1,no,Insulin,20.168067226890756,0.05325113152498724,0.07336418559531331,0.08506396870155215,0.016093717646336048,0.07276704911837005,0.06790218802208922,0.02888421984812959,0.05733538123431718,0.0436385391975318,0.048935052667366155,0.011912506796951059,0.012007115925594959,0.2844490168515219,0.01738554328824655
C1,no,Insulin,20.58823529411765,0.05325059062218148,0.07336357645236607,0.08506322420612185,0.01609346188385515,0.0727664546209093,0.06790160860233656,0.028883971112780498,0.05733480106887582,0.04363810831349095,0.04893444184525834,0.011912388516558499,0.01200698585104501,0.28444901475961804,0.017385383682942044
C1,no,Insulin,21.008403361344538,0.05325015795784901,0.07336308917831802,0.0850626286892907,0.016093257266991245,0.07276597925286846,0.06790114513133165,0.028883772050689805,0.057334337019223976,0.04363776368065253,0.048933953234310976,0.011912293781924224,0.0120068816887153,0.2844490132599787,0.017385255787699543
C1,no,Insulin,21.42857142857143,0.053249835156337896,0.0733627255763002,0.08506218438747995,0.016093104526138182,0.07276562497428936,0.06790079935279239,0.028883623304088567,0.05733399084995668,0.0436375066232804,0.0489335886476873,0.01191222282320266,0.012006803710086443,0.28444901238352277,0.01738515985167967
C1,no,Insulin,21.84873949579832,0.05324957357038443,0.07336243099808264,0.08506182433661409,0.01609298086075369,0.07276533739409523,0.06790051913376624,0.028883503052920832,0.057333710265065056,0.0436372982292693,0.04893329326410826,0.011912165662041105,0.01200674084506006,0.28444901173503395,0.017385082735641526
C1,no,Insulin,22.26890756302521,0.05324936836249758,0.07336219999547032,0.08506154187995744,0.016092883981964262,0.07276511118860889,0.06790029929349294,0.028883409079463733,0.05733349007556108,0.043637134644010867,0.04893306161823373,0.011912121247879884,0.012006691937322931,0.28444901129494465,0.017385023022641263
C1,no,Insulin,22.689075630252102,0.05324920757192334,0.07336201909852336,0.0850613205554955,0.01609280823547686,0.07276493319132801,0.0679001270200428,0.028883335896812686,0.057333317452072124,0.04363700633784709,0.04893288020206744,0.0119120869896106,0.012006654132717015,0.28444901100003783,0.017384977229493104
C1,no,Insulin,23.10924369747899,0.05324908211208843,0.07336187807553572,0.08506114785652305,0.016092749327956495,0.07276479339320815,0.06789999257971091,0.028883279338513,0.05733318264772799,0.043636906070760165,0.048932738755573,0.011912060927665455,0.012006625270280633,0.2844490108043996,0.017384942732330308
C1,no,Insulin,23.529411764705884,0.05324898389690479,0.07336176777099769,0.08506101265588027,0.016092703360465487,0.07276468325381699,0.06789988731885283,0.02888323547710793,0.05733307703422554,0.043636827462504836,0.0489326281057524,0.011912041055115374,0.012006603175634381,0.2844490106697777,0.017384916717986858
C1,no,Insulin,23.949579831932773,0.05324890721882578,0.07336168144703116,0.08506090711461438,0.01609266715253827,0.0727645987375145,0.06789980517560265,0.028883200354200427,0.05733299476569618,0.043636766345978226,0.04893254154170395,0.011912024501843326,0.012006584931444438,0.28444901057430766,0.01738489452862254
C1,no,Insulin,24.369747899159663,0.053248847763218934,0.07336161415258702,0.08506082529867869,0.01609263852003101,0.07276453578412517,0.06789974154291685,0.028883171585052703,0.057332931293820395,0.04363671939386851,0.04893247411196277,0.01191200979134069,0.012006569000996626,0.2844490105080459,0.0173848738742286
C1,no,Insulin,24.789915966386555,0.05324880147050045,0.07336156163578957,0.08506076160227369,0.01609261603884305,0.07276448764642131,0.0678996920177077,0.02888314866691642,0.057332881979443376,0.04363668298114551,0.048932421506795255,0.01191199766698139,0.012006555967359576,0.28444901046293536,0.017384856515373352
C1,no,Insulin,25.210084033613445,0.053248764457475735,0.07336152009404812,0.0850607106490721,0.01609259875721533,0.07276444595652669,0.06789965234449916,0.028883132247354545,0.057332842154054986,0.04363665332415572,0.04893237983154892,0.01191199029540691,0.012006547756505156,0.2844490104321343,0.01738484690371432
C1,no,Insulin,25.630252100840337,0.05324873563343114,0.07336148764747127,0.08506067097447659,0.016092585150937023,0.07276441417367424,0.06789962146504756,0.028883119053699464,0.057332811224745435,0.043636630345023436,0.04893234729445772,0.011911984062847207,0.01200654089305152,0.2844490104111012,0.017384838522439328
C1,no,Insulin,26.050420168067227,0.05324871304662778,0.07336146221725846,0.085060639885358,0.016092574481593683,0.07276438930179528,0.06789959726842958,0.028883108694868334,0.057332786992504756,0.043636612344228574,0.04893232179399908,0.011911979156460204,0.01200653549287826,0.28444901039672527,0.01738483191652313
C1,no,Insulin,26.47058823529412,0.053248695343120205,0.07336144228205685,0.0850606155179206,0.016092566114296658,0.07276436982874845,0.06789957830366869,0.028883100562769336,0.05733276800200838,0.04363659823893841,0.04893230180417182,0.011911975295726155,0.012006531245722494,0.2844490103868997,0.017384826711720938
C1,no,Insulin,26.89075630252101,0.05324868138957651,0.07336142656730063,0.08506059631212956,0.016092559515910237,0.07276435449640344,0.06789956335640993,0.0288830941437247,0.05733275303607268,0.043636587124159194,0.04893228604667882,0.011911972241360645,0.012006527887314268,0.28444901038012643,0.01738482258847107
C1,no,Insulin,27.310924369747898,0.053248670515488976,0.07336141431828837,0.08506058134506636,0.016092554370035775,0.07276434256491705,0.0678995517083197,0.028883089131131443,0.0573327413751493,0.04363657846525554,0.04893227376470117,0.011911969848723086,0.012006525258322838,0.28444901037560755,0.017384819352459713
C1,no,Insulin,27.73109243697479,0.05324866203158633,0.07336140475927035,0.08506056966798109,0.016092550351530798,0.07276433327323918,0.06789954262095005,0.028883085210110272,0.05733273227948984,0.043636571712542115,0.04893226418030229,0.011911967969458549,0.012006523195284759,0.28444901037256054,0.017384816804501043
C1,no,Insulin,28.15126050420168,0.053248655387048184,0.07336139727068972,0.0850605605226738,0.016092547201138258,0.07276432601053615,0.06789953550411872,0.0288830821306113,0.057332725157606804,0.04363656642629407,0.048932256672126175,0.01191196648689699,0.012006521569378203,0.28444901037045833,0.017384814788799118
C1,no,Insulin,28.571428571428573,0.053248650176429636,0.07336139139773959,0.08506055335098467,0.016092544729935734,0.07276432031834232,0.0678995299232007,0.02888307971382245,0.05733271957303518,0.04363656228135403,0.048932250783869986,0.011911965321678384,0.012006520291960181,0.2844490103689988,0.01738481320276191
C1,no,Insulin,28.991596638655462,0.05324864609530122,0.07336138679938836,0.08506054773379332,0.01609254279678585,0.07276431584908047,0.06789952555178037,0.02888307782744458,0.05733271519765052,0.04363655903302706,0.04893224617331493,0.01191196441678887,0.012006519298880476,0.2844490103679913,0.017384811974308263
C1,no,Insulin,29.411764705882355,0.053248642534809314,0.07336138278949703,0.08506054283309503,0.016092541113100843,0.07276431193676497,0.06789952173772071,0.02888307618953803,0.05733271137881788,0.04363655619687576,0.0489322421525191,0.011911963637198533,0.012006518441781754,0.2844490103671372,0.017384810921392577
C1,no,Insulin,29.831932773109244,0.053248639521285064,0.07336137939782476,0.08506053868512627,0.01609253969149386,0.07276430860958472,0.06789951850921032,0.02888307481265986,0.057332708144686224,0.04363655379374706,0.04893223875130767,0.011911962989193057,0.012006517727504669,0.2844490103664486,0.017384810052700237
C1,no,Insulin,30.252100840336134,0.05324863720375796,0.0733613767927991,0.08506053549497931,0.016092538603346914,0.07276430602711212,0.06789951602579236,0.028883073767863948,0.057332705654577036,0.043636551941635605,0.04893223613848222,0.011911962508327661,0.012006517194746465,0.284449010365994,0.017384809417351453
C1,no,Insulin,30.672268907563026,0.05324863558222802,0.07336137497442002,0.08506053326265416,0.01609253784866,0.07276430418934715,0.06789951428746684,0.028883073055150296,0.057332703908490316,0.04363655064054139,0.04893223431404276,0.011911962194602345,0.012006516843507143,0.2844490103657735,0.017384809015346225
C1,no,Insulin,31.092436974789916,0.053248634280360564,0.07336137351481394,0.08506053147038456,0.016092537243220573,0.07276430271169095,0.06789951289177731,0.02888307248423216,0.057332702506352196,0.04363654959557261,0.04893223284952847,0.011911961944333149,0.012006516563033642,0.28444901036562836,0.01738480869559974
C1,no,Insulin,31.51260504201681,0.05324863304031348,0.07336137212082726,0.08506052976342784,0.016092536660817138,0.07276430133063921,0.06789951156298454,0.028883071924736377,0.05733270117405584,0.04363654860468695,0.04893223145138348,0.011911961686481988,0.012006516277444555,0.28444901036544973,0.01738480835459766
C1,no,Insulin,31.932773109243698,0.05324863216951087,0.07336137114198579,0.08506052856474225,0.01609253625193114,0.07276430036036705,0.0678995106298513,0.02888307153210634,0.057332700238417696,0.04363654790877864,0.04893223046961325,0.01191196150574728,0.012006516077212976,0.2844490103653673,0.0173848081157597
C1,no,Insulin,32.35294117647059,0.05324863166795274,0.07336137057828954,0.08506052787432776,0.016092536016562575,0.07276429980087444,0.06789951009237759,0.028883071306342045,0.05733269969943778,0.04363654750784769,0.04893222990421779,0.011911961402129025,0.012006515962338905,0.2844490103653811,0.017384807979085863
C1,no,Insulin,32.773109243697476,0.0532486302201247,0.07336136895134007,0.08506052588132136,0.016092535337520204,0.07276429818402468,0.067899508540831,0.028883070655699727,0.057332698143363725,0.04363654635019207,0.04893222827232787,0.011911961104318542,0.012006515631969337,0.28444901036525827,0.017384807587003632
C1,no,Insulin,33.19327731092437,0.053248630357435676,0.07336136910534972,0.08506052607035282,0.01609253540147288,0.07276429833943306,0.06789950868802731,0.02888307071617811,0.057332698291196256,0.04363654646033318,0.048932228426846684,0.011911961131044807,0.012006515661863401,0.2844490103653399,0.017384807621343316
C1,no,Insulin,33.61344537815126,0.053248630494746645,0.07336136925935938,0.08506052625938428,0.016092535465425557,0.07276429849484144,0.06789950883522362,0.028883070776656496,0.05733269843902879,0.043636546570474284,0.0489322285813655,0.011911961157771073,0.012006515691757466,0.2844490103654216,0.017384807655682996
C1,no,Insulin,34.03361344537815,0.05324863063205761,0.07336136941336903,0.08506052644841573,0.016092535529378237,0.07276429865024982,0.06789950898241993,0.028883070837134883,0.057332698586861325,0.043636546680615396,0.048932228735884306,0.011911961184497338,0.01200651572165153,0.2844490103655033,0.01738480769002268
C1,no,Insulin,34.45378151260504,0.05324863076137999,0.07336136955843038,0.0850605266264489,0.01609253558962849,0.07276429879653223,0.06789950912105054,0.02888307089414486,0.05733269872608271,0.043636546784334346,0.048932228881423546,0.011911961209730822,0.012006515749865235,0.2844490103655796,0.017384807722480848
C1,no,Insulin,34.87394957983194,0.053248630802480885,0.0733613696046718,0.08506052668302319,0.016092535608991255,0.07276429884203271,0.06789950916508643,0.028883070912851708,0.05733269877020739,0.04363654681713064,0.04893222892779744,0.011911961218478864,0.012006515759521974,0.2844490103655973,0.017384807734160623
C1,no,Insulin,35.294117647058826,0.05324863084358178,0.07336136965091321,0.08506052673959748,0.016092535628354016,0.07276429888753319,0.06789950920912231,0.02888307093155856,0.057332698814332075,0.043636546849926926,0.048932228974171335,0.011911961227226904,0.012006515769178713,0.28444901036561493,0.0173848077458404
C1,no,Insulin,35.714285714285715,0.05324863088468267,0.07336136969715462,0.08506052679617178,0.016092535647716778,0.07276429893303366,0.0678995092531582,0.02888307095026541,0.05733269885845676,0.04363654688272322,0.048932229020545226,0.011911961235974947,0.012006515778835452,0.2844490103656326,0.017384807757520174
C1,no,Insulin,36.134453781512605,0.05324863092578356,0.07336136974339603,0.08506052685274607,0.016092535667079542,0.07276429897853413,0.06789950929719409,0.028883070968972257,0.057332698902581435,0.04363654691551951,0.048932229066919124,0.011911961244722987,0.01200651578849219,0.2844490103656503,0.01738480776919995
C1,no,Insulin,36.554621848739494,0.05324863096688445,0.07336136978963745,0.08506052690932035,0.016092535686442304,0.07276429902403461,0.06789950934122999,0.028883070987679105,0.05733269894670612,0.0436365469483158,0.048932229113293015,0.01191196125347103,0.01200651579814893,0.28444901036566794,0.017384807780879724
C1,no,Insulin,36.97478991596639,0.053248631007985346,0.07336136983587885,0.08506052696589464,0.016092535705805065,0.07276429906953509,0.06789950938526587,0.028883071006385954,0.0573326989908308,0.04363654698111209,0.048932229159666905,0.01191196126221907,0.012006515807805668,0.2844490103656856,0.0173848077925595
C1,no,Insulin,37.39495798319328,0.05324863104908624,0.07336136988212026,0.08506052702246893,0.01609253572516783,0.07276429911503557,0.06789950942930176,0.028883071025092803,0.05733269903495548,0.043636547013908386,0.0489322292060408,0.011911961270967112,0.012006515817462407,0.28444901036570325,0.017384807804239275
C1,no,Insulin,37.81512605042017,0.05324863109018713,0.07336136992836167,0.08506052707904321,0.01609253574453059,0.07276429916053605,0.06789950947333764,0.02888307104379965,0.05733269907908016,0.04363654704670468,0.048932229252414694,0.011911961279715153,0.012006515827119146,0.2844490103657209,0.01738480781591905
C1,no,Insulin,38.23529411764706,0.05324863113128803,0.07336136997460309,0.0850605271356175,0.016092535763893353,0.07276429920603653,0.06789950951737353,0.028883071062506503,0.05733269912320484,0.043636547079500966,0.04893222929878859,0.011911961288463193,0.012006515836775885,0.28444901036573855,0.017384807827598825
C1,no,Insulin,38.65546218487395,0.053248631156221755,0.07336137000266077,0.08506052716993782,0.016092535775648155,0.07276429923360023,0.06789950954408684,0.028883071073878133,0.05733269914996812,0.04363654709939015,0.048932229326925855,0.01191196129379886,0.012006515842661299,0.28444901036574843,0.01738480783473802
C1,no,Insulin,39.075630252100844,0.05324863116858538,0.07336137001658041,0.0850605271869555,0.0160925357814877,0.07276429924721792,0.06789950955733172,0.02888307107954656,0.057332699163232775,0.043636547109243924,0.048932229340883995,0.011911961296481376,0.012006515845614473,0.2844490103657522,0.017384807838346884
C1,no,Insulin,39.49579831932773,0.053248631180949,0.07336137003050006,0.08506052720397317,0.01609253578732724,0.07276429926083561,0.0678995095705766,0.02888307108521499,0.05733269917649742,0.04363654711909771,0.04893222935484213,0.011911961299163892,0.012006515848567647,0.28444901036575604,0.017384807841955747
