,,,Slide ID,G1,G10,G9,G6,G3,G7,G2,G5,G8,G4
,,,Antibody Name,G1,G10,G9,G6,G3,G7,G2,G5,G8,G4
,,,HUGO ID,G1,G10,G9,G6,G3,G7,G2,G5,G8,G4
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5090873168597545,0.963101893210563,0.39311729920253047,0.35515204607246065,0.2686961820267296,0.80492300326169,0.4693568031041744,0.03630490797223407,0.030003667809149426,0.4180012943436321
C1,no,Insulin,0.5050505050505051,0.2919805738078591,0.3897129107711446,0.3911357922702364,0.1773347731649684,0.7602437947819508,0.4910536149179617,0.5768990131002114,0.029774428395880792,0.2386106068199335,0.5937053692551204
C1,no,Insulin,1.0101010101010102,0.1759244143827115,0.19811074575556928,0.4120747942279084,0.08855184174882699,0.9213964927056664,0.3715910094524839,0.6266487369959114,0.028950751636226752,0.3136438589237554,0.6914339716428813
C1,no,Insulin,1.5151515151515151,0.1112760139848622,0.13458814911236822,0.42923670855232143,0.04422087543358858,0.9742300381152343,0.3233827749683855,0.6498766519088474,0.029116880318364336,0.33801510415920677,0.7447649331696555
C1,no,Insulin,2.0202020202020203,0.0741378907223133,0.11396080384335419,0.440486465345735,0.02208544147923245,0.9915513843445795,0.303327746890505,0.6607629626328473,0.029391776167476825,0.3458214986171011,0.7736447899574801
C1,no,Insulin,2.5252525252525255,0.05215516777869824,0.10751834852315054,0.44730055790347123,0.011032567115636938,0.9972301402232927,0.29479633932522165,0.6658736294604671,0.029597164277452858,0.3483250557239081,0.7892118031847524
C1,no,Insulin,3.0303030303030303,0.03874722115612327,0.10565434235079564,0.45127738570046966,0.005513340962067516,0.9990919085083363,0.2911025298418499,0.6682746458039229,0.029721429346673135,0.3491313269489159,0.797578238658167
C1,no,Insulin,3.5353535353535355,0.030326621889737285,0.10520331569904554,0.45355335127689894,0.0027571507033659383,0.9997022851738213,0.28948077538653955,0.6694029961883137,0.029787248420692688,0.3493919961863031,0.8020663382372991
C1,no,Insulin,4.040404040404041,0.0248915359769214,0.10515077254627149,0.45484178593144275,0.0013806255815098853,0.9999023951205972,0.2887609665480513,0.6699333051021249,0.02981731116640709,0.3494764901686242,0.8044710834611306
C1,no,Insulin,4.545454545454546,0.021296417241998204,0.10518796207191901,0.4555666129478978,0.0006930441264427142,0.999967999460412,0.28843880262110116,0.6701825307872469,0.029827591339838765,0.3495038991046859,0.8057585931193681
C1,no,Insulin,5.050505050505051,0.01886770508345526,0.10523046300962982,0.45597286063619685,0.0003495164108127927,0.9999895086914904,0.28829368860007043,0.6702996407277003,0.029827930307018257,0.349512773229676,0.8064476080503341
C1,no,Insulin,5.555555555555556,0.01719799103165184,0.10526102776836724,0.4562000308127354,0.00017782773935343135,0.9999965606035037,0.28822800386008673,0.670354655927557,0.029823925666829745,0.3495156262477158,0.8068162289404174
C1,no,Insulin,6.0606060606060606,0.0160337681536045,0.10528008705673315,0.4563268705881087,9.197995670011362e-05,0.9999988724106239,0.28819815816184235,0.6703804901355553,0.029818550846777432,0.3495165276276495,0.807013404325523
C1,no,Insulin,6.565656565656566,0.015212955648206064,0.10529121620610808,0.4563976123245276,4.9024562023699725e-05,0.9999996306300389,0.2881845540668081,0.6703926140188018,0.029813261217449184,0.34951680114520894,0.8071188612818417
C1,no,Insulin,7.070707070707071,0.014629311643219428,0.10529748952393352,0.4564370299181366,2.7509046403409856e-05,0.9999998790594158,0.2881783360091023,0.6703982986379147,0.029808678822231878,0.34951687598034625,0.8071752605401227
C1,no,Insulin,7.575757575757576,0.014211661154754075,0.10530095281897285,0.4564589717662499,1.671773758151752e-05,0.9999999603671561,0.28817548695521883,0.6704009602372121,0.02980499277607846,0.3495168907178899,0.807205419941269
C1,no,Insulin,8.080808080808081,0.013911408770805302,0.10530283954280127,0.45647117463399045,1.1290876312483832e-05,0.9999999877159287,0.2881741762219451,0.6704022056645985,0.029802181089431456,0.3495168896735505,0.8072215513805095
C1,no,Insulin,8.585858585858587,0.013694856305800468,0.10530386038874183,0.45647795153369397,8.555658072513334e-06,0.9999999959955151,0.2881735734060126,0.670402786210171,0.02980012562752877,0.3495168852621121,0.8072301768920438
C1,no,Insulin,9.090909090909092,0.013538330551541702,0.10530440875928201,0.45648170891163703,7.1707825689437416e-06,0.9999999988275153,0.28817329504621797,0.6704030564251579,0.029798677571920947,0.3495168817619678,0.8072347891280135
C1,no,Insulin,9.595959595959597,0.013425028744787628,0.10530470324034204,0.45648378796551076,6.46504189903183e-06,0.9999999989450546,0.28817316640638463,0.6704031819835213,0.029797688663948375,0.3495168789348883,0.8072372557606103
C1,no,Insulin,10.101010101010102,0.013342929641354329,0.10530485850085451,0.45648493581809124,6.101225172779362e-06,1.0000000006111003,0.2881731055049889,0.6704032407022619,0.029797029975236207,0.3495168783547418,0.807238576579929
C1,no,Insulin,10.606060606060607,0.0132833982724695,0.10530494353234335,0.4564855662301322,5.9136150474401e-06,0.9999999993851683,0.2881730787573866,0.6704032670718796,0.029796598350309796,0.3495168769000986,0.8072392810065292
C1,no,Insulin,11.111111111111112,0.01324021058781021,0.10530498654744645,0.4564859110736709,5.813797433262627e-06,1.000000000414092,0.2881730651583582,0.6704032796592916,0.0297963206812286,0.3495168765946667,0.8072396583070298
C1,no,Insulin,11.616161616161618,0.013208867089521499,0.10530501047456038,0.45648609791830885,5.761155686238428e-06,1.0000000004537664,0.2881730597746144,0.670403284794667,0.02979614280189398,0.3495168774688732,0.8072398587123483
C1,no,Insulin,12.121212121212121,0.01318611343188024,0.10530502635644778,0.4564861994414014,5.731247912587769e-06,0.9999999967456705,0.28817305783779473,0.6704032874836817,0.02979603080228865,0.34951687407709847,0.8072399670275799
C1,no,Insulin,12.626262626262626,0.013169592058663766,0.10530502678504801,0.45648625215240096,5.7143542995994725e-06,1.0000000026705085,0.28817305452942454,0.6704032887680842,0.029795960074921805,0.3495168762802096,0.807240024242392
C1,no,Insulin,13.131313131313131,0.013157593851527184,0.10530503476604612,0.4564862803699019,5.704904409533876e-06,0.9999999992275201,0.2881730554380564,0.6704032889024938,0.029795915374276914,0.34951687973008194,0.8072400547287314
C1,no,Insulin,13.636363636363637,0.013148880257128934,0.10530503784264957,0.45648629506555355,5.698411860100484e-06,0.9999999956051735,0.288173055566639,0.6704032895005559,0.029795887993745045,0.34951686992846237,0.8072400715896355
C1,no,Insulin,14.141414141414142,0.013142550604865523,0.10530503423602358,0.45648630107724175,5.694806357580896e-06,1.000000001172866,0.2881730539693176,0.6704032894683344,0.029795870316777526,0.34951687377270874,0.8072400798822086
C1,no,Insulin,14.646464646464647,0.01313795275340486,0.10530503547467955,0.4564863041614169,5.692392436482936e-06,1.0000000007662773,0.28817305409549604,0.6704032894421771,0.0297958593443316,0.34951687499652445,0.8072400845028821
