,,,Slide ID,G12,G13,G4,G1,G2,G5,G8,G11,G7,G6,G9,G10,G3
,,,Antibody Name,G12,G13,G4,G1,G2,G5,G8,G11,G7,G6,G9,G10,G3
,,,HUGO ID,G12,G13,G4,G1,G2,G5,G8,G11,G7,G6,G9,G10,G3
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.06773454253808653,0.49219317707701205,0.5617357074994914,0.5154460200133603,0.57110140233052,0.32187426122766527,0.6790973364836336,0.8601220535953749,0.22626366727004554,0.7489059147775301,0.6716579206370281,0.995177378510879,0.9009872956248379
C1,no,Insulin,0.5050505050505051,0.32209575915606703,0.730996973549987,0.2312058032739441,0.29502540513592546,0.27153575009595177,0.1553053631797634,0.8361527002964649,0.3578547329761934,0.49416509975021344,0.5732960393421239,0.6735078959230232,0.687831570360363,0.7439696388893594
C1,no,Insulin,1.0101010101010102,0.3891312802503119,0.8574996942310691,0.09871183629945186,0.2541480808865222,0.2038782544099833,0.10172736621393001,0.9163424291557472,0.1522100621891172,0.5765713510687005,0.4596400448200158,0.6791434440460702,0.520150066875209,0.699659060187525
C1,no,Insulin,1.5151515151515151,0.40652682902320414,0.9245126072721326,0.044274434492162784,0.24672780709544004,0.18834153563607256,0.08262210198686801,0.9572859049191464,0.06705218168291575,0.6018544784198993,0.38496786331707433,0.6835162278918125,0.4298447410645692,0.6872899982239935
C1,no,Insulin,2.0202020202020203,0.4109862338162347,0.9600116896721275,0.02115123221544235,0.245340335413336,0.1846502382733203,0.07536817578563733,0.9781909288721401,0.031148962224194266,0.6095539566825084,0.33521540167072456,0.6862214075582763,0.3815779021673284,0.6838481431157271
C1,no,Insulin,2.5252525252525255,0.4121148453746749,0.9788167943768245,0.010911426039755132,0.24505965562227014,0.18373718247073548,0.07253141408325896,0.9888646690928777,0.015609493241568032,0.6118805773006164,0.30165509791911593,0.6877600754579258,0.3558847150214102,0.6828908400877433
C1,no,Insulin,3.0303030303030303,0.412396036402269,0.9887785139245868,0.00614880999936795,0.24499432201645546,0.18350020233500758,0.07140927602799937,0.9943144932847477,0.008636698531536561,0.6125787824436608,0.27878264611152886,0.688602937956546,0.34223699126101964,0.6826243699949126
