,,,Slide ID,j,b,m,i,h,a,l,e,n,f,k,c,g,d
,,,Antibody Name,j,b,m,i,h,a,l,e,n,f,k,c,g,d
,,,HUGO ID,j,b,m,i,h,a,l,e,n,f,k,c,g,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,8.585858585858587,0.06814501964333618,0.000593881948850558,0.1035087802650503,0.00037920594271390393,0.011869586204456151,0.005653361979211354,0.026113611874322457,0.006263017181684705,0.0013243196865628207,0.05015481209096317,0.0608598514526439,0.08886610149881577,0.0021152175327100635,0.10112333486853753
C1,no,Insulin,9.090909090909092,0.06580560259179688,0.0005427321170621278,0.10019340963678923,0.0003492360600377482,0.01113440400061591,0.005175348301001468,0.02510888989097852,0.005899173431846676,0.001235122278371819,0.04848379657765348,0.05874441923906527,0.08703040328345825,0.0019726366663251663,0.09835832140952566
C1,no,Insulin,9.595959595959597,0.0638678822559193,0.0005028196571708579,0.09744581272533803,0.00032557515682789115,0.010548339326602858,0.004808654603130389,0.02428500203959265,0.00560697660907844,0.0011638124367192644,0.04710848107931435,0.057004920379378175,0.0854935667107757,0.0018586923554850903,0.09606397287753539
C1,no,Insulin,10.101010101010102,0.062261927680663964,0.00047131653041510355,0.09516711200299746,0.00030672263875946166,0.010077395607586954,0.0045234850958868885,0.02360682911951127,0.005370660169616868,0.0011063881675567673,0.04597365681708158,0.05557061921372849,0.08420750354354652,0.0017669617562246155,0.09415809163283358
C1,no,Insulin,10.606060606060607,0.06092962123633057,0.0004462058026715015,0.09327518629169824,0.00029158031656018345,0.009696311819182167,0.004298994771542413,0.023046757853302437,0.005178379388676827,0.0010598499138425397,0.04503492640264821,0.05438482291219344,0.08313123343268086,0.0016926368879206946,0.09257282393648064
C1,no,Insulin,11.111111111111112,0.059823030312716366,0.0004260242585745057,0.09170238736562036,0.0002793341780872163,0.009386105278106871,0.004120400143391304,0.022582937786569477,0.005021130711958935,0.0010219267107383285,0.044256620419279843,0.05340210986399353,0.08223024303291955,0.001632081032933522,0.09125247121293292
C1,no,Insulin,11.616161616161618,0.058902738567619774,0.00040968926137679507,0.0903931489168591,0.00026937122357449206,0.009132303378774288,0.003977017355925347,0.022197924918087086,0.004891973309784754,0.0009908764837464371,0.043609987677696214,0.052585946838296385,0.08147564640113121,0.0015825064581705404,0.09015134997468513
C1,no,Insulin,12.121212121212121,0.0581363930487933,0.0003963884054998798,0.08930188521224751,0.00026122456566754124,0.008923747541780866,0.003861009869926329,0.021877677160720126,0.004785496473754831,0.0009653498291797227,0.04307176143451056,0.051906810785665884,0.08084333864589438,0.0015417549908180203,0.0892319554257402
C1,no,Insulin,12.626262626262626,0.057497432426322964,0.0003855026608552653,0.08839117333609706,0.00025453388470860096,0.008751734765649877,0.0037665327436555607,0.021610835619572527,0.004697439977883503,0.0009442900831723144,0.04262303820630495,0.05134074764826018,0.08031322167577434,0.0015081373629624527,0.08846345015282761
C1,no,Insulin,13.131313131313131,0.05696406455899505,0.00037655557880375426,0.08763029323163646,0.0002490189660366822,0.008609420669989282,0.003689171254855621,0.02138814603975181,0.0046244218143633945,0.0009268642691342674,0.04224841037042557,0.05086824348331697,0.07986857798982676,0.001480322479719312,0.08782044916640569
C1,no,Insulin,13.636363636363637,0.0565183799745737,0.0003691751167245498,0.08699398307832193,0.0002444586155079418,0.008491374332926462,0.003625538252782903,0.021202119417631057,0.004563745071344781,0.0009124085749540196,0.04193529458343307,0.0504733987904084,0.07949545549050392,0.0014572495886675996,0.08728204277538196
C1,no,Insulin,14.141414141414142,0.05614561648223637,0.0003630684211730268,0.08646139150582455,0.00024067782018904454,0.008393239667829235,0.003572999227952481,0.021046532979700428,0.004513225261899347,0.0009003913542897163,0.04167332638507518,0.050143098224291804,0.07918225457631486,0.0014380696146590356,0.08683089801644081
C1,no,Insulin,14.646464646464647,0.055833581942951384,0.0003580025238800619,0.08601527340690882,0.00023753622015645732,0.0083115051483259,0.0035294834362790844,0.020916287421933345,0.004471094376196954,0.0008903828970052715,0.0414539625922086,0.04986654730794774,0.07891926665685799,0.0014220963098290742,0.08645264056182977
C1,no,Insulin,15.151515151515152,0.0555721927829698,0.0003537908393100239,0.08564134540186849,0.00023492071904286183,0.008243323127191195,0.0034933475014331805,0.020807176916964147,0.0044359121643967195,0.0008820344440190603,0.04127014196283765,0.04963482974984202,0.07869837465874917,0.0014087727105724385,0.08613533100241835
C1,no,Insulin,15.656565656565657,0.05535308769808931,0.00035028277947200836,0.08532774687823443,0.0002327396364239196,0.008186370119675018,0.00346327448135738,0.020715712967455068,0.004406498509625991,0.0008750613771507228,0.04111601011065872,0.04944055451160405,0.07851279358696536,0.001397644385702389,0.08586902978237829
C1,no,Insulin,16.161616161616163,0.05516933681814129,0.0003473565113226523,0.08506463256246559,0.00023091855384526204,0.008138746194159897,0.003438204281385391,0.020638993521934466,0.004381884056029536,0.0008692311294137059,0.04098670987389851,0.04927758725166512,0.0783568606022721,0.0013883401123507301,0.08564546229937699
C1,no,Insulin,16.666666666666668,0.0550151623572455,0.0003449121746090198,0.08484378552304353,0.00022939608402306594,0.008098886407844515,0.003417273270550622,0.020574629460579485,0.004361271054064582,0.0008643514657689819,0.04087819812363958,0.049140834136262204,0.07822580767796196,0.0013805529544767968,0.08545771786808859
C1,no,Insulin,17.171717171717173,0.054885757529655424,0.00034286826895478224,0.08465835946598092,0.0002281221375099611,0.008065499123370293,0.00339977701532394,0.020520606582687884,0.0043439964963946625,0.0008602644807977878,0.04078710029231362,0.0490260341601141,0.07811565280218702,0.0013740307938976495,0.08530001819135785
C1,no,Insulin,17.67676767676768,0.05477710552981501,0.00034115757975633466,0.08450262744530052,0.0002270553215858279,0.008037514227099333,0.0033851366252610586,0.020475239233783853,0.004329510581010196,0.0008568391043074068,0.04071059788322163,0.04892962943429626,0.07802306294989396,0.001368564588666165,0.08516752500380677
C1,no,Insulin,18.181818181818183,0.05468585213026182,0.00033972465692364814,0.08437180201637783,0.00022616128905847,0.00801404461643132,0.0033728755658769443,0.020437135871759996,0.004317357665308851,0.0008539665563272716,0.040646335457469214,0.048848652333872776,0.07794522163107256,0.0013639806163061607,0.0850561878039671
C1,no,Insulin,18.68686868686869,0.05460919236501477,0.0003385235907894136,0.08426187673719922,0.00022541161207253,0.007994352357250085,0.0033625997577731844,0.02040512558487956,0.004307157732403176,0.0008515564480337029,0.04059234287779059,0.04878061867656241,0.07787977418752941,0.001360134625109472,0.0849626135881776
C1,no,Insulin,19.191919191919194,0.054544778022503466,0.00033751628441399274,0.08416949495769165,0.00022478265820140555,0.007977822599725183,0.0033539824656561787,0.0203782281753606,0.0042985937781966285,0.0008495334763940559,0.040546969627605574,0.04872344744715392,0.07782474280362224,0.0013569064310336172,0.08488395641736862
C1,no,Insulin,19.6969696969697,0.054490648680196846,0.00033667117895122545,0.08409185240277235,0.00022425484325833516,0.007963943994121385,0.003346753122306223,0.02035562320561962,0.004291401642910222,0.0008478350889689662,0.040508836800070155,0.048675399791344436,0.07777847093640007,0.0013541962089478616,0.08481783611491653
C1,no,Insulin,20.202020202020204,0.0544451514296565,0.0003359617749786654,0.08402658398670106,0.00022381167909322285,0.00795228727080039,0.0033406851136944925,0.02033662316184579,0.00428536003761556,0.0008464085900954404,0.040476783495126824,0.048635013899995486,0.07773955853289101,0.0013519199122737893,0.08476224618627455
C1,no,Insulin,20.70707070707071,0.054406911612978164,0.0003353662051762379,0.08397172103414789,0.0002234395057388777,0.007942496140600101,0.003335591052218792,0.020320658656802562,0.004280285003174013,0.0008452103447750555,0.04044984101332156,0.04860106931160242,0.07770683580757398,0.0013500077896051465,0.08471551263411001
C1,no,Insulin,21.212121212121215,0.05437476434272135,0.0003348659984403133,0.08392559550043115,0.00022312692577975085,0.007934268869812178,0.003331312631584896,0.02030723213032657,0.004276019528935772,0.0008442036441740278,0.04042719020077661,0.04857253033446801,0.07767932277904088,0.0013484013734182028,0.08467621795755678
C1,no,Insulin,21.71717171717172,0.054347736811874485,0.00033444579219408025,0.08388681294254494,0.00022286427821797172,0.00792735491474128,0.0033277185490757297,0.02029594602413925,0.004272434754412903,0.0008433576214712724,0.04040814542586263,0.04854853570688638,0.0776561819011037,0.0013470513292420836,0.08464317552051043
C1,no,Insulin,22.222222222222225,0.05432501213735159,0.0003340927196198394,0.08385420270171753,0.0002226435730495113,0.007921543806018122,0.0033246987310394075,0.02028645574143319,0.004269421502666311,0.0008426465573058075,0.04039213209039729,0.048528360478231045,0.0776367210883297,0.0013459166702957492,0.084615389799322
C1,no,Insulin,22.72727272727273,0.05430590412025573,0.0003337960074952624,0.08382678101598502,0.00022245807675454684,0.007916659029496027,0.003322160977845054,0.02027847628054909,0.004266888411741325,0.0008420488539338046,0.04037866680284504,0.048511395778896946,0.07762035358083598,0.0013449628935139017,0.08459202351563117
C1,no,Insulin,23.232323232323235,0.054289835179279246,0.0003335466026597715,0.08380371966388796,0.00022230214585447088,0.007912552263051513,0.003320027890220326,0.02027176495063793,0.004264758680286443,0.0008415463241625957,0.040367342780848345,0.04849712878729874,0.07760658778013643,0.001344161024207047,0.08457237161722382
C1,no,Insulin,23.73737373737374,0.05427632066145187,0.0003333369284642222,0.08378432341894212,0.00022217104347783032,0.007909099207352789,0.0033182346688202277,0.02026611779950575,0.004262968048768283,0.0008411236737916922,0.04035781802559452,0.04848512796409171,0.07759501210935126,0.0013434867127496816,0.08455584166462186
C1,no,Insulin,24.242424242424242,0.05426495829620525,0.0003331607079165365,0.08376801568733634,0.00022206084952613395,0.007906196384427562,0.003316727463075702,0.02026137467469463,0.004261462421264338,0.0008407685549946143,0.04034981071133742,0.048475040479661426,0.07758527192813924,0.0013429199824136076,0.08454194397832733
C1,no,Insulin,24.747474747474747,0.054255403107824465,0.0003330125564521518,0.08375430142282597,0.00022196820558750214,0.007903755586495038,0.0033154603196159514,0.020257386077450135,0.004260196341869678,0.0008404699853389602,0.04034307703070229,0.04846655741646462,0.0775770808594061,0.0013424434833023116,0.08453025632698356
C1,no,Insulin,25.252525252525253,0.054247367241871146,0.0003328879914204892,0.08374276748970562,0.00022189030714932212,0.007901703194851872,0.0033143949307986777,0.020254030586171052,0.004259131769359725,0.0008402188847228369,0.040337413709780605,0.04845942246117072,0.07757019320381521,0.0013420427792914947,0.08452042634452743
C1,no,Insulin,25.757575757575758,0.054240607369258634,0.0003327832263102028,0.08373306480536374,0.00022182478839649432,0.007899976901816765,0.0033134988998885025,0.020251207712086963,0.004258236340634185,0.0008400076701877685,0.040332649546902063,0.04845342034104186,0.07756439873243852,0.001341705735079145,0.08451215683283984
C1,no,Insulin,26.262626262626263,0.05423492900198509,0.00033269523755413493,0.08372491431225285,0.00022176975978145146,0.007898526938855573,0.0033127463578896264,0.02024883639316933,0.00425748423335363,0.000839830262367886,0.040328647548037604,0.04844837844553452,0.07755953102001999,0.0013414226411526658,0.08450521009201002
C1,no,Insulin,26.767676767676768,0.05423014987995849,0.000332621192921301,0.08371805448062719,0.0002217234510077166,0.007897306688827179,0.0033121130785743465,0.020246840595146212,0.004256851268685228,0.0008396809616430024,0.04032527931751874,0.04844413499681054,0.07755543414931709,0.0013411843984383446,0.0844993633269044
C1,no,Insulin,27.272727272727273,0.054226129287036705,0.00033255890708464714,0.08371228337410941,0.00022168449523632681,0.00789628018394568,0.0033115803749888977,0.02024516168044719,0.004256318800887645,0.0008395553663059338,0.040322445712668055,0.048440565136939166,0.07755198742291262,0.0013409839814721733,0.0844944444851876
C1,no,Insulin,27.77777777777778,0.05422274806390203,0.0003325065317926013,0.08370742994884162,0.00022165173588820737,0.00789541697168476,0.003311132433058323,0.020243749901709948,0.004255871040940906,0.0008394497476789369,0.040320062663763874,0.04843756298568446,0.07754908823678065,0.001340815441035984,0.08449030771373
C1,no,Insulin,28.282828282828284,0.05421990367096739,0.0003324624768314661,0.08370334704471619,0.00022162417980784035,0.007894690831154676,0.0033107556384048115,0.020242562206169826,0.004255494373214476,0.0008393609004765849,0.040318057843836866,0.04843503732392675,0.07754664872349326,0.001340673664297537,0.08448682756077328
C1,no,Insulin,28.78787878787879,0.054217509382316696,0.00033242539663812785,0.08369991022818542,0.0002216009890717188,0.007894079587126316,0.0033104384776695387,0.020241561998055137,0.004255177268159278,0.0008392861180786378,0.04031637020602563,0.04843291107324567,0.07754459519237332,0.001340554336106884,0.0844838980728188
C1,no,Insulin,29.292929292929294,0.05421549590033759,0.0003323942153123711,0.0836970200988561,0.00022158149652372065,0.007893565531230566,0.0033101717571599773,0.02024071982005534,0.0042549105058038595,0.0008392232420295387,0.04031495113074149,0.048431122764291255,0.07754286952921939,0.0013404540191851858,0.0844814347542417
C1,no,Insulin,29.7979797979798,0.05421380216978382,0.000332367983614253,0.0836945890011732,0.00022156511374672792,0.007893133129950219,0.003309947408556225,0.02024000964149849,0.004254686038752061,0.0008391703615315795,0.04031375789008253,0.04842961852090827,0.07754142111696491,0.0013403696832148752,0.08447936305925922
C1,no,Insulin,30.303030303030305,0.05421237919203228,0.0003323459485821588,0.08369254632908475,0.0002215513213698636,0.007892769963981451,0.00330975897543497,0.020239416725457156,0.004254497727714213,0.0008391259159309639,0.040312754936721824,0.04842835539219371,0.07754020063396434,0.0013402987396673796,0.08447762185458738
C1,no,Insulin,30.80808080808081,0.05421118208509019,0.0003323274127388435,0.08369082783010133,0.00022153971316885804,0.007892464465784415,0.003309600464026204,0.020238918336334438,0.004254339368770947,0.0008390885115034524,0.04031191093502799,0.04842729266932735,0.07753917255887749,0.0013402390341093937,0.08447615673020581
C1,no,Insulin,31.313131313131315,0.05421017529609253,0.000332311824378972,0.08368938258994028,0.0002215299550157735,0.007892207502481792,0.003309467141546139,0.020238498930196257,0.004254206114531323,0.0008390570676680585,0.040311201213308584,0.048426398877781704,0.07753830799080468,0.0013401888401482463,0.0844749247113456
C1,no,Insulin,31.81818181818182,0.05420932843240511,0.00033229871159123626,0.08368816694202398,0.00022152175264148434,0.007891991356584025,0.0033093549984572587,0.02023814530259033,0.004254093997429915,0.0008390306182633424,0.04031060433460599,0.0484256469495074,0.07753758183080756,0.001340146635842163,0.08447388849799146
C1,no,Insulin,32.323232323232325,0.05420861596726658,0.0003322876801253327,0.08368714422445368,0.00022151485258235307,0.007891809509941502,0.0033092606523329967,0.020237847761964623,0.004253999665283189,0.0008390083680608916,0.040310102186291226,0.04842501433513815,0.07753697093555056,0.0013401111316347202,0.08447301674962863
C1,no,Insulin,32.82828282828283,0.05420801547816521,0.0003322783826484063,0.08368628224572147,0.0002215090371183345,0.007891656242698235,0.0033091811347187652,0.02023759700358692,0.004253920156149526,0.0008389896158959894,0.04030967895955815,0.0484244811504746,0.07753645598918688,0.0013400812083624086,0.08447228201530615
C1,no,Insulin,33.333333333333336,0.05420751334971847,0.0003322706082490658,0.08368556145988568,0.00022150417435421095,0.007891528080980757,0.003309114642875379,0.020237387320869528,0.004253853669629465,0.0008389739357645381,0.040309325057223226,0.04842403530239015,0.07753602535611066,0.0013400561870754576,0.08447166763101971
C1,no,Insulin,33.83838383838384,0.05420708637221007,0.00033226399746872834,0.08368494854892133,0.00022150003937823645,0.007891419101807254,0.0033090581033289545,0.020237209005327824,0.0042537971355255215,0.000838960601905748,0.040309024118109445,0.04842365617186958,0.07753565921360535,0.0013400349102633197,0.08447114519350865
C1,no,Insulin,34.343434343434346,0.054206732409074414,0.0003322585172458525,0.0836844404456118,0.00022149661148092127,0.00789132875976194,0.003309011233101944,0.020237061156196178,0.004253750271331193,0.0008389495473520967,0.04030877463388793,0.04842334185207125,0.07753535576981176,0.0013400172711733876,0.08447071208694139
C1,no,Insulin,34.84848484848485,0.054206435818246856,0.00033225392539682695,0.08368401469529724,0.0002214937390633951,0.00789125306256741,0.003308971960696054,0.020236937217750998,0.004253711008036767,0.0008389402826921154,0.04030856557305675,0.04842307842751637,0.0775351017368146,0.001340002489262932,0.08447034916687296
C1,no,Insulin,35.35353535353536,0.0542061838197454,0.00033225002411430867,0.08368365295223046,0.00022149129831679895,0.007891188747456491,0.003308938593227058,0.020236831799080597,0.004253677654838932,0.0008389324077212748,0.04030838791912544,0.04842285449538958,0.07753488644711327,0.0013399899263913742,0.08447004079157219
C1,no,Insulin,35.85858585858586,0.05420597169640455,0.00033224674069047994,0.08368334844581754,0.00022148924374284628,0.00789113460593098,0.0033089105040921257,0.020236742756380186,0.0042536495864495885,0.0008389257730245474,0.04030823832600994,0.04842266569556689,0.0775347067864022,0.0013399793449702805,0.08446978118437408
C1,no,Insulin,36.36363636363637,0.054205792246005295,0.0003322439633360165,0.08368309084256245,0.00022148750577656232,0.007891088799344921,0.0033088867395678276,0.020236667258721457,0.004253625841049943,0.0008389201581554881,0.04030811175321885,0.04842250580378182,0.07753455574987335,0.0013399703907288377,0.08446956155916177
C1,no,Insulin,36.86868686868687,0.05420564197830659,0.0003322416348976392,0.08368287515550916,0.00022148605041157776,0.007891050458259745,0.0033088668479838066,0.020236605804244124,0.004253605915330934,0.000838915489929518,0.040308006040128054,0.04842237359266135,0.07753442051791032,0.0013399629280817053,0.08446937781015795
C1,no,Insulin,37.37373737373738,0.054205515572591234,0.00033223967807832094,0.08368269371399767,0.00022148482758736835,0.007891018185963028,0.0033088501063458066,0.02023655280834806,0.004253589162117932,0.0008389115452169033,0.04030791697103341,0.04842226121230065,0.07753431326701335,0.00133995663260475,0.08446922317985925
C1,no,Insulin,37.87878787878788,0.05420540884360401,0.000332238025541698,0.08368254050889594,0.00022148379380695506,0.007890990946892641,0.0033088359747734954,0.02023650841669184,0.00425357502840303,0.0008389082148734336,0.040307841761947474,0.04842216658845524,0.07753422086782927,0.0013399513165048796,0.0844690925963885
C1,no,Insulin,38.38383838383839,0.054205317613697415,0.00033223661304401423,0.08368240955134713,0.00022148291015823456,0.00789096766334359,0.0033088238953057044,0.020236470426886963,0.004253562948467918,0.0008389053672953991,0.04030777746833591,0.04842208566603634,0.07753414210088397,0.0013399467715579493,0.08446898097192913
C1,no,Insulin,38.88888888888889,0.05420524113123908,0.00033223542896329615,0.0836822997636443,0.0002214821696286452,0.007890948142381135,0.0033088137679682344,0.020236438464691184,0.004253552820869481,0.0008389029791132592,0.04030772356439084,0.04842201774013579,0.07753407663568351,0.001339942960727726,0.08446888739177649
C1,no,Insulin,39.3939393939394,0.054205176207650405,0.000332234423838325,0.08368220656800619,0.00022148154097842765,0.007890931571810277,0.003308805171255525,0.02023641133678836,0.004253544224307704,0.0008389009517460221,0.040307677805806116,0.048421960081199235,0.07753402104160627,0.0013399397256790848,0.08446880795333665
C1,no,Insulin,39.8989898989899,0.05420512266475819,0.00033223359493074863,0.08368212970891438,0.00022148102257800887,0.007890917905735276,0.003308798081395555,0.020236388936038716,0.004253537134837519,0.0008388992794466702,0.0403076400667571,0.04842191250753925,0.07753397533194742,0.001339937057465396,0.08446874243926367
C1,no,Insulin,40.40404040404041,0.054205076578981486,0.0003322328814478755,0.08368206355413099,0.00022148057630495314,0.00789090614333803,0.0033087919791205326,0.020236369683047227,0.004253531032937753,0.0008388978402559733,0.040307607584459025,0.04842187158039308,0.07753393584772535,0.001339934760981679,0.08446868604936326
C1,no,Insulin,40.909090909090914,0.05420503955978055,0.0003322323083486644,0.0836820104141115,0.0002214802178668586,0.007890896694827036,0.003308787077292263,0.02023635419714497,0.0042535261315939776,0.0008388966839738485,0.040307581491323595,0.04842183868896821,0.07753390423305154,0.001339932916115312,0.08446864075272092
C1,no,Insulin,41.41414141414142,0.05420500936039011,0.0003322318408318335,0.08368196706370913,0.00022147992546743162,0.007890888986942969,0.0033087830784924877,0.020236341560079047,0.0042535221332524594,0.0008388957406520479,0.04030756020486316,0.04842181185375234,0.07753387846212642,0.001339931411072726,0.084468603800613
C1,no,Insulin,41.919191919191924,0.054204984182192086,0.0003322314510308462,0.08368193092104372,0.0002214796816359733,0.00789088256087436,0.0033087797446719773,0.02023633104574808,0.004253518799749267,0.0008388949543662776,0.04030754245851807,0.04842178949681055,0.07753385686809924,0.0013399301564047748,0.0844685729925737
C1,no,Insulin,42.42424242424243,0.054204963764161396,0.00033223113492331975,0.0836819016114626,0.00022147948389649239,0.00789087734975329,0.003308777041159645,0.020236322521943236,0.004253516096496393,0.0008388943167554452,0.04030752806736689,0.0484217713687052,0.07753383934299851,0.0013399291389569626,0.08446854800905465
C1,no,Insulin,42.929292929292934,0.05420494729411318,0.0003322308799425662,0.08368187796912849,0.00022147932440641749,0.007890873146177627,0.0033087748603649737,0.020236315640009973,0.004253513915922395,0.0008388938023790112,0.040307516458642355,0.04842175674110432,0.07753382523789232,0.001339928318206397,0.0844685278562724
C1,no,Insulin,43.43434343434344,0.054204932756232255,0.00033223065486272685,0.08368185710040414,0.00022147918360356593,0.007890869435844708,0.003308772935454998,0.020236309578616586,0.004253511991073606,0.0008388933484981048,0.04030750621259419,0.04842174383985996,0.0775338127224921,0.0013399275938627082,0.08446851006803989
C1,no,Insulin,43.939393939393945,0.05420492041014967,0.0003322304637128563,0.08368183937796196,0.00022147906402169177,0.007890866284930126,0.0033087713007680063,0.02023630443557379,0.004253510356381418,0.0008388929631024445,0.04030749751159502,0.048421732887228744,0.07753380207185659,0.001339926978770599,0.08446849496178875
C1,no,Insulin,44.44444444444445,0.05420491043307605,0.00033223030924528073,0.08368182505616413,0.00022147896739498524,0.007890863738579806,0.003308769979731711,0.020236300275063023,0.004253509035359565,0.0008388926516169903,0.040307490479973895,0.04842172403290005,0.07753379348647046,0.0013399264816749171,0.08446848275412257
C1,no,Insulin,44.949494949494955,0.054204901389226984,0.0003322301692263346,0.08368181207400326,0.0002214788798099093,0.007890861430382222,0.0033087687822502604,0.020236296503129598,0.004253507837859656,0.0008388923692735313,0.040307484106128055,0.04842171600639863,0.07753378570737898,0.0013399260310849907,0.08446847168840627
C1,no,Insulin,45.45454545454546,0.0542048925905634,0.00033223003300618604,0.08368179944379066,0.00022147879460440595,0.007890859184734542,0.0033087676172206633,0.020236292830404633,0.004253506672845103,0.0008388920945484982,0.040307477904881345,0.04842170819508134,0.07753377815423822,0.0013399255926810861,0.08446846092260613
C1,no,Insulin,45.959595959595966,0.054204886712448365,0.00033222994199898285,0.08368179100595456,0.00022147873767780341,0.007890857684500516,0.003308766838907837,0.02023629037972453,0.004253505894487309,0.0008388919110562055,0.04030747376226613,0.048421702978960326,0.07753377309387341,0.0013399252998343176,0.08446845373044234
