,,,Slide ID,f,d,a,c,e,b
,,,Antibody Name,f,d,a,c,e,b
,,,HUGO ID,f,d,a,c,e,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.43512130698745155,0.9467586508260236,0.7275709711427053,0.24899583425838712,0.4553304854827366,0.5190123862990818
C1,no,Insulin,0.5050505050505051,0.28799314587451247,0.44389629981649265,0.4408299390646464,0.17022177899850485,0.27080745763562675,0.32097278501659976
C1,no,Insulin,1.0101010101010102,0.21436255182898298,0.2753864478099161,0.27096458865246764,0.11771577976257518,0.20583331470210128,0.23030343230189593
C1,no,Insulin,1.5151515151515151,0.17762300229612654,0.21758523503862867,0.17088932353666836,0.08375814179084022,0.18128373075335968,0.18812637882009955
C1,no,Insulin,2.0202020202020203,0.16010203811868465,0.19826512526790024,0.11223180034114277,0.06224293811337644,0.1721574265435098,0.16897736401164043
C1,no,Insulin,2.5252525252525255,0.15273839066997288,0.19311605232159323,0.07805125232428446,0.04884549458465633,0.16961856664784755,0.16113363794540664
C1,no,Insulin,3.0303030303030303,0.15060210789146614,0.19328871858672317,0.058284016620764705,0.040650172466572015,0.16995780720458162,0.1588018420156116
C1,no,Insulin,3.5353535353535355,0.15092647874378173,0.19523648449202904,0.04696352364970453,0.03573502628120784,0.17138232912268248,0.15897179251356175
C1,no,Insulin,4.040404040404041,0.15218594134708868,0.19746312218977882,0.04055835406350399,0.03285162154283482,0.17300290794409326,0.16007519616370303
C1,no,Insulin,4.545454545454546,0.15360221156579323,0.1993827270628827,0.036985976974378436,0.031201323838639345,0.17442554719896286,0.16134322524422492
C1,no,Insulin,5.050505050505051,0.15483724807250304,0.20083844624408528,0.035026444030057835,0.030282634582526162,0.17552753306333108,0.16245109237222494
C1,no,Insulin,5.555555555555556,0.15579108921332838,0.20186073198832993,0.03397207672178253,0.029787402173956857,0.1763179761398839,0.16330466611198305
C1,no,Insulin,6.0606060606060606,0.15647528274310044,0.20254224458920148,0.03341743177174211,0.02953073890675494,0.17685575342250134,0.16391473483024116
C1,no,Insulin,6.565656565656566,0.15694174757578291,0.20297968059671392,0.03313355959775384,0.029404473358601385,0.17720763084362226,0.16432904256505013
C1,no,Insulin,7.070707070707071,0.15724799265618186,0.2032523501829296,0.03299327341710765,0.02934698314092223,0.17743097445273792,0.16459998563834605
C1,no,Insulin,7.575757575757576,0.15744315948858983,0.20341829687246354,0.03292719147807903,0.029324161530829933,0.1775692471044048,0.16477199845649773
C1,no,Insulin,8.080808080808081,0.15756451669128108,0.2035172339766121,0.032898242633900655,0.029317742043145828,0.17765304363992335,0.1648785629921863
C1,no,Insulin,8.585858585858587,0.15763839147824837,0.2035751282321312,0.03288709679544261,0.02931832774075846,0.1777028634385934,0.1649431983611217
C1,no,Insulin,9.090909090909092,0.1576825117274213,0.20360841187421383,0.032883962313110436,0.029321332134580044,0.17773195990590884,0.16498166237453982
C1,no,Insulin,9.595959595959597,0.15770840052743895,0.20362721666048297,0.03288408071401656,0.029324695383506644,0.17774866444890025,0.1650041509544701
C1,no,Insulin,10.101010101010102,0.15772333349689743,0.2036376504290233,0.03288525433226008,0.029327615111097962,0.17775808998185133,0.1650170746450713
C1,no,Insulin,10.606060606060607,0.1577318010657611,0.20364332780827576,0.032886555170057966,0.029329879556038906,0.17776331331145756,0.16502437434577052
C1,no,Insulin,11.111111111111112,0.15773651835949773,0.20364635131194897,0.03288765176026935,0.029331524758764715,0.1777661522004396,0.1650284239347921
C1,no,Insulin,11.616161616161618,0.15773909884004317,0.20364792381801877,0.03288847115589748,0.02933266836720538,0.1777676637290412,0.16503062884200945
C1,no,Insulin,12.121212121212121,0.15774047928798537,0.20364871027701578,0.03288904542443931,0.02933343982763615,0.1777684446591722,0.1650318019435705
C1,no,Insulin,12.626262626262626,0.15774120018829252,0.20364909202764994,0.032889428358652203,0.029333946857578373,0.1777688374440991,0.16503241058322707
C1,no,Insulin,13.131313131313131,0.15774156504141815,0.2036492643406221,0.03288967480560601,0.02933427330050828,0.17776902587581234,0.16503271606464961
C1,no,Insulin,13.636363636363637,0.1577417436479519,0.20364933521667944,0.03288982923606711,0.029334480108313323,0.17776911107524906,0.1650328639739533
C1,no,Insulin,14.141414141414142,0.15774182683452218,0.20364936065680153,0.03288992409261188,0.029334609559779547,0.17776914695830276,0.16503293174147876
C1,no,Insulin,14.646464646464647,0.15774186269674742,0.2036493646388709,0.032889981720177965,0.0293346901723505,0.1777691588775332,0.16503296014205757
C1,no,Insulin,15.151515151515152,0.1577418749104093,0.20364936071014697,0.03289001546718212,0.029334739029812627,0.17776916019818975,0.16503296912490284
C1,no,Insulin,15.656565656565657,0.15774187759097222,0.20364935543467302,0.03289003490434084,0.029334768412831162,0.17776915824695905,0.16503297050773708
C1,no,Insulin,16.161616161616163,0.15774187665329267,0.20364935056925923,0.03289004596659013,0.02933478599548429,0.17776915551121739,0.16503296915036228
C1,no,Insulin,16.666666666666668,0.1577418745836932,0.20364934670633855,0.03289005216016561,0.029334796444116715,0.17776915296705117,0.16503296704570158
C1,no,Insulin,17.171717171717173,0.15774187252955282,0.20364934394071277,0.032890055515676656,0.029334802539162742,0.1777691509897651,0.16503296509321286
C1,no,Insulin,17.67676767676768,0.15774187094231798,0.20364934210758248,0.03289005732121626,0.029334806104423992,0.1777691496215197,0.16503296362294173
C1,no,Insulin,18.181818181818183,0.15774186979195381,0.20364934092393255,0.032890058244915116,0.029334808143329387,0.17776914870617422,0.1650329625761336
C1,no,Insulin,18.68686868686869,0.15774186901185044,0.20364934017807754,0.0328900587094292,0.029334809309122013,0.17776914811339709,0.16503296187417593
C1,no,Insulin,19.191919191919194,0.15774186852454217,0.20364933972449922,0.03289005895473981,0.02933480999660682,0.17776914774591454,0.16503296143789575
C1,no,Insulin,19.6969696969697,0.15774186823801817,0.20364933945948127,0.03289005909008272,0.02933481041034552,0.17776914752714126,0.1650329611818222
C1,no,Insulin,20.202020202020204,0.15774186791800196,0.20364933916473077,0.03289005923786497,0.02933481085169774,0.17776914728719093,0.1650329608959722
C1,no,Insulin,20.70707070707071,0.1577418676701704,0.2036493389392586,0.032890059346824846,0.02933481118794244,0.17776914710323885,0.1650329606748647
C1,no,Insulin,21.212121212121215,0.15774186750852426,0.2036493387961824,0.03289005941017086,0.029334811401495874,0.17776914698550975,0.16503296053102226
C1,no,Insulin,21.71717171717172,0.15774186743306354,0.20364933873550223,0.03289005942790302,0.02933481149235803,0.17776914693400356,0.16503296046444488
C1,no,Insulin,22.222222222222225,0.1577418674437883,0.20364933875721797,0.03289005940002131,0.02933481146052892,0.17776914694872034,0.16503296047513258
C1,no,Insulin,22.72727272727273,0.15774186749990438,0.20364933882118907,0.032890059350292225,0.029334811366008365,0.17776914699766547,0.1650329605264084
C1,no,Insulin,23.232323232323235,0.15774186746366364,0.2036493387918737,0.032890059358967334,0.029334811411395947,0.17776914697280383,0.1650329604944264
C1,no,Insulin,23.73737373737374,0.15774186745216973,0.20364933878449973,0.0328900593578225,0.029334811424456042,0.17776914696597912,0.16503296048447152
C1,no,Insulin,24.242424242424242,0.15774186746542257,0.20364933879906721,0.032890059346857736,0.02933481140518865,0.17776914697719137,0.16503296049654378
C1,no,Insulin,24.747474747474747,0.1577418675034222,0.2036493388355761,0.03289005932607304,0.029334811353593764,0.17776914700644056,0.16503296053064315
C1,no,Insulin,25.252525252525253,0.15774186756616865,0.20364933889402642,0.03289005929546841,0.029334811269671395,0.1777691470537267,0.1650329605867696
C1,no,Insulin,25.757575757575758,0.15774186759888364,0.20364933893256906,0.03289005926231329,0.029334811214939787,0.17776914708278668,0.16503296061686656
C1,no,Insulin,26.262626262626263,0.15774186762517362,0.20364933895376797,0.032890059256785245,0.029334811186004853,0.17776914710081515,0.1650329606400287
C1,no,Insulin,26.767676767676768,0.15774186765146359,0.2036493389749669,0.0328900592512572,0.02933481115706992,0.1777691471188436,0.16503296066319087
C1,no,Insulin,27.272727272727273,0.15774186767775356,0.2036493389961658,0.03289005924572916,0.029334811128134984,0.17776914713687206,0.165032960686353
C1,no,Insulin,27.77777777777778,0.15774186770404353,0.20364933901736473,0.032890059240201115,0.02933481109920005,0.1777691471549005,0.16503296070951518
C1,no,Insulin,28.282828282828284,0.1577418677303335,0.20364933903856366,0.03289005923467307,0.029334811070265115,0.17776914717292894,0.16503296073267731
C1,no,Insulin,28.78787878787879,0.15774186773519422,0.20364933904244556,0.03289005923375313,0.029334811064972294,0.17776914717624337,0.16503296073695478
C1,no,Insulin,29.292929292929294,0.15774186773604632,0.20364933904308805,0.032890059233695194,0.02933481106410206,0.1777691471768053,0.16503296073769957
C1,no,Insulin,29.7979797979798,0.1577418677368984,0.20364933904373056,0.032890059233637255,0.029334811063231825,0.17776914717736728,0.1650329607384444
C1,no,Insulin,30.303030303030305,0.1577418677377505,0.20364933904437305,0.03289005923357932,0.02933481106236159,0.17776914717792922,0.1650329607391892
C1,no,Insulin,30.80808080808081,0.1577418677386026,0.20364933904501556,0.03289005923352138,0.029334811061491356,0.17776914717849118,0.16503296073993398
C1,no,Insulin,31.313131313131315,0.1577418677394547,0.20364933904565807,0.03289005923346344,0.02933481106062112,0.17776914717905315,0.1650329607406788
C1,no,Insulin,31.81818181818182,0.1577418677403068,0.20364933904630056,0.03289005923340551,0.029334811059750887,0.1777691471796151,0.1650329607414236
C1,no,Insulin,32.323232323232325,0.1577418677411589,0.20364933904694307,0.03289005923334757,0.029334811058880653,0.17776914718017706,0.16503296074216842
C1,no,Insulin,32.82828282828283,0.157741867742011,0.20364933904758556,0.03289005923328963,0.029334811058010418,0.177769147180739,0.1650329607429132
C1,no,Insulin,33.333333333333336,0.15774186774286308,0.20364933904822807,0.0328900592332317,0.029334811057140184,0.17776914718130096,0.165032960743658
C1,no,Insulin,33.83838383838384,0.15774186774371518,0.2036493390488706,0.03289005923317376,0.02933481105626995,0.17776914718186293,0.16503296074440282
C1,no,Insulin,34.343434343434346,0.15774186774456728,0.20364933904951307,0.032890059233115825,0.029334811055399715,0.17776914718242487,0.16503296074514762
C1,no,Insulin,34.84848484848485,0.15774186774541937,0.2036493390501556,0.032890059233057885,0.02933481105452948,0.17776914718298684,0.16503296074589244
C1,no,Insulin,35.35353535353536,0.15774186774627147,0.20364933905079807,0.032890059232999945,0.029334811053659246,0.17776914718354878,0.16503296074663723
C1,no,Insulin,35.85858585858586,0.15774186774712357,0.2036493390514406,0.03289005923294201,0.02933481105278901,0.17776914718411074,0.16503296074738202
C1,no,Insulin,36.36363636363637,0.15774186774797566,0.20364933905208307,0.03289005923288407,0.029334811051918777,0.1777691471846727,0.16503296074812684
C1,no,Insulin,36.86868686868687,0.15774186774882779,0.2036493390527256,0.03289005923282613,0.029334811051048543,0.17776914718523465,0.16503296074887164
C1,no,Insulin,37.37373737373738,0.15774186774967988,0.2036493390533681,0.0328900592327682,0.029334811050178308,0.17776914718579662,0.16503296074961646
C1,no,Insulin,37.87878787878788,0.15774186775053198,0.2036493390540106,0.03289005923271026,0.029334811049308074,0.17776914718635856,0.16503296075036125
C1,no,Insulin,38.38383838383839,0.15774186775138407,0.2036493390546531,0.03289005923265233,0.02933481104843784,0.17776914718692052,0.16503296075110604
C1,no,Insulin,38.88888888888889,0.15774186775223617,0.2036493390552956,0.03289005923259439,0.0293348110475676,0.1777691471874825,0.16503296075185087
C1,no,Insulin,39.3939393939394,0.15774186775308827,0.2036493390559381,0.03289005923253645,0.029334811046697367,0.17776914718804443,0.16503296075259566
C1,no,Insulin,39.8989898989899,0.15774186775394036,0.20364933905658059,0.032890059232478515,0.029334811045827133,0.1777691471886064,0.16503296075334045
C1,no,Insulin,40.40404040404041,0.15774186775479246,0.2036493390572231,0.032890059232420575,0.029334811044956898,0.17776914718916834,0.16503296075408527
C1,no,Insulin,40.909090909090914,0.15774186775564455,0.2036493390578656,0.032890059232362635,0.029334811044086664,0.1777691471897303,0.16503296075483007
C1,no,Insulin,41.41414141414142,0.15774186775649665,0.2036493390585081,0.0328900592323047,0.02933481104321643,0.17776914719029227,0.1650329607555749
C1,no,Insulin,41.919191919191924,0.15774186775734875,0.2036493390591506,0.03289005923224676,0.029334811042346195,0.1777691471908542,0.16503296075631968
C1,no,Insulin,42.42424242424243,0.15774186775820084,0.2036493390597931,0.03289005923218883,0.02933481104147596,0.17776914719141618,0.16503296075706447
C1,no,Insulin,42.929292929292934,0.15774186775905294,0.2036493390604356,0.03289005923213089,0.029334811040605726,0.17776914719197812,0.1650329607578093
C1,no,Insulin,43.43434343434344,0.15774186775990504,0.2036493390610781,0.03289005923207295,0.02933481103973549,0.17776914719254008,0.1650329607585541
C1,no,Insulin,43.939393939393945,0.15774186776075713,0.2036493390617206,0.03289005923201502,0.029334811038865257,0.17776914719310205,0.1650329607592989
C1,no,Insulin,44.44444444444445,0.15774186776160923,0.20364933906236313,0.03289005923195708,0.029334811037995023,0.177769147193664,0.1650329607600437
C1,no,Insulin,44.949494949494955,0.15774186776246132,0.2036493390630056,0.03289005923189914,0.029334811037124788,0.17776914719422596,0.1650329607607885
C1,no,Insulin,45.45454545454546,0.15774186776331345,0.20364933906364813,0.032890059231841205,0.029334811036254554,0.1777691471947879,0.16503296076153331
C1,no,Insulin,45.959595959595966,0.15774186776416554,0.2036493390642906,0.032890059231783265,0.02933481103538432,0.17776914719534986,0.1650329607622781
C1,no,Insulin,46.46464646464647,0.15774186776501764,0.20364933906493313,0.03289005923172533,0.029334811034514085,0.17776914719591183,0.1650329607630229
C1,no,Insulin,46.969696969696976,0.15774186776586974,0.20364933906557564,0.03289005923166739,0.02933481103364385,0.17776914719647377,0.16503296076376772
C1,no,Insulin,47.47474747474748,0.15774186776672183,0.20364933906621813,0.03289005923160945,0.029334811032773616,0.17776914719703574,0.16503296076451252
C1,no,Insulin,47.979797979797986,0.15774186776757393,0.20364933906686064,0.03289005923155152,0.02933481103190338,0.17776914719759768,0.16503296076525734
C1,no,Insulin,48.484848484848484,0.15774186776842603,0.20364933906750313,0.03289005923149358,0.029334811031033147,0.17776914719815964,0.16503296076600213
C1,no,Insulin,48.98989898989899,0.15774186776927812,0.20364933906814564,0.03289005923143564,0.029334811030162913,0.1777691471987216,0.16503296076674692
C1,no,Insulin,49.494949494949495,0.15774186777013022,0.20364933906878813,0.03289005923137771,0.029334811029292678,0.17776914719928355,0.16503296076749174
C1,no,Insulin,50.0,0.1577418677709823,0.20364933906943064,0.03289005923131977,0.029334811028422444,0.17776914719984552,0.16503296076823654
