,,,Slide ID,d,a,e,c,b
C1,no,Insulin,26.262626262626263,0.10235849919463938,0.036373313013001264,0.13574652392912165,0.05646472235487157,0.021001366739935926
C1,no,Insulin,26.767676767676768,0.10235849919753465,0.03637331301356817,0.1357465239300495,0.05646472235534462,0.021001366740219463
C1,no,Insulin,27.272727272727273,0.1023584992004299,0.03637331301413507,0.13574652393097733,0.056464722355817655,0.021001366740503
C1,no,Insulin,27.77777777777778,0.10235849920332515,0.03637331301470198,0.1357465239319052,0.0564647223562907,0.021001366740786533
C1,no,Insulin,28.282828282828284,0.10235849920622042,0.03637331301526889,0.13574652393283304,0.056464722356763745,0.02100136674107007
C1,no,Insulin,28.78787878787879,0.10235849920911567,0.03637331301583579,0.1357465239337609,0.05646472235723679,0.021001366741353607
C1,no,Insulin,29.292929292929294,0.10235849921201093,0.036373313016402696,0.13574652393468875,0.05646472235770983,0.021001366741637145
C1,no,Insulin,29.7979797979798,0.1023584992149062,0.036373313016969604,0.1357465239356166,0.056464722358182874,0.021001366741920678
C1,no,Insulin,30.303030303030305,0.10235849921780145,0.03637331301753651,0.13574652393654446,0.05646472235865592,0.021001366742204215
C1,no,Insulin,30.80808080808081,0.1023584992206967,0.03637331301810341,0.1357465239374723,0.056464722359128965,0.021001366742487752
C1,no,Insulin,31.313131313131315,0.10235849922359197,0.03637331301867032,0.13574652393840014,0.056464722359602,0.02100136674277129
C1,no,Insulin,31.81818181818182,0.10235849922648722,0.03637331301923723,0.135746523939328,0.05646472236007505,0.021001366743054823
C1,no,Insulin,32.323232323232325,0.10235849922938248,0.036373313019804135,0.13574652394025585,0.05646472236054809,0.02100136674333836
C1,no,Insulin,32.82828282828283,0.10235849923227774,0.036373313020371036,0.13574652394118372,0.05646472236102113,0.021001366743621897
C1,no,Insulin,33.333333333333336,0.102358499235173,0.03637331302093794,0.13574652394211156,0.05646472236149418,0.021001366743905434
C1,no,Insulin,33.83838383838384,0.10235849923806825,0.03637331302150485,0.1357465239430394,0.05646472236196722,0.021001366744188968
C1,no,Insulin,34.343434343434346,0.10235849924096352,0.03637331302207175,0.13574652394396727,0.05646472236244027,0.021001366744472505
C1,no,Insulin,34.84848484848485,0.10235849924385877,0.03637331302263866,0.13574652394489511,0.056464722362913305,0.021001366744756042
C1,no,Insulin,35.35353535353536,0.10235849924675403,0.03637331302320557,0.13574652394582296,0.05646472236338635,0.021001366745039576
C1,no,Insulin,35.85858585858586,0.10235849924964929,0.036373313023772474,0.13574652394675082,0.056464722363859396,0.021001366745323113
C1,no,Insulin,36.36363636363637,0.10235849925254455,0.036373313024339375,0.13574652394767867,0.05646472236433244,0.02100136674560665
C1,no,Insulin,36.86868686868687,0.1023584992554398,0.03637331302490628,0.13574652394860653,0.05646472236480548,0.021001366745890187
C1,no,Insulin,37.37373737373738,0.10235849925833505,0.03637331302547319,0.13574652394953438,0.056464722365278525,0.02100136674617372
C1,no,Insulin,37.87878787878788,0.10235849926123032,0.0363733130260401,0.13574652395046222,0.05646472236575157,0.021001366746457258
C1,no,Insulin,38.38383838383839,0.10235849926412557,0.036373313026607,0.13574652395139009,0.05646472236622461,0.021001366746740795
C1,no,Insulin,38.88888888888889,0.10235849926702083,0.036373313027173906,0.13574652395231793,0.05646472236669765,0.021001366747024332
C1,no,Insulin,39.3939393939394,0.1023584992699161,0.036373313027740814,0.13574652395324577,0.0564647223671707,0.021001366747307865
C1,no,Insulin,39.8989898989899,0.10235849927281135,0.036373313028307715,0.13574652395417364,0.056464722367643744,0.021001366747591402
C1,no,Insulin,40.40404040404041,0.1023584992757066,0.03637331302887462,0.13574652395510148,0.05646472236811678,0.02100136674787494
C1,no,Insulin,40.909090909090914,0.10235849927860187,0.03637331302944153,0.13574652395602935,0.05646472236858983,0.021001366748158477
C1,no,Insulin,41.41414141414142,0.10235849928149712,0.03637331303000844,0.1357465239569572,0.05646472236906287,0.02100136674844201
C1,no,Insulin,41.919191919191924,0.10235849928439238,0.03637331303057534,0.13574652395788503,0.05646472236953592,0.021001366748725547
C1,no,Insulin,42.42424242424243,0.10235849928728764,0.036373313031142246,0.1357465239588129,0.056464722370008956,0.021001366749009084
C1,no,Insulin,42.929292929292934,0.1023584992901829,0.036373313031709154,0.13574652395974074,0.056464722370482,0.02100136674929262
C1,no,Insulin,43.43434343434344,0.10235849929307815,0.03637331303227606,0.13574652396066858,0.056464722370955046,0.021001366749576155
C1,no,Insulin,43.939393939393945,0.10235849929597342,0.03637331303284296,0.13574652396159645,0.05646472237142809,0.021001366749859692
C1,no,Insulin,44.44444444444445,0.10235849929886867,0.03637331303340987,0.1357465239625243,0.05646472237190113,0.02100136675014323
C1,no,Insulin,44.949494949494955,0.10235849930176392,0.03637331303397678,0.13574652396345213,0.056464722372374175,0.021001366750426766
C1,no,Insulin,45.45454545454546,0.10235849930465919,0.03637331303454368,0.13574652396438,0.05646472237284722,0.0210013667507103
C1,no,Insulin,45.959595959595966,0.10235849930755445,0.036373313035110585,0.13574652396530784,0.05646472237332026,0.021001366750993837
C1,no,Insulin,46.46464646464647,0.1023584993104497,0.03637331303567749,0.1357465239662357,0.056464722373793304,0.021001366751277374
C1,no,Insulin,46.969696969696976,0.10235849931334497,0.0363733130362444,0.13574652396716355,0.05646472237426635,0.02100136675156091
C1,no,Insulin,47.47474747474748,0.10235849931520326,0.036373313036608096,0.13574652396775905,0.05646472237457004,0.021001366751742672
C1,no,Insulin,47.979797979797986,0.10235849931531137,0.03637331303662882,0.13574652396779358,0.05646472237458788,0.021001366751752657
C1,no,Insulin,48.484848484848484,0.10235849931541949,0.03637331303664955,0.13574652396782808,0.05646472237460572,0.02100136675176264
C1,no,Insulin,48.98989898989899,0.1023584993155276,0.036373313036670275,0.1357465239678626,0.05646472237462357,0.021001366751772624
C1,no,Insulin,49.494949494949495,0.10235849931563572,0.036373313036691,0.13574652396789713,0.05646472237464142,0.02100136675178261
C1,no,Insulin,50.0,0.10235849931574383,0.03637331303671173,0.13574652396793163,0.056464722374659264,0.02100136675179259
