,,,Slide ID,d,a,e,c,b
,,,Antibody Name,d,a,e,c,b
,,,HUGO ID,d,a,e,c,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.09459965752250654,0.9741892170996466,0.31508716041508233,0.042451538792188104,0.8279802361960186
C1,no,Insulin,0.5050505050505051,0.19673179017179962,0.419443342318905,0.3108612539895218,0.15870209786868378,0.23340255909302535
C1,no,Insulin,1.0101010101010102,0.20712340185341677,0.20391187113739248,0.2648392986699347,0.1426609259883307,0.09076659897168608
C1,no,Insulin,1.5151515151515151,0.1888978424419688,0.11513554111742233,0.2218351314158291,0.11289775136590961,0.051216553977421586
C1,no,Insulin,2.0202020202020203,0.16556230767830007,0.07600728704611111,0.19007757512445012,0.0904899089294338,0.03695577967543082
C1,no,Insulin,2.5252525252525255,0.1454782968863543,0.05741455836507806,0.16887444723212997,0.07631625803496296,0.030163376776604547
C1,no,Insulin,3.0303030303030303,0.13054777341426896,0.0479534550449841,0.15550430868298748,0.06789518953087126,0.026373966658661346
C1,no,Insulin,3.5353535353535355,0.12026122186385173,0.04288421482514077,0.14735941806107453,0.06301186580327567,0.024148458915954695
C1,no,Insulin,4.040404040404041,0.11349256132167398,0.04007576498983569,0.14250332591009457,0.06020534754318843,0.022833282941579595
C1,no,Insulin,4.545454545454546,0.10917333257950966,0.03848954795199308,0.13964876694229644,0.058597911850462564,0.02206090704194238
C1,no,Insulin,5.050505050505051,0.10647726952602996,0.03758474585688233,0.13798734268482762,0.05767898198719246,0.021610849968399033
C1,no,Insulin,5.555555555555556,0.1048222997193319,0.03706646347345684,0.137027431541951,0.05715455066047216,0.02135038800495074
C1,no,Insulin,6.0606060606060606,0.10381972295999115,0.03676931392294184,0.13647598386078527,0.05685582609450232,0.0212004858741477
C1,no,Insulin,6.565656565656566,0.10321884967916613,0.03659909910042889,0.13616064073761008,0.05668601927538541,0.0211146055159634
C1,no,Insulin,7.070707070707071,0.1028619103710355,0.03650176004137038,0.13598097799788497,0.05658968906594902,0.021065585628498418
C1,no,Insulin,7.575757575757576,0.10265145934458902,0.03644622008476521,0.13587894075555898,0.05653515641635879,0.021037695122551804
C1,no,Insulin,8.080808080808081,0.10252816998572564,0.036414603058111915,0.1358211451419553,0.05650434533029417,0.021021871263144885
C1,no,Insulin,8.585858585858587,0.10245635401409492,0.03639664869392079,0.135788494535843,0.05648697464600302,0.02101291687318003
C1,no,Insulin,9.090909090909092,0.10241472450479597,0.03638647542290835,0.13577008857355438,0.056477199356626664,0.021007860648038695
C1,no,Insulin,9.595959595959597,0.10239068711985423,0.036380720858505945,0.13575972820203022,0.05647170536183978,0.021005010099846785
C1,no,Insulin,10.101010101010102,0.10237687177317172,0.03637747556833982,0.13575391223533048,0.05646862512624047,0.021003408126355167
C1,no,Insulin,10.606060606060607,0.1023689540399743,0.03637564729219158,0.1357506507137803,0.0564669000326003,0.021002508209576155
C1,no,Insulin,11.111111111111112,0.102364434933902,0.03637462096754498,0.13574882620387926,0.056465935600521544,0.02100200526447471
C1,no,Insulin,11.616161616161618,0.10236186166800128,0.03637404418042605,0.13574780783630142,0.056465398813428554,0.021001722120995842
C1,no,Insulin,12.121212121212121,0.10236039980458735,0.03637372154907733,0.13574723840348127,0.056465098336815706,0.021001564952607528
C1,no,Insulin,12.626262626262626,0.10235957068622573,0.03637354140412312,0.1357469197413684,0.05646492963307088,0.021001478479567442
C1,no,Insulin,13.131313131313131,0.1023591038791704,0.03637343906623418,0.1357467468909755,0.05646484086432593,0.021001425740249855
C1,no,Insulin,13.636363636363637,0.10235883860565795,0.03637338350673885,0.13574664658859437,0.056464786932270805,0.02100140045794309
C1,no,Insulin,14.141414141414142,0.10235868935638771,0.03637335218199219,0.13574659166526182,0.05646475791382389,0.021001385537356716
C1,no,Insulin,14.646464646464647,0.10235860555394435,0.036373334724354056,0.1357465613325832,0.05646474196356991,0.02100137715392263
C1,no,Insulin,15.151515151515152,0.10235855816060298,0.03637332494236672,0.13574654441347495,0.05646473308278511,0.02100137245428772
C1,no,Insulin,15.656565656565657,0.1023585325345701,0.036373319708432265,0.13574653542534088,0.056464728380398455,0.02100136993154331
C1,no,Insulin,16.161616161616163,0.10235851834376404,0.036373316827734134,0.135746530519555,0.05646472582540991,0.021001368532388588
C1,no,Insulin,16.666666666666668,0.10235851018081682,0.03637331517392758,0.13574652771411022,0.05646472436751429,0.021001367725856254
C1,no,Insulin,17.171717171717173,0.10235850549811401,0.03637331423375645,0.13574652610325796,0.05646472352426403,0.02100136727641909
C1,no,Insulin,17.67676767676768,0.10235850282721096,0.036373313713073785,0.13574652517006094,0.05646472302084483,0.021001367048780036
C1,no,Insulin,18.181818181818183,0.1023585012976048,0.03637331343133121,0.1357465246138552,0.056464722703286646,0.021001366951322403
C1,no,Insulin,18.68686868686869,0.10235850037407364,0.03637331326916602,0.13574652426676256,0.05646472249678255,0.021001366908668568
C1,no,Insulin,19.191919191919194,0.10235849948465808,0.036373313103120364,0.13574652395018252,0.056464722319399474,0.021001366846013742
C1,no,Insulin,19.6969696969697,0.10235849891514003,0.03637331299251969,0.13574652375681912,0.056464722216556525,0.021001366795876514
C1,no,Insulin,20.202020202020204,0.10235849866551948,0.036373312937364,0.1357465236866723,0.05646472218825369,0.021001366758256885
C1,no,Insulin,20.70707070707071,0.10235849873579644,0.03637331293765328,0.1357465237397421,0.05646472223449098,0.021001366733154853
C1,no,Insulin,21.212121212121215,0.10235849869962071,0.03637331292404165,0.13574652374218837,0.05646472224477548,0.021001366714414216
C1,no,Insulin,21.71717171717172,0.10235849863797299,0.03637331290970061,0.1357465237270302,0.056464722240094155,0.021001366703204283
C1,no,Insulin,22.222222222222225,0.10235849867076507,0.03637331291413385,0.13574652374316043,0.05646472225152334,0.021001366701256494
C1,no,Insulin,22.72727272727273,0.10235849879799697,0.036373312937341355,0.1357465237905791,0.05646472227906304,0.02100136670857085
C1,no,Insulin,23.232323232323235,0.10235849888163377,0.03637331294920432,0.13574652383061872,0.05646472230691437,0.02100136670485974
C1,no,Insulin,23.73737373737374,0.10235849895867354,0.03637331296491832,0.13574652385485472,0.05646472231870317,0.021001366713513662
C1,no,Insulin,24.242424242424242,0.10235849903571331,0.03637331298063231,0.1357465238790907,0.05646472233049196,0.021001366722167583
C1,no,Insulin,24.747474747474747,0.10235849911275309,0.03637331299634631,0.1357465239033267,0.05646472234228076,0.021001366730821504
C1,no,Insulin,25.252525252525253,0.10235849918884887,0.03637331301186745,0.13574652392726594,0.05646472235392549,0.021001366739368855
C1,no,Insulin,25.757575757575758,0.10235849919174413,0.036373313012434356,0.13574652392819378,0.056464722354398526,0.02100136673965239
