,,,Slide ID,c,e,a,d,b
,,,Antibody Name,c,e,a,d,b
,,,HUGO ID,c,e,a,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,45.45454545454546,0.02532213869089112,0.037929580608760484,0.026729732826075044,0.005855061643996237,0.30559519411150377
C1,no,Insulin,45.959595959595966,0.025322138673632796,0.037929580591572,0.026729732814488108,0.005855061640365791,0.3055951941223279
C1,no,Insulin,46.46464646464647,0.02532213866175815,0.03792958057974573,0.026729732806515694,0.0058550616378680405,0.30559519412977526
C1,no,Insulin,46.969696969696976,0.025322138655267185,0.03792958057328169,0.026729732802157794,0.005855061636502986,0.30559519413384584
C1,no,Insulin,47.47474747474748,0.025322138654159897,0.03792958057217988,0.026729732801414413,0.005855061636270627,0.3055951941345397
C1,no,Insulin,47.979797979797986,0.025322138658436293,0.03792958057644028,0.02672973280428555,0.005855061637170964,0.3055951941318568
C1,no,Insulin,48.484848484848484,0.025322138668096364,0.03792958058606292,0.026729732810771203,0.005855061639203997,0.30559519412579716
C1,no,Insulin,48.98989898989899,0.02532213868314012,0.03792958060104777,0.026729732820871373,0.005855061642369726,0.30559519411636077
C1,no,Insulin,49.494949494949495,0.02532213870356755,0.03792958062139486,0.026729732834586063,0.005855061646668151,0.30559519410354763
C1,no,Insulin,50.0,0.025322138729378663,0.03792958064710416,0.026729732851915267,0.005855061652099272,0.3055951940873577
