,,,Slide ID,a,c,b,d,e,f
,,,Antibody Name,a,c,b,d,e,f
,,,HUGO ID,a,c,b,d,e,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.43398841571374513,0.9554905492305137,0.8673101716986167,0.01894507395930034,0.46158691986303035,0.44188972518082215
C1,no,Insulin,0.5050505050505051,0.16416028152900092,0.5360831623716595,0.6287779792797538,0.14232293758434486,0.1554341849460533,0.22941146046570515
C1,no,Insulin,1.0101010101010102,0.07158811025061135,0.3185239365229876,0.5057602702676761,0.1515082357385816,0.06140197659517266,0.1284643195860397
C1,no,Insulin,1.5151515151515151,0.035224071701195875,0.2006751095517217,0.44056078739657983,0.13008153513003534,0.028368193424964248,0.07708859540199736
C1,no,Insulin,2.0202020202020203,0.01937992556664086,0.1341012801160468,0.4052945687509685,0.10532458700981634,0.015190757969308983,0.0494006752253912
C1,no,Insulin,2.5252525252525255,0.011824982421519444,0.09500927211716696,0.3859573982256938,0.08476813612535024,0.009249076816334108,0.03375489296852764
C1,no,Insulin,3.0303030303030303,0.007918606757170469,0.07123529893503125,0.3752639650706403,0.06940023679291019,0.0062573144130865,0.02454484047425018
C1,no,Insulin,3.5353535353535355,0.0057460736828434614,0.05630620117886578,0.3693204814766692,0.05836408182175436,0.004603639222208449,0.018917049327446925
C1,no,Insulin,4.040404040404041,0.004458074901678492,0.046648068946661306,0.36600732878646386,0.05053474122696755,0.003618444725257427,0.015354812160384305
C1,no,Insulin,4.545454545454546,0.0036520746496645044,0.04022422727205588,0.36415733768959635,0.04497123751881926,0.0029962583304035855,0.013024033187151042
C1,no,Insulin,5.050505050505051,0.0031248945274120143,0.03584168017624746,0.3631233617616604,0.04098534875058987,0.0025853563844258002,0.011452283790973659
C1,no,Insulin,5.555555555555556,0.0027676823207645933,0.03278352020037521,0.36254515394839204,0.038099540653513946,0.0023045516024822674,0.01036411501439292
C1,no,Insulin,6.0606060606060606,0.002518814681595626,0.030607774050240247,0.36222172693979937,0.03598812066251132,0.0021075561824398775,0.009593955030835979
C1,no,Insulin,6.565656565656566,0.0023416215108392783,0.029034651176510433,0.3620407763779428,0.034428683359246634,0.001966534234703783,0.009039029989560538
C1,no,Insulin,7.070707070707071,0.0022133152034244986,0.02788227428340805,0.36193952976492244,0.033267751895337816,0.0018639944853954173,0.00863348316656053
C1,no,Insulin,7.575757575757576,0.0021191865277171464,0.02702930678166151,0.36188287670933345,0.032397916777702956,0.001788530668189901,0.008333811851749364
C1,no,Insulin,8.080808080808081,0.002049430617060932,0.02639280969656935,0.36185117491407076,0.03174284972731811,0.0017324724869642362,0.008110476734484359
C1,no,Insulin,8.585858585858587,0.0019973333734431857,0.02591485817976117,0.36183343811190155,0.03124754818013213,0.0016905291445295163,0.007942939271589265
C1,no,Insulin,9.090909090909092,0.0019581889698134887,0.0255542134187316,0.36182351010876285,0.03087187562239455,0.0016589706231189408,0.007816622738541302
C1,no,Insulin,9.595959595959597,0.0019286416904350221,0.025281074048176803,0.3618179552105452,0.03058624063124698,0.0016351242451213776,0.007721016926979337
C1,no,Insulin,10.101010101010102,0.001906258979290978,0.025073623703972064,0.36181484679412024,0.03036866399868422,0.001617045613752445,0.00764844246333258
C1,no,Insulin,10.606060606060607,0.0018892575032696099,0.024915727259193325,0.36181310753794066,0.030202695419248072,0.0016033050518687148,0.007593227786938718
