,,,Slide ID,c,d,a,b
,,,Antibody Name,c,d,a,b
,,,HUGO ID,c,d,a,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6605393291465314,0.4401038750230196,0.9972820507107131,0.7097957468884248
C1,no,Insulin,0.5050505050505051,0.37348751031809635,0.28200562424221887,0.31644677610393035,0.4336575011582056
C1,no,Insulin,1.0101010101010102,0.24513398561658273,0.18429250530041194,0.12663675726688395,0.27666622246338424
C1,no,Insulin,1.5151515151515151,0.18297389404976266,0.12285011324160215,0.06662403708214781,0.1862309547614794
C1,no,Insulin,2.0202020202020203,0.15080845072663043,0.08367302363573914,0.04313667995325799,0.13477572060029236
C1,no,Insulin,2.5252525252525255,0.13332226688897422,0.05842290550190284,0.03146510190854591,0.1052364211742684
C1,no,Insulin,3.0303030303030303,0.12348772336648009,0.04197848917256231,0.024525165150042594,0.08751530267770066
C1,no,Insulin,3.5353535353535355,0.1178325851067872,0.03113284503815851,0.019933341955415074,0.07612608879944695
C1,no,Insulin,4.040404040404041,0.11453494552490424,0.023867195473843417,0.01670248781462944,0.06823703500767721
C1,no,Insulin,4.545454545454546,0.1125953704530028,0.018911103939212536,0.014341819184493424,0.0624067927190724
C1,no,Insulin,5.050505050505051,0.11144856875912168,0.015464060938597783,0.012573648272179362,0.057889985020895166
C1,no,Insulin,5.555555555555556,0.11076835385653216,0.013018836744043256,0.011226219439709395,0.05428408993969291
C1,no,Insulin,6.0606060606060606,0.11036412476038647,0.01125080616952234,0.010186310102556335,0.05135580910134067
C1,no,Insulin,6.565656565656566,0.11012363229703832,0.009949375101836301,0.009375798110819218,0.04895698804581841
C1,no,Insulin,7.070707070707071,0.10998045596553067,0.008975706806172682,0.008739001454814264,0.04698430384831651
C1,no,Insulin,7.575757575757576,0.10989518157253501,0.00823664680191642,0.008235311927627137,0.04535998771342896
C1,no,Insulin,8.080808080808081,0.10984438063758459,0.007668532000559571,0.007834610621165972,0.04402245987593119
C1,no,Insulin,8.585858585858587,0.10981411287042718,0.007227040443977733,0.007514258363047015,0.04292158177351003
C1,no,Insulin,9.090909090909092,0.1097960891160199,0.006880770552055603,0.00725706167186624,0.04201601313694673
C1,no,Insulin,9.595959595959597,0.1097853373683648,0.006607007488431413,0.007049802184884022,0.04127149052307659
C1,no,Insulin,10.101010101010102,0.10977893122476759,0.006389154581842436,0.006882261335275494,0.040659626754243276
C1,no,Insulin,10.606060606060607,0.10977511240059543,0.006214833899274327,0.006746471463182491,0.040156941312472196
C1,no,Insulin,11.111111111111112,0.10977283649541482,0.00607470696931607,0.0066361661609353065,0.03974403905631276
