,,,Slide ID,e,a,c,b,d
,,,Antibody Name,e,a,c,b,d
,,,HUGO ID,e,a,c,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,32.82828282828283,0.062487904394466345,0.015389275364278346,0.14404649176720305,0.15318742358430917,0.13649235878081148
C1,no,Insulin,33.333333333333336,0.06248790434501467,0.015389275348555794,0.1440464916798023,0.1531874235511587,0.13649235863736303
C1,no,Insulin,33.83838383838384,0.062487904385936544,0.015389275361309542,0.1440464917505518,0.15318742360230478,0.13649235875303709
C1,no,Insulin,34.343434343434346,0.062487904426858414,0.015389275374063288,0.14404649182130133,0.1531874236534509,0.13649235886871117
C1,no,Insulin,34.84848484848485,0.062487904467780284,0.015389275386817036,0.14404649189205088,0.153187423704597,0.13649235898438522
C1,no,Insulin,35.35353535353536,0.06248790450870215,0.015389275399570784,0.1440464919628004,0.1531874237557431,0.1364923591000593
C1,no,Insulin,35.85858585858586,0.06248790454638084,0.01538927541131316,0.14404649202793987,0.15318742380286918,0.13649235920655944
C1,no,Insulin,36.36363636363637,0.06248790454980616,0.015389275412373794,0.1440464920338278,0.15318742380753692,0.136492359216168
C1,no,Insulin,36.86868686868687,0.06248790455323149,0.01538927541343443,0.14404649203971576,0.15318742381220465,0.13649235922577657
C1,no,Insulin,37.37373737373738,0.06248790455665682,0.015389275414495064,0.14404649204560369,0.1531874238168724,0.13649235923538514
C1,no,Insulin,37.87878787878788,0.062487904560082144,0.0153892754155557,0.14404649205149164,0.15318742382154013,0.1364923592449937
C1,no,Insulin,38.38383838383839,0.062487904563507474,0.015389275416616334,0.14404649205737957,0.15318742382620787,0.13649235925460226
C1,no,Insulin,38.88888888888889,0.0624879045669328,0.015389275417676969,0.14404649206326753,0.15318742383087558,0.1364923592642108
C1,no,Insulin,39.3939393939394,0.062487904570358126,0.015389275418737604,0.14404649206915546,0.15318742383554332,0.13649235927381936
C1,no,Insulin,39.8989898989899,0.062487904573783455,0.015389275419798239,0.14404649207504341,0.15318742384021106,0.13649235928342793
C1,no,Insulin,40.40404040404041,0.062487904577208785,0.015389275420858875,0.14404649208093134,0.1531874238448788,0.1364923592930365
C1,no,Insulin,40.909090909090914,0.06248790458063411,0.015389275421919509,0.1440464920868193,0.15318742384954653,0.13649235930264506
C1,no,Insulin,41.41414141414142,0.06248790458405944,0.015389275422980143,0.14404649209270726,0.15318742385421427,0.1364923593122536
C1,no,Insulin,41.919191919191924,0.062487904587484766,0.015389275424040779,0.14404649209859519,0.153187423858882,0.13649235932186216
C1,no,Insulin,42.42424242424243,0.06248790459091009,0.015389275425101413,0.14404649210448314,0.15318742386354975,0.13649235933147072
C1,no,Insulin,42.929292929292934,0.06248790459433542,0.01538927542616205,0.14404649211037107,0.1531874238682175,0.13649235934107928
C1,no,Insulin,43.43434343434344,0.06248790459776075,0.015389275427222683,0.14404649211625903,0.15318742387288523,0.13649235935068785
C1,no,Insulin,43.939393939393945,0.06248790460118607,0.015389275428283318,0.14404649212214696,0.15318742387755296,0.13649235936029638
C1,no,Insulin,44.44444444444445,0.0624879046046114,0.015389275429343954,0.14404649212803491,0.1531874238822207,0.13649235936990495
C1,no,Insulin,44.949494949494955,0.06248790460803673,0.015389275430404588,0.14404649213392284,0.15318742388688844,0.1364923593795135
C1,no,Insulin,45.45454545454546,0.06248790461146205,0.015389275431465224,0.1440464921398108,0.15318742389155618,0.13649235938912208
C1,no,Insulin,45.959595959595966,0.06248790461488738,0.015389275432525858,0.14404649214569873,0.15318742389622392,0.13649235939873064
C1,no,Insulin,46.46464646464647,0.06248790461831271,0.015389275433586492,0.14404649215158669,0.15318742390089163,0.13649235940833918
C1,no,Insulin,46.969696969696976,0.06248790462173803,0.015389275434647128,0.14404649215747461,0.15318742390555937,0.13649235941794774
C1,no,Insulin,47.47474747474748,0.06248790462516336,0.015389275435707762,0.14404649216336257,0.1531874239102271,0.1364923594275563
C1,no,Insulin,47.979797979797986,0.06248790462858869,0.015389275436768398,0.1440464921692505,0.15318742391489484,0.13649235943716487
C1,no,Insulin,48.484848484848484,0.062487904632014014,0.015389275437829033,0.14404649217513846,0.15318742391956258,0.13649235944677343
C1,no,Insulin,48.98989898989899,0.062487904635439344,0.015389275438889667,0.1440464921810264,0.15318742392423032,0.13649235945638197
C1,no,Insulin,49.494949494949495,0.062487904638864666,0.015389275439950303,0.14404649218691434,0.15318742392889806,0.13649235946599053
C1,no,Insulin,50.0,0.062487904642289996,0.015389275441010937,0.1440464921928023,0.1531874239335658,0.1364923594755991
