,,,Slide ID,e,b,d,c,i,a,g,f,h
,,,Antibody Name,e,b,d,c,i,a,g,f,h
,,,HUGO ID,e,b,d,c,i,a,g,f,h
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.3700061543035139,0.717531882910146,0.5916184340422108,0.610795843448483,0.7971808829660838,0.9341478030393183,0.81474672813896,0.7566359373749394,0.6388434787521208
C1,no,Insulin,0.5050505050505051,0.2733994912275142,0.47157635381917096,0.4034285610741911,0.38967122539352433,0.40498438207850185,0.4918946795240742,0.40079964001222784,0.4559223735303073,0.3218458571491202
C1,no,Insulin,1.0101010101010102,0.2135344243334625,0.3359170157847269,0.3014447238008424,0.2716514839964282,0.23781786883056935,0.32792708221389305,0.21099404786201412,0.2803673009453694,0.2181576200508285
C1,no,Insulin,1.5151515151515151,0.17860481973120296,0.26006334918499047,0.24430374517131198,0.20981603155637868,0.16673280243764813,0.26564579268517713,0.12322514884950296,0.17878881136185726,0.17463369983938568
C1,no,Insulin,2.0202020202020203,0.15889876814990944,0.21681615030568402,0.2110807453603528,0.17782044790327708,0.13664065475769277,0.24045440611326765,0.08201432947439813,0.12016817423190582,0.15279762816225767
C1,no,Insulin,2.5252525252525255,0.14804062814309005,0.19157243002543944,0.19106698747628365,0.16145841214651668,0.1240705462723027,0.22898426354453594,0.06224121954355016,0.08631698486484315,0.14108895647710012
C1,no,Insulin,3.0303030303030303,0.1422430691822929,0.1764622435338859,0.17863613507847317,0.15327734977680757,0.11905108912909262,0.22286598147353534,0.05250997660564304,0.0667377467344174,0.13481857050199642
C1,no,Insulin,3.5353535353535355,0.13929883782348282,0.16719712610306903,0.17072623122402006,0.14935960727653105,0.11728474990937393,0.2191029273742423,0.04759062421630366,0.055393722937500035,0.13157021252079518
C1,no,Insulin,4.040404040404041,0.1379200234648904,0.161395131666214,0.1656029574834236,0.14762387009383957,0.11687814006275489,0.21657941992780153,0.045036659809060506,0.048809841902993166,0.1299766179735778
C1,no,Insulin,4.545454545454546,0.13736312136809745,0.15769860399339636,0.16224328009343103,0.14696468813429475,0.11699010710739467,0.2148248386804376,0.043676423470099805,0.044981705548022784,0.1292577268750004
