,,,Slide ID,c,d,a,b
,,,Antibody Name,c,d,a,b
,,,HUGO ID,c,d,a,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8664265686408235,0.42900704174694715,0.6326282132929162,0.2399091327098688
C1,no,Insulin,0.5050505050505051,0.32463014617300656,0.19586179144579519,0.20053973964749816,0.148610269949187
C1,no,Insulin,1.0101010101010102,0.16110118221204361,0.09844151162006001,0.07544964515327655,0.11213946130872146
C1,no,Insulin,1.5151515151515151,0.09804864649266107,0.05472231782086111,0.035060681960611975,0.09716600795709585
C1,no,Insulin,2.0202020202020203,0.06859432386544692,0.033670241516590975,0.01997301011968562,0.09136117143275622
C1,no,Insulin,2.5252525252525255,0.05308117310940181,0.022819335318089273,0.013353974415738962,0.08961852670683328
C1,no,Insulin,3.0303030303030303,0.04419146615118112,0.01687037368714772,0.01000984952772113,0.08963001766911614
C1,no,Insulin,3.5353535353535355,0.03874902971509731,0.0134264957517232,0.00813173635955585,0.09031111128123409
C1,no,Insulin,4.040404040404041,0.03524693893635419,0.011337346096041584,0.006996482111626563,0.09115952240702567
C1,no,Insulin,4.545454545454546,0.03291382963685118,0.010019782366224268,0.006275018470021568,0.09195933932414994
C1,no,Insulin,5.050505050505051,0.031323397825539626,0.009162540902560442,0.005800537671092741,0.09263374031212238
C1,no,Insulin,5.555555555555556,0.03022296965290001,0.008591128714737753,0.005480987977511524,0.09316995377587127
C1,no,Insulin,6.0606060606060606,0.02945418291016836,0.008203206945360234,0.005262177664526654,0.0935816245539188
C1,no,Insulin,6.565656565656566,0.028913654948513702,0.007936241467219963,0.005110579238976683,0.09389067504028835
C1,no,Insulin,7.070707070707071,0.02853193626075729,0.0077506668585470674,0.005004667885310666,0.09411924492710311
C1,no,Insulin,7.575757575757576,0.02826158749272756,0.007620727571031403,0.004930232151504302,0.09428656937595536
C1,no,Insulin,8.080808080808081,0.02806971217464016,0.007529267368887522,0.004877698174609905,0.09440818330171445
C1,no,Insulin,8.585858585858587,0.02793333359558026,0.00746464500364454,0.00484050743660997,0.09449612690546476
C1,no,Insulin,9.090909090909092,0.027836294101668685,0.007418859840094694,0.00481412090906049,0.09455949405388474
C1,no,Insulin,9.595959595959597,0.027767205579671616,0.007386361586655026,0.004795373052254548,0.09460502823259122
C1,no,Insulin,10.101010101010102,0.027717987557618465,0.007363260359251551,0.004782036654605626,0.09463768692060291
C1,no,Insulin,10.606060606060607,0.02768290620853194,0.007346823754425737,0.004772543675346812,0.09466107770687647
C1,no,Insulin,11.111111111111112,0.027657920265450678,0.007335118270348166,0.004765778353130007,0.0946778131626801
