,,,Slide ID,b,f,e,c,d,g,a
,,,Antibody Name,b,f,e,c,d,g,a
,,,HUGO ID,b,f,e,c,d,g,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,21.71717171717172,0.25657159257404927,0.014255887218317486,0.256538675099792,0.013915392165461553,0.2387198437841902,0.17879955334401784,0.14566221969272677
C1,no,Insulin,22.222222222222225,0.2565713852659379,0.01425587207223494,0.25653848834331167,0.013915371699913883,0.23871967476158154,0.17879936900211876,0.14566226452656963
C1,no,Insulin,22.72727272727273,0.25657123342348426,0.014255862791895257,0.25653835158424293,0.013915356696795786,0.23871955098141398,0.178799233958099,0.14566229766484776
C1,no,Insulin,23.232323232323235,0.2565711224947225,0.014255850968490828,0.25653825169718325,0.013915345728012951,0.2387194605709179,0.17879913528798969,0.14566232171271215
C1,no,Insulin,23.73737373737374,0.2565710410086999,0.014255837615455463,0.2565381782987706,0.013915337681074103,0.23871939414258767,0.1787990628249816,0.14566233893029742
C1,no,Insulin,24.242424242424242,0.25657098129263056,0.01425583043823607,0.25653812450782715,0.01391533178513095,0.23871934546129955,0.1787990097234079,0.1456623516682384
C1,no,Insulin,24.747474747474747,0.2565709375312564,0.014255825620470364,0.2565380850886145,0.013915327464694866,0.2387193097872725,0.17879897080981078,0.14566236103634678
C1,no,Insulin,25.252525252525253,0.2565709055182364,0.014255822374857941,0.2565380562522116,0.013915324304250456,0.23871928369101125,0.17879894234335383,0.14566236790940698
C1,no,Insulin,25.757575757575758,0.2565708820082093,0.014255820044879373,0.2565380350751433,0.013915321983321722,0.2387192645265088,0.17879892143802842,0.1456623729636901
C1,no,Insulin,26.262626262626263,0.2565708645867032,0.014255818374177708,0.25653801938247217,0.013915320263502893,0.23871925032535554,0.1787989059467657,0.14566237671403173
C1,no,Insulin,26.767676767676768,0.25657085225847853,0.014255817269757913,0.25653800827769785,0.013915319046526228,0.23871924027619038,0.17879889498455454,0.14566237937337778
C1,no,Insulin,27.272727272727273,0.25657084327282736,0.014255816569848557,0.2565380001837998,0.013915318159529488,0.23871923295175423,0.17879888699458468,0.14566238131594292
C1,no,Insulin,27.77777777777778,0.25657083674389686,0.014255816204652532,0.256537994302813,0.013915317515049057,0.23871922762987255,0.1787988811891225,0.1456623827295867
C1,no,Insulin,28.282828282828284,0.2565708319363979,0.014255816068052457,0.25653798997239946,0.01391531704048801,0.23871922371111923,0.17879887691432322,0.14566238376916915
C1,no,Insulin,28.78787878787879,0.25657082820554533,0.01425581574606915,0.25653798661177485,0.013915316672200915,0.2387192206699398,0.17879887359685837,0.14566238456873773
C1,no,Insulin,29.292929292929294,0.2565708252060142,0.014255815521855371,0.25653798390990784,0.013915316376109793,0.23871921822491837,0.17879887092969304,0.1456623852152443
C1,no,Insulin,29.7979797979798,0.2565708230535232,0.014255815065857371,0.2565379819710172,0.013915316163630311,0.23871921647033278,0.17879886901570535,0.14566238567250434
C1,no,Insulin,30.303030303030305,0.25657082150589816,0.01425581456920488,0.2565379805769656,0.01391531601085826,0.23871921520878997,0.1787988676395595,0.14566238599736495
C1,no,Insulin,30.80808080808081,0.25657082020369243,0.014255814315581844,0.25653797940398326,0.013915315882313858,0.23871921414730954,0.17879886648164361,0.14566238627420122
C1,no,Insulin,31.313131313131315,0.2565708193954516,0.014255814108830122,0.25653797867594635,0.01391531580253021,0.2387192134884778,0.17879886576295886,0.14566238644467053
C1,no,Insulin,31.81818181818182,0.25657081814284893,0.014255813784678016,0.25653797754764285,0.013915315678882044,0.2387192124674269,0.17879886464914868,0.14566238670890175
C1,no,Insulin,32.323232323232325,0.2565708181607946,0.01425581379352633,0.2565379775638075,0.013915315680654157,0.23871921248205644,0.17879886466510672,0.1456623867049744
C1,no,Insulin,32.82828282828283,0.2565708181787402,0.014255813802374643,0.2565379775799721,0.013915315682426271,0.238719212496686,0.1787988646810648,0.145662386701047
C1,no,Insulin,33.333333333333336,0.2565708181902811,0.014255813807493937,0.2565379775903676,0.013915315683565898,0.23871921250609426,0.17879886469132747,0.14566238669852588
C1,no,Insulin,33.83838383838384,0.2565708181947184,0.014255813808477269,0.2565379775943645,0.013915315684004016,0.23871921250971143,0.1787988646952732,0.14566238669756446
C1,no,Insulin,34.343434343434346,0.25657081819915567,0.014255813809460598,0.2565379775983614,0.013915315684442134,0.23871921251332862,0.17879886469921893,0.14566238669660303
C1,no,Insulin,34.84848484848485,0.25657081820359295,0.014255813810443928,0.2565379776023583,0.01391531568488025,0.23871921251694578,0.17879886470316467,0.1456623866956416
C1,no,Insulin,35.35353535353536,0.25657081820803024,0.01425581381142726,0.25653797760635516,0.013915315685318369,0.23871921252056294,0.17879886470711043,0.14566238669468018
C1,no,Insulin,35.85858585858586,0.2565708182124675,0.01425581381241059,0.2565379776103521,0.013915315685756486,0.2387192125241801,0.17879886471105616,0.14566238669371875
C1,no,Insulin,36.36363636363637,0.2565708182169048,0.01425581381339392,0.25653797761434893,0.013915315686194604,0.2387192125277973,0.1787988647150019,0.14566238669275736
C1,no,Insulin,36.86868686868687,0.2565708182213421,0.01425581381437725,0.25653797761834585,0.01391531568663272,0.23871921253141445,0.17879886471894763,0.14566238669179593
C1,no,Insulin,37.37373737373738,0.2565708182257794,0.014255813815360582,0.25653797762234276,0.013915315687070839,0.23871921253503162,0.17879886472289339,0.1456623866908345
C1,no,Insulin,37.87878787878788,0.2565708182302166,0.014255813816343912,0.2565379776263396,0.013915315687508957,0.2387192125386488,0.17879886472683912,0.14566238668987308
C1,no,Insulin,38.38383838383839,0.25657081823226263,0.014255813816730351,0.25653797762818253,0.013915315687710964,0.23871921254031664,0.17879886472865847,0.14566238668943043
C1,no,Insulin,38.88888888888889,0.25657081823335975,0.014255813816879945,0.2565379776291708,0.013915315687819283,0.238719212541211,0.17879886472963408,0.14566238668919362
C1,no,Insulin,39.3939393939394,0.25657081823445693,0.014255813817029537,0.2565379776301591,0.013915315687927603,0.23871921254210535,0.17879886473060969,0.14566238668895684
C1,no,Insulin,39.8989898989899,0.2565708182355541,0.01425581381717913,0.2565379776311474,0.013915315688035923,0.23871921254299971,0.1787988647315853,0.14566238668872006
C1,no,Insulin,40.40404040404041,0.2565708182366513,0.014255813817328725,0.25653797763213565,0.013915315688144242,0.23871921254389408,0.17879886473256087,0.14566238668848325
C1,no,Insulin,40.909090909090914,0.2565708182377484,0.014255813817478319,0.2565379776331239,0.013915315688252562,0.23871921254478842,0.17879886473353648,0.14566238668824646
C1,no,Insulin,41.41414141414142,0.2565708182388456,0.014255813817627912,0.2565379776341122,0.01391531568836088,0.2387192125456828,0.1787988647345121,0.14566238668800965
C1,no,Insulin,41.919191919191924,0.25657081823994277,0.014255813817777506,0.25653797763510044,0.0139153156884692,0.23871921254657713,0.1787988647354877,0.14566238668777287
C1,no,Insulin,42.42424242424243,0.25657081824103994,0.0142558138179271,0.2565379776360887,0.013915315688577519,0.2387192125474715,0.1787988647364633,0.14566238668753606
C1,no,Insulin,42.929292929292934,0.25657081824213707,0.014255813818076694,0.256537977637077,0.013915315688685839,0.23871921254836587,0.17879886473743892,0.14566238668729928
C1,no,Insulin,43.43434343434344,0.2565708182422169,0.014255813818086613,0.25653797763714886,0.01391531568869372,0.23871921254843093,0.1787988647375099,0.14566238668728204
C1,no,Insulin,43.939393939393945,0.25657081824225175,0.014255813818090365,0.2565379776371803,0.013915315688697163,0.23871921254845935,0.17879886473754092,0.14566238668727452
C1,no,Insulin,44.44444444444445,0.25657081824228667,0.014255813818094118,0.25653797763721176,0.013915315688700608,0.2387192125484878,0.17879886473757195,0.145662386687267
C1,no,Insulin,44.949494949494955,0.25657081824232153,0.014255813818097872,0.2565379776372432,0.013915315688704053,0.23871921254851625,0.17879886473760295,0.14566238668725948
C1,no,Insulin,45.45454545454546,0.25657081824235645,0.014255813818101624,0.2565379776372746,0.013915315688707497,0.2387192125485447,0.17879886473763398,0.14566238668725198
C1,no,Insulin,45.959595959595966,0.2565708182423913,0.014255813818105376,0.256537977637306,0.013915315688710942,0.23871921254857312,0.17879886473766501,0.14566238668724446
C1,no,Insulin,46.46464646464647,0.2565708182424262,0.01425581381810913,0.25653797763733743,0.013915315688714387,0.23871921254860157,0.17879886473769604,0.14566238668723694
C1,no,Insulin,46.969696969696976,0.25657081824246114,0.014255813818112882,0.2565379776373689,0.01391531568871783,0.23871921254863002,0.17879886473772708,0.14566238668722942
C1,no,Insulin,47.47474747474748,0.256570818242496,0.014255813818116634,0.2565379776374003,0.013915315688721275,0.23871921254865847,0.1787988647377581,0.1456623866872219
C1,no,Insulin,47.979797979797986,0.2565708182425309,0.014255813818120388,0.25653797763743175,0.01391531568872472,0.2387192125486869,0.17879886473778914,0.14566238668721437
C1,no,Insulin,48.484848484848484,0.2565708182425658,0.01425581381812414,0.25653797763746317,0.013915315688728164,0.23871921254871534,0.17879886473782014,0.14566238668720685
C1,no,Insulin,48.98989898989899,0.2565708182426007,0.014255813818127893,0.2565379776374946,0.01391531568873161,0.2387192125487438,0.17879886473785117,0.14566238668719933
C1,no,Insulin,49.494949494949495,0.2565708182426356,0.014255813818131647,0.25653797763752606,0.013915315688735054,0.23871921254877224,0.1787988647378822,0.1456623866871918
C1,no,Insulin,50.0,0.2565708182426705,0.014255813818135399,0.2565379776375575,0.013915315688738498,0.23871921254880066,0.17879886473791323,0.1456623866871843
