Networkname,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Gold_8_13_10_2018_12_29.sif,3,44,7,10,0.3,0.23076923076923078,0.734375,0.5467571644042233,0.10361867758600997
Gold_4_13_10_2018_12_29.sif,3,9,2,2,0.6,0.6,0.75,0.7090909090909091,0.41818181818181815
Gold_7_13_10_2018_12_29.sif,1,37,4,7,0.2,0.125,0.7755102040816326,0.5137195121951219,0.03350381386107036
Gold_5_13_10_2018_12_29.sif,2,16,3,4,0.4,0.3333333333333333,0.72,0.587719298245614,0.1873171623163388
Gold_6_13_10_2018_12_36.sif,0,21,6,9,0.0,0.0,0.5833333333333334,0.3888888888888889,-0.2581988897471611
