,,,Slide ID,G9,G3,G10,G5,G2,G1,G12,G8,G4,G11,G6,G7
,,,Antibody Name,G9,G3,G10,G5,G2,G1,G12,G8,G4,G11,G6,G7
,,,HUGO ID,G9,G3,G10,G5,G2,G1,G12,G8,G4,G11,G6,G7
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.21912033124652242,0.23897024588001958,0.8933133500636625,0.39632126062241135,0.47479491832957443,0.3769160132768188,0.8633573013123623,0.8453477921184239,0.325163187845404,0.010195535471612893,0.6882224081584069,0.8327183846997953
C1,no,Insulin,0.5050505050505051,0.38793538110943465,0.5047714253825625,0.703704266008096,0.5660109310658603,0.4931028595997947,0.4723129961150975,0.7093302020461494,0.7993755427572077,0.6410670302171646,0.3497867801681848,0.7427817869065273,0.7966098085802473
C1,no,Insulin,1.0101010101010102,0.4929106403475993,0.615069662978375,0.6310481326006252,0.6631892897385316,0.507451671494481,0.5267064174528897,0.6771704932721253,0.7826376364778707,0.713472035778904,0.4634584642028233,0.756254634823931,0.7831396904076287
C1,no,Insulin,1.5151515151515151,0.5431779667077926,0.6639510909505735,0.6036886053955893,0.7193094027276675,0.5171735914828833,0.5576235001118508,0.6703182810669878,0.7765062423318232,0.730445822337572,0.501807226052196,0.7594791221798125,0.7787433081971292
C1,no,Insulin,2.0202020202020203,0.5658168236698345,0.6864043374054949,0.5934953986761304,0.7518501578665526,0.5233532733078599,0.5751879657634293,0.6689039585934021,0.7742725998985368,0.7344399914718931,0.5153380983792349,0.7602096764171461,0.7776098453020657
C1,no,Insulin,2.5252525252525255,0.5757435632804964,0.6970117802504713,0.5897204901693557,0.770756620042335,0.5271485413499457,0.5851718288433386,0.6686300262428206,0.7734643963752078,0.7353793417310823,0.5204169777602187,0.7603589431918432,0.7775114835668174
C1,no,Insulin,3.0303030303030303,0.5800428000759817,0.7021517900336227,0.5883269372585691,0.7817525269563187,0.5294315907361834,0.5908519073658285,0.6685828914114995,0.7731731139746654,0.7355995252569083,0.5224592180359733,0.7603826798315885,0.7776640192780513
C1,no,Insulin,3.5353535353535355,0.5818973030332959,0.704703844667456,0.5878132658238288,0.7881509137612652,0.5307866481333676,0.5940866598070734,0.6685767437680643,0.7730682183543943,0.7356507861535958,0.5233375912279954,0.7603833233901202,0.7778259889275234
C1,no,Insulin,4.040404040404041,0.5826987449938441,0.706001177712744,0.5876240257178201,0.791874958504295,0.5315835954878404,0.5959305699262715,0.6685766459805708,0.7730303885885919,0.7356625724988386,0.5237387328486726,0.7603814728494803,0.7779431124834049
C1,no,Insulin,4.545454545454546,0.5830474089942691,0.7066756014170145,0.5875543083978181,0.7940426785319739,0.5320492839196536,0.5969825466958677,0.6685769658807544,0.7730167081873388,0.735665223736575,0.5239313775195419,0.7603802563058742,0.7780168805251872
