,,,Slide ID,G1,G7,G4,G10,G2,G9,G3,G14,G12,G6,G11,G13,G8,G5
,,,Antibody Name,G1,G7,G4,G10,G2,G9,G3,G14,G12,G6,G11,G13,G8,G5
,,,HUGO ID,G1,G7,G4,G10,G2,G9,G3,G14,G12,G6,G11,G13,G8,G5
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.3101601274252922,0.01791231313491315,0.6144272177946182,0.12498088686864683,0.6523425524190277,0.823272776396651,0.5445305311969778,0.5834303238386281,0.7023282767515905,0.7438877890022145,0.06302187604108789,0.21031632438889514,0.6122446795728854,0.20171983447150565
C1,no,Insulin,0.5050505050505051,0.5844612098694388,0.05420343474237607,0.5227137223241944,0.45615753539553755,0.6720931764882576,0.4917984357389197,0.3948288316300912,0.22074814587759475,0.7047177656305168,0.7089021512696801,0.41148082707590883,0.16335513577832397,0.38359138157099826,0.4246031639924001
C1,no,Insulin,1.0101010101010102,0.671675682341873,0.08847330653784148,0.5186726174231384,0.5887025836048617,0.6932251752223727,0.4032248880811694,0.3390291776572946,0.15313694352758767,0.7182322858099949,0.7054334015160427,0.584175200122935,0.15411334209331767,0.32175255763625604,0.5019303369092766
C1,no,Insulin,1.5151515151515151,0.7000359517298971,0.1129311103647037,0.5231783237055436,0.6424566390454307,0.7055370128853886,0.37971786016720543,0.31731496143877314,0.1481027408564748,0.7285119965636397,0.7089232549055601,0.6691513519540722,0.1569944471448448,0.3067235648533896,0.5301493849205985
C1,no,Insulin,2.0202020202020203,0.7093093814402753,0.12872544771150493,0.5262023805287022,0.6643700494868889,0.711550678304201,0.3737906487244014,0.30868581979407617,0.15319247192666,0.7344679033448875,0.7124798433972244,0.7106483624265105,0.1624865178926085,0.3040847250868537,0.5407394548537592
C1,no,Insulin,2.5252525252525255,0.7123466295104194,0.13841532552963823,0.5277024080789438,0.6733168965894021,0.7142632361616978,0.3724551067754097,0.3052249570130212,0.15796428065834484,0.7375346147313077,0.7148413434466991,0.7307724745258679,0.16745474519689427,0.3042429054353772,0.5448060793026094
C1,no,Insulin,3.0303030303030303,0.7133418810485641,0.14418312059122204,0.5283935313944499,0.6769704646280468,0.7154382994897096,0.3722343152502293,0.30383157667404176,0.16111664782571128,0.7390139274793484,0.7161910901768335,0.7404747008503895,0.17116948806413165,0.3047566355363745,0.5464024294017799
C1,no,Insulin,3.5353535353535355,0.7136680607476643,0.14755174314400601,0.5287075015136995,0.678462379624913,0.7159370188247307,0.37224356080237503,0.3032697054761678,0.16300950027043945,0.7396994631143377,0.7169055977649446,0.7451301786077661,0.17371232035269799,0.30513430245767326,0.5470434315031865
C1,no,Insulin,4.040404040404041,0.713774980993263,0.149494886230196,0.5288513634879407,0.6790717330476999,0.7161468300006741,0.3722793143395903,0.30304298886473013,0.16410706107961823,0.7400090408606786,0.717266771225274,0.747355688503753,0.17536673621423485,0.3053530374276874,0.5473071230095654
C1,no,Insulin,4.545454545454546,0.713810040340345,0.15060643421052955,0.5289185175591992,0.6793208102823405,0.7162349961138684,0.3723051548869341,0.30295148502108427,0.16473434137708254,0.7401465220894571,0.7174438864918085,0.7484165105625198,0.17640825167174626,0.30546782431312947,0.5474184792804137
C1,no,Insulin,5.050505050505051,0.7138215474670393,0.15123861904960342,0.5289505946885964,0.679422789716963,0.7162722144503075,0.37232018453105775,0.30291454817781166,0.16509044713074986,0.7402069565626711,0.7175289434563671,0.7489210988251175,0.17704897528116273,0.3055250062464373,0.5474668601406609
C1,no,Insulin,5.555555555555556,0.713825328739305,0.15159670392246308,0.5289662942218554,0.6794646540765201,0.7162880722954091,0.37232836474506054,0.30289963815292004,0.16529187993766217,0.7402333889782542,0.7175691945759682,0.7491607633017646,0.1774364867032878,0.3055526315787872,0.5474885226434405
C1,no,Insulin,6.0606060606060606,0.7138265759519502,0.15179893290819996,0.5289741623753013,0.6794819131924936,0.7162949221041076,0.37233274044636255,0.30289361860157954,0.16540555974124121,0.7402449433894585,0.7175880474115879,0.749274505428666,0.17766781488658256,0.30556572285763123,0.54749852981814
C1,no,Insulin,6.565656565656566,0.7138269885336409,0.15191289492595847,0.528978192035141,0.6794890698473337,0.7162979334334494,0.3723350895045217,0.30289118882697114,0.1654696098975769,0.740250012660028,0.7175968184711743,0.7493284748102426,0.17780449579301255,0.30557185266044645,0.5475032967196235
C1,no,Insulin,7.070707070707071,0.7138271260323116,0.15197701003257805,0.5289802951486667,0.6794920615273143,0.7162992856141797,0.37233636368992473,0.3028902082778654,0.16550564965595893,0.7402522535668487,0.7176008828589079,0.7493540901942541,0.17788458693391337,0.30557470107411866,0.5475056346474042
C1,no,Insulin,7.575757575757576,0.7138271728453026,0.1520130369340665,0.5289814100230877,0.6794933267189274,0.7162999076672809,0.3723370625112398,0.30288981234905205,0.16552590693880903,0.7402532559054804,0.7176027638347123,0.7493662607311901,0.1779312007639426,0.3055760189540526,0.5475068124446736
C1,no,Insulin,8.080808080808081,0.7138271891513428,0.1520332611399472,0.5289820090237775,0.6794938692532513,0.7163002013188131,0.37233744972903365,0.3028896525933096,0.16553728307484478,0.740253711062026,0.7176036351915263,0.7493720514257524,0.17795817825596902,0.3055766276800469,0.5475074194054332
C1,no,Insulin,8.585858585858587,0.7138271947908523,0.15204460636704994,0.5289823346583182,0.6794941060823596,0.7163003440338432,0.37233766648272315,0.3028895881746591,0.16554366784237182,0.7402539217802785,0.7176040403618357,0.7493748128726061,0.17797371854508207,0.3055769093435715,0.5475077380941387
C1,no,Insulin,9.090909090909092,0.7138271971955981,0.15205096735037107,0.5289825125521718,0.6794942118980347,0.7163004146611851,0.3723377876277617,0.30288956213106843,0.16554724850844232,0.7402540212691527,0.7176042297340502,0.7493761334602179,0.17798263542177037,0.30557703954484594,0.5475079082888153
C1,no,Insulin,9.595959595959597,0.7138271979530237,0.15205453046562922,0.5289826087779606,0.6794942599823267,0.7163004506620133,0.37233785623752214,0.30288955175358956,0.16554925523753572,0.7402540693051345,0.7176043188448737,0.7493767659448125,0.1779877328482812,0.3055771002186087,0.5475079999337957
