NON $ % + - . 0 1 2 3 4
#NON	CycA	E2F	CycE	UbcH10	cdh1	p27	Cdc20	CycD	Rb	CycB
8.395989974937343	0.10089645294848573	0.43586904709297536	0.14570081980343635	0.08420524048236039	0.6672150153360439	0.048748926575538185	0.2532930240786211	0.11841640221630266	0.7105041205396843	0.39611551650344545
8.521303258145362	0.10088867537680514	0.43587265356662397	0.14570213618349684	0.08412257763697058	0.6672189719286398	0.04874919606935526	0.2532923698579771	0.11841509212422949	0.7105046049803535	0.3961136822885528
8.646616541353383	0.10088184884081694	0.43587582773909994	0.14570330245054142	0.08404649666213566	0.6672224456883049	0.048749429201618844	0.25329179567151483	0.11841396540936465	0.7105049972747278	0.39611207204178495
8.771929824561402	0.10087585612650553	0.4358786221014601	0.14570433527174448	0.0839764742761736	0.6672254966283868	0.04874963067862523	0.2532912912573961	0.11841299605686197	0.7105053142173011	0.39611065815284613
8.897243107769423	0.10087059662997483	0.4358810812787779	0.14570524950934358	0.08391203110647194	0.6672281755566931	0.048749804548698594	0.2532908481532582	0.1184121624661067	0.7105055683735014	0.39610941692451723
9.022556390977442	0.10086597997789092	0.43588324515613813	0.1457060585310427	0.08385272362289949	0.6672305280013849	0.04874995430450736	0.2532904587153356	0.11841144526720324	0.7105057707086422	0.3961083270238311
9.147869674185463	0.1008619275749904	0.43588514871913125	0.14570677424567455	0.08379814409916346	0.6672325934403984	0.04875008308002133	0.2532901164957019	0.11841082810837665	0.7105059302901668	0.3961073699484448
9.273182957393484	0.10085837112659121	0.43588682268849094	0.14570740729838605	0.08374791756184775	0.667234405949134	0.04875019373865255	0.2532898162038041	0.11841029726299838	0.7105060546579098	0.3961065296928451
9.398496240601503	0.10085524948641188	0.4358882945238381	0.14570796729118868	0.08370169726889862	0.6672359958049726	0.04875028882374342	0.25328955325539476	0.11840984052819921	0.7105061504494475	0.3961057919348501
9.523809523809524	0.1008525100856914	0.4358895885781141	0.14570846239577775	0.08365916557063849	0.6672373902718449	0.04875037042879413	0.2532893229718209	0.11840944772999626	0.7105062231505826	0.39610514431284893
9.649122807017543	0.10085010592437266	0.43589072708204346	0.14570889984523516	0.08362002878556608	0.6672386142506528	0.048750440416946976	0.25328912092494904	0.11840910986764183	0.7105062778882858	0.39610457577720687
9.774436090225564	0.10084799596416699	0.43589172914359753	0.14570928612005443	0.08358401683929366	0.667239689265866	0.04875050037994834	0.25328894328784873	0.11840881924897874	0.7105063185027529	0.3961040766554851
9.899749373433583	0.10084614455937187	0.43589261070136925	0.14570962708581223	0.08355088157832823	0.6672406335258204	0.04875055164293	0.2532887868495973	0.1184085693421117	0.7105063473564045	0.3961036385021382
10.025062656641603	0.10084451948321509	0.4358933860832884	0.14570992801139496	0.08352039316567376	0.667241463723454	0.04875059534293012	0.25328864848346544	0.11840835421940632	0.7105063664172598	0.39610325364286636
10.150375939849624	0.10084309335293075	0.43589406762708677	0.14571019359705442	0.08349234129170273	0.6672421931484571	0.048750632542995116	0.2532885262832398	0.1184081691029074	0.7105063775075502	0.39610291565649947
10.275689223057643	0.10084184199607461	0.43589466603271076	0.14571042816219656	0.08346653196505067	0.6672428326989452	0.04875066422406678	0.2532884191387722	0.11840800986665309	0.7105063821942568	0.3961026189257869
10.401002506265664	0.10084074382553437	0.4358951908368568	0.14571063560874978	0.08344278594414221	0.667243391805445	0.048750691265940796	0.25328832627833864	0.11840787286140025	0.7105063819029741	0.39610235845537384
10.526315789473683	0.1008397803724859	0.4358956513844912	0.14571081888110382	0.0834209393373389	0.6672438806050078	0.04875071430733459	0.2532882458398475	0.11840775506037851	0.7105063781879628	0.3961021299079185
10.651629072681704	0.10083893497120348	0.435896056586297	0.14571098051948717	0.08340084040539708	0.6672443085267195	0.04875073392670196	0.2532881760926392	0.11840765375056604	0.7105063728710851	0.39610192939653
10.776942355889723	0.10083819304245718	0.4358964139764563	0.14571112280849452	0.08338234957291144	0.667244684117742	0.0487507506039776	0.2532881152112821	0.11840756660065681	0.71050636707356	0.39610175346841914
10.902255639097744	0.10083754211217862	0.43589672894024833	0.1457112479742449	0.08336533891413551	0.6672450147338103	0.04875076471556508	0.25328806125337217	0.11840749166648071	0.7105063604642321	0.3961015990563007
11.027568922305765	0.10083697085299054	0.4358970063579627	0.1457113579675262	0.08334968989291537	0.6672453078564811	0.04875077656137234	0.2532880118477507	0.11840742716285389	0.7105063524781536	0.39610146330736473
11.152882205513784	0.10083646960087764	0.43589725024838216	0.14571145470319471	0.08333529395975968	0.6672455677348764	0.04875078647881681	0.2532879665177643	0.11840737164641392	0.7105063431935723	0.3961013439418683
11.278195488721805	0.10083602989344063	0.4358974637045036	0.1457115401248768	0.08332205111726347	0.6672457962798567	0.04875079482685398	0.25328792605990036	0.11840732389273652	0.710506332872288	0.39610123906412087
11.403508771929824	0.10083564409952547	0.43589764938027326	0.14571161606912003	0.08330986868618244	0.6672459944472492	0.048750801947100374	0.2532878917140322	0.1184072828044407	0.7105063218464871	0.39610114700947574
11.528822055137844	0.10083530583478065	0.4358978110285987	0.1457116834997854	0.08329866289640328	0.66724616533954	0.04875080801208782	0.25328786325498875	0.1184072475014701	0.7105063108645588	0.3961010663429211
11.654135338345863	0.10083500899809907	0.4358979533923078	0.1457117429816823	0.08328835492836734	0.6672463123313865	0.04875081316237191	0.2532878405094121	0.11840721713522706	0.7105063015441324	0.3961009957693283
11.779448621553884	0.10083474840435	0.4358980803094693	0.14571179494420458	0.0832788729661857	0.6672464403775215	0.04875081747793794	0.2532878217668965	0.11840719100211784	0.7105062944232332	0.39610093401992824
11.904761904761903	0.10083451979834875	0.43589819266712165	0.14571184014445193	0.0832701512324172	0.6672465580506335	0.048750820975751986	0.25328780171111004	0.11840716852868387	0.7105062866151034	0.39610087952348244
12.030075187969924	0.10083431926530673	0.4358982910596437	0.1457118800091001	0.08326212883352963	0.6672466618257032	0.048750823893101695	0.25328778362522164	0.11840714919690122	0.7105062789218379	0.39610083163227106
12.155388471177945	0.10083414333603594	0.43589837722714775	0.14571191526760222	0.08325474977772553	0.6672467513056846	0.04875082635242253	0.25328776879048776	0.11840713256523408	0.7105062719929752	0.39610078968451534
12.280701754385964	0.10083398898426077	0.4358984530652513	0.14571194626933612	0.08324796258585264	0.6672468295219515	0.04875082839406566	0.25328775600963277	0.11840711825770046	0.710506265679956	0.3961007528982279
