,,,Slide ID,a,b,e,c,d,f
,,,Antibody Name,a,b,e,c,d,f
,,,HUGO ID,a,b,e,c,d,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5537416483073481,0.6894888325732984,0.34852741786871166,0.9456075247428817,0.9863242417714503,0.5102153582089818
C1,no,Insulin,0.33557046979865773,0.3932768842693013,0.5326789053903449,0.29011627860486433,0.5955262047118561,0.6223505050728052,0.34675367828151255
C1,no,Insulin,0.6711409395973155,0.2936314286515105,0.4201743452226058,0.253309864245802,0.40210721355619644,0.396509662481252,0.2517089986699027
C1,no,Insulin,1.0067114093959733,0.2306324450938131,0.3389676731264149,0.22789207285697094,0.293251220497,0.2560909330438451,0.19493243253112774
C1,no,Insulin,1.342281879194631,0.1900037520848118,0.28012611004685545,0.20911517994360945,0.23050545559795735,0.1685628037854725,0.16011796185228963
C1,no,Insulin,1.6778523489932886,0.16327162211410312,0.23739821119287524,0.19473409868276498,0.19330841631229997,0.11383781872310124,0.13827358577369026
C1,no,Insulin,2.0134228187919465,0.14535176437149983,0.20634052670843694,0.1835872993789484,0.17057979688624456,0.07950101466197522,0.12431096152876855
C1,no,Insulin,2.348993288590604,0.13314262308719582,0.1837596647514537,0.1749640681451671,0.15626647534089855,0.05786901160956192,0.11526353112659983
C1,no,Insulin,2.684563758389262,0.12471214921359876,0.16734468071231975,0.16834749334079432,0.14699631190403384,0.044178375277235796,0.10934782275725549
C1,no,Insulin,3.0201342281879198,0.11882875395734752,0.15541671338197105,0.16332154531601056,0.14084340511178642,0.03546948636612005,0.10546046851462183
C1,no,Insulin,3.3557046979865772,0.1146892366300893,0.14675376673107898,0.1595412478880141,0.13667564671350696,0.029898616228995714,0.10290198272912815
C1,no,Insulin,3.691275167785235,0.11175874276900086,0.14046574049174582,0.15672260961703857,0.13380660369060704,0.02631358619139737,0.1012203245049866
C1,no,Insulin,4.026845637583893,0.10967468151166508,0.13590426079203435,0.15463644028161538,0.13180697027094104,0.023991746900776375,0.10011926044047359
C1,no,Insulin,4.3624161073825505,0.10818761553551601,0.13259719537884976,0.1531017061996003,0.13040034162165481,0.022477949469763926,0.09940285588203414
C1,no,Insulin,4.697986577181208,0.10712395260230141,0.13020093416578823,0.15197812932270874,0.12940414739672276,0.021484176319857464,0.09894082016284138
C1,no,Insulin,5.033557046979866,0.10636180433973273,0.12846556548430688,0.1511587356278213,0.12869518934295,0.020827219061758617,0.09864632094423163
C1,no,Insulin,5.369127516778524,0.10581501153406607,0.12720945105736242,0.150562990656641,0.12818890162182184,0.020389877842042447,0.09846150462659518
C1,no,Insulin,5.704697986577181,0.10542236765392195,0.12630066671512122,0.15013087940885458,0.12782646726928162,0.020096722847280764,0.0983479143598729
C1,no,Insulin,6.0402684563758395,0.10514023357184367,0.1256434615600172,0.1498180347655602,0.12756657249984668,0.019898894352508543,0.09828009100430658
C1,no,Insulin,6.375838926174497,0.1049374127049783,0.12516838469875044,0.14959186071223085,0.1273799879025524,0.019764530898993986,0.09824127683150022
C1,no,Insulin,6.7114093959731544,0.10479156048870816,0.12482509271978448,0.14942852496782805,0.12724592582703326,0.01967271170248043,0.09822052403273332
C1,no,Insulin,7.046979865771813,0.10468665198069878,0.12457711673403835,0.14931066851089866,0.1271495493484975,0.019609606884983102,0.09821074961668917
C1,no,Insulin,7.38255033557047,0.10461118024762543,0.12439804796081329,0.14922568246862725,0.12708023791322012,0.019566003267199074,0.0982074235554357
C1,no,Insulin,7.718120805369128,0.10455687874962293,0.12426877545664788,0.14916442816077952,0.12703037810592413,0.019535727093669134,0.09820769500225583
C1,no,Insulin,8.053691275167786,0.10451780634908663,0.12417547766277094,0.1491202955060311,0.1269945053470596,0.01951461191409844,0.09820980628587535
C1,no,Insulin,8.389261744966444,0.1044896897674347,0.12410815860989845,0.14908850687138822,0.12696869248964085,0.019499826096105344,0.0982127023510773
C1,no,Insulin,8.724832214765101,0.10446945651013534,0.1240595961143097,0.14906561475781815,0.12695011733654624,0.019489435781646747,0.0982157762787855
C1,no,Insulin,9.060402684563758,0.1044548956842418,0.12402457105294935,0.1490491317821936,0.12693674973165228,0.01948211086306714,0.09821869971640589
C1,no,Insulin,9.395973154362416,0.10444441696359376,0.12399931478335244,0.14903726514425206,0.12692712959828523,0.019476932631847424,0.09822131488258193
C1,no,Insulin,9.731543624161075,0.10443687642249098,0.12398110721161178,0.14902872344633908,0.12692020677811577,0.019473263260763405,0.09822356457905598
C1,no,Insulin,10.067114093959733,0.10443144867415528,0.1239679798834596,0.14902257386955897,0.12691522357891344,0.01947065590748228,0.09822544686033265
C1,no,Insulin,10.40268456375839,0.10442754211403968,0.12395851750697123,0.14901814702864463,0.1269116369264444,0.019468800461478194,0.09822699106618672
C1,no,Insulin,10.738255033557047,0.10442473104168148,0.12395169912498137,0.1490149610765345,0.12690905601370106,0.019467479008524753,0.09822823923780621
C1,no,Insulin,11.073825503355705,0.10442270773407392,0.12394678546686791,0.149012667846508,0.1269071983350926,0.01946653552154286,0.09822923536745103
C1,no,Insulin,11.409395973154362,0.10442125158499269,0.12394324517223053,0.1490110173646245,0.12690586137849702,0.019465861214280487,0.09823002269878174
C1,no,Insulin,11.74496644295302,0.10442020385087736,0.12394069512352465,0.14900982960495926,0.12690489940075336,0.0194653794083263,0.09823064017563927
C1,no,Insulin,12.080536912751679,0.1044194494254403,0.1239388572528158,0.14900897431043336,0.12690420671015012,0.019465034284080734,0.09823112087082106
C1,no,Insulin,12.416107382550337,0.10441890633031221,0.12393753310704737,0.14900835870745588,0.12690370804963486,0.019464786722617002,0.09823149294004666
C1,no,Insulin,12.751677852348994,0.10441851589294811,0.12393658037358735,0.14900791618596573,0.1269033495616456,0.019464609422422098,0.09823177966433466
C1,no,Insulin,13.087248322147651,0.1044182351565741,0.12393589479278058,0.14900759789531592,0.12690309180235954,0.01946448253522053,0.09823199962342788
C1,no,Insulin,13.422818791946309,0.10441803296399502,0.12393540073781129,0.14900736860024852,0.12690290615160027,0.019464391354959816,0.09823216748186873
C1,no,Insulin,13.758389261744966,0.10441788760080173,0.12393504535265078,0.14900720384707458,0.12690277267668984,0.019464325834513307,0.0982322951003141
C1,no,Insulin,14.093959731543626,0.10441778319204434,0.1239347899401328,0.14900708561913467,0.12690267680976988,0.019464278844470044,0.09823239191344055
C1,no,Insulin,14.429530201342283,0.10441770816114955,0.12393460628855754,0.14900700068752087,0.12690260792188254,0.019464245162798464,0.09823246514337287
C1,no,Insulin,14.76510067114094,0.10441765342112748,0.12393447226796835,0.14900693860746608,0.12690255766500702,0.019464220663454834,0.09823252058369
C1,no,Insulin,15.100671140939598,0.10441761228083224,0.12393437152061539,0.14900689189102514,0.12690251989181559,0.019464202269711985,0.09823256366266937
C1,no,Insulin,15.436241610738255,0.10441758547783096,0.12393430585985082,0.14900686129927712,0.12690249527663053,0.01946419030446341,0.0982325936979487
C1,no,Insulin,15.771812080536913,0.10441756496031654,0.12393425557027406,0.14900683801583645,0.12690247643373068,0.0194641811284522,0.09823261748420888
C1,no,Insulin,16.107382550335572,0.10441755009692563,0.1239342191187523,0.14900682124896963,0.12690246278476294,0.019464174479450556,0.09823263551813614
C1,no,Insulin,16.44295302013423,0.10441753987521236,0.12393419403338139,0.149006809790799,0.12690245339978865,0.01946416990966108,0.0982326486872559
C1,no,Insulin,16.778523489932887,0.10441753270655091,0.12393417643401804,0.14900680175295913,0.1269024468193689,0.01946416671346388,0.0982326583946496
C1,no,Insulin,17.114093959731544,0.10441752760820473,0.12393416391559148,0.14900679599526195,0.12690244214000654,0.019464164448847923,0.09823266557514751
C1,no,Insulin,17.449664429530202,0.10441752390933459,0.12393415483582278,0.14900679174496592,0.12690243874496251,0.019464162813666582,0.0982326708797169
C1,no,Insulin,17.78523489932886,0.10441752113871072,0.12393414803657056,0.14900678851193316,0.12690243620123007,0.019464161592329585,0.09823267488632756
C1,no,Insulin,18.120805369127517,0.104417519109257,0.1239341430577132,0.1490067861088269,0.1269024343371043,0.019464160699115423,0.09823267783970605
C1,no,Insulin,18.456375838926174,0.10441751759826728,0.12393413935055267,0.14900678433244272,0.12690243294871578,0.019464160031612228,0.09823268007295581
C1,no,Insulin,18.79194630872483,0.10441751650883081,0.12393413667701447,0.14900678307942877,0.12690243194742531,0.019464159546672844,0.09823268172195748
C1,no,Insulin,19.12751677852349,0.10441751571638343,0.12393413473136634,0.1490067822108122,0.12690243121932634,0.019464159189417546,0.09823268295773031
C1,no,Insulin,19.46308724832215,0.10441751514151759,0.1239341333192766,0.1490067816104976,0.12690243069148482,0.019464158927225726,0.09823268388120548
C1,no,Insulin,19.798657718120808,0.10441751472825146,0.1239341323037462,0.14900678119556676,0.12690243031244702,0.01946415873719704,0.09823268456378943
C1,no,Insulin,20.134228187919465,0.10441751442323535,0.12393413155415638,0.149006780881022,0.12690243003287544,0.019464158598071254,0.09823268507748559
C1,no,Insulin,20.469798657718123,0.1044175142041677,0.12393413101584676,0.14900678063595046,0.1269024298321464,0.01946415850046868,0.09823268545363796
C1,no,Insulin,20.80536912751678,0.10441751404183565,0.12393413061706829,0.14900678043169838,0.126902429683247,0.019464158430840713,0.09823268573649485
C1,no,Insulin,21.140939597315437,0.10441751385495929,0.1239341301577775,0.14900678023820765,0.12690242951210745,0.01946415834572196,0.0982326860581178
C1,no,Insulin,21.476510067114095,0.10441751369124214,0.12393412975538978,0.14900678007203513,0.12690242936217588,0.019464158270748388,0.09823268634080401
C1,no,Insulin,21.812080536912752,0.10441751356113207,0.12393412943562107,0.14900677993680708,0.1269024292429681,0.019464158211534705,0.0982326865675352
C1,no,Insulin,22.14765100671141,0.1044175134646291,0.1239341291984714,0.14900677983252347,0.1269024291544841,0.019464158168080913,0.09823268673831137
C1,no,Insulin,22.483221476510067,0.10441751340173322,0.12393412904394074,0.14900677975918436,0.12690242909672392,0.019464158140387013,0.09823268685313252
C1,no,Insulin,22.818791946308725,0.10441751337244444,0.12393412897202911,0.1490067797167897,0.12690242906968754,0.019464158128453004,0.09823268691199866
C1,no,Insulin,23.154362416107382,0.10441751337676274,0.12393412898273651,0.14900677970533946,0.12690242907337496,0.019464158132278888,0.09823268691490977
C1,no,Insulin,23.48993288590604,0.10441751341468813,0.12393412907606292,0.1490067797248337,0.12690242910778618,0.019464158151864662,0.09823268686186588
C1,no,Insulin,23.8255033557047,0.10441751340014595,0.12393412904037104,0.1490067797016962,0.1269024290943256,0.019464158146175897,0.098232686893031
C1,no,Insulin,24.161073825503358,0.10441751337889059,0.12393412898816013,0.14900677967503756,0.126902429074772,0.019464158137025112,0.09823268693389864
C1,no,Insulin,24.496644295302016,0.10441751336759551,0.12393412896042635,0.14900677965911022,0.1269024290643501,0.019464158132361072,0.0982326869573177
C1,no,Insulin,24.832214765100673,0.10441751336626076,0.12393412895716974,0.14900677965391418,0.1269024290630599,0.01946415813218378,0.09823268696328818
C1,no,Insulin,25.16778523489933,0.1044175133748863,0.12393412897839025,0.14900677965944942,0.12690242907090138,0.019464158136493225,0.09823268695181009
C1,no,Insulin,25.503355704697988,0.10441751339347215,0.12393412902408792,0.149006779675716,0.12690242908787455,0.019464158145289418,0.09823268692288341
