,,,Slide ID,b,a,f,c,d,e
C1,no,Insulin,11.616161616161618,0.2670765955621598,0.1646817406443103,0.2350103596488883,0.23980270938405085,0.029379787885946782,0.2445330774979264
C1,no,Insulin,12.121212121212121,0.2670677097423869,0.16467428360139177,0.23500733851716776,0.23979678738656174,0.029378356464507486,0.244528040014272
C1,no,Insulin,12.626262626262626,0.26706190251230777,0.1646693793547934,0.23500536674228933,0.23979288552604877,0.02937741707226088,0.2445247220872374
C1,no,Insulin,13.131313131313131,0.26705810454840695,0.1646661552005903,0.23500407864768083,0.23979031651116128,0.029376800580956926,0.24452253812710573
C1,no,Insulin,13.636363636363637,0.26705562393895826,0.1646640397040721,0.23500323814573817,0.23978862866796902,0.02937639670276452,0.24452110368794452
C1,no,Insulin,14.141414141414142,0.2670540076444803,0.16466265572778846,0.23500269097464674,0.23978752318782484,0.029376132838965233,0.24452016442099292
C1,no,Insulin,14.646464646464647,0.2670529493787656,0.1646617472634187,0.23500233300181728,0.23978679704466208,0.029375959776212,0.24451954733852813
C1,no,Insulin,15.151515151515152,0.26705225891344136,0.1646611529492827,0.23500209956023604,0.23978632166592173,0.02937584666657653,0.24451914344387357
C1,no,Insulin,15.656565656565657,0.26705180910712567,0.16466076467060764,0.2350019473733217,0.23978601077454428,0.02937577285629741,0.24451887988343188
C1,no,Insulin,16.161616161616163,0.26705151392520565,0.16466050954152137,0.23500184743454444,0.23978580637129726,0.029375724378626233,0.24451870694930225
C1,no,Insulin,16.666666666666668,0.2670513163665576,0.16466033874018288,0.2350017807903251,0.23978566958771422,0.029375691905086092,0.24451859062950349
C1,no,Insulin,17.171717171717173,0.2670511931301751,0.16466023203205254,0.2350017396495957,0.23978558423806648,0.0293756715979813,0.2445185168447732
C1,no,Insulin,17.67676767676768,0.26705110913797947,0.1646601591057185,0.23500171181034646,0.23978552593139504,0.02937565773604756,0.24451846548247483
C1,no,Insulin,18.181818181818183,0.26705105612209334,0.1646601129784245,0.23500169428754644,0.23978548902926083,0.02937564898912519,0.24451843231081288
C1,no,Insulin,18.68686868686869,0.2670510224931602,0.1646600837142057,0.23500168300049995,0.2397854655242732,0.029375643464989082,0.2445184111879005
C1,no,Insulin,19.191919191919194,0.26705100034582285,0.1646600644611382,0.23500167518133788,0.2397854499214313,0.029375639848186294,0.24451839844780404
C1,no,Insulin,19.6969696969697,0.2670509847489342,0.16466005090500874,0.2350016695579059,0.23978543893551788,0.029375637289992283,0.24451839056303026
C1,no,Insulin,20.202020202020204,0.2670509744530977,0.1646600419528186,0.23500166583584384,0.23978543172484193,0.029375635581617043,0.2445183862271752
C1,no,Insulin,20.70707070707071,0.26705096728450856,0.16466003571717497,0.23500166330015737,0.23978542670977246,0.029375634392992553,0.24451838284894395
C1,no,Insulin,21.212121212121215,0.2670509616785425,0.1646600308389914,0.2350016613327814,0.2397854227974587,0.029375633459699475,0.24451838026703004
C1,no,Insulin,21.71717171717172,0.2670509602978367,0.16466002963379223,0.23500166089086783,0.23978542183967538,0.029375633228996757,0.24451837941225216
C1,no,Insulin,22.222222222222225,0.2670509596450218,0.16466002906392133,0.23500166067690167,0.23978542138468653,0.029375633120424276,0.2445183790154841
C1,no,Insulin,22.72727272727273,0.2670509590648345,0.16466002855744225,0.2350016604856797,0.23978542097986555,0.029375633024037714,0.24451837866441536
C1,no,Insulin,23.232323232323235,0.2670509584846472,0.16466002805096316,0.2350016602944577,0.2397854205750446,0.029375632927651156,0.24451837831334666
C1,no,Insulin,23.73737373737374,0.267050958130818,0.16466002774207764,0.23500166017715396,0.23978542032786113,0.029375632868938645,0.24451837810020102
C1,no,Insulin,24.242424242424242,0.2670509578869904,0.16466002752921513,0.23500166009577172,0.23978542015728363,0.029375632828534316,0.24451837795408085
C1,no,Insulin,24.747474747474747,0.2670509576431628,0.16466002731635263,0.23500166001438952,0.23978541998670616,0.02937563278812999,0.24451837780796068
C1,no,Insulin,25.252525252525253,0.2670509574921011,0.16466002718447462,0.2350016599639402,0.23978541988101243,0.029375632763100734,0.24451837771747137
C1,no,Insulin,25.757575757575758,0.2670509574607206,0.16466002715707795,0.2350016599533988,0.23978541985902793,0.02937563275790748,0.2445183776987537
C1,no,Insulin,26.262626262626263,0.26705095742934015,0.16466002712968128,0.23500165994285738,0.2397854198370434,0.02937563275271422,0.24451837768003604
C1,no,Insulin,26.767676767676768,0.26705095739795964,0.16466002710228464,0.23500165993231595,0.23978541981505888,0.02937563274752096,0.24451837766131834
C1,no,Insulin,27.272727272727273,0.26705095736657913,0.16466002707488797,0.23500165992177455,0.23978541979307438,0.029375632742327705,0.24451837764260068
C1,no,Insulin,27.77777777777778,0.2670509573351986,0.1646600270474913,0.23500165991123312,0.23978541977108986,0.029375632737134446,0.24451837762388298
C1,no,Insulin,28.282828282828284,0.2670509573038181,0.16466002702009463,0.23500165990069172,0.23978541974910536,0.02937563273194119,0.24451837760516532
C1,no,Insulin,28.78787878787879,0.2670509572724376,0.164660026992698,0.2350016598901503,0.23978541972712084,0.02937563272674793,0.24451837758644762
C1,no,Insulin,29.292929292929294,0.2670509572410571,0.16466002696530133,0.23500165987960886,0.2397854197051363,0.029375632721554676,0.24451837756772996
C1,no,Insulin,29.7979797979798,0.26705095720967664,0.16466002693790466,0.23500165986906746,0.2397854196831518,0.029375632716361417,0.24451837754901226
C1,no,Insulin,30.303030303030305,0.26705095717829613,0.16466002691050802,0.23500165985852603,0.2397854196611673,0.02937563271116816,0.2445183775302946
C1,no,Insulin,30.80808080808081,0.2670509571469156,0.16466002688311135,0.23500165984798463,0.2397854196391828,0.029375632705974902,0.2445183775115769
C1,no,Insulin,31.313131313131315,0.2670509571155351,0.16466002685571468,0.2350016598374432,0.23978541961719826,0.029375632700781647,0.24451837749285923
C1,no,Insulin,31.81818181818182,0.2670509570841546,0.16466002682831804,0.23500165982690177,0.23978541959521374,0.029375632695588388,0.24451837747414157
C1,no,Insulin,32.323232323232325,0.2670509570527741,0.16466002680092137,0.23500165981636037,0.23978541957322924,0.029375632690395132,0.24451837745542387
C1,no,Insulin,32.82828282828283,0.2670509570213936,0.1646600267735247,0.23500165980581894,0.23978541955124472,0.029375632685201873,0.2445183774367062
C1,no,Insulin,33.333333333333336,0.2670509570051216,0.16466002675931837,0.23500165980035115,0.23978541953984406,0.029375632682509124,0.2445183774270023
C1,no,Insulin,33.83838383838384,0.26705095700108283,0.16466002675579222,0.23500165979899146,0.2397854195370131,0.029375632681841027,0.2445183774245969
C1,no,Insulin,34.343434343434346,0.26705095699704406,0.16466002675226607,0.23500165979763177,0.23978541953418217,0.029375632681172933,0.24451837742219146
C1,no,Insulin,34.84848484848485,0.2670509569930053,0.16466002674873992,0.23500165979627208,0.2397854195313512,0.029375632680504835,0.24451837741978602
C1,no,Insulin,35.35353535353536,0.2670509569889665,0.16466002674521377,0.2350016597949124,0.23978541952852025,0.029375632679836738,0.2445183774173806
C1,no,Insulin,35.85858585858586,0.2670509569849278,0.16466002674168762,0.2350016597935527,0.2397854195256893,0.02937563267916864,0.24451837741497517
C1,no,Insulin,36.36363636363637,0.26705095698088904,0.16466002673816146,0.235001659792193,0.23978541952285834,0.029375632678500546,0.24451837741256977
C1,no,Insulin,36.86868686868687,0.2670509569768503,0.1646600267346353,0.23500165979083332,0.23978541952002738,0.02937563267783245,0.24451837741016433
C1,no,Insulin,37.37373737373738,0.2670509569728115,0.16466002673110916,0.23500165978947363,0.23978541951719642,0.02937563267716435,0.2445183774077589
C1,no,Insulin,37.87878787878788,0.26705095696877273,0.164660026727583,0.23500165978811394,0.23978541951436547,0.029375632676496254,0.24451837740535348
C1,no,Insulin,38.38383838383839,0.26705095696473397,0.16466002672405683,0.23500165978675425,0.23978541951153454,0.02937563267582816,0.24451837740294805
C1,no,Insulin,38.88888888888889,0.2670509569606952,0.16466002672053068,0.23500165978539456,0.23978541950870358,0.029375632675160062,0.2445183774005426
C1,no,Insulin,39.3939393939394,0.2670509569566564,0.16466002671700453,0.23500165978403487,0.23978541950587262,0.029375632674491964,0.2445183773981372
C1,no,Insulin,39.8989898989899,0.26705095695261766,0.16466002671347837,0.23500165978267518,0.23978541950304166,0.029375632673823867,0.24451837739573176
C1,no,Insulin,40.40404040404041,0.2670509569485789,0.16466002670995222,0.2350016597813155,0.2397854195002107,0.029375632673155773,0.24451837739332635
C1,no,Insulin,40.909090909090914,0.2670509569445401,0.16466002670642607,0.2350016597799558,0.23978541949737975,0.029375632672487675,0.24451837739092092
C1,no,Insulin,41.41414141414142,0.2670509569431509,0.16466002670521318,0.23500165977948811,0.239785419496406,0.02937563267225787,0.24451837739009355
C1,no,Insulin,41.919191919191924,0.26705095694307557,0.1646600267051474,0.23500165977946272,0.23978541949635318,0.029375632672245407,0.2445183773900487
C1,no,Insulin,42.42424242424243,0.26705095694300024,0.16466002670508162,0.23500165977943735,0.23978541949630036,0.02937563267223295,0.24451837739000384
C1,no,Insulin,42.929292929292934,0.26705095694292486,0.16466002670501584,0.23500165977941195,0.23978541949624754,0.029375632672220486,0.244518377389959
C1,no,Insulin,43.43434343434344,0.2670509569428495,0.16466002670495006,0.23500165977938656,0.2397854194961947,0.029375632672208024,0.24451837738991414
C1,no,Insulin,43.939393939393945,0.2670509569427742,0.16466002670488425,0.2350016597793612,0.23978541949614188,0.029375632672195562,0.24451837738986928
C1,no,Insulin,44.44444444444445,0.2670509569426988,0.16466002670481847,0.2350016597793358,0.23978541949608906,0.0293756326721831,0.24451837738982443
C1,no,Insulin,44.949494949494955,0.2670509569426235,0.1646600267047527,0.23500165977931042,0.23978541949603624,0.029375632672170637,0.24451837738977958
C1,no,Insulin,45.45454545454546,0.26705095694254816,0.1646600267046869,0.23500165977928503,0.23978541949598342,0.029375632672158175,0.24451837738973473
C1,no,Insulin,45.959595959595966,0.26705095694247283,0.16466002670462113,0.23500165977925963,0.23978541949593057,0.029375632672145713,0.24451837738968987
C1,no,Insulin,46.46464646464647,0.26705095694239744,0.16466002670455535,0.23500165977923426,0.23978541949587776,0.029375632672133254,0.24451837738964502
C1,no,Insulin,46.969696969696976,0.2670509569423221,0.16466002670448956,0.23500165977920887,0.23978541949582494,0.029375632672120792,0.24451837738960017
C1,no,Insulin,47.47474747474748,0.2670509569422468,0.16466002670442378,0.2350016597791835,0.23978541949577212,0.02937563267210833,0.2445183773895553
C1,no,Insulin,47.979797979797986,0.2670509569421714,0.164660026704358,0.2350016597791581,0.2397854194957193,0.029375632672095867,0.24451837738951046
C1,no,Insulin,48.484848484848484,0.2670509569420961,0.16466002670429222,0.2350016597791327,0.23978541949566648,0.029375632672083405,0.2445183773894656
C1,no,Insulin,48.98989898989899,0.26705095694202075,0.16466002670422641,0.23500165977910734,0.23978541949561363,0.029375632672070943,0.24451837738942075
C1,no,Insulin,49.494949494949495,0.26705095694194536,0.16466002670416063,0.23500165977908194,0.23978541949556081,0.02937563267205848,0.2445183773893759
C1,no,Insulin,50.0,0.26705095694187003,0.16466002670409485,0.23500165977905657,0.239785419495508,0.02937563267204602,0.24451837738933105
