,,,Slide ID,b,a,f,c,d,e
,,,Antibody Name,b,a,f,c,d,e
,,,HUGO ID,b,a,f,c,d,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8354063013672771,0.0005449771981762552,0.23489375874405594,0.4439016069962155,0.481635815435695,0.775022445411019
C1,no,Insulin,0.5050505050505051,0.5983193514707464,0.09848338737402074,0.26218613896963,0.23839103602581188,0.14271194261830808,0.3129350507876604
C1,no,Insulin,1.0101010101010102,0.46927272296261746,0.14872875624638604,0.27010527693935954,0.22520938533353946,0.063086528048945,0.24713823567459717
C1,no,Insulin,1.5151515151515151,0.39453120063257224,0.17124440721035625,0.2669498551961076,0.23549435548876266,0.0430879294683767,0.24493702363477168
C1,no,Insulin,2.0202020202020203,0.34890606139831154,0.17898623542877184,0.25967816812426014,0.24321166523218857,0.03709428150241345,0.24899986111954434
C1,no,Insulin,2.5252525252525255,0.3201343738660676,0.17975846147476718,0.252527474793698,0.24645757684215483,0.034543356152276966,0.25098476922485896
C1,no,Insulin,3.0303030303030303,0.30166235086563165,0.1777615833183252,0.24693339614378726,0.24692840597303053,0.03301814130953486,0.25103947996717285
C1,no,Insulin,3.5353535353535355,0.28968450616326397,0.17503201154969045,0.24295397681600697,0.2461144325308278,0.031951519206662865,0.25015816787329126
C1,no,Insulin,4.040404040404041,0.2818741377210137,0.17244638598411657,0.24024477152215487,0.2448869839611799,0.03117957231877196,0.2490044488812838
C1,no,Insulin,4.545454545454546,0.276765444362943,0.1703082621140347,0.2384392831259801,0.24367105448992157,0.030624560527048206,0.24790633611218593
C1,no,Insulin,5.050505050505051,0.2734185156348137,0.1686612627764278,0.23724894794980195,0.24263614384725016,0.030231494621824007,0.24698932108413674
C1,no,Insulin,5.555555555555556,0.2712242397887018,0.16744627878278726,0.23646855739522188,0.2418225843833893,0.029957151397761315,0.24627650484336272
C1,no,Insulin,6.0606060606060606,0.2697854066747273,0.1665754631247137,0.23595844286940956,0.2412134899374227,0.029768001610595465,0.24574679779170214
C1,no,Insulin,6.565656565656566,0.26884205235967784,0.1659639110245123,0.23562551491499534,0.24077216427024972,0.029638876662338817,0.24536501530554033
C1,no,Insulin,7.070707070707071,0.26822373366374425,0.16554081217197983,0.2354083959940737,0.24045972372751584,0.02955142835713473,0.24509578225172982
C1,no,Insulin,7.575757575757576,0.26781860812967817,0.16525139061324468,0.235266849479773,0.24024226392328166,0.02949258510772248,0.24490895121145204
C1,no,Insulin,8.080808080808081,0.26755326943093544,0.16505513749849116,0.23517457966504848,0.24009284141406154,0.029453195799033716,0.24478086982324226
C1,no,Insulin,8.585858585858587,0.2673795502845332,0.1649229737092996,0.23511443083174607,0.23999117639227302,0.02942694034552258,0.24469388180951773
C1,no,Insulin,9.090909090909092,0.2672658556541174,0.1648344571098893,0.23507521272098506,0.23992253737992084,0.0294095007003704,0.24463523888720654
C1,no,Insulin,9.595959595959597,0.26719146805664573,0.1647754335027629,0.23504964280214205,0.23987647514859456,0.02939794918133017,0.2445959265256469
C1,no,Insulin,10.101010101010102,0.26714281184045435,0.16473621670227423,0.23503296500471502,0.23984571395142976,0.029390316033337832,0.24456970076020657
C1,no,Insulin,10.606060606060607,0.2671109939314849,0.16471023579889219,0.23502208677587752,0.23982525133410856,0.029385281901225847,0.24455226645866235
C1,no,Insulin,11.111111111111112,0.2670901918110049,0.16469306511873935,0.2350149895889268,0.2398116826615894,0.02938196726013656,0.2445407138089984
