,,,Slide ID,d,e,c,h,b,g,f,a
,,,Antibody Name,d,e,c,h,b,g,f,a
,,,HUGO ID,d,e,c,h,b,g,f,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,16.666666666666668,0.14222276446873303,0.2168432846336111,0.2305795140024273,0.18944615136863527,0.038761096140422946,0.19188645645231361,0.22978197327481364,0.16999503820173378
C1,no,Insulin,17.171717171717173,0.14222276447277873,0.21684328463921418,0.2305795140051279,0.18944615136769333,0.038761096142225476,0.19188645644965516,0.22978197327915306,0.16999503826085272
C1,no,Insulin,17.67676767676768,0.14222276446453452,0.21684328462763078,0.2305795140036237,0.18944615135717446,0.03876109614478123,0.19188645644616156,0.22978197327918057,0.169995038208973
C1,no,Insulin,18.181818181818183,0.14222276444400034,0.21684328459886087,0.23057951399791465,0.1894461513370787,0.038761096148090195,0.19188645644183283,0.22978197327489625,0.16999503804609467
C1,no,Insulin,18.68686868686869,0.14222276443518567,0.2168432845861289,0.23057951399655013,0.1894461513242045,0.03876109615179705,0.1918864564369636,0.2297819732756934,0.1699950379994254
C1,no,Insulin,19.191919191919194,0.14222276442800563,0.2168432845770457,0.23057951399444407,0.1894461513200269,0.03876109615106791,0.19188645643739877,0.22978197327329683,0.1699950379272653
C1,no,Insulin,19.6969696969697,0.14222276442082563,0.2168432845679625,0.23057951399233803,0.18944615131584933,0.038761096150338764,0.19188645643783392,0.22978197327090025,0.16999503785510522
C1,no,Insulin,20.202020202020204,0.14222276441532036,0.21684328456101376,0.2305795139907345,0.18944615131265252,0.03876109614976943,0.19188645643817057,0.22978197326907682,0.16999503779971353
C1,no,Insulin,20.70707070707071,0.14222276441509782,0.2168432845607976,0.23057951399071616,0.1894461513125494,0.03876109614970417,0.1918864564381963,0.22978197326906127,0.16999503779721417
C1,no,Insulin,21.212121212121215,0.1422227644148753,0.21684328456058144,0.2305795139906978,0.1894461513124463,0.03876109614963891,0.19188645643822205,0.22978197326904573,0.1699950377947148
C1,no,Insulin,21.71717171717172,0.14222276441465279,0.21684328456036525,0.2305795139906794,0.18944615131234316,0.03876109614957364,0.19188645643824778,0.2297819732690302,0.16999503779221545
C1,no,Insulin,22.222222222222225,0.14222276441443027,0.2168432845601491,0.23057951399066104,0.18944615131224005,0.03876109614950838,0.1918864564382735,0.22978197326901464,0.16999503778971609
C1,no,Insulin,22.72727272727273,0.14222276441420775,0.21684328455993293,0.23057951399064266,0.18944615131213693,0.03876109614944312,0.19188645643829927,0.22978197326899907,0.16999503778721672
C1,no,Insulin,23.232323232323235,0.1422227644139852,0.21684328455971677,0.23057951399062432,0.18944615131203382,0.03876109614937786,0.191886456438325,0.22978197326898353,0.16999503778471736
C1,no,Insulin,23.73737373737374,0.1422227644137627,0.2168432845595006,0.23057951399060594,0.1894461513119307,0.03876109614931259,0.19188645643835076,0.229781973268968,0.169995037782218
C1,no,Insulin,24.242424242424242,0.14222276441354018,0.21684328455928445,0.23057951399058757,0.1894461513118276,0.03876109614924733,0.19188645643837648,0.22978197326895244,0.16999503777971864
C1,no,Insulin,24.747474747474747,0.14222276441331766,0.2168432845590683,0.2305795139905692,0.1894461513117245,0.03876109614918207,0.19188645643840224,0.2297819732689369,0.16999503777721928
C1,no,Insulin,25.252525252525253,0.14222276441309514,0.2168432845588521,0.23057951399055082,0.18944615131162137,0.038761096149116804,0.19188645643842797,0.22978197326892136,0.16999503777471991
C1,no,Insulin,25.757575757575758,0.1422227644128726,0.21684328455863594,0.23057951399053248,0.18944615131151826,0.038761096149051544,0.19188645643845373,0.2297819732689058,0.16999503777222055
C1,no,Insulin,26.262626262626263,0.14222276441265008,0.21684328455841978,0.2305795139905141,0.18944615131141515,0.038761096148986283,0.19188645643847946,0.22978197326889024,0.1699950377697212
C1,no,Insulin,26.767676767676768,0.14222276441242757,0.21684328455820362,0.23057951399049573,0.18944615131131204,0.038761096148921016,0.1918864564385052,0.2297819732688747,0.16999503776722183
C1,no,Insulin,27.272727272727273,0.14222276441220505,0.21684328455798746,0.23057951399047735,0.18944615131120893,0.038761096148855756,0.19188645643853094,0.22978197326885916,0.16999503776472247
C1,no,Insulin,27.77777777777778,0.14222276441198253,0.2168432845577713,0.23057951399045898,0.18944615131110581,0.038761096148790496,0.19188645643855667,0.22978197326884361,0.1699950377622231
C1,no,Insulin,28.282828282828284,0.14222276441176,0.2168432845575551,0.23057951399044063,0.18944615131100268,0.03876109614872523,0.19188645643858243,0.22978197326882807,0.16999503775972374
C1,no,Insulin,28.78787878787879,0.14222276441153747,0.21684328455733895,0.23057951399042226,0.18944615131089956,0.03876109614865997,0.19188645643860816,0.2297819732688125,0.16999503775722438
C1,no,Insulin,29.292929292929294,0.14222276441131496,0.2168432845571228,0.23057951399040388,0.18944615131079645,0.03876109614859471,0.19188645643863392,0.22978197326879696,0.16999503775472502
C1,no,Insulin,29.7979797979798,0.14222276441109244,0.21684328455690663,0.2305795139903855,0.18944615131069334,0.03876109614852944,0.19188645643865965,0.22978197326878141,0.16999503775222566
C1,no,Insulin,30.303030303030305,0.14222276441086992,0.21684328455669047,0.23057951399036716,0.18944615131059023,0.03876109614846418,0.1918864564386854,0.22978197326876587,0.1699950377497263
C1,no,Insulin,30.80808080808081,0.14222276441064738,0.2168432845564743,0.2305795139903488,0.18944615131048712,0.03876109614839892,0.19188645643871113,0.22978197326875033,0.16999503774722693
C1,no,Insulin,31.313131313131315,0.14222276441042486,0.21684328455625812,0.23057951399033041,0.189446151310384,0.03876109614833365,0.19188645643873686,0.22978197326873478,0.16999503774472757
C1,no,Insulin,31.81818181818182,0.14222276441020235,0.21684328455604196,0.23057951399031204,0.1894461513102809,0.03876109614826839,0.19188645643876262,0.22978197326871921,0.1699950377422282
C1,no,Insulin,32.323232323232325,0.14222276440997983,0.2168432845558258,0.23057951399029367,0.18944615131017778,0.03876109614820313,0.19188645643878835,0.22978197326870367,0.16999503773972885
C1,no,Insulin,32.82828282828283,0.1422227644097573,0.21684328455560964,0.23057951399027532,0.18944615131007467,0.038761096148137865,0.1918864564388141,0.22978197326868813,0.1699950377372295
C1,no,Insulin,33.333333333333336,0.14222276440953477,0.21684328455539348,0.23057951399025695,0.18944615130997156,0.038761096148072605,0.19188645643883984,0.22978197326867258,0.16999503773473013
C1,no,Insulin,33.83838383838384,0.14222276440931225,0.21684328455517732,0.23057951399023857,0.18944615130986844,0.038761096148007344,0.1918864564388656,0.22978197326865704,0.16999503773223076
C1,no,Insulin,34.343434343434346,0.14222276440908974,0.21684328455496116,0.2305795139902202,0.1894461513097653,0.038761096147942084,0.19188645643889132,0.2297819732686415,0.1699950377297314
C1,no,Insulin,34.84848484848485,0.14222276440886722,0.21684328455474497,0.23057951399020182,0.1894461513096622,0.03876109614787682,0.19188645643891708,0.22978197326862593,0.16999503772723204
C1,no,Insulin,35.35353535353536,0.1422227644086447,0.2168432845545288,0.23057951399018348,0.18944615130955908,0.038761096147811556,0.1918864564389428,0.22978197326861038,0.16999503772473268
C1,no,Insulin,35.85858585858586,0.14222276440842216,0.21684328455431265,0.2305795139901651,0.18944615130945597,0.038761096147746296,0.19188645643896854,0.22978197326859484,0.16999503772223332
C1,no,Insulin,36.36363636363637,0.14222276440819964,0.2168432845540965,0.23057951399014673,0.18944615130935286,0.03876109614768103,0.1918864564389943,0.2297819732685793,0.16999503771973395
C1,no,Insulin,36.86868686868687,0.14222276440797713,0.21684328455388033,0.23057951399012835,0.18944615130924974,0.03876109614761577,0.19188645643902003,0.22978197326856376,0.1699950377172346
C1,no,Insulin,37.37373737373738,0.1422227644077546,0.21684328455366417,0.23057951399011,0.18944615130914663,0.03876109614755051,0.19188645643904578,0.2297819732685482,0.16999503771473523
C1,no,Insulin,37.87878787878788,0.1422227644075321,0.21684328455344798,0.23057951399009163,0.18944615130904352,0.03876109614748524,0.1918864564390715,0.22978197326853264,0.16999503771223587
C1,no,Insulin,38.38383838383839,0.14222276440732068,0.21684328455324273,0.23057951399007423,0.1894461513089456,0.038761096147423166,0.19188645643909602,0.22978197326851799,0.16999503770986069
C1,no,Insulin,38.88888888888889,0.14222276440731405,0.21684328455323837,0.23057951399007512,0.1894461513089436,0.038761096147419766,0.19188645643909732,0.2297819732685192,0.16999503770977464
C1,no,Insulin,39.3939393939394,0.14222276440730738,0.216843284553234,0.23057951399007598,0.18944615130894157,0.038761096147416366,0.19188645643909866,0.22978197326852046,0.1699950377096886
C1,no,Insulin,39.8989898989899,0.14222276440730075,0.21684328455322965,0.23057951399007687,0.18944615130893958,0.03876109614741297,0.1918864564391,0.2297819732685217,0.16999503770960253
C1,no,Insulin,40.40404040404041,0.14222276440729412,0.21684328455322527,0.23057951399007773,0.18944615130893758,0.03876109614740957,0.1918864564391013,0.22978197326852293,0.1699950377095165
C1,no,Insulin,40.909090909090914,0.14222276440728746,0.2168432845532209,0.23057951399007862,0.18944615130893555,0.03876109614740617,0.19188645643910263,0.22978197326852418,0.16999503770943045
C1,no,Insulin,41.41414141414142,0.14222276440728082,0.21684328455321655,0.23057951399007948,0.18944615130893355,0.03876109614740277,0.19188645643910396,0.22978197326852542,0.1699950377093444
C1,no,Insulin,41.919191919191924,0.1422227644072742,0.2168432845532122,0.23057951399008036,0.18944615130893155,0.03876109614739937,0.19188645643910526,0.22978197326852667,0.16999503770925833
C1,no,Insulin,42.42424242424243,0.14222276440726755,0.21684328455320784,0.23057951399008123,0.18944615130892953,0.03876109614739598,0.1918864564391066,0.2297819732685279,0.1699950377091723
C1,no,Insulin,42.929292929292934,0.1422227644072609,0.21684328455320345,0.2305795139900821,0.18944615130892753,0.03876109614739258,0.19188645643910793,0.22978197326852914,0.16999503770908625
C1,no,Insulin,43.43434343434344,0.14222276440725426,0.2168432845531991,0.23057951399008297,0.18944615130892553,0.03876109614738918,0.19188645643910926,0.2297819732685304,0.1699950377090002
C1,no,Insulin,43.939393939393945,0.14222276440724763,0.21684328455319474,0.23057951399008386,0.1894461513089235,0.03876109614738578,0.19188645643911056,0.22978197326853161,0.16999503770891417
C1,no,Insulin,44.44444444444445,0.14222276440724096,0.21684328455319038,0.23057951399008472,0.1894461513089215,0.038761096147382386,0.1918864564391119,0.22978197326853286,0.1699950377088281
C1,no,Insulin,44.949494949494955,0.14222276440723433,0.21684328455318602,0.2305795139900856,0.1894461513089195,0.038761096147378986,0.19188645643911323,0.2297819732685341,0.16999503770874205
C1,no,Insulin,45.45454545454546,0.1422227644072277,0.21684328455318166,0.23057951399008647,0.18944615130891748,0.038761096147375586,0.19188645643911453,0.22978197326853533,0.169995037708656
C1,no,Insulin,45.959595959595966,0.14222276440722104,0.21684328455317728,0.23057951399008736,0.18944615130891548,0.038761096147372186,0.19188645643911587,0.22978197326853658,0.16999503770856997
C1,no,Insulin,46.46464646464647,0.1422227644072144,0.21684328455317292,0.23057951399008822,0.18944615130891349,0.038761096147368786,0.1918864564391172,0.22978197326853783,0.16999503770848393
C1,no,Insulin,46.969696969696976,0.14222276440720777,0.21684328455316856,0.2305795139900891,0.18944615130891146,0.03876109614736539,0.1918864564391185,0.22978197326853908,0.16999503770839786
C1,no,Insulin,47.47474747474748,0.1422227644072011,0.2168432845531642,0.23057951399008997,0.18944615130890946,0.03876109614736199,0.19188645643911983,0.2297819732685403,0.1699950377083118
C1,no,Insulin,47.979797979797986,0.14222276440719447,0.21684328455315985,0.23057951399009086,0.18944615130890746,0.03876109614735859,0.19188645643912117,0.22978197326854155,0.16999503770822577
C1,no,Insulin,48.484848484848484,0.14222276440718784,0.2168432845531555,0.23057951399009172,0.18944615130890544,0.03876109614735519,0.19188645643912247,0.2297819732685428,0.16999503770813973
C1,no,Insulin,48.98989898989899,0.1422227644071812,0.2168432845531511,0.2305795139900926,0.18944615130890344,0.03876109614735179,0.1918864564391238,0.22978197326854402,0.16999503770805366
C1,no,Insulin,49.494949494949495,0.14222276440717455,0.21684328455314675,0.23057951399009347,0.18944615130890144,0.0387610961473484,0.19188645643912514,0.22978197326854527,0.16999503770796762
C1,no,Insulin,50.0,0.1422227644071679,0.2168432845531424,0.23057951399009435,0.1894461513088994,0.038761096147345,0.19188645643912644,0.22978197326854652,0.16999503770788157
