,,,Slide ID,d,a,b,c,e
C1,no,Insulin,11.616161616161618,0.005976106238867131,0.04329240860975966,0.009745409162972951,0.03733427895848178,0.07865959007299982
C1,no,Insulin,12.121212121212121,0.005962169608817602,0.04323581398902409,0.009725388777517736,0.03728251454173413,0.07854817764471593
C1,no,Insulin,12.626262626262626,0.005951769311144087,0.0431935376790234,0.009710442209111991,0.037243850612902744,0.078464952561381
C1,no,Insulin,13.131313131313131,0.005944004839126533,0.04316194847441465,0.009699280396220498,0.03721496464123129,0.07840277378386445
C1,no,Insulin,13.636363636363637,0.005938206426763321,0.04313834641213999,0.009690942704008427,0.03719338128862019,0.07835631394296433
C1,no,Insulin,14.141414141414142,0.005933874363505785,0.0431207058080107,0.009684712347511315,0.03717724959763152,0.07832158925387848
C1,no,Insulin,14.646464646464647,0.005930638448583657,0.04310752418344734,0.009680057846925463,0.03716519599350769,0.0782956432012957
C1,no,Insulin,15.151515151515152,0.005928222222192673,0.043097679180372356,0.009676582019302106,0.037156193614819026,0.07827626523971969
C1,no,Insulin,15.656565656565657,0.005926415684273709,0.04309031715834973,0.009673983060028275,0.03714946174650005,0.07826177469245928
C1,no,Insulin,16.161616161616163,0.005925065422802041,0.04308481360890077,0.00967204040803119,0.03714442941478257,0.07825094262593803
C1,no,Insulin,16.666666666666668,0.00592405572115031,0.04308069772753318,0.009670587670338442,0.03714066598419474,0.0782428419015594
C1,no,Insulin,17.171717171717173,0.00592330137613615,0.043077622897020516,0.009669502280976471,0.03713785423485443,0.07823678954675259
C1,no,Insulin,17.67676767676768,0.005922737762025828,0.043075325059773566,0.009668691304582772,0.037135753135972234,0.07823226710798571
C1,no,Insulin,18.181818181818183,0.005922316409048079,0.04307360637800874,0.00966808507445095,0.03713418220534042,0.07822888597924733
C1,no,Insulin,18.68686868686869,0.0059220013553399386,0.04307232255976799,0.009667631718723391,0.0371330080053994,0.07822635817121117
C1,no,Insulin,19.191919191919194,0.005921765804848292,0.043071367388225944,0.009667292433475607,0.03713213092361967,0.07822446892097533
C1,no,Insulin,19.6969696969697,0.005921590000203103,0.04307064641404496,0.009667039732447156,0.0371314746094364,0.0782230573828862
C1,no,Insulin,20.202020202020204,0.005921458559269257,0.04307010938307791,0.009666850665588665,0.03713098431096499,0.07822200238382737
C1,no,Insulin,20.70707070707071,0.005921360301863623,0.04306970873948508,0.00966670927761492,0.037130617948390426,0.07822121386164772
C1,no,Insulin,21.212121212121215,0.005921286789014755,0.04306940897446292,0.009666603496994733,0.03713034386101909,0.07822062392475414
C1,no,Insulin,21.71717171717172,0.005921231370903205,0.04306918298014775,0.009666523753890335,0.03713013724420273,0.07822017920073233
C1,no,Insulin,22.222222222222225,0.005921190300555159,0.04306901547875241,0.009666464656102741,0.03712998412602678,0.07821984961963493
C1,no,Insulin,22.72727272727273,0.005921160273292868,0.04306889300049694,0.009666421447584839,0.037129872184769555,0.07821960866185966
C1,no,Insulin,23.232323232323235,0.005921136843429509,0.043068797434160234,0.009666387729874194,0.03712978484058446,0.0782194206477225
C1,no,Insulin,23.73737373737374,0.005921120306451437,0.04306872998042519,0.009666363927722865,0.037129723195721255,0.07821928794879987
C1,no,Insulin,24.242424242424242,0.005921107923493029,0.043068679474135445,0.009666346097820421,0.03712967703616381,0.07821918858378551
C1,no,Insulin,24.747474747474747,0.005921098181828495,0.04306863974486857,0.009666332060675662,0.03712964071787864,0.07821911040948057
C1,no,Insulin,25.252525252525253,0.005921090685746427,0.04306860917030364,0.009666321243289394,0.03712961276005371,0.07821905024509707
C1,no,Insulin,25.757575757575758,0.0059210849904247674,0.04306858590258012,0.009666313002133137,0.037129591491973764,0.07821900450973339
C1,no,Insulin,26.262626262626263,0.005921080896252823,0.04306856907458368,0.009666307046582832,0.03712957615245519,0.07821897158607542
C1,no,Insulin,26.767676767676768,0.0059210779973866605,0.04306855685519057,0.00966630279505877,0.03712956518864813,0.07821894818211106
C1,no,Insulin,27.272727272727273,0.005921075982154146,0.04306854810854039,0.009666299825394142,0.037129557488677224,0.07821893184205327
C1,no,Insulin,27.77777777777778,0.005921074725257628,0.043068543028645524,0.00966629801773504,0.037129552792167446,0.078218921745651
C1,no,Insulin,28.282828282828284,0.005921073774923946,0.043068539455938255,0.009666296715796446,0.03712954933609947,0.0782189141975367
C1,no,Insulin,28.78787878787879,0.005921072900412364,0.04306853643262453,0.0096662955864828,0.03712954625784109,0.0782189073440139
C1,no,Insulin,29.292929292929294,0.005921072515342063,0.04306853514237488,0.009666295099812223,0.03712954491293409,0.07821890433564078
C1,no,Insulin,29.7979797979798,0.005921072154927419,0.04306853384957089,0.009666294630981606,0.03712954363305947,0.0782189015010718
C1,no,Insulin,30.303030303030305,0.0059210716511386065,0.043068531804831826,0.009666293925056654,0.037129541771463895,0.07821889747363854
C1,no,Insulin,30.80808080808081,0.005921071402242681,0.04306853085300024,0.009666293591333376,0.03712954087249921,0.07821889550265528
C1,no,Insulin,31.313131313131315,0.005921071154900441,0.04306852985389055,0.009666293244686147,0.03712953995933467,0.07821889352608227
C1,no,Insulin,31.81818181818182,0.005921070845823836,0.043068528537947286,0.009666292790027956,0.03712953879048186,0.07821889103101927
C1,no,Insulin,32.323232323232325,0.0059210705774396495,0.043068527425694066,0.009666292400752657,0.03712953778440782,0.07821888887241578
C1,no,Insulin,32.82828282828283,0.005921070387584478,0.04306852659372538,0.009666292115195685,0.037129537058837835,0.07821888733296115
C1,no,Insulin,33.333333333333336,0.005921070194246666,0.04306852578437141,0.00966629182989113,0.03712953632940107,0.07821888577367375
C1,no,Insulin,33.83838383838384,0.005921070038888248,0.04306852511887961,0.009666291598747155,0.03712953573977165,0.07821888451760148
C1,no,Insulin,34.343434343434346,0.005921069922418797,0.043068524599909834,0.009666291422946368,0.03712953529310145,0.07821888357183121
C1,no,Insulin,34.84848484848485,0.005921069820342759,0.043068524155829735,0.009666291270640108,0.03712953490450852,0.07821888274550791
C1,no,Insulin,35.35353535353536,0.005921069732660134,0.0430685237866393,0.009666291141828376,0.03712953457399286,0.07821888203863159
C1,no,Insulin,35.85858585858586,0.005921069659370922,0.04306852349233854,0.009666291036511171,0.037129534301554475,0.07821888145120225
C1,no,Insulin,36.36363636363637,0.005921069600475123,0.043068523272927456,0.009666290954688494,0.03712953408719336,0.07821888098321987
C1,no,Insulin,36.86868686868687,0.005921069555972738,0.04306852312840605,0.009666290896360345,0.03712953393090952,0.07821888063468449
C1,no,Insulin,37.37373737373738,0.00592106951679961,0.04306852299834644,0.009666290844608714,0.037129533792615,0.07821888032723837
C1,no,Insulin,37.87878787878788,0.0059210694747823985,0.04306852282825954,0.009666290784178268,0.03712953363616164,0.07821887999022464
C1,no,Insulin,38.38383838383839,0.005921069441316718,0.04306852269411634,0.009666290736338632,0.037129533511948705,0.07821887972215606
C1,no,Insulin,38.88888888888889,0.005921069416402569,0.04306852259591682,0.009666290701089802,0.03712953341997622,0.07821887952303262
C1,no,Insulin,39.3939393939394,0.005921069400039952,0.04306852253366099,0.009666290678431779,0.03712953336024417,0.0782188793928543
C1,no,Insulin,39.8989898989899,0.005921069392228865,0.04306852250734885,0.009666290668364563,0.037129533332752554,0.07821887933162111
C1,no,Insulin,40.40404040404041,0.00592106939296931,0.043068522516980394,0.009666290670888155,0.03712953333750137,0.07821887933933307
C1,no,Insulin,40.909090909090914,0.005921069331026804,0.04306852228215523,0.009666290585163302,0.0371295331115747,0.07821887884670874
C1,no,Insulin,41.41414141414142,0.005921069341507372,0.04306852232398444,0.009666290600168886,0.03712953315044814,0.07821887893063416
C1,no,Insulin,41.919191919191924,0.00592106935198794,0.04306852236581365,0.009666290615174468,0.037129533189321585,0.07821887901455958
C1,no,Insulin,42.42424242424243,0.005921069362468507,0.04306852240764286,0.009666290630180051,0.03712953322819503,0.078218879098485
C1,no,Insulin,42.929292929292934,0.0059210693729490746,0.04306852244947207,0.009666290645185633,0.03712953326706848,0.07821887918241043
C1,no,Insulin,43.43434343434344,0.005921069383429642,0.04306852249130128,0.009666290660191215,0.037129533305941924,0.07821887926633586
C1,no,Insulin,43.939393939393945,0.00592106939391021,0.04306852253313049,0.009666290675196799,0.03712953334481537,0.07821887935026128
C1,no,Insulin,44.44444444444445,0.005921069404075298,0.043068522573703104,0.009666290689750886,0.03712953338251922,0.07821887943166092
C1,no,Insulin,44.949494949494955,0.005921069405168103,0.0430685225781396,0.009666290691321246,0.03712953338658882,0.0782188794404264
C1,no,Insulin,45.45454545454546,0.005921069406260909,0.04306852258257608,0.009666290692891608,0.03712953339065843,0.07821887944919187
C1,no,Insulin,45.959595959595966,0.005921069407353713,0.04306852258701257,0.009666290694461968,0.037129533394728034,0.07821887945795733
C1,no,Insulin,46.46464646464647,0.005921069408446519,0.043068522591449054,0.009666290696032328,0.03712953339879764,0.0782188794667228
C1,no,Insulin,46.969696969696976,0.0059210694095393245,0.04306852259588555,0.009666290697602688,0.03712953340286725,0.07821887947548826
C1,no,Insulin,47.47474747474748,0.00592106941063213,0.04306852260032203,0.00966629069917305,0.03712953340693686,0.07821887948425374
C1,no,Insulin,47.979797979797986,0.0059210694117249356,0.04306852260475852,0.00966629070074341,0.037129533411006464,0.0782188794930192
C1,no,Insulin,48.484848484848484,0.00592106941281774,0.04306852260919501,0.00966629070231377,0.03712953341507607,0.07821887950178467
C1,no,Insulin,48.98989898989899,0.005921069413910546,0.0430685226136315,0.00966629070388413,0.037129533419145676,0.07821887951055013
C1,no,Insulin,49.494949494949495,0.005921069415003351,0.043068522618067984,0.009666290705454493,0.03712953342321528,0.07821887951931561
C1,no,Insulin,50.0,0.005921069416096157,0.043068522622504476,0.009666290707024853,0.03712953342728489,0.07821887952808107
