,,,Slide ID,d,a,b,c,e
,,,Antibody Name,d,a,b,c,e
,,,HUGO ID,d,a,b,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5988731133386643,0.23820382625701553,0.9239921764025462,0.15148841310526473,0.058290060389526
C1,no,Insulin,0.5050505050505051,0.26938368317837436,0.1991849115696034,0.3081486870209709,0.15859664276939875,0.1515526407421958
C1,no,Insulin,1.0101010101010102,0.13116323290991425,0.1691178236709412,0.12868481632411177,0.1442897026704386,0.1853838767374583
C1,no,Insulin,1.5151515151515151,0.0701695235653069,0.13968335100785936,0.06921510710481435,0.12249098478710002,0.1866417151985728
C1,no,Insulin,2.0202020202020203,0.04146352817585494,0.11423028082820565,0.044895683582177236,0.10138671385890852,0.17339091848831908
C1,no,Insulin,2.5252525252525255,0.026951860421896925,0.09451319471531384,0.03249229536703083,0.08417864108738848,0.15594862069712548
C1,no,Insulin,3.0303030303030303,0.019077154068665794,0.08010312713302684,0.025129751433828763,0.07122259833554435,0.1392061648498127
C1,no,Insulin,3.5353535353535355,0.01451976999857896,0.0698093479257911,0.020398411837883018,0.061807301764115044,0.12497678743930805
C1,no,Insulin,4.040404040404041,0.011733041494190717,0.06248431874069143,0.017234874990705112,0.05504946079003476,0.1135904750931854
C1,no,Insulin,4.545454545454546,0.00995037526458188,0.05724784727881277,0.015069708343519724,0.05020321738035838,0.10477305394378977
C1,no,Insulin,5.050505050505051,0.00876813512441142,0.053476786018876704,0.013562401971069563,0.04671287595231128,0.09806999723229073
C1,no,Insulin,5.555555555555556,0.007961616384794952,0.05074080759021885,0.012498311809904173,0.04418395425468201,0.09302723339358202
C1,no,Insulin,6.0606060606060606,0.007399189763619691,0.04874276494822235,0.01173816616144661,0.04234047504461718,0.08925520024071514
C1,no,Insulin,6.565656565656566,0.007000331535731959,0.04727591318544611,0.011189800106678851,0.04098951238270934,0.08644211226424174
C1,no,Insulin,7.070707070707071,0.0067137876320801804,0.0461944125928391,0.010791009252430806,0.03999502572557766,0.08434692584895272
C1,no,Insulin,7.575757575757576,0.006505901570222167,0.04539436137313199,0.01049912662933531,0.03926030699197171,0.08278699409169683
C1,no,Insulin,8.080808080808081,0.006353963838545519,0.044801064772027395,0.010284425166133728,0.038716012401952535,0.08162547320455395
C1,no,Insulin,8.585858585858587,0.006242292539683258,0.04436022045122174,0.01012588067513427,0.03831190502340184,0.08076027435595676
C1,no,Insulin,9.090909090909092,0.006159869703337105,0.044032172268574345,0.010008455911354902,0.03801138085237514,0.08011549607179301
C1,no,Insulin,9.595959595959597,0.006098839902043721,0.04378778425925093,0.00992128648278781,0.037787602250143826,0.07963473975432936
C1,no,Insulin,10.101010101010102,0.006053544371762912,0.043605567710591736,0.009856467465630656,0.03762081330920621,0.07927612388992389
C1,no,Insulin,10.606060606060607,0.006019865955467508,0.04346962555495986,0.009808204960146592,0.03749641262078111,0.07900851139929241
C1,no,Insulin,11.111111111111112,0.005994794158364802,0.043368149113397945,0.009772238645474733,0.03740357897058553,0.07880875169068409
