,,,Slide ID,c,b,d,f,a,e
,,,Antibody Name,c,b,d,f,a,e
,,,HUGO ID,c,b,d,f,a,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.3745048118435652,0.8434411934058825,0.4511369960633437,0.7300886561403592,0.21877886364407206,0.02136268249274409
C1,no,Insulin,0.33557046979865773,0.34496730336914894,0.4678864030729303,0.3394110469002612,0.5642696548697994,0.1428630505412909,0.10775819784325523
C1,no,Insulin,0.6711409395973155,0.3183610693767372,0.31160062507989095,0.2709035516980656,0.457810094998686,0.09737934078502283,0.1483575551058007
C1,no,Insulin,1.0067114093959733,0.29590600928396954,0.2436221246559732,0.2279132558459994,0.38815340412418353,0.0694996454270504,0.16504975656715742
C1,no,Insulin,1.342281879194631,0.27779007983265835,0.21203462950372506,0.20034153642917918,0.34188174111960007,0.051998537982191236,0.16986401391986733
C1,no,Insulin,1.6778523489932886,0.263648331581166,0.19605986817243448,0.1823197355478599,0.3107870679407652,0.040749713126561976,0.1692344112086805
C1,no,Insulin,2.0134228187919465,0.2528791908779208,0.18721772901409853,0.17035737084592545,0.2897114272303939,0.03335628877585709,0.16647802461566497
C1,no,Insulin,2.348993288590604,0.24483306863858995,0.1819193889549459,0.1623232946755201,0.2753372383189535,0.028398031182524958,0.1632146061515897
C1,no,Insulin,2.684563758389262,0.23891032294600545,0.17855307607558657,0.15688132624316678,0.2654899701355638,0.02501455923314398,0.16016577876356286
C1,no,Insulin,3.0201342281879198,0.23460185468294417,0.17633236524406068,0.1531731714156791,0.2587230685087271,0.02267218730920089,0.15759611210217905
C1,no,Insulin,3.3557046979865772,0.23149735819776357,0.1748351922289274,0.15063625767973535,0.2540632798042855,0.02103179466715949,0.1555510115893142
C1,no,Insulin,3.691275167785235,0.2292776199830796,0.17381401235110655,0.14889603115146585,0.2508501964374805,0.019872769562315904,0.15398132799130684
C1,no,Insulin,4.026845637583893,0.22770050874120806,0.17311343516914565,0.14770025050948313,0.24863289197152336,0.019048427991969874,0.1528059761380105
C1,no,Insulin,4.3624161073825505,0.22658580943407317,0.17263150931640964,0.14687768336928353,0.2471021087364315,0.01845933814431713,0.1519413886074832
C1,no,Insulin,4.697986577181208,0.22580133381681766,0.17229962205370608,0.14631146251070049,0.24604510858289727,0.01803698937146566,0.15131375273684802
C1,no,Insulin,5.033557046979866,0.22525122650696172,0.1720709728551128,0.1459215350307952,0.24531524786171893,0.017733542851236725,0.15086271372300158
C1,no,Insulin,5.369127516778524,0.22486661070560932,0.1719134382909013,0.1456529439116335,0.2448113264730956,0.01751525081084541,0.15054112313840834
C1,no,Insulin,5.704697986577181,0.22459836468139657,0.17180490574796015,0.14546790543725818,0.24446345704064357,0.01735812043975177,0.15031325369433926
C1,no,Insulin,6.0402684563758395,0.22441166491342834,0.171730138797454,0.1453404184405911,0.24422336000440592,0.017244998474882988,0.15015259696952862
C1,no,Insulin,6.375838926174497,0.22428194074598826,0.17167863407556538,0.14525257675284256,0.24405767464577563,0.017163572295531258,0.15003978139540128
C1,no,Insulin,6.7114093959731544,0.2241919338520951,0.1716431558734996,0.14519205175053637,0.24394336324884486,0.01710498543755153,0.14996081925300278
C1,no,Insulin,7.046979865771813,0.22412955764964104,0.17161871761837458,0.14515034789725922,0.24386450967860143,0.01706285495883957,0.14990569974165358
C1,no,Insulin,7.38255033557047,0.2240863739940216,0.17160188409048507,0.1451216133654343,0.24381012610568795,0.01703257894738874,0.1498673095568213
C1,no,Insulin,7.718120805369128,0.22405649964177732,0.17159028838389315,0.14510181295964272,0.24377262049221102,0.017010836315366925,0.14984061848975574
C1,no,Insulin,8.053691275167786,0.22403584742353846,0.1715823002660416,0.14508817019728756,0.24374676081225854,0.016995234138817126,0.14982208829353155
C1,no,Insulin,8.389261744966444,0.22402157844477608,0.1715767971297419,0.1450787696155159,0.2437289314971409,0.016984046405741388,0.14980924066103465
C1,no,Insulin,8.724832214765101,0.22401172451164364,0.1715730072419985,0.14507229260785756,0.24371664078999192,0.016976030367983216,0.14980034177355686
C1,no,Insulin,9.060402684563758,0.2240049225858033,0.1715703947205676,0.14506782993364079,0.2437081693898052,0.016970291234942887,0.14979418360950947
C1,no,Insulin,9.395973154362416,0.22400022820456544,0.17156859537544256,0.14506475474773195,0.24370232932256092,0.016966184852455667,0.14978992501923868
C1,no,Insulin,9.731543624161075,0.22399698947595498,0.171567358218988,0.14506263610192482,0.24369830451694827,0.01696324902292775,0.14978698149307726
C1,no,Insulin,10.067114093959733,0.2239947558432384,0.17156650201838566,0.14506117615960462,0.2436955310694007,0.01696115143052438,0.14978494839781145
C1,no,Insulin,10.40268456375839,0.2239932153481369,0.1715659132904054,0.14506017043653993,0.24369361932393352,0.01695965369151405,0.14978354462509064
C1,no,Insulin,10.738255033557047,0.22399215307139272,0.17156551096975128,0.1450594774977042,0.24369230199879377,0.016958584953360497,0.14978257545518034
C1,no,Insulin,11.073825503355705,0.2239914209182812,0.17156523068528917,0.14505900001751298,0.24369139443376373,0.01695782279507125,0.14978190690146
C1,no,Insulin,11.409395973154362,0.22399091621431294,0.17156503789211203,0.14505867104725056,0.24369076905153034,0.016957279594465982,0.149781445693972
C1,no,Insulin,11.74496644295302,0.22399056838382408,0.17156490543645908,0.14505844443612234,0.24369033818588384,0.01695689270516834,0.14978112764171847
C1,no,Insulin,12.080536912751679,0.22399032856362974,0.17156481400303197,0.14505828824776487,0.243690041190253,0.016956617177394627,0.14978090823773732
C1,no,Insulin,12.416107382550337,0.22399016266818053,0.17156475083502032,0.14505818023656764,0.24368983578657732,0.01695642048560116,0.14978075639855812
C1,no,Insulin,12.751677852348994,0.223990048502617,0.17156470737274482,0.14505810592429497,0.24368969445797242,0.01695628070655212,0.14978065186551243
C1,no,Insulin,13.087248322147651,0.22398996882405053,0.1715646770460087,0.14505805407166805,0.24368959583754965,0.016956180071384393,0.14978057888435242
C1,no,Insulin,13.422818791946309,0.22398991628015025,0.17156465705483778,0.1450580198877572,0.2436895308165112,0.016956110823695733,0.14978053073450162
C1,no,Insulin,13.758389261744966,0.223989880487033,0.17156464344345188,0.14505799660560514,0.2436894865294962,0.01695606201680416,0.14978049792539871
C1,no,Insulin,14.093959731543626,0.22398985556990283,0.17156463397227867,0.14505798039793108,0.24368945569956985,0.016956027160929414,0.14978047508466935
C1,no,Insulin,14.429530201342283,0.22398983818327986,0.1715646273657134,0.14505796908635227,0.2436894341843059,0.016956002417637464,0.1497804591506344
C1,no,Insulin,14.76510067114094,0.22398982576503776,0.17156462264639732,0.14505796100527316,0.24368941881492506,0.016955984517893177,0.14978044777295269
C1,no,Insulin,15.100671140939598,0.22398981698704226,0.17156461930814648,0.14505795529244406,0.2436894079502209,0.016955971652155503,0.14978043973130684
C1,no,Insulin,15.436241610738255,0.22398981091848347,0.17156461699664244,0.1450579513434518,0.2436894004397832,0.016955962545871086,0.1497804341707204
C1,no,Insulin,15.771812080536913,0.22398980665651277,0.171564615369609,0.1450579485710807,0.24368939516641383,0.016955955993139097,0.14978043026382304
C1,no,Insulin,16.107382550335572,0.22398980370674643,0.1715646142405836,0.14505794665314325,0.24368939151760205,0.016955951333141664,0.14978042755853158
C1,no,Insulin,16.44295302013423,0.22398980168828617,0.17156461346621069,0.14505794534125913,0.24368938902127238,0.016955948055422693,0.14978042570674663
C1,no,Insulin,16.778523489932887,0.22398980026407428,0.17156461292060438,0.14505794441560196,0.24368938725978292,0.016955945693862495,0.14978042440024059
C1,no,Insulin,17.114093959731544,0.22398979928199833,0.17156461254683947,0.14505794377706346,0.24368938604479717,0.01695594403268123,0.14978042349972656
C1,no,Insulin,17.449664429530202,0.22398979857460014,0.17156461228198994,0.1450579433167598,0.2436893851693036,0.01695594282202098,0.14978042285144555
C1,no,Insulin,17.78523489932886,0.22398979807491767,0.1715646120994861,0.1450579429913299,0.24368938455068767,0.016955941955317595,0.1497804223937318
C1,no,Insulin,18.120805369127517,0.22398979772137675,0.17156461197442746,0.14505794276094364,0.24368938411301247,0.016955941332946867,0.14978042206984915
C1,no,Insulin,18.456375838926174,0.2239897974690601,0.17156461188657393,0.14505794259654736,0.24368938380076327,0.016955940881196785,0.14978042183856938
