,,,Slide ID,c,b,a,d
,,,Antibody Name,c,b,a,d
,,,HUGO ID,c,b,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.04238955066947059,0.005021506328384717,0.9168654245959013,0.7831200756165994
C1,no,Insulin,0.5050505050505051,0.06401664381393964,0.04906987876527106,0.3312484421572844,0.3252896478526194
C1,no,Insulin,1.0101010101010102,0.09357192221970809,0.0865515945111135,0.24098001599579158,0.19100371382428974
C1,no,Insulin,1.5151515151515151,0.1170658121632183,0.10805392072367838,0.23447508986591364,0.15481096976747166
C1,no,Insulin,2.0202020202020203,0.13320342458248335,0.11888139695727698,0.23800118838812687,0.14669158525957368
C1,no,Insulin,2.5252525252525255,0.14353777220006145,0.12395119006502235,0.2405416903871771,0.14572082165677927
C1,no,Insulin,3.0303030303030303,0.14987617954807925,0.12618206283087005,0.24162404281899885,0.1460994505783341
C1,no,Insulin,3.5353535353535355,0.1536459403486581,0.12709125213088432,0.24192783664571665,0.14646735620026408
C1,no,Insulin,4.040404040404041,0.1558345774518366,0.12741750323277443,0.2419176916557516,0.14664229712912738
C1,no,Insulin,4.545454545454546,0.1570798566115028,0.12750398639680652,0.24181545551976524,0.1466855597382357
C1,no,Insulin,5.050505050505051,0.15777593230310666,0.127502633744828,0.24170884792457636,0.14666846321314334
C1,no,Insulin,5.555555555555556,0.15815875225214082,0.1274765155153391,0.24162466700383997,0.14663338161026204
C1,no,Insulin,6.0606060606060606,0.1583660798814256,0.1274491901221696,0.24156571732924012,0.14659942061796713
C1,no,Insulin,6.565656565656566,0.15847668308493845,0.12742765143717222,0.24152718616724833,0.14657282995412
C1,no,Insulin,7.070707070707071,0.15853481552841436,0.1274126062905711,0.2415031361851744,0.14655411875280722
C1,no,Insulin,7.575757575757576,0.15856489077343025,0.12740279108431596,0.2414886188948909,0.1465417852633403
C1,no,Insulin,8.080808080808081,0.15858019537711399,0.12739667379244907,0.24148008580688343,0.1465340233693383
C1,no,Insulin,8.585858585858587,0.15858783918001648,0.12739298689284922,0.24147517541445604,0.146529293451272
C1,no,Insulin,9.090909090909092,0.1585915770776473,0.1273908216719583,0.24147240754214527,0.14652649570296916
C1,no,Insulin,9.595959595959597,0.1585933585745662,0.12738957715206858,0.24147086798632475,0.14652487228983724
C1,no,Insulin,10.101010101010102,0.15859418047719545,0.12738887536798796,0.2414700276939633,0.1465239503585039
C1,no,Insulin,10.606060606060607,0.15859454323447664,0.12738848643906384,0.2414695762723086,0.14652343601992132
C1,no,Insulin,11.111111111111112,0.15859469391718053,0.1273882738367518,0.2414693364266654,0.1465231528483249
C1,no,Insulin,11.616161616161618,0.1585947496791818,0.1273881594672842,0.24146921116059072,0.14652299947460926
C1,no,Insulin,12.121212121212121,0.15859476523900054,0.12738809894588904,0.24146914696046795,0.1465229177358255
C1,no,Insulin,12.626262626262626,0.15859476562304892,0.12738806787929374,0.24146911513185706,0.1465228754604806
C1,no,Insulin,13.131313131313131,0.15859476218101903,0.1273880520126881,0.24146909941095723,0.1465228537157443
C1,no,Insulin,13.636363636363637,0.15859475841821177,0.12738804401756457,0.24146909179288614,0.1465228426733464
C1,no,Insulin,14.141414141414142,0.15859475546686821,0.12738804000693996,0.24146908813504764,0.14652283708960076
C1,no,Insulin,14.646464646464647,0.15859475339262039,0.12738803805610374,0.2414690864530474,0.14652283434675822
C1,no,Insulin,15.151515151515152,0.1585947520414569,0.12738803711760377,0.24146908569372844,0.14652283301229577
C1,no,Insulin,15.656565656565657,0.15859475121377312,0.1273880366617935,0.2414690853464345,0.1465228323569018
C1,no,Insulin,16.161616161616163,0.15859475047613775,0.12738803625663095,0.24146908503936018,0.1465228317742465
C1,no,Insulin,16.666666666666668,0.15859474994187625,0.12738803598740953,0.24146908484248128,0.14652283138523242
C1,no,Insulin,17.171717171717173,0.15859474964872677,0.12738803588377726,0.24146908478031126,0.1465228312318134
C1,no,Insulin,17.67676767676768,0.15859474959668934,0.12738803594573414,0.24146908485285015,0.1465228313139895
C1,no,Insulin,18.181818181818183,0.15859474954467925,0.12738803598268958,0.24146908489930638,0.1465228313621232
C1,no,Insulin,18.68686868686869,0.15859474946507807,0.1273880359728098,0.24146908490125987,0.14652283134532526
C1,no,Insulin,19.191919191919194,0.15859474946955446,0.1273880360043749,0.2414690849331881,0.14652283138848968
C1,no,Insulin,19.6969696969697,0.15859474955810848,0.1273880360773849,0.24146908499509104,0.1465228314916165
C1,no,Insulin,20.202020202020204,0.15859474957744332,0.12738803615812072,0.24146908507554382,0.14652283160235208
C1,no,Insulin,20.70707070707071,0.15859474965490702,0.12738803618413058,0.24146908509058906,0.1465228316410214
