,,,Slide ID,e,f,b,d,a,c
,,,Antibody Name,e,f,b,d,a,c
,,,HUGO ID,e,f,b,d,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8496733402632872,0.08661837962195429,0.19255855153429025,0.6738591169254353,0.6774768494291569,0.13928783065909178
C1,no,Insulin,0.5050505050505051,0.3992198915683794,0.16360465517316006,0.28335559752817224,0.4093215438904449,0.36278206109251165,0.2068427840818288
C1,no,Insulin,1.0101010101010102,0.24942563793101544,0.17927626807867364,0.2729375427749479,0.25291808297360646,0.23654078940667658,0.2000274625610057
C1,no,Insulin,1.5151515151515151,0.19608668863266396,0.177074527969768,0.2512434656656534,0.1588840411018927,0.17471488559170187,0.1812363157882079
C1,no,Insulin,2.0202020202020203,0.1773107615971519,0.17325633733542364,0.23683457631050603,0.10168703315551259,0.13686792713052437,0.16703207725288355
C1,no,Insulin,2.5252525252525255,0.17217674316643417,0.1719795084445103,0.2298350680129069,0.06653712478572095,0.10992919614649237,0.1590891991249328
C1,no,Insulin,3.0303030303030303,0.17268323750035386,0.17324568543979688,0.2274106624699089,0.04469935897798604,0.08942821229059722,0.15561239390882445
C1,no,Insulin,3.5353535353535355,0.17545792594180012,0.17612218030571472,0.22733674823956818,0.030959994868533073,0.07351953013734716,0.15473539543622794
C1,no,Insulin,4.040404040404041,0.17898927334485593,0.1797519852317407,0.22831347914356825,0.0221883623110854,0.06116758493514128,0.15518866494132103
C1,no,Insulin,4.545454545454546,0.18258030284541188,0.1835524869086514,0.22966534783846007,0.016495573334339236,0.051626052996921086,0.1562285432985534
C1,no,Insulin,5.050505050505051,0.1859137094158207,0.18718047018665748,0.23106481929792244,0.012735346202753389,0.044297925601164315,0.15745388438721697
C1,no,Insulin,5.555555555555556,0.1888581177210933,0.19045819504579095,0.23236403615524914,0.010206498542139158,0.03869706111093519,0.15866242365203792
C1,no,Insulin,6.0606060606060606,0.19137663743333963,0.19331218193235794,0.2335049212665251,0.008475578715404301,0.03443201004008783,0.15976104409707426
C1,no,Insulin,6.565656565656566,0.19348110561299509,0.19573118946712229,0.23447349668771703,0.0072711060458442115,0.03119266004747016,0.16071456541852727
C1,no,Insulin,7.070707070707071,0.19520772311876775,0.1977391342701829,0.23527693402644528,0.006420386883819115,0.02873675605695834,0.16151767532756348
C1,no,Insulin,7.575757575757576,0.19660335029883166,0.1993779993187578,0.23593190214409668,0.0058116649839430054,0.026877086421228283,0.16217977302351638
C1,no,Insulin,8.080808080808081,0.19771751009862187,0.20069711345711186,0.2364585182859714,0.0053712793790107105,0.025470065722555207,0.16271677465102566
C1,no,Insulin,8.585858585858587,0.19859775666630697,0.20174657011771477,0.23687716710626916,0.005049766459995301,0.024406131474464077,0.16314667788333637
C1,no,Insulin,9.090909090909092,0.19928716589122908,0.20257338718811344,0.23720685716118145,0.004813304147338545,0.023601961922566778,0.1634871894811567
C1,no,Insulin,9.595959595959597,0.1998232090507926,0.20321950574924338,0.23746444663849245,0.00463837135328455,0.022994327459897095,0.1637545196765899
C1,no,Insulin,10.101010101010102,0.2002375136705807,0.20372100400752005,0.23766437748117542,0.004508359758402812,0.022535310889284017,0.16396285347059894
C1,no,Insulin,10.606060606060607,0.20055615893439438,0.20410807814064058,0.2378187050219578,0.004411388443333897,0.022188633338251783,0.1641242163692829
C1,no,Insulin,11.111111111111112,0.20080025352055078,0.20440546468219944,0.2379372921735587,0.0043388617577223175,0.02192685488863607,0.1642485637478763
C1,no,Insulin,11.616161616161618,0.20098663817268897,0.20463309213833802,0.23802807756127486,0.00428450164724029,0.02172920602362221,0.16434398567360864
C1,no,Insulin,12.121212121212121,0.20112858958739874,0.20480679685849862,0.23809736765611983,0.004243693722808652,0.021580000301082897,0.16441695839588052
C1,no,Insulin,12.626262626262626,0.20123647531383024,0.2049390281023019,0.2381501243762649,0.00421302222518885,0.021467384144398253,0.16447260800343658
C1,no,Insulin,13.131313131313131,0.20131833714206912,0.20503949325767235,0.238190212998449,0.004189946816400725,0.02138238303266335,0.16451495126515264
C1,no,Insulin,13.636363636363637,0.20138037367613335,0.20511570563012563,0.23822062678074737,0.00417257535095071,0.021318235970544257,0.1645471101038183
C1,no,Insulin,14.141414141414142,0.20142733774055896,0.2051734482250508,0.23824367243222302,0.004159490813533611,0.021269830220980807,0.1645714984426967
C1,no,Insulin,14.646464646464647,0.2014628615280444,0.2052171553190222,0.23826112030447533,0.004149631124403065,0.02123330291260912,0.16458997492967697
C1,no,Insulin,15.151515151515152,0.20148971776661637,0.20525021261360543,0.23827431420444206,0.0041421996971342705,0.021205742659561714,0.1646039555847039
C1,no,Insulin,15.656565656565657,0.20151000739189454,0.2052751968466858,0.2382842833974555,0.004136598130248224,0.021184951587567624,0.16461452668788587
C1,no,Insulin,16.161616161616163,0.20152533100791922,0.20529407793238888,0.2382918312571663,0.004132373336619878,0.021169261797209425,0.16462252494074206
C1,no,Insulin,16.666666666666668,0.20153690769060972,0.2053083411306667,0.2382975345104634,0.004129186512781865,0.021157423214587343,0.16462856475002555
C1,no,Insulin,17.171717171717173,0.2015456512776906,0.20531910638671194,0.23830180450536154,0.004126783398937405,0.021148489969515655,0.16463311367449668
C1,no,Insulin,17.67676767676768,0.20155224737330016,0.20532723894169672,0.23830506116479702,0.004124970753820801,0.02114174935641474,0.16463656169534283
C1,no,Insulin,18.181818181818183,0.20155722534759526,0.20533337786684297,0.23830751604468117,0.0041236033477579865,0.021136663688975828,0.16463916548469743
C1,no,Insulin,18.68686868686869,0.20156098262390362,0.20533801067451937,0.23830936621838866,0.004122571841575577,0.021132826939540147,0.16464112948662607
