,,,Slide ID,e,f,d,a,c,b
,,,Antibody Name,e,f,d,a,c,b
,,,HUGO ID,e,f,d,a,c,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8842793442149623,0.004749122342778134,0.5326748684374399,0.32852398906196734,0.5055592274337984,0.23180541157259282
C1,no,Insulin,0.5050505050505051,0.47243378851655005,0.13943225187465166,0.3472836079668632,0.2506148510719309,0.20418256523490746,0.18970858736941576
C1,no,Insulin,1.0101010101010102,0.2928468467331291,0.17062538211522912,0.26037894088155944,0.20781944314139403,0.10361728979814652,0.1793839075512783
C1,no,Insulin,1.5151515151515151,0.21558801708471045,0.179808712209848,0.2159487378772228,0.18566355797434894,0.0692182564277842,0.17852772644325307
C1,no,Insulin,2.0202020202020203,0.18288598596340455,0.18375559836277922,0.19268838051504153,0.1747275876586908,0.05757055387246831,0.17988304465686172
C1,no,Insulin,2.5252525252525255,0.16929750027536908,0.18588083228179894,0.18082044236189165,0.16954171768674065,0.0537589072322321,0.18125834412332426
C1,no,Insulin,3.0303030303030303,0.1637676044092116,0.18706801401247575,0.17502218049009463,0.16716795573060864,0.05259484616213907,0.1821940223584719
C1,no,Insulin,3.5353535353535355,0.16157000057236814,0.18770877254950946,0.17230897317177613,0.16611650126605312,0.05228675820079171,0.18273832204873422
C1,no,Insulin,4.040404040404041,0.16072059606260294,0.18803876210735315,0.17108675868409934,0.16566554380304152,0.05223269438384838,0.18302801916528474
C1,no,Insulin,4.545454545454546,0.16040321308239053,0.18820140299889282,0.17055425554163423,0.16547852759641377,0.05224120920805894,0.18317320051295322
C1,no,Insulin,5.050505050505051,0.1602896797393431,0.18827850942679644,0.1703292074932817,0.16540381862093798,0.05225754995806111,0.1832427056725111
C1,no,Insulin,5.555555555555556,0.16025146124782028,0.18831381149076942,0.17023685171197853,0.16537528446051844,0.052269525086550556,0.1832747409358874
C1,no,Insulin,6.0606060606060606,0.16023976569485637,0.18832945518959426,0.17020007609390217,0.16536501127803044,0.05227654477638291,0.18328901213197202
C1,no,Insulin,6.565656565656566,0.160236789470133,0.18833616862573013,0.1701859061813984,0.1653616244728325,0.05228023969737752,0.1832951657728802
C1,no,Insulin,7.070707070707071,0.16023637088097714,0.18833895499524814,0.17018065174386177,0.16536067288090955,0.05228205740320392,0.18329773205221342
C1,no,Insulin,7.575757575757576,0.16023654042779314,0.18834006909955428,0.1701787957839488,0.16536050115495346,0.05228290824539701,0.18329876361941808
C1,no,Insulin,8.080808080808081,0.16023674851817218,0.18834049560508803,0.1701781811858629,0.1653605344792535,0.05228329043117928,0.18329916104963503
C1,no,Insulin,8.585858585858587,0.16023688983972825,0.18834064887072063,0.1701780004725206,0.16536059685998464,0.052283455891251,0.18329930519022375
C1,no,Insulin,9.090909090909092,0.16023696716894237,0.1883406994440995,0.17017795679987635,0.16536064344011886,0.05228352454893544,0.18329935340177933
C1,no,Insulin,9.595959595959597,0.16023700577414454,0.18834071424132004,0.1701779511037198,0.16536067156076772,0.05228355244435016,0.18329936789097862
C1,no,Insulin,10.101010101010102,0.16023702335442305,0.18834071679961273,0.17017795450070924,0.16536068679252544,0.052283562775761135,0.18329937064594504
C1,no,Insulin,10.606060606060607,0.16023703116518748,0.18834071627428187,0.1701779581334967,0.16536069468372744,0.05228356652496726,0.18329937036041424
C1,no,Insulin,11.111111111111112,0.16023703430721253,0.18834071534204985,0.17017796037139465,0.1653606984787311,0.05228356772468104,0.18329936958936177
C1,no,Insulin,11.616161616161618,0.16023703548389961,0.18834071465259333,0.17017796151969286,0.16536070023384458,0.05228356805040062,0.1832993689930834
C1,no,Insulin,12.121212121212121,0.16023703588808585,0.18834071421914622,0.1701779620774171,0.165360701042172,0.05228356809693341,0.18329936861068316
C1,no,Insulin,12.626262626262626,0.16023703626179622,0.18834071385155488,0.17017796256531284,0.16536070175484952,0.052283568151111896,0.18329936828720417
C1,no,Insulin,13.131313131313131,0.16023703640861364,0.18834071364608415,0.17017796279890676,0.16536070210537757,0.05228356815544607,0.1832993681050816
C1,no,Insulin,13.636363636363637,0.16023703632853806,0.18834071360273402,0.17017796277819894,0.1653607020937561,0.05228356810993592,0.1832993680643154
C1,no,Insulin,14.141414141414142,0.16023703625099292,0.18834071358492602,0.1701779627404504,0.16536070205537262,0.05228356807299369,0.1832993680466532
C1,no,Insulin,14.646464646464647,0.1602370362321988,0.1883407135591914,0.1701779627438024,0.1653607020724143,0.0522835680589334,0.18329936802311697
C1,no,Insulin,15.151515151515152,0.16023703616647217,0.1883407135884448,0.17017796267896104,0.16536070199038558,0.052283568040847564,0.18329936804817953
C1,no,Insulin,15.656565656565657,0.16023703603447756,0.18834071362469176,0.1701779625659304,0.16536070185034163,0.05228356799762202,0.18329936807820538
C1,no,Insulin,16.161616161616163,0.16023703601724848,0.188340713666368,0.17017796252441367,0.16536070179044343,0.052283568002764964,0.18329936811544084
C1,no,Insulin,16.666666666666668,0.1602370360000194,0.18834071370804426,0.17017796248289693,0.16536070173054526,0.052283568007907906,0.18329936815267628
C1,no,Insulin,17.171717171717173,0.16023703598279032,0.18834071374972047,0.17017796244138017,0.1653607016706471,0.05228356801305084,0.18329936818991172
C1,no,Insulin,17.67676767676768,0.1602370359768934,0.1883407137649909,0.17017796242647582,0.16536070164898878,0.052283568015091764,0.18329936820356235
C1,no,Insulin,18.181818181818183,0.1602370359768642,0.18834071376658854,0.17017796242535113,0.16536070164713082,0.05228356801552649,0.1832993682050009
C1,no,Insulin,18.68686868686869,0.160237035976835,0.18834071376818617,0.17017796242422648,0.16536070164527286,0.052283568015961214,0.18329936820643947
C1,no,Insulin,19.191919191919194,0.1602370359768058,0.1883407137697838,0.1701779624231018,0.1653607016434149,0.052283568016395936,0.183299368207878
C1,no,Insulin,19.6969696969697,0.1602370359767766,0.18834071377138145,0.17017796242197714,0.16536070164155692,0.052283568016830664,0.18329936820931658
C1,no,Insulin,20.202020202020204,0.1602370359767474,0.1883407137729791,0.17017796242085245,0.16536070163969896,0.052283568017265386,0.18329936821075513
C1,no,Insulin,20.70707070707071,0.16023703597671818,0.18834071377457673,0.1701779624197278,0.165360701637841,0.052283568017700115,0.1832993682121937
C1,no,Insulin,21.212121212121215,0.16023703597668898,0.18834071377617437,0.1701779624186031,0.16536070163598304,0.052283568018134836,0.18329936821363224
C1,no,Insulin,21.71717171717172,0.16023703597665978,0.188340713777772,0.17017796241747846,0.16536070163412508,0.05228356801856956,0.1832993682150708
C1,no,Insulin,22.222222222222225,0.16023703597663058,0.18834071377936965,0.17017796241635377,0.1653607016322671,0.05228356801900429,0.18329936821650938
C1,no,Insulin,22.72727272727273,0.16023703597660138,0.18834071378096728,0.17017796241522912,0.16536070163040914,0.05228356801943901,0.18329936821794793
C1,no,Insulin,23.232323232323235,0.16023703597657218,0.18834071378256492,0.17017796241410443,0.16536070162855118,0.05228356801987374,0.1832993682193865
C1,no,Insulin,23.73737373737374,0.16023703597654299,0.18834071378416256,0.17017796241297975,0.16536070162669322,0.05228356802030846,0.18329936822082504
