,,,Slide ID,G4,G10,G3,G7,G6,G8,G5,G1,G9,G11,G2
,,,Antibody Name,G4,G10,G3,G7,G6,G8,G5,G1,G9,G11,G2
,,,HUGO ID,G4,G10,G3,G7,G6,G8,G5,G1,G9,G11,G2
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.4378669153810243,0.8571031048751308,0.26546271216238404,0.5272647624088905,0.8961569122872438,0.663369824745764,0.9053466456316172,0.1066427133471547,0.3099822039055382,0.055417214858435204,0.5022093839522169
C1,no,Insulin,0.5050505050505051,0.13720908456223382,0.489732779247223,0.1855194294603542,0.24147972394161832,0.5606794463049607,0.33510794157134655,0.5520809652556552,0.22822748677156496,0.21089684328970743,0.11876413878110852,0.21050539603469678
C1,no,Insulin,1.0101010101010102,0.05055598109546497,0.3167578185978472,0.12772680146158935,0.11733885430808294,0.3494383397610069,0.17841810151699403,0.3760347995910729,0.30222244580692414,0.1434584226548942,0.17530952184544882,0.09435109153845068
C1,no,Insulin,1.5151515151515151,0.022006657289603746,0.22814801707804044,0.0869602294759913,0.06185150946067699,0.21726790247277983,0.10202036250078679,0.28556456260353796,0.3432652626544239,0.09808547250329959,0.22002372890645808,0.045593638272698404
C1,no,Insulin,2.0202020202020203,0.01107703919262721,0.17711563971539684,0.05886031036081212,0.03592713970367671,0.13508405794411746,0.0634244474609775,0.2381550797744756,0.36528672174128995,0.06776433738718553,0.2534186703993725,0.02394629780568533
C1,no,Insulin,2.5252525252525255,0.006248623597953478,0.1437324344522141,0.039808508696477174,0.022967719429440286,0.08418051757666418,0.04279050839100924,0.21335538139011212,0.37693043750562194,0.04750531890319923,0.2775920639942931,0.013724299047752539
C1,no,Insulin,3.0303030303030303,0.0038399313007232913,0.11944992028966768,0.027015503596326713,0.01587926025236242,0.05269355437705356,0.030870438478123256,0.20084912901422844,0.38304378236959724,0.03389072642726868,0.29476819519411385,0.008555370658560395
C1,no,Insulin,3.5353535353535355,0.0025151172360847037,0.10051436577005395,0.01845895789888283,0.011598788220880998,0.033199646704103344,0.023352615854546413,0.1951607245114126,0.3862422067742141,0.024645257799558732,0.3068316720257201,0.005739064844117194
C1,no,Insulin,4.040404040404041,0.0017275581326531395,0.08517985123325461,0.012732545947082882,0.008774351461280215,0.021096841804906275,0.01820953954690758,0.193255189193567,0.3879125747109561,0.018278966296611836,0.3152411651024048,0.004081382428367631
C1,no,Insulin,4.545454545454546,0.001229503621083593,0.07253997723813076,0.008884192392673011,0.0067834234574871335,0.013548394493071842,0.014464310630945049,0.1934009331223467,0.3887841100872853,0.01382344626027488,0.32107465233412735,0.0030311291586907823
C1,no,Insulin,5.050505050505051,0.0008988662213535794,0.06204539928689612,0.006279932331129632,0.005318829820969964,0.008810870131047213,0.011622902733404354,0.1945972378524336,0.38923862694577094,0.010649991462370206,0.32510794353089045,0.002321986775474692
C1,no,Insulin,5.555555555555556,0.0006710617094362562,0.05330870406745723,0.004501551670745163,0.004214000782303267,0.005813837675698683,0.009415363518834643,0.1962673400249011,0.38947560417848803,0.008348937328049411,0.3278904101659481,0.0018185659946866855
C1,no,Insulin,6.0606060606060606,0.000509673401106926,0.0460272111640947,0.003274254165587106,0.003368636367926887,0.0038996292039235004,0.007678693643797904,0.19808495414161043,0.38959914684594305,0.006651269155045336,0.32980709016725107,0.0014478841074533713
C1,no,Insulin,6.565656565656566,0.00039293620977523124,0.03995253604472973,0.0024174477804383685,0.002716456374524602,0.002663326326688099,0.00630401964404907,0.19987254760426343,0.3896635447568924,0.005378328213514465,0.3311260323184918,0.0011679356376726622
C1,no,Insulin,7.070707070707071,0.00030714859088195316,0.03487768881353542,0.0018120256016199556,0.0022105973385878577,0.001854698062919724,0.005212535796074348,0.2015403135507377,0.38969711307815924,0.004409744758333758,0.3320330167259962,0.000952827064640192
