,,,Slide ID,G1,G2,G5,G4,G6,G7,G12,G9,G8,G3,G11,G10
,,,Antibody Name,G1,G2,G5,G4,G6,G7,G12,G9,G8,G3,G11,G10
,,,HUGO ID,G1,G2,G5,G4,G6,G7,G12,G9,G8,G3,G11,G10
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.015566875403641878,0.939019957886747,0.8981319702665241,0.018642678621683006,0.6345151906683492,0.5912165930764048,0.5558351338873979,0.5522753702916253,0.4989997124472445,0.06328210178154015,0.0593776303265523,0.20453712223163656
C1,no,Insulin,0.5050505050505051,0.0803712244761608,0.582792585971882,0.7437307760358771,0.4674275322240148,0.6729961576258221,0.6517423236797965,0.4031506738054216,0.4479428595757603,0.6565733376207867,0.4713284485007162,0.18202902902122384,0.3676562161125972
C1,no,Insulin,1.0101010101010102,0.1344894502019332,0.4632089869883629,0.6993511488808707,0.644291213775366,0.685221344347574,0.6721288599356576,0.3428205918896779,0.4244923188523059,0.6925110439878532,0.5938389476249932,0.2517043012111541,0.41824122490772064
C1,no,Insulin,1.5151515151515151,0.16765150128061598,0.4205744262006389,0.6865335590634936,0.7172403379576703,0.6890980828777493,0.6790980849449797,0.3182516821046614,0.4198991275495518,0.7005966474362052,0.6319865726907922,0.2898630073111514,0.43385358375644606
C1,no,Insulin,2.0202020202020203,0.1862994166104603,0.40505934417332257,0.6828176701396318,0.747622446245648,0.6903296135054007,0.6815333239487701,0.3081338109680642,0.4193609724226687,0.7024027775620436,0.6432042152083017,0.310520122001446,0.4387018211657175
C1,no,Insulin,2.5252525252525255,0.19642796388288275,0.39944413815278873,0.6817372915332093,0.7603169002645631,0.6907222125501554,0.6824099837161278,0.30393692538569256,0.41952623773186026,0.702815830238553,0.6460651139385994,0.32164471328726724,0.4402369894813073
C1,no,Insulin,3.0303030303030303,0.2018401989283408,0.39746018579484244,0.6814227678376813,0.765627012258194,0.6908481111479536,0.682738060110663,0.3021858205659344,0.41971830847051966,0.7029213706068929,0.646536128401343,0.3276194785628371,0.44074196825042034
C1,no,Insulin,3.5353535353535355,0.20470835181529654,0.39679027313008386,0.6813313603335573,0.7678491059314831,0.6908888863989497,0.6828668244860259,0.3014513663443222,0.4198435720908846,0.7029560304667353,0.6464424866691814,0.33082349026448304,0.4409186431088702
C1,no,Insulin,4.040404040404041,0.20622161030627328,0.3965822818246535,0.6813049905299126,0.7687790968811866,0.6909023098465186,0.6829201554404708,0.3011418369088167,0.41991501155471134,0.7029713804323828,0.6462863300525039,0.3325401334507285,0.44098587490246277
C1,no,Insulin,4.545454545454546,0.20701810047478014,0.39652864351371536,0.6812975210606639,0.769168340958006,0.6909068446456872,0.6829434957651265,0.3010108076711053,0.4199539026323357,0.7029795438307387,0.6461738171731106,0.3334593918077146,0.4410139914309354
C1,no,Insulin,5.050505050505051,0.2074367706612954,0.39652192983137846,0.6812954892663977,0.7693312702731261,0.6909084369801435,0.6829542457080724,0.30095511220882676,0.41997471097877576,0.7029841574622069,0.6461076948658172,0.3339515012376366,0.4410268110591968
