,,,Slide ID,e,a,c,d,b
,,,Antibody Name,e,a,c,d,b
,,,HUGO ID,e,a,c,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9293727831603111,0.387177931142475,0.5835447047562234,0.676693241687331,0.908502074912003
C1,no,Insulin,0.33557046979865773,0.4784601407554592,0.35327674735293246,0.26816891266278353,0.32491815404359536,0.6529920602477268
C1,no,Insulin,0.6711409395973155,0.28294360668579627,0.3079009868831608,0.13956685395007862,0.17220755101537485,0.4737885092618202
C1,no,Insulin,1.0067114093959733,0.1900659332653859,0.26367410117347906,0.08349131645155351,0.10267298376227404,0.34820110020180733
C1,no,Insulin,1.342281879194631,0.14176611277159298,0.2260427353331996,0.05642321345470373,0.06859914149795356,0.26051820523681885
C1,no,Insulin,1.6778523489932886,0.11450727856761034,0.19608029248890307,0.04166671536631935,0.05025106984346065,0.19950184243437158
C1,no,Insulin,2.0134228187919465,0.09789031453273267,0.17287078925775773,0.03266024193477784,0.0393450906360989,0.1570527834606431
C1,no,Insulin,2.348993288590604,0.08697227417715968,0.1549839255741699,0.026682377506880472,0.03228833862916429,0.12740983377918366
C1,no,Insulin,2.684563758389262,0.0792978654792806,0.14111878968608388,0.022496814667873028,0.027430185204138154,0.10655591151270136
C1,no,Insulin,3.0201342281879198,0.07361212255362787,0.13027193991700942,0.019471091515062898,0.023946649861760587,0.09173731532476945
C1,no,Insulin,3.3557046979865772,0.06924961138083814,0.12171451141785918,0.01724080967600792,0.021384064172628548,0.08108575703987639
C1,no,Insulin,3.691275167785235,0.06583471290166915,0.11492235923200139,0.015575460034849052,0.01946800381064208,0.07333777000162525
C1,no,Insulin,4.026845637583893,0.06313557110774101,0.10951236894592087,0.014320018234444641,0.018019561990454895,0.06763647508120521
C1,no,Insulin,4.3624161073825505,0.06099444984625857,0.10519688932040287,0.013366322005916757,0.016915884118346814,0.06339630771497572
C1,no,Insulin,4.697986577181208,0.05929515304478368,0.10175414818105638,0.012637197224684345,0.016069731780073017,0.060212722890153864
C1,no,Insulin,5.033557046979866,0.05794769689529427,0.09900966455685768,0.012076738354529777,0.01541780344193731,0.057802650036760966
C1,no,Insulin,5.369127516778524,0.056880629780715904,0.09682435755045922,0.011643959112815856,0.014913474219513721,0.05596528564312664
C1,no,Insulin,5.704697986577181,0.056036706864035356,0.09508661374560466,0.011308504214056181,0.014522022201462212,0.05455626350736064
C1,no,Insulin,6.0402684563758395,0.055370012521974626,0.0937066205360139,0.01104767318041968,0.01421734483754914,0.05347041759480216
C1,no,Insulin,6.375838926174497,0.05484380191426053,0.09261211177845685,0.010844350628273845,0.01397967260572192,0.052630241970487074
C1,no,Insulin,6.7114093959731544,0.054428759459298245,0.0917450232212202,0.010685532683555547,0.013793930403282273,0.051978005768477026
C1,no,Insulin,7.046979865771813,0.05410157080226853,0.0910587977519954,0.010561275532886412,0.013648558069624558,0.051470306910258515
C1,no,Insulin,7.38255033557047,0.05384374099441919,0.09051618978679805,0.010463932571873922,0.01353464733690329,0.051074254412091936
C1,no,Insulin,7.718120805369128,0.053640626077019124,0.09008746730278833,0.010387596107207285,0.013445305131084374,0.050764751441527596
C1,no,Insulin,8.053691275167786,0.05348065203253545,0.08974895174980342,0.010327686529249628,0.013375181983121459,0.050522548299748775
C1,no,Insulin,8.389261744966444,0.05335467853471857,0.08948180765492,0.010280637318022793,0.013320109086141016,0.05033278613645541
C1,no,Insulin,8.724832214765101,0.053255486451642506,0.08927108199331753,0.010243670593276662,0.013276836774014264,0.05018397704924316
C1,no,Insulin,9.060402684563758,0.05317738755280874,0.08910492342845894,0.010214615062453638,0.013242824468906737,0.050067197956751276
C1,no,Insulin,9.395973154362416,0.05311590822075553,0.08897395136583769,0.01019176977060984,0.013216082216204326,0.04997550009889759
C1,no,Insulin,9.731543624161075,0.0530675090299549,0.08887073933183458,0.010173803662019688,0.013195051496131429,0.04990346210070252
C1,no,Insulin,10.067114093959733,0.05302941189652783,0.08878942682782827,0.010159672895258707,0.013178510511587135,0.04984685119058404
C1,no,Insulin,10.40268456375839,0.0529994241617145,0.08872537644047092,0.010148556578966,0.0131654983330863,0.04980234817175674
C1,no,Insulin,10.738255033557047,0.052975820414122306,0.08867493191039058,0.010139810874748235,0.013155261210189038,0.049767355593791224
C1,no,Insulin,11.073825503355705,0.05295724033342756,0.0886352045762419,0.010132929048961884,0.013147205922646964,0.049739833300481845
C1,no,Insulin,11.409395973154362,0.052942613928940285,0.08860391851937871,0.010127513129065723,0.013140866581628441,0.04971818166246931
C1,no,Insulin,11.74496644295302,0.052931103560515606,0.08857929003580901,0.010123252131021094,0.01313587911256141,0.04970115230545398
C1,no,Insulin,12.080536912751679,0.05292204426994068,0.08855990089679415,0.010119899033741307,0.013131954380384487,0.0496877547186331
C1,no,Insulin,12.416107382550337,0.05291491441147522,0.0885446370504331,0.01011726014418255,0.013128865682110592,0.04967721316791628
C1,no,Insulin,12.751677852348994,0.05290930265582121,0.08853262159070065,0.010115183510220116,0.01312643506915206,0.04966891886690258
