,,,Slide ID,a,e,c,d,b
,,,Antibody Name,a,e,c,d,b
,,,HUGO ID,a,e,c,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.4250954502118046,0.8109405584807566,0.9048784008734664,0.186876160163998,0.0170828516697904
C1,no,Insulin,0.5050505050505051,0.1606414929587138,0.4428850400284168,0.26791445454201646,0.15097668980078505,0.05671596825145901
C1,no,Insulin,1.0101010101010102,0.0736360057852403,0.2552901391355822,0.1190367197203303,0.14187245939586932,0.04904624072360979
C1,no,Insulin,1.5151515151515151,0.040964050225909945,0.15756675210280277,0.0772353731474253,0.14385564999523323,0.03646815123073809
C1,no,Insulin,2.0202020202020203,0.026960697336356945,0.10585293017502924,0.060601979126229395,0.1499158600855947,0.027209079041351242
C1,no,Insulin,2.5252525252525255,0.019995936791705696,0.07786741036073735,0.051331853860974413,0.1566975246193428,0.021184614572010638
C1,no,Insulin,3.0303030303030303,0.01609307844347664,0.06217136605639777,0.04522176488231671,0.16272794431826107,0.01732832442030013
C1,no,Insulin,3.5353535353535355,0.01373756962017324,0.052976175166500813,0.04098163013186745,0.16754609245920946,0.01483917344997759
C1,no,Insulin,4.040404040404041,0.012251384940715418,0.04735565604291414,0.03801181697356529,0.1711735089090988,0.013210899834506563
C1,no,Insulin,4.545454545454546,0.011286243019622524,0.04379458483424321,0.03593517583438386,0.17381062445868614,0.012131628209146709
C1,no,Insulin,5.050505050505051,0.010646696602730269,0.04147476317010298,0.03448747740518506,0.17568822963082995,0.01140798314861502
C1,no,Insulin,5.555555555555556,0.010216722118446563,0.03993240512400205,0.033480422089898675,0.177008693728039,0.010918209650185765
C1,no,Insulin,6.0606060606060606,0.009924622894364105,0.03889197269714614,0.03278068388281161,0.17793078161769507,0.010584275336475935
C1,no,Insulin,6.565656565656566,0.009724713327312833,0.038183001055642506,0.03229467454012055,0.17857219806590416,0.01035531305973595
C1,no,Insulin,7.070707070707071,0.009587180857843524,0.0376965263863834,0.031957099251725185,0.17901752532454068,0.010197664405237797
C1,no,Insulin,7.575757575757576,0.009492214893243657,0.03736113770538017,0.03172256556738607,0.1793264771997867,0.010088780614964803
C1,no,Insulin,8.080808080808081,0.009426473462675366,0.03712916804869196,0.03155956741685361,0.1795407945252918,0.01001340693431711
C1,no,Insulin,8.585858585858587,0.009380882622308913,0.03696837957892642,0.03144624817155144,0.17968949939730533,0.009961144771050959
C1,no,Insulin,9.090909090909092,0.00934922690095594,0.036856765565437835,0.03136744173199959,0.17979272041911246,0.009924864308178698
C1,no,Insulin,9.595959595959597,0.009327230651532462,0.036779213770955506,0.031312625192601765,0.17986439658272912,0.009899658810793301
C1,no,Insulin,10.101010101010102,0.009311932153215687,0.03672529215086409,0.03127448764188263,0.17991419609838255,0.009882133667761894
C1,no,Insulin,10.606060606060607,0.009301295090476978,0.036687776928049455,0.031247941295257018,0.17994880589664497,0.009869946683311797
C1,no,Insulin,11.111111111111112,0.009293889052012226,0.03666167920994387,0.03122947239628437,0.1799728697317813,0.009861466055707292
C1,no,Insulin,11.616161616161618,0.009288735902960386,0.03664351500349638,0.0312166159505313,0.17998960432992572,0.009855565055536033
C1,no,Insulin,12.121212121212121,0.009285146540070635,0.036630861253961526,0.031207659357474705,0.18000125424054855,0.009851454881403243
C1,no,Insulin,12.626262626262626,0.009282653093659296,0.03662207063880588,0.031201437080161463,0.180009342997095,0.009848599790522132
C1,no,Insulin,13.131313131313131,0.00928091530621217,0.036615943977557956,0.03119710049562378,0.18001497806579259,0.0098466100414613
C1,no,Insulin,13.636363636363637,0.009279705475315175,0.03661167856040686,0.03119408132536684,0.18001889980934352,0.009845224846137795
C1,no,Insulin,14.141414141414142,0.00927886393689584,0.03660871134034294,0.031191981015555467,0.18002162709308625,0.009844261321670465
C1,no,Insulin,14.646464646464647,0.009278277153763774,0.036606642145648495,0.031190516463544742,0.1800235284804692,0.009843589451126088
C1,no,Insulin,15.151515151515152,0.009277868385784793,0.03660520103613906,0.031189496600663773,0.18002485255929176,0.009843121463063357
C1,no,Insulin,15.656565656565657,0.00927758367928089,0.03660419833569462,0.031188786920494056,0.18002577404975334,0.009842795689059875
C1,no,Insulin,16.161616161616163,0.009277385590028824,0.03660350238672509,0.03118829401384296,0.18002641421601054,0.00984256933107733
C1,no,Insulin,16.666666666666668,0.009277246272726511,0.036603015706771706,0.031187948881797704,0.18002686291676742,0.009842410618498333
C1,no,Insulin,17.171717171717173,0.009277148173628126,0.03660267782370485,0.03118770906277065,0.1800271761124529,0.00984229965390719
C1,no,Insulin,17.67676767676768,0.009277080367666217,0.036602442891717164,0.031187543055262626,0.18002739321355385,0.009842222669110135
C1,no,Insulin,18.181818181818183,0.009277037183583043,0.03660227398549671,0.031187424507179533,0.18002754240710753,0.009842170467159881
C1,no,Insulin,18.68686868686869,0.009277005389625035,0.03660215914966212,0.031187343435279527,0.18002764687406178,0.00984213361076044
C1,no,Insulin,19.191919191919194,0.009276982912618602,0.036602079578724495,0.031187287158799745,0.18002771981948296,0.009842107823239788
C1,no,Insulin,19.6969696969697,0.009276967208594096,0.0366020242879559,0.031187248030135478,0.18002777061448816,0.009842089857116168
C1,no,Insulin,20.202020202020204,0.009276956264587397,0.03660198556466634,0.031187220630699695,0.18002780612238975,0.009842077305455919
C1,no,Insulin,20.70707070707071,0.009276948812637213,0.03660195873475246,0.031187201653757473,0.18002783056513216,0.009842068683828224
C1,no,Insulin,21.212121212121215,0.00927694386099856,0.036601939831631694,0.031187188284038905,0.18002784742565126,0.009842062782022718
C1,no,Insulin,21.71717171717172,0.009276940839337847,0.03660192597029061,0.031187178461989592,0.1800278590572859,0.009842058808150846
C1,no,Insulin,22.222222222222225,0.009276938302732322,0.03660191658891463,0.03118717181252826,0.18002786752337457,0.00984205583465176
C1,no,Insulin,22.72727272727273,0.009276935886687359,0.03660191104085189,0.031187167889845928,0.1800278736339091,0.00984205354582888
C1,no,Insulin,23.232323232323235,0.00927693429188771,0.03660190680509101,0.03118716489202123,0.18002787799816466,0.009842051943036039
C1,no,Insulin,23.73737373737374,0.009276933020200356,0.036601903552405654,0.03118716258976933,0.18002788140632747,0.009842050685068394
C1,no,Insulin,24.242424242424242,0.009276932618625012,0.036601902145251754,0.03118716159266134,0.18002788270160255,0.009842050226839451
C1,no,Insulin,24.747474747474747,0.009276932444229283,0.03660190153145773,0.03118716115806836,0.18002788326559785,0.009842050027376903
C1,no,Insulin,25.252525252525253,0.009276932269833553,0.03660190091766371,0.031187160723475375,0.18002788382959314,0.009842049827914355
C1,no,Insulin,25.757575757575758,0.009276932095437824,0.036601900303869686,0.031187160288882392,0.18002788439358844,0.009842049628451807
C1,no,Insulin,26.262626262626263,0.00927693192598145,0.03660189970744479,0.031187159866589795,0.18002788494161814,0.009842049434635935
C1,no,Insulin,26.767676767676768,0.009276931855577302,0.036601899459334786,0.031187159690965156,0.18002788516947904,0.009842049354056675
C1,no,Insulin,27.272727272727273,0.009276931785173153,0.03660189921122478,0.031187159515340516,0.18002788539733997,0.009842049273477415
C1,no,Insulin,27.77777777777778,0.009276931714769003,0.036601898963114776,0.031187159339715876,0.18002788562520086,0.009842049192898154
C1,no,Insulin,28.282828282828284,0.009276931644364855,0.03660189871500477,0.031187159164091236,0.18002788585306176,0.009842049112318894
C1,no,Insulin,28.78787878787879,0.009276931632119838,0.03660189867183797,0.031187159133538225,0.18002788589270013,0.00984204909830164
C1,no,Insulin,29.292929292929294,0.009276931621450744,0.03660189863422447,0.031187159106916183,0.18002788592723826,0.009842049086088
C1,no,Insulin,29.7979797979798,0.009276931610781651,0.03660189859661097,0.03118715908029414,0.1800278859617764,0.009842049073874358
C1,no,Insulin,30.303030303030305,0.009276931600112557,0.036601898558997474,0.031187159053672094,0.18002788599631456,0.009842049061660718
C1,no,Insulin,30.80808080808081,0.009276931589443463,0.03660189852138397,0.031187159027050052,0.18002788603085268,0.009842049049447079
C1,no,Insulin,31.313131313131315,0.009276931578774369,0.036601898483770476,0.031187159000428007,0.18002788606539083,0.009842049037233439
C1,no,Insulin,31.81818181818182,0.009276931568105275,0.03660189844615697,0.031187158973805962,0.18002788609992898,0.009842049025019797
C1,no,Insulin,32.323232323232325,0.009276931557436181,0.03660189840854348,0.03118715894718392,0.1800278861344671,0.009842049012806157
C1,no,Insulin,32.82828282828283,0.009276931546767089,0.036601898370929975,0.031187158920561876,0.18002788616900525,0.009842049000592518
C1,no,Insulin,33.333333333333336,0.009276931536097995,0.03660189833331648,0.03118715889393983,0.1800278862035434,0.009842048988378876
C1,no,Insulin,33.83838383838384,0.0092769315254289,0.03660189829570298,0.03118715886731779,0.18002788623808152,0.009842048976165236
C1,no,Insulin,34.343434343434346,0.009276931514759806,0.036601898258089474,0.031187158840695745,0.18002788627261967,0.009842048963951596
C1,no,Insulin,34.84848484848485,0.009276931504090712,0.03660189822047598,0.0311871588140737,0.1800278863071578,0.009842048951737957
C1,no,Insulin,35.35353535353536,0.009276931493421618,0.036601898182862476,0.03118715878745166,0.18002788634169595,0.009842048939524315
C1,no,Insulin,35.85858585858586,0.009276931482752526,0.03660189814524898,0.031187158760829614,0.1800278863762341,0.009842048927310675
C1,no,Insulin,36.36363636363637,0.009276931476735903,0.03660189812403735,0.031187158745816523,0.18002788639571132,0.009842048920422992
C1,no,Insulin,36.86868686868687,0.009276931475118771,0.036601898118335724,0.03118715874178114,0.18002788640094658,0.009842048918571664
C1,no,Insulin,37.37373737373738,0.00927693147350164,0.036601898112634104,0.031187158737745756,0.18002788640618184,0.009842048916720336
C1,no,Insulin,37.87878787878788,0.009276931471884508,0.036601898106932484,0.031187158733710373,0.1800278864114171,0.009842048914869008
C1,no,Insulin,38.38383838383839,0.009276931470267376,0.036601898101230865,0.031187158729674987,0.18002788641665235,0.00984204891301768
C1,no,Insulin,38.88888888888889,0.009276931468650244,0.03660189809552924,0.031187158725639604,0.18002788642188758,0.009842048911166352
C1,no,Insulin,39.3939393939394,0.009276931467033112,0.03660189808982762,0.03118715872160422,0.18002788642712284,0.009842048909315023
C1,no,Insulin,39.8989898989899,0.00927693146541598,0.036601898084126,0.031187158717568837,0.1800278864323581,0.009842048907463695
C1,no,Insulin,40.40404040404041,0.009276931463798849,0.03660189807842438,0.031187158713533454,0.18002788643759335,0.009842048905612367
C1,no,Insulin,40.909090909090914,0.009276931462181717,0.03660189807272275,0.031187158709498067,0.1800278864428286,0.009842048903761039
C1,no,Insulin,41.41414141414142,0.009276931460564585,0.03660189806702113,0.031187158705462684,0.18002788644806386,0.009842048901909711
C1,no,Insulin,41.919191919191924,0.009276931458947453,0.03660189806131951,0.0311871587014273,0.18002788645329912,0.009842048900058383
C1,no,Insulin,42.42424242424243,0.009276931457330322,0.03660189805561789,0.031187158697391918,0.18002788645853438,0.009842048898207055
C1,no,Insulin,42.929292929292934,0.00927693145571319,0.036601898049916266,0.031187158693356535,0.18002788646376963,0.009842048896355727
C1,no,Insulin,43.43434343434344,0.009276931454096058,0.03660189804421465,0.03118715868932115,0.1800278864690049,0.0098420488945044
C1,no,Insulin,43.939393939393945,0.009276931452564467,0.03660189803881462,0.031187158685499223,0.18002788647396323,0.009842048892750999
C1,no,Insulin,44.44444444444445,0.00927693145252181,0.03660189803866422,0.031187158685392773,0.1800278864741013,0.009842048892702165
C1,no,Insulin,44.949494949494955,0.009276931452479154,0.03660189803851382,0.031187158685286327,0.18002788647423942,0.009842048892653329
C1,no,Insulin,45.45454545454546,0.009276931452436495,0.03660189803836342,0.031187158685179878,0.1800278864743775,0.009842048892604495
C1,no,Insulin,45.959595959595966,0.009276931452393838,0.03660189803821302,0.03118715868507343,0.18002788647451562,0.009842048892555659
C1,no,Insulin,46.46464646464647,0.009276931452351181,0.036601898038062616,0.031187158684966985,0.18002788647465373,0.009842048892506824
C1,no,Insulin,46.969696969696976,0.009276931452308524,0.036601898037912216,0.031187158684860536,0.18002788647479182,0.009842048892457989
C1,no,Insulin,47.47474747474748,0.009276931452265868,0.036601898037761815,0.03118715868475409,0.18002788647492993,0.009842048892409153
C1,no,Insulin,47.979797979797986,0.00927693145222321,0.036601898037611415,0.03118715868464764,0.180027886475068,0.009842048892360318
C1,no,Insulin,48.484848484848484,0.009276931452180554,0.03660189803746101,0.031187158684541194,0.18002788647520612,0.009842048892311482
C1,no,Insulin,48.98989898989899,0.009276931452137897,0.03660189803731061,0.031187158684434748,0.1800278864753442,0.009842048892262648
C1,no,Insulin,49.494949494949495,0.00927693145209524,0.036601898037160206,0.0311871586843283,0.18002788647548232,0.009842048892213812
C1,no,Insulin,50.0,0.009276931452052583,0.036601898037009806,0.031187158684221852,0.1800278864756204,0.009842048892164976
