NON $ % + -
#NON	c	b	d	a
0.0	0.7097268884750745	0.04920873297237016	0.15035162341476416	0.9603831134636623
0.5050505050505051	0.512450813559822	0.09953645059884991	0.2051692952185321	0.6012334427112912
1.0101010101010102	0.4038705746726322	0.1290213259411133	0.22113315097205405	0.3871791800507712
1.5151515151515151	0.3442040534893392	0.14539225337487957	0.22650376556311913	0.25806226881775385
2.0202020202020203	0.3119256719754365	0.1544607508624447	0.22999132086153626	0.17913864305537142
2.5252525252525255	0.29513401338250445	0.15947523876547165	0.23383359654321229	0.1301726531453833
3.0303030303030303	0.28708177630272586	0.16220365148553129	0.23818093855846403	0.09929330200816475
3.5353535353535355	0.28386934155678684	0.1636321560320522	0.2426479707309842	0.07948637684989117
4.040404040404041	0.2832272809829027	0.1643258741458472	0.24684949221753294	0.06656980137199348
4.545454545454546	0.28384550232478983	0.16461330677728744	0.2505450829222271	0.058019239524159404
5.050505050505051	0.2849859462614443	0.16468534699238094	0.25363809112092395	0.05228645924705957
5.555555555555556	0.2862510110307032	0.16465143267618992	0.2561323914251861	0.04840387539186673
6.0606060606060606	0.28744257936396267	0.16457266214623759	0.2580880363164493	0.0457544736132599
6.565656565656566	0.2884760928738356	0.16448168964538168	0.2595884741523428	0.043937060534310776
7.070707070707071	0.28932870307260894	0.16439474064428852	0.2607203104749922	0.04268615881782386
7.575757575757576	0.2900086688827806	0.16431881517517405	0.26156266361008007	0.04182354419913222
8.080808080808081	0.29053783692239443	0.1642559539294088	0.2621827840011589	0.04122821846042212
8.585858585858587	0.29094207016704254	0.16420571237835016	0.2626352316241511	0.040817362554698464
9.090909090909092	0.29124638563951555	0.16416655483261208	0.2629628820423191	0.04053397814260392
9.595959595959597	0.2914727885948509	0.1641366079033427	0.2631986521897501	0.040338705616175696
10.101010101010102	0.2916395864656888	0.16411404105691915	0.2633673745885647	0.040204322536796705
10.606060606060607	0.2917614567391534	0.1640972384511378	0.26348753480268555	0.040111961788654955
11.111111111111112	0.291849878620031	0.164084849466093	0.2635727555287227	0.04004858284547307
11.616161616161618	0.29191363680175086	0.16407579059436292	0.2636329560781902	0.0400051590544172
12.121212121212121	0.2919593646697096	0.16406921352272977	0.26367534262649883	0.03997545474421219
