NON $ % + - . 0
#NON	d	e	a	b	c	f
0.0	0.8954925391489358	0.4456736366112859	0.6679032880124368	0.39173320682605683	0.8093282875086901	0.12238045500009853
0.5050505050505051	0.31755100150727283	0.26932500340588306	0.17685827152221598	0.2281083868121505	0.27723947710809976	0.09083979875488937
1.0101010101010102	0.15423276824279597	0.17873384296371228	0.049645354298944525	0.1638589493374069	0.09805730411036771	0.06420013634722413
1.5151515151515151	0.09952443826946017	0.12793110143947156	0.015004395691433928	0.1301671937023539	0.03591631981029435	0.043468245485718114
2.0202020202020203	0.07415233615951318	0.09617313332537893	0.0049358974662542555	0.10660307382612093	0.01366527159720249	0.02845435542411714
2.5252525252525255	0.057831880372995165	0.07420293426680459	0.0017743378669449947	0.08743482602941341	0.005420865640459142	0.018167342707996467
3.0303030303030303	0.04541408871518669	0.057871569948734956	0.0006944006711160472	0.07117850247026998	0.002250484724997113	0.011394425008858074
3.5353535353535355	0.035503877059780024	0.045240264348195135	0.0002929034908290352	0.057428290346721714	0.0009801512689089666	0.007057226448058955
4.040404040404041	0.027576852581919283	0.03530587018320695	0.00013136704008705153	0.04596343865124513	0.000447689499226947	0.004332287344008881
4.545454545454546	0.021294236507853538	0.02746236361348002	6.176535654794975e-05	0.03654552413623626	0.00021367029900353285	0.002642598901558625
5.050505050505051	0.016364909756898874	0.021283247686734393	3.0057905484966918e-05	0.028905444984032826	0.00010588401340085263	0.0016043675208190081
5.555555555555556	0.012529789149319546	0.016437144386742892	1.4984229987199442e-05	0.022768317908681092	5.406369053180812e-05	0.0009705399848151015
6.0606060606060606	0.009565314077116157	0.012655248646778545	7.59045265440193e-06	0.017875551670807312	2.8223349152729092e-05	0.0005854153174300106
6.565656565656566	0.007285094114822836	0.009717491359789984	3.8862555332958024e-06	0.013997263675990645	1.4970548929409977e-05	0.0003522688947076286
7.070707070707071	0.0055379326602718	0.007444776926103315	2.00314621393237e-06	0.010937004993231228	8.02751197990551e-06	0.00021154279693108268
7.575757575757576	0.004203055991435286	0.0056925382546808775	1.0358475559927376e-06	0.008530543255933679	4.331873052566112e-06	0.00012679001045246246
8.080808080808081	0.0031855095978031663	0.004345413872539692	5.36549970554953e-07	0.006643373514251102	2.346648545298124e-06	7.585802231840936e-05
8.585858585858587	0.002411349100219993	0.0033122284859746394	2.7815622589786404e-07	0.005166793322470704	1.2741010876914288e-06	4.531335873844986e-05
9.090909090909092	0.001823350874676711	0.0025214565414579844	1.441254383136287e-07	0.00401373006927262	6.921896914152871e-07	2.70245432156254e-05
9.595959595959597	0.0013773227639255162	0.0019172434722984789	7.461832661303441e-08	0.003114663098157223	3.7600936349504174e-07	1.6092648478142943e-05
10.101010101010102	0.001039425487197954	0.0014562732466878328	3.8580759375326293e-08	0.0024146452804979456	2.0410024784775785e-07	9.568732507443688e-06
10.606060606060607	0.0007837322980217007	0.0011050635352268328	1.991704668335127e-08	0.0018702893073450503	1.1066289144029627e-07	5.681344809829725e-06
11.111111111111112	0.0005904106853495773	0.0008377659028666653	1.0261705965102026e-08	0.0014473813427785499	5.990474142816055e-08	3.3679686469677667e-06
11.616161616161618	0.0004443934378712301	0.0006345547719805249	5.277733895996671e-09	0.0011191634277708314	3.2378373394462625e-08	1.993722937761004e-06
12.121212121212121	0.00033421170314681156	0.00048022285736682986	2.7093432831733645e-09	0.0008646862178659709	1.7471193491238505e-08	1.178518984362282e-06
12.626262626262626	0.00025115138029070964	0.00036313007424924697	1.3887132296846032e-09	0.0006675714789507765	9.413627990658866e-09	6.957308949982138e-07
13.131313131313131	0.00018859290567301416	0.00027437495927017645	7.105915744350727e-10	0.0005150263798642529	5.064202826052957e-09	4.101829200725103e-07
13.636363636363637	0.0001415138285671135	0.00020715774726795275	3.629904089928006e-10	0.00039706685994700305	2.720105553887091e-09	2.415222090115672e-07
14.141414141414142	0.00010611227857581696	0.00015629455933398117	1.851247451833004e-10	0.0003059221922354116	1.4588190224603717e-09	1.4203668668621738e-07
14.646464646464647	7.951202221112814e-05	0.00011783698687910376	9.425478281301188e-11	0.00023554835609360976	7.811585898823978e-10	8.342705700837094e-08
15.151515151515152	5.9544791900261746e-05	8.878720837041434e-05	4.7972472623342813e-11	0.0001812616596343551	4.180673412716051e-10	4.896953607027495e-08
15.656565656565657	4.457422239293613e-05	6.686724796101895e-05	2.449010933396133e-11	0.00013942946391894815	2.241545496726974e-10	2.8757301189261257e-08
16.161616161616163	3.335585093621286e-05	5.033649596338858e-05	1.2492264021490406e-11	0.00010721428448104483	1.2010704231994927e-10	1.687692049692953e-08
16.666666666666668	2.494246603770729e-05	3.786814042331808e-05	6.335222421863754e-12	8.239108533801606e-05	6.407111939825484e-11	9.880617265563086e-09
17.171717171717173	1.865644249024762e-05	2.8481645573967402e-05	3.146372047079603e-12	6.33345549794786e-05	3.3713281994502196e-11	5.747572721836664e-09
17.67676767676768	1.3908847505457177e-05	2.1381762322773294e-05	1.5838443910094363e-12	4.8548895037807836e-05	1.784325298249133e-11	3.3475628389534463e-09
18.181818181818183	1.0358731186564608e-05	1.6030842431585666e-05	7.949367166038816e-13	3.717663737852109e-05	9.417999393023048e-12	1.9447481447599677e-09
18.68686868686869	7.729656537306574e-06	1.2030877157309911e-05	4.0686430969014805e-13	2.8507392369213895e-05	5.05114322102614e-12	1.1394668004734854e-09
19.191919191919194	5.7697248643195775e-06	9.02962778496918e-06	2.0593493076535863e-13	2.1865195595722888e-05	2.6920628905841936e-12	6.662273302416026e-10
19.6969696969697	4.298429085768181e-06	6.769642143303285e-06	1.0334959733737135e-13	1.6746825450939133e-05	1.4219917860611822e-12	3.877304594336402e-10
20.202020202020204	3.20246858022713e-06	5.072364353352696e-06	5.0930133412751796e-14	1.2828959409036477e-05	7.404687579252976e-13	2.2371289323219252e-10
20.70707070707071	2.3829372670770684e-06	3.79823709237417e-06	2.5357548808165062e-14	9.816300491420441e-06	3.8904290431819196e-13	1.2952424617421343e-10
21.212121212121215	1.7691391634233797e-06	2.839713039709331e-06	1.2757047371016473e-14	7.495204746925764e-06	2.0526296240963963e-13	7.513960844053125e-11
21.71717171717172	1.3159386916145334e-06	2.123638715168969e-06	6.243720118732893e-15	5.731166353560846e-06	1.0666743379290292e-13	4.332454981642281e-11
22.222222222222225	9.776583320570864e-07	1.5873962725059201e-06	3.06727140207351e-15	4.377933040572545e-06	5.567375564587181e-14	2.506703057609722e-11
22.72727272727273	7.25187667064931e-07	1.1857091186728887e-06	1.5890836989646813e-15	3.339296230065275e-06	2.9959558924615256e-14	1.468057808978131e-11
23.232323232323235	nan	nan	nan	nan	nan	nan
23.73737373737374	nan	nan	nan	nan	nan	nan
24.242424242424242	nan	nan	nan	nan	nan	nan
24.747474747474747	nan	nan	nan	nan	nan	nan
25.252525252525253	nan	nan	nan	nan	nan	nan
25.757575757575758	nan	nan	nan	nan	nan	nan
26.262626262626263	nan	nan	nan	nan	nan	nan
26.767676767676768	nan	nan	nan	nan	nan	nan
27.272727272727273	nan	nan	nan	nan	nan	nan
27.77777777777778	nan	nan	nan	nan	nan	nan
28.282828282828284	nan	nan	nan	nan	nan	nan
28.78787878787879	nan	nan	nan	nan	nan	nan
29.292929292929294	nan	nan	nan	nan	nan	nan
29.7979797979798	nan	nan	nan	nan	nan	nan
30.303030303030305	nan	nan	nan	nan	nan	nan
30.80808080808081	nan	nan	nan	nan	nan	nan
31.313131313131315	nan	nan	nan	nan	nan	nan
31.81818181818182	nan	nan	nan	nan	nan	nan
32.323232323232325	nan	nan	nan	nan	nan	nan
32.82828282828283	nan	nan	nan	nan	nan	nan
33.333333333333336	nan	nan	nan	nan	nan	nan
33.83838383838384	nan	nan	nan	nan	nan	nan
34.343434343434346	nan	nan	nan	nan	nan	nan
34.84848484848485	nan	nan	nan	nan	nan	nan
35.35353535353536	nan	nan	nan	nan	nan	nan
35.85858585858586	nan	nan	nan	nan	nan	nan
36.36363636363637	nan	nan	nan	nan	nan	nan
36.86868686868687	nan	nan	nan	nan	nan	nan
37.37373737373738	nan	nan	nan	nan	nan	nan
37.87878787878788	nan	nan	nan	nan	nan	nan
38.38383838383839	nan	nan	nan	nan	nan	nan
38.88888888888889	nan	nan	nan	nan	nan	nan
39.3939393939394	nan	nan	nan	nan	nan	nan
39.8989898989899	nan	nan	nan	nan	nan	nan
40.40404040404041	nan	nan	nan	nan	nan	nan
40.909090909090914	nan	nan	nan	nan	nan	nan
41.41414141414142	nan	nan	nan	nan	nan	nan
41.919191919191924	nan	nan	nan	nan	nan	nan
42.42424242424243	nan	nan	nan	nan	nan	nan
42.929292929292934	nan	nan	nan	nan	nan	nan
43.43434343434344	nan	nan	nan	nan	nan	nan
43.939393939393945	nan	nan	nan	nan	nan	nan
44.44444444444445	nan	nan	nan	nan	nan	nan
44.949494949494955	nan	nan	nan	nan	nan	nan
45.45454545454546	nan	nan	nan	nan	nan	nan
45.959595959595966	nan	nan	nan	nan	nan	nan
46.46464646464647	nan	nan	nan	nan	nan	nan
46.969696969696976	nan	nan	nan	nan	nan	nan
47.47474747474748	nan	nan	nan	nan	nan	nan
47.979797979797986	nan	nan	nan	nan	nan	nan
48.484848484848484	nan	nan	nan	nan	nan	nan
48.98989898989899	nan	nan	nan	nan	nan	nan
49.494949494949495	nan	nan	nan	nan	nan	nan
50.0	nan	nan	nan	nan	nan	nan
