,,,Slide ID,b,d,e,a,c
,,,Antibody Name,b,d,e,a,c
,,,HUGO ID,b,d,e,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.05954635023587318,0.947312445994609,0.24519457047650528,0.47514813917605214,0.748012046958072
C1,no,Insulin,0.5050505050505051,0.05564614083030243,0.2608463943045915,0.11170525534296027,0.2197585539597809,0.2235597885864476
C1,no,Insulin,1.0101010101010102,0.057112595250339876,0.08870770081424115,0.053266198018642956,0.13299204463261166,0.07872662187760544
C1,no,Insulin,1.5151515151515151,0.06071677403771078,0.04198617740730885,0.02721559959233713,0.10620164115271392,0.03640781737349926
C1,no,Insulin,2.0202020202020203,0.06484114232092231,0.026873906989813495,0.015269922497973943,0.10037436914765742,0.02241820988813544
C1,no,Insulin,2.5252525252525255,0.06866009145497823,0.0205234168386857,0.009580393216224803,0.10138092686335619,0.01677129734987911
C1,no,Insulin,3.0303030303030303,0.07181682170261246,0.017172146247441095,0.006750535827432157,0.10412542076047247,0.013964168248490817
C1,no,Insulin,3.5353535353535355,0.07423486252783436,0.015191275898932816,0.005282691907406042,0.10685138275759845,0.012370154576488235
C1,no,Insulin,4.040404040404041,0.07598584695043807,0.013985651471768057,0.004494618405492725,0.1090488336859239,0.011417441925890542
C1,no,Insulin,4.545454545454546,0.07720008088426544,0.013256890446664515,0.004061214297959154,0.11066232239835934,0.01084504028888484
C1,no,Insulin,5.050505050505051,0.07801388964772801,0.012824108569215455,0.0038195257904075327,0.11178404305880021,0.010505520214704698
C1,no,Insulin,5.555555555555556,0.07854465095370021,0.012571937617055726,0.00368396853445237,0.11253549350183402,0.010307670703104545
C1,no,Insulin,6.0606060606060606,0.07888320461573789,0.012427576997940235,0.003607944538803974,0.11302520146819772,0.01019441756724814
C1,no,Insulin,6.565656565656566,0.07909520797807029,0.012346239299455435,0.003565479648827005,0.1133374593365982,0.010130659164214973
C1,no,Insulin,7.070707070707071,0.079225901604802,0.01230108042741822,0.0035419213822558146,0.11353302715692279,0.010095320503305227
C1,no,Insulin,7.575757575757576,0.07930537736502104,0.01227636828737551,0.003528966552274824,0.11365365078616041,0.01007603233776894
C1,no,Insulin,8.080808080808081,0.07935311901719119,0.012263046332148881,0.0035219198544105814,0.11372705502151999,0.010065670977080651
C1,no,Insulin,8.585858585858587,0.07938148827671909,0.012255972330002909,0.003518129379782927,0.113771198147857,0.010060194109475657
C1,no,Insulin,9.090909090909092,0.07939817441695475,0.012252280649820207,0.003516121823806387,0.11379745745490247,0.01005735266996585
C1,no,Insulin,9.595959595959597,0.07940789241063256,0.012250398927785575,0.0035150760898465063,0.11381291818357592,0.010055914959213832
C1,no,Insulin,10.101010101010102,0.0794134979532032,0.012249463906798149,0.0035145429396132993,0.11382193133481011,0.010055207904741936
C1,no,Insulin,10.606060606060607,0.07941670102669929,0.0122490164211104,0.003514278257085036,0.11382713612584486,0.010054874338685177
C1,no,Insulin,11.111111111111112,0.07941851463042574,0.012248813093801752,0.003514151408165068,0.11383011459538965,0.010054726087502703
C1,no,Insulin,11.616161616161618,0.07941953267451403,0.012248727965622703,0.00351409355598468,0.11383180480025365,0.010054666430944076
C1,no,Insulin,12.121212121212121,0.07942009940372702,0.012248697538682116,0.0035140691473708185,0.11383275638838022,0.010054646986873281
C1,no,Insulin,12.626262626262626,0.07942040616862533,0.012248692523395579,0.0035140612375815605,0.11383327873246755,0.010054645801875834
C1,no,Insulin,13.131313131313131,0.0794205741221346,0.012248695323690996,0.0035140594486692935,0.11383356820076902,0.010054649653439048
C1,no,Insulin,13.636363636363637,0.07942066364071282,0.012248700467378746,0.003514060133355366,0.11383372473304244,0.010054654617738855
C1,no,Insulin,14.141414141414142,0.07942071071098988,0.01224870553317344,0.0035140616321419947,0.11383380859539835,0.010054659200855338
C1,no,Insulin,14.646464646464647,0.07942073545719157,0.012248709327264422,0.00351406299685862,0.11383385347446487,0.01005466261100863
C1,no,Insulin,15.151515151515152,0.07942074831265773,0.012248712228257781,0.0035140640500757967,0.11383387726515161,0.010054665043934244
C1,no,Insulin,15.656565656565657,0.07942075456237124,0.012248714473713718,0.00351406486895648,0.11383388925066099,0.010054666787083635
C1,no,Insulin,16.161616161616163,0.07942075893801692,0.012248716193384097,0.003514065518882799,0.11383389774662855,0.010054668137929029
C1,no,Insulin,16.666666666666668,0.0794207619057702,0.012248717435319446,0.0035140660118202893,0.11383390358100694,0.010054669147065182
C1,no,Insulin,17.171717171717173,0.07942076265388764,0.012248718057163157,0.003514066318751956,0.11383390530154652,0.010054669707262516
C1,no,Insulin,17.67676767676768,0.07942076219925527,0.012248718306742042,0.0035140664991859085,0.11383390475780754,0.010054669982492387
C1,no,Insulin,18.181818181818183,0.07942076240992692,0.012248718639322313,0.003514066662440545,0.11383390534749435,0.010054670273975677
C1,no,Insulin,18.68686868686869,0.07942076196283213,0.012248718732456473,0.0035140667310898602,0.11383390466414403,0.01005467036836925
C1,no,Insulin,19.191919191919194,0.07942076112147287,0.012248718932368658,0.0035140668771878473,0.1138339034012806,0.010054670573287322
C1,no,Insulin,19.6969696969697,0.07942076064219726,0.012248718767486707,0.003514066809197763,0.1138339024750373,0.010054670433033057
C1,no,Insulin,20.202020202020204,0.07942076016292166,0.012248718602604755,0.0035140667412076796,0.11383390154879401,0.010054670292778794
C1,no,Insulin,20.70707070707071,0.07942075968364605,0.012248718437722805,0.0035140666732175955,0.11383390062255071,0.01005467015252453
C1,no,Insulin,21.212121212121215,0.07942075955507112,0.012248718385145853,0.0035140666511603237,0.11383390036883882,0.010054670108165112
C1,no,Insulin,21.71717171717172,0.07942075951598888,0.012248718361227177,0.0035140666408243035,0.1138339002867452,0.010054670088276386
C1,no,Insulin,22.222222222222225,0.07942075947690666,0.012248718337308501,0.003514066630488283,0.11383390020465159,0.010054670068387658
C1,no,Insulin,22.72727272727273,0.07942075943782442,0.012248718313389825,0.0035140666201522626,0.11383390012255797,0.010054670048498932
C1,no,Insulin,23.232323232323235,0.0794207593987422,0.012248718289471149,0.003514066609816242,0.11383390004046434,0.010054670028610206
C1,no,Insulin,23.73737373737374,0.07942075935965996,0.012248718265552475,0.0035140665994802217,0.11383389995837072,0.010054670008721478
C1,no,Insulin,24.242424242424242,0.07942075932057774,0.012248718241633798,0.003514066589144201,0.1138338998762771,0.010054669988832752
C1,no,Insulin,24.747474747474747,0.0794207592814955,0.012248718217715122,0.003514066578808181,0.11383389979418349,0.010054669968944024
C1,no,Insulin,25.252525252525253,0.07942075924241328,0.012248718193796446,0.00351406656847216,0.11383389971208986,0.010054669949055298
C1,no,Insulin,25.757575757575758,0.07942075920333104,0.01224871816987777,0.00351406655813614,0.11383389962999624,0.010054669929166572
