Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Gold_4_16_10_2018_14_37.sif,4,KM3,BESTFIT,100,0,3,8,1,4,0.75,0.42857142857142855,0.6875,0.34375,0.363696483726654
Gold_6_16_10_2018_14_37.sif,6,KM3,BESTFIT,100,1,2,22,3,9,0.4,0.18181818181818182,0.6666666666666666,0.3333333333333333,0.08234111154840207
Gold_5_16_10_2018_14_37.sif,5,KM3,BESTFIT,100,3,3,13,2,7,0.6,0.3,0.64,0.32,0.2041241452319315
