,,,Slide ID,b,a,c,d,e
,,,Antibody Name,b,a,c,d,e
,,,HUGO ID,b,a,c,d,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.392775582535703,0.968248521127593,0.062311647642301016,0.7827990652725997,0.5191728626954113
C1,no,Insulin,0.5050505050505051,0.22160592784789565,0.6625332972023142,0.20737902803078342,0.4642374567549269,0.3378855596875172
C1,no,Insulin,1.0101010101010102,0.14536368023353916,0.47638215704739667,0.23364547592556786,0.32826486692019374,0.27624030098931934
C1,no,Insulin,1.5151515151515151,0.10737880857693562,0.36233983394882796,0.23260823616235976,0.2698105266620195,0.2502701558230753
C1,no,Insulin,2.0202020202020203,0.08694688401294375,0.2928817223121897,0.22757310624781138,0.24430049775812424,0.23815419781470706
C1,no,Insulin,2.5252525252525255,0.07533210643891554,0.250959325583893,0.2236102692690395,0.23298621785903748,0.23240040313200205
C1,no,Insulin,3.0303030303030303,0.06849773155126064,0.22586390848981133,0.22119442090687239,0.2279057608783575,0.22969270560789673
C1,no,Insulin,3.5353535353535355,0.06440607667599045,0.21093905691349743,0.2198744054665927,0.22560659241883363,0.22843293654038768
C1,no,Insulin,4.040404040404041,0.0619425547311474,0.20210697718303075,0.2191956562235982,0.22456146574399224,0.22785154374600153
C1,no,Insulin,4.545454545454546,0.060460628073993695,0.19690015924349744,0.21885953817641313,0.2240852603789652,0.22758452571032145
C1,no,Insulin,5.050505050505051,0.05957264603887659,0.19383940526510193,0.21869714630475273,0.22386801520691546,0.22746221836974828
C1,no,Insulin,5.555555555555556,0.05904313041770914,0.19204416891969753,0.21861998748333877,0.22376884677541153,0.22740627528122337
C1,no,Insulin,6.0606060606060606,0.05872886414749782,0.19099299813821516,0.21858374508626185,0.22372356497535378,0.2273807054086585
C1,no,Insulin,6.565656565656566,0.05854312382245361,0.19037831004999528,0.21856685693501535,0.22370288314146486,0.2273690213244399
C1,no,Insulin,7.070707070707071,0.058433729937544705,0.1900192414333792,0.21855903472402555,0.22369344157955373,0.22736368473857563
C1,no,Insulin,7.575757575757576,0.05836948209173182,0.18980965726063534,0.21855542467083908,0.22368912846440805,0.2273612469818204
C1,no,Insulin,8.080808080808081,0.0583318324608713,0.1896874023608024,0.21855376395832185,0.2236871578749371,0.2273601335408672
C1,no,Insulin,8.585858585858587,0.0583098074578791,0.1896161230142559,0.21855300082413365,0.22368625770148967,0.22735962549822827
C1,no,Insulin,9.090909090909092,0.058296940039274756,0.18957458095746213,0.2185526511284525,0.22368584667069688,0.22735939325323104
C1,no,Insulin,9.595959595959597,0.05828943117319722,0.18955038037094807,0.2185524910398457,0.22368565900829188,0.2273592871840828
C1,no,Insulin,10.101010101010102,0.058285049228076556,0.1895362743356679,0.2185524175977614,0.2236855730843513,0.22735923861388685
C1,no,Insulin,10.606060606060607,0.05828249673744202,0.189528064445999,0.2185523841957608,0.22368553408104674,0.22735921659050096
C1,no,Insulin,11.111111111111112,0.058281009326147624,0.18952328270184407,0.2185523688521179,0.22368551616371915,0.227359206445596
C1,no,Insulin,11.616161616161618,0.058280142747467546,0.1895204978493922,0.21855236184335328,0.22368550802422216,0.22735920190693104
C1,no,Insulin,12.121212121212121,0.05827963928933118,0.1895188802836942,0.21855235867603895,0.2236855043710887,0.22735919992339101
C1,no,Insulin,12.626262626262626,0.05827934577795035,0.18951793721575072,0.21855235731494668,0.22368550266997977,0.22735919872803256
C1,no,Insulin,13.131313131313131,0.05827917473758905,0.1895173877247258,0.21855235664237196,0.22368550188016129,0.22735919825281764
C1,no,Insulin,13.636363636363637,0.058279075554268825,0.18951706902575238,0.218552355876271,0.22368550128456655,0.22735919858319334
C1,no,Insulin,14.141414141414142,0.05827901774824618,0.18951688316062826,0.2185523552128518,0.22368550080512822,0.2273591990227001
C1,no,Insulin,14.646464646464647,0.05827898326024348,0.18951677238265327,0.21855235549227872,0.22368550088573672,0.22735919852654585
C1,no,Insulin,15.151515151515152,0.05827896305642679,0.18951670768543796,0.2185523567583275,0.2236855015468105,0.22735919700416235
C1,no,Insulin,15.656565656565657,0.05827895135806537,0.1895166702201751,0.21855235758613312,0.22368550198244758,0.22735919602286708
C1,no,Insulin,16.161616161616163,0.05827894306179945,0.18951664359457254,0.21855235776472004,0.2236855020766427,0.2273591958042208
C1,no,Insulin,16.666666666666668,0.058278938427551955,0.18951662863087565,0.21855235721937227,0.22368550178874022,0.2273591964357405
C1,no,Insulin,17.171717171717173,0.058278936090534,0.18951662102436131,0.21855235653082405,0.22368550142443214,0.2273591972373188
C1,no,Insulin,17.67676767676768,0.05827893462247908,0.18951661626514532,0.21855235624371216,0.2236855012718593,0.22735919757124837
C1,no,Insulin,18.181818181818183,0.05827893335299677,0.18951661212417156,0.21855235582817767,0.2236855010508791,0.22735919805572044
C1,no,Insulin,18.68686868686869,0.0582789340524249,0.1895166143741818,0.21855235586569097,0.2236855010700613,0.22735919801260784
C1,no,Insulin,19.191919191919194,0.05827893475185304,0.18951661662419206,0.2185523559032043,0.22368550108924354,0.22735919796949522
C1,no,Insulin,19.6969696969697,0.05827893501200261,0.18951661746029907,0.21855235590963512,0.22368550109250265,0.22735919796212284
