,,,Slide ID,f,e,c,b,d,a
,,,Antibody Name,f,e,c,b,d,a
,,,HUGO ID,f,e,c,b,d,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8553842176232108,0.5919292110001693,0.9907317446446902,0.48540854478835516,0.2341147266435767,0.5962869600305777
C1,no,Insulin,0.42016806722689076,0.478213152376819,0.42574247793227254,0.5740918534071954,0.2664805113495548,0.2210700677733744,0.4129407251155833
C1,no,Insulin,0.8403361344537815,0.3265056289567302,0.3156594923734571,0.3920455558793374,0.1700779598693032,0.20645926975643217,0.299330822554669
C1,no,Insulin,1.2605042016806722,0.25888954537887704,0.24433239643464183,0.306933641314328,0.1276378395504476,0.19226739285454125,0.2293056781945056
C1,no,Insulin,1.680672268907563,0.22675785303818485,0.19975697197575487,0.26342979992027277,0.10870693946623135,0.17982763665329915,0.18710451264397235
C1,no,Insulin,2.100840336134454,0.2110721794601409,0.17283318772894832,0.23927377123905408,0.09990925235336046,0.16986816955131814,0.1623093472509051
C1,no,Insulin,2.5210084033613445,0.20326806909046108,0.15694377496396747,0.22514206770354,0.09549926781551983,0.1625022411802044,0.14800284138060574
C1,no,Insulin,2.9411764705882355,0.19925289481322597,0.14766432150498848,0.21669878130306744,0.09307103938825217,0.15739453127984726,0.1398087741278565
C1,no,Insulin,3.361344537815126,0.1970778331309188,0.14224474715931235,0.2116385579801793,0.0916223656082373,0.15402047252146128,0.13510414078888178
C1,no,Insulin,3.7815126050420167,0.1958299623071415,0.1390574530267543,0.2086148053356968,0.09071592271910761,0.15186629198470855,0.13237807548720917
C1,no,Insulin,4.201680672268908,0.19507919976907456,0.13716406697873995,0.20681272295627792,0.09013835358814885,0.15052133065159337,0.1307789251069874
C1,no,Insulin,4.621848739495799,0.19461389018579472,0.1360278106221195,0.20573894401606138,0.0897701291453373,0.1496928874234718,0.1298291447023965
C1,no,Insulin,5.042016806722689,0.19432164378010994,0.135340068032588,0.2050977248900005,0.08953703477782317,0.14918633384106067,0.12925905581915065
C1,no,Insulin,5.46218487394958,0.1941376673972308,0.1349211922959502,0.20471339624313492,0.08939080895952557,0.14887763177497357,0.12891414279910493
C1,no,Insulin,5.882352941176471,0.19402224041089344,0.1346650394432012,0.2044820535739489,0.08929983700160428,0.14868967821203452,0.12870433465791703
C1,no,Insulin,6.302521008403361,0.19395022152185357,0.1345080477788039,0.20434223355043704,0.0892436130617953,0.14857520977470484,0.12857629257297853
C1,no,Insulin,6.722689075630252,0.1939055387183429,0.13441173517600197,0.2042574361919134,0.08920903103645574,0.14850544176174835,0.12849801095783955
C1,no,Insulin,7.142857142857143,0.1938779522599692,0.13435263925894464,0.20420586955219897,0.08918782933893787,0.14846287994867166,0.1284501154876931
C1,no,Insulin,7.563025210084033,0.19386098502706264,0.13431638916884955,0.20417445171296397,0.08917485627902415,0.14843689746615152,0.12842080588133212
C1,no,Insulin,7.983193277310924,0.19385057672158354,0.1342941639806831,0.20415528521281365,0.08916692845248328,0.14842102733378096,0.12840287225304728
C1,no,Insulin,8.403361344537815,0.19384420592991106,0.13428054541071574,0.2041435835022427,0.08916208607779011,0.14841133116185468,0.1283919022342301
C1,no,Insulin,8.823529411764707,0.19384030815023662,0.13427220464851253,0.20413643626394065,0.08915912944182432,0.14840540606487465,0.12838519345018592
C1,no,Insulin,9.243697478991598,0.19383792809932687,0.13426709878324153,0.20413206924767247,0.08915732435255587,0.1484017848192727,0.1283810918043213
C1,no,Insulin,9.663865546218487,0.19383647336495058,0.13426397453801933,0.20412940121669007,0.08915622213534337,0.14839957193194261,0.1283785847504723
C1,no,Insulin,10.084033613445378,0.1938355851650054,0.13426206375543748,0.20412777131313342,0.08915554926304263,0.14839821988959517,0.12837705286317844
C1,no,Insulin,10.504201680672269,0.1938350428334628,0.1342608953779416,0.20412677558937425,0.089155138433719,0.14839739382275638,0.12837611690992973
C1,no,Insulin,10.92436974789916,0.19383471244021605,0.13426018267861356,0.2041261686545014,0.08915488813276339,0.14839689025512726,0.12837554638049997
C1,no,Insulin,11.344537815126051,0.1938345096297283,0.1342597448548258,0.20412579600896288,0.08915473449230127,0.1483965810504448,0.1283751960767009
C1,no,Insulin,11.764705882352942,0.19383438519353535,0.13425947597417162,0.20412556726276335,0.08915464021308472,0.14839639123869525,0.12837498104429745
C1,no,Insulin,12.184873949579831,0.19383430961111744,0.13425931245243272,0.20412542824264998,0.08915458293619985,0.14839627587327395,0.12837485034318183
C1,no,Insulin,12.605042016806722,0.19383426259075714,0.1342592106835219,0.20412534176172814,0.08915454730632924,0.14839620410018028,0.128374769033578
C1,no,Insulin,13.025210084033613,0.19383423489003548,0.13425915071510805,0.20412529081673964,0.08915452632075622,0.14839616181613402,0.12837472114225876
C1,no,Insulin,13.445378151260504,0.19383421871023754,0.1342591156651954,0.2041252610494495,0.0891545140677934,0.14839613711059307,0.1283746931633256
C1,no,Insulin,13.865546218487395,0.19383420873319215,0.13425909404515285,0.20412524269616544,0.08915450651470695,0.14839612187954318,0.12837467590567161
C1,no,Insulin,14.285714285714286,0.19383420237609275,0.13425908026838126,0.20412523100633803,0.08915450169746747,0.14839611217717447,0.12837466490621932
C1,no,Insulin,14.705882352941178,0.19383419834883386,0.13425907152827718,0.20412522358770496,0.08915449863644666,0.1483961060182809,0.12837465792749236
C1,no,Insulin,15.126050420168067,0.19383419585089806,0.13425906609159258,0.20412521896717714,0.08915449673287494,0.1483961021825453,0.12837465358742445
C1,no,Insulin,15.546218487394958,0.19383419431826698,0.13425906275584165,0.2041252161303687,0.08915449556946418,0.14839609982897245,0.12837465092539577
C1,no,Insulin,15.966386554621849,0.1938341933597131,0.13425906069250065,0.20412521438069553,0.08915449485242151,0.1483960983778778,0.1283746492788191
C1,no,Insulin,16.386554621848738,0.19383419275262057,0.13425905940805516,0.20412521329612027,0.08915449440330579,0.14839609747720242,0.12837464825371458
C1,no,Insulin,16.80672268907563,0.19383419237808097,0.13425905861017712,0.2041252126199433,0.08915449412102341,0.14839609691474867,0.12837464761719364
C1,no,Insulin,17.22689075630252,0.19383419215714304,0.13425905811391473,0.20412521219461127,0.08915449394642541,0.14839609656161817,0.12837464722147074
C1,no,Insulin,17.647058823529413,0.19383419201404237,0.1342590577788453,0.20412521190691282,0.08915449383062084,0.14839609632349002,0.12837464695419162
C1,no,Insulin,18.067226890756302,0.19383419183904202,0.1342590573886762,0.20412521156957003,0.0891544936908325,0.1483960960427658,0.12837464664337955
C1,no,Insulin,18.487394957983195,0.19383419170588073,0.1342590570933483,0.20412521131492242,0.08915449358525815,0.14839609583088142,0.1283746464080752
C1,no,Insulin,18.907563025210084,0.19383419161455845,0.1342590568928616,0.20412521114297003,0.08915449351389775,0.1483960956878369,0.1283746462482785
C1,no,Insulin,19.327731092436974,0.19383419156507525,0.13425905678721614,0.20412521105371284,0.08915449347675132,0.14839609561363223,0.12837464616398947
C1,no,Insulin,19.747899159663866,0.19383419155743106,0.1342590567764119,0.20412521104715084,0.08915449347381886,0.14839609560826741,0.1283746461552081
C1,no,Insulin,20.168067226890756,0.19383419159162593,0.1342590568604489,0.20412521112328405,0.08915449350510038,0.14839609567174242,0.12837464622193442
C1,no,Insulin,20.58823529411765,0.19383419160995669,0.1342590569066991,0.20412521116570534,0.08915449352253842,0.14839609570714346,0.12837464625862316
C1,no,Insulin,21.008403361344538,0.19383419159488793,0.13425905687485812,0.20412521113903967,0.08915449351152874,0.14839609568501932,0.12837464623320005
C1,no,Insulin,21.42857142857143,0.19383419159091783,0.13425905686720302,0.20412521113305523,0.08915449350913122,0.14839609568010576,0.1283746462270571
C1,no,Insulin,21.84873949579832,0.19383419159804638,0.13425905688373377,0.20412521114775206,0.08915449351534586,0.1483960956924028,0.12837464624019435
C1,no,Insulin,22.26890756302521,0.19383419161627358,0.13425905692445037,0.2041252111831301,0.08915449353017266,0.14839609572191048,0.12837464627261178
C1,no,Insulin,22.689075630252102,0.19383419164559945,0.1342590569893528,0.2041252112391894,0.08915449355361162,0.14839609576862878,0.12837464632430937
C1,no,Insulin,23.10924369747899,0.19383419168602395,0.13425905707844116,0.20412521131592992,0.08915449358566273,0.14839609583255767,0.12837464639528712
C1,no,Insulin,23.529411764705884,0.19383419169670027,0.1342590571047382,0.20412521134009118,0.08915449359592074,0.14839609585283434,0.1283746464161331
C1,no,Insulin,23.949579831932773,0.193834191708343,0.13425905712949904,0.20412521136094636,0.0891544936046192,0.1483960958701746,0.1283746464358916
C1,no,Insulin,24.369747899159663,0.19383419171998573,0.13425905715425987,0.20412521138180154,0.08915449361331766,0.14839609588751485,0.12837464645565014
C1,no,Insulin,24.789915966386555,0.19383419173162847,0.1342590571790207,0.20412521140265671,0.08915449362201612,0.14839609590485509,0.12837464647540864
C1,no,Insulin,25.210084033613445,0.1938341917432712,0.13425905720378153,0.20412521142351187,0.08915449363071458,0.14839609592219535,0.12837464649516714
C1,no,Insulin,25.630252100840337,0.19383419175491395,0.13425905722854237,0.20412521144436704,0.08915449363941304,0.1483960959395356,0.12837464651492564
C1,no,Insulin,26.050420168067227,0.19383419176274963,0.1342590572452093,0.20412521145840568,0.08915449364526772,0.14839609595120798,0.12837464652822542
C1,no,Insulin,26.47058823529412,0.19383419176309347,0.13425905724594833,0.20412521145903,0.08915449364552609,0.14839609595172654,0.12837464652881503
C1,no,Insulin,26.89075630252101,0.19383419176343727,0.13425905724668732,0.20412521145965434,0.08915449364578448,0.14839609595224507,0.12837464652940464
C1,no,Insulin,27.310924369747898,0.1938341917637811,0.13425905724742634,0.20412521146027865,0.08915449364604286,0.1483960959527636,0.12837464652999425
C1,no,Insulin,27.73109243697479,0.19383419176412492,0.13425905724816534,0.20412521146090298,0.08915449364630124,0.14839609595328215,0.12837464653058386
C1,no,Insulin,28.15126050420168,0.19383419176446873,0.13425905724890436,0.20412521146152732,0.08915449364655963,0.14839609595380068,0.12837464653117348
C1,no,Insulin,28.571428571428573,0.19383419176481256,0.13425905724964335,0.20412521146215165,0.089154493646818,0.1483960959543192,0.1283746465317631
C1,no,Insulin,28.991596638655462,0.19383419176515637,0.13425905725038234,0.20412521146277596,0.08915449364707638,0.14839609595483777,0.1283746465323527
C1,no,Insulin,29.411764705882355,0.1938341917655002,0.13425905725112136,0.2041252114634003,0.08915449364733477,0.1483960959553563,0.1283746465329423
