,,,Slide ID,d,h,e,a,f,c,b,g
,,,Antibody Name,d,h,e,a,f,c,b,g
,,,HUGO ID,d,h,e,a,f,c,b,g
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,12.626262626262626,0.009725632498011377,0.06644763806730013,0.10911060233780946,0.06303798576164926,0.02694658236854193,0.04099975537008008,0.04327192607200115,0.163180951477565
C1,no,Insulin,13.131313131313131,0.009703394639251482,0.06636238200544897,0.10902781558465179,0.06294257279529103,0.026903776786084358,0.04090881796364944,0.0432158770501648,0.16296695299722583
C1,no,Insulin,13.636363636363637,0.009686324735178874,0.06629687840043445,0.10896414495106849,0.06286927690067948,0.026870888347531575,0.040839027885627655,0.043172798861346146,0.16280217136596548
C1,no,Insulin,14.141414141414142,0.009673219515261424,0.06624653391780815,0.1089152067342083,0.06281296371408958,0.02684561320650727,0.04078544982690177,0.04313967368919505,0.1626753459868844
C1,no,Insulin,14.646464646464647,0.009663152937357885,0.06620787168532451,0.10887754668325035,0.06276970236324735,0.026826196636549733,0.040744311733619934,0.04311423487063842,0.16257777747219063
C1,no,Insulin,15.151515151515152,0.00965541998090717,0.06617816201592133,0.10884858069184385,0.06273646067402962,0.026811275316568073,0.040712715455479484,0.043094685563253764,0.16250273191418357
C1,no,Insulin,15.656565656565657,0.009649479258065037,0.06615533028250407,0.10882631881227418,0.06271091836051547,0.02679980722187057,0.04068844396254278,0.04307965652219236,0.1624450242480458
C1,no,Insulin,16.161616161616163,0.009644914628836383,0.06613778415778548,0.10880920448528052,0.06269129030801063,0.026790993203799452,0.04066979653224175,0.04306810466176714,0.16240065379714008
C1,no,Insulin,16.666666666666668,0.009641406982775179,0.06612429930553118,0.10879604764648022,0.06267620610097802,0.02678421875655542,0.040655468278588826,0.04305922534279599,0.1623665409172229
C1,no,Insulin,17.171717171717173,0.009638711030920438,0.06611393407991854,0.10878593199332552,0.06266461187304927,0.026779011170297115,0.04064445645347617,0.043052399453265826,0.16234031271302624
C1,no,Insulin,17.67676767676768,0.009636639146882632,0.06610596761448889,0.10877815552446585,0.06265570108603248,0.026775008562625328,0.040635994156463365,0.04304715291006791,0.1623201504623815
C1,no,Insulin,18.181818181818183,0.009635047111292106,0.0660998456572321,0.10877217915191109,0.06264885377026287,0.026771932583210388,0.040629491928217173,0.04304312074185617,0.1623046546599784
C1,no,Insulin,18.68686868686869,0.009633823425989271,0.06609514045335474,0.1087675854582509,0.06264359088947755,0.026769568213856534,0.0406244943891054,0.043040021268921584,0.16229274291023896
C1,no,Insulin,19.191919191919194,0.009632882928145228,0.06609152443386435,0.1087640530396331,0.06263954595219964,0.026767751119981243,0.040620653717400756,0.043037639668701326,0.1622835871443706
C1,no,Insulin,19.6969696969697,0.009632160286303653,0.06608874466815119,0.10876133605177989,0.06263643732746889,0.02676635470612887,0.040617702528245994,0.04303580991777247,0.16227655107169917
C1,no,Insulin,20.202020202020204,0.009631605363378181,0.06608660720499658,0.10875925109057763,0.06263404939764367,0.026765281426573653,0.040615435279821914,0.04303440258421103,0.16227114621428135
C1,no,Insulin,20.70707070707071,0.00963117835605145,0.06608496144785851,0.10875765709653847,0.06263221228686768,0.02676445443223293,0.04061368957912761,0.04303331493634157,0.16226698623689553
C1,no,Insulin,21.212121212121215,0.009630849752676012,0.06608370294710089,0.10875644083183549,0.06263080124870427,0.026763819498331412,0.04061234814251908,0.04303247811962904,0.1622637881996804
C1,no,Insulin,21.71717171717172,0.00963059658174114,0.06608274458919965,0.10875548835044915,0.06262971625457557,0.02676333489178397,0.04061131960994549,0.04303184600025067,0.16226133101628204
C1,no,Insulin,22.222222222222225,0.009630402755131898,0.06608199741344849,0.10875474494686073,0.06262888146873997,0.02676296092612559,0.040610528530664755,0.04303136005780095,0.162259443539178
C1,no,Insulin,22.72727272727273,0.009630254309071199,0.06608141600380861,0.10875417913930638,0.06262823989057834,0.026762671510322227,0.04060991928942876,0.04303098126126046,0.16225799296385562
C1,no,Insulin,23.232323232323235,0.009630139804431982,0.06608097500492992,0.10875375562978967,0.06262774751477025,0.026762449547866062,0.04060945104757267,0.0430306882105126,0.16225687728852553
C1,no,Insulin,23.73737373737374,0.009630051177244166,0.06608064324744944,0.10875342533234723,0.06262736883517286,0.02676228081389968,0.040609092081169564,0.04303046787522179,0.16225601900677475
C1,no,Insulin,24.242424242424242,0.009629983380427023,0.0660803832798724,0.10875316608435272,0.06262707725407066,0.026762150334021715,0.040608815777029045,0.04303029832242671,0.16225535945981573
C1,no,Insulin,24.747474747474747,0.0096299320778605,0.06608017336727248,0.10875297177398624,0.06262685318673678,0.026762047464888302,0.0406086020269748,0.04303016164305159,0.1622548531401127
C1,no,Insulin,25.252525252525253,0.009629892448367377,0.06608001534902008,0.10875282717709911,0.06262668140751006,0.026761968891538403,0.0406084380077871,0.043030056360424424,0.1622544640055867
C1,no,Insulin,25.757575757575758,0.009629860973786958,0.06607990636380465,0.1087527082562967,0.0626265492197837,0.026761911827934245,0.04060831372414688,0.04302998400951715,0.16225416420472522
C1,no,Insulin,26.262626262626263,0.009629836704959129,0.06607982219354035,0.1087526084484939,0.06262644696822096,0.0267618683296445,0.040608218333007214,0.0430299312570516,0.16225393338937452
C1,no,Insulin,26.767676767676768,0.009629819054761712,0.0660797448841975,0.10875253893134346,0.06262636841348844,0.02676183152254452,0.040608143161226684,0.043029882193297724,0.16225375648521745
C1,no,Insulin,27.272727272727273,0.009629805560251782,0.06607968620905347,0.10875249558111241,0.06262630877821165,0.026761802868911735,0.04060808526678527,0.04302984118044079,0.1622536209218827
C1,no,Insulin,27.77777777777778,0.009629794298996831,0.06607965255459565,0.1087524572568972,0.06262626304259279,0.026761783850452185,0.04060804244045713,0.043029816893495276,0.16225351639176827
C1,no,Insulin,28.282828282828284,0.00962978554308355,0.06607962622374709,0.10875241691230082,0.06262622715200808,0.02676176968646754,0.0406080096776336,0.043029801927201544,0.16225343562989017
C1,no,Insulin,28.78787878787879,0.00962977998315828,0.0660795909865264,0.10875239338605305,0.06262619949005185,0.026761754754280623,0.04060798221916939,0.04302978049224081,0.16225337393076994
C1,no,Insulin,29.292929292929294,0.009629776007914544,0.06607956188696341,0.10875238860219016,0.06262617896531805,0.026761742105062606,0.040607960552087256,0.04302975826746701,0.16225332695637168
C1,no,Insulin,29.7979797979798,0.009629771682055553,0.06607955568030278,0.10875237655590163,0.06262616321809061,0.026761736810547228,0.040607946391359395,0.04302975210505424,0.16225329044191933
C1,no,Insulin,30.303030303030305,0.00962976815968588,0.06607955211536386,0.10875235692841151,0.06262615058846238,0.02676173353907037,0.04060793588652066,0.043029751627137965,0.16225326207906904
C1,no,Insulin,30.80808080808081,0.009629766122213517,0.06607954087686384,0.10875234613265808,0.06262614086166633,0.026761728672792348,0.04060792648539707,0.04302974549310376,0.16225324047877765
C1,no,Insulin,31.313131313131315,0.009629765082297025,0.06607952659127518,0.10875234877964088,0.06262613378695389,0.026761722997352175,0.0406079182226059,0.04302973411744366,0.1622532242133922
C1,no,Insulin,31.81818181818182,0.009629763526357601,0.06607952480584132,0.10875234418832663,0.06262612820567104,0.026761721320544805,0.04060791336481077,0.043029732406849076,0.16225321140092083
C1,no,Insulin,32.323232323232325,0.009629761645099247,0.06607953073546766,0.10875232647035911,0.06262612338157676,0.026761722559679544,0.040607910983764775,0.04302973977039924,0.1622532011070824
C1,no,Insulin,32.82828282828283,0.009629760877594604,0.06607952760951573,0.10875232189024625,0.06262612002018678,0.02676172105055463,0.040607907812601256,0.043029738211000965,0.16225319356777845
C1,no,Insulin,33.333333333333336,0.00962976085486113,0.06607951873595705,0.10875232702679336,0.06262611771252691,0.026761717837651192,0.040607904255182216,0.043029730708223884,0.16225318807297898
C1,no,Insulin,33.83838383838384,0.00962976069222167,0.06607951348448948,0.10875232936939849,0.06262611583896956,0.02676171590165544,0.04060790180816263,0.04302972641862007,0.16225318375481249
C1,no,Insulin,34.343434343434346,0.00962976014859592,0.06607951422111728,0.10875232522292934,0.06262611419516038,0.02676171592820405,0.040607900753547206,0.04302972766030119,0.16225318021079113
C1,no,Insulin,34.84848484848485,0.00962975966589227,0.06607951566132779,0.10875232126006991,0.0626261129493102,0.02676171616994573,0.0406079000698192,0.04302972924964906,0.16225317747504578
C1,no,Insulin,35.35353535353536,0.009629759527258423,0.0660795141825645,0.10875232165517089,0.06262611212936979,0.02676171550846329,0.04060789908489814,0.0430297279013155,0.16225317550835544
C1,no,Insulin,35.85858585858586,0.009629759531592693,0.06607951167883949,0.10875232329654909,0.06262611151580394,0.026761714608552898,0.04060789810933472,0.04302972574632347,0.1622531740391248
C1,no,Insulin,36.36363636363637,0.009629759570185421,0.06607950922965278,0.10875232483473715,0.06262611101575483,0.026761713801605615,0.04060789729104535,0.04302972379339862,0.16225317290799143
C1,no,Insulin,36.86868686868687,0.009629759357370371,0.06607951010017937,0.1087523223786171,0.06262611050630962,0.026761714059588562,0.04060789714065293,0.04302972497200695,0.16225317190521998
C1,no,Insulin,37.37373737373738,0.009629759149777466,0.06607951140524469,0.10875232030847573,0.0626261101428517,0.026761714404004953,0.04060789711116895,0.04302972621137821,0.16225317113254267
C1,no,Insulin,37.87878787878788,0.009629758996186458,0.0660795124440978,0.10875231913116774,0.06262610990612293,0.026761714637285168,0.04060789707628803,0.04302972699271172,0.16225317055987223
C1,no,Insulin,38.38383838383839,0.009629759013622962,0.06607951172039814,0.1087523202645155,0.06262610980129162,0.0267617143240852,0.040607896781667936,0.04302972609100311,0.16225317019757543
C1,no,Insulin,38.88888888888889,0.009629759059812323,0.06607951066647513,0.1087523211631745,0.06262610969126285,0.026761713976628073,0.04060789649094444,0.043029725182334465,0.1622531699168757
C1,no,Insulin,39.3939393939394,0.0096297590683803,0.0660795100931773,0.10875232121179204,0.06262610956595671,0.02676171381357762,0.04060789632084545,0.04302972485699593,0.16225316967432907
C1,no,Insulin,39.8989898989899,0.009629759017806877,0.066079510277575,0.10875232035163467,0.06262610942992297,0.026761713897407356,0.040607896302993475,0.04302972525327051,0.16225316945150967
C1,no,Insulin,40.40404040404041,0.009629758918181951,0.06607951116480204,0.10875231902213991,0.06262610931394988,0.026761714176394558,0.0406078964089418,0.043029726154057944,0.16225316925512726
C1,no,Insulin,40.909090909090914,0.00962975879853287,0.0660795122898183,0.10875231718331922,0.06262610918606708,0.02676171455170021,0.04060789657593064,0.043029727377446855,0.16225316907358717
C1,no,Insulin,41.41414141414142,0.009629758718331024,0.06607951306136928,0.10875231608470706,0.06262610910941209,0.026761714793947285,0.040607896681095906,0.04302972814418771,0.16225316894766195
C1,no,Insulin,41.919191919191924,0.009629758695420012,0.06607951339683214,0.10875231654172311,0.06262610913586882,0.02676171482174069,0.04060789668438964,0.04302972807858062,0.1622531689002494
C1,no,Insulin,42.42424242424243,0.009629758746015632,0.06607951288508618,0.1087523178771577,0.0626261091955414,0.026761714595943432,0.040607896552422126,0.043029727284940415,0.16225316890351585
C1,no,Insulin,42.929292929292934,0.009629758843151108,0.06607951161205572,0.10875231883362527,0.06262610919711649,0.026761714233109697,0.04060789633708297,0.04302972632522091,0.16225316890600808
C1,no,Insulin,43.43434343434344,0.009629758949664387,0.06607951035400099,0.1087523204121223,0.06262610924133684,0.0267617138304535,0.04060789610808569,0.04302972512133022,0.16225316893718272
C1,no,Insulin,43.939393939393945,0.009629758991829789,0.0660795100467931,0.10875232199017232,0.06262610932235621,0.02676171364330326,0.04060789600892503,0.04302972433601771,0.16225316896843706
C1,no,Insulin,44.44444444444445,0.009629759020694923,0.0660795095734512,0.10875232192310949,0.06262610928983377,0.02676171353993801,0.04060789594118935,0.04302972415281976,0.16225316894946737
C1,no,Insulin,44.949494949494955,0.009629759023120082,0.06607950913191012,0.10875232023102792,0.06262610915433332,0.026761713562281665,0.040607895929811615,0.04302972464818507,0.1622531688797298
C1,no,Insulin,45.45454545454546,0.009629758946535259,0.06607951014534943,0.10875231993585062,0.06262610915765958,0.02676171381691981,0.040607896073148235,0.0430297252215368,0.1622531688488447
C1,no,Insulin,45.959595959595966,0.009629758847928634,0.0660795116664414,0.10875232046360589,0.06262610923439431,0.026761714127344023,0.04060789626009367,0.0430297256836302,0.16225316884525146
C1,no,Insulin,46.46464646464647,0.00962975882090058,0.06607951208010493,0.10875232058784916,0.06262610925767279,0.026761714209862064,0.040607896308787854,0.04302972581138895,0.16225316884132499
C1,no,Insulin,46.969696969696976,0.009629758869920553,0.06607951142463453,0.10875232079764216,0.06262610925794389,0.026761714038931468,0.04060789620955575,0.043029725424225874,0.1622531688519099
C1,no,Insulin,47.47474747474748,0.009629758917743142,0.0660795107604713,0.10875232090164899,0.06262610924824365,0.026761713875393937,0.04060789611354434,0.04302972507927828,0.16225316885925617
C1,no,Insulin,47.979797979797986,0.009629758955953374,0.06607951012920363,0.10875232055652598,0.06262610920494721,0.026761713754775696,0.0406078960374059,0.04302972493706646,0.16225316885014557
C1,no,Insulin,48.484848484848484,0.009629758981835925,0.06607950967424799,0.10875232021835608,0.06262610916538203,0.0267617136755624,0.04060789598578789,0.0430297248732208,0.16225316883958854
C1,no,Insulin,48.98989898989899,0.009629758956537967,0.06607950994871988,0.10875231986151399,0.06262610914426099,0.02676171376696201,0.040607896034575396,0.04302972514559686,0.16225316882165558
C1,no,Insulin,49.494949494949495,0.009629758927326796,0.06607951030569469,0.10875231961853149,0.06262610913384582,0.02676171386897792,0.0406078960911105,0.043029725408300745,0.16225316880727972
C1,no,Insulin,50.0,0.009629758908447333,0.06607951061062739,0.1087523197827433,0.06262610915338272,0.026761713927353152,0.040607896127110736,0.04302972547801506,0.1622531688088162
