,,,Slide ID,f,a,g,e,b,d,c
,,,Antibody Name,f,a,g,e,b,d,c
,,,HUGO ID,f,a,g,e,b,d,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.2844912518754952,0.9074257851916038,0.8750669108100061,0.18586526857329044,0.9107244922407393,0.030786265532960266,0.08390727125560749
C1,no,Insulin,0.5050505050505051,0.15299491298420337,0.4179936306086203,0.3964787064190556,0.15500052505208345,0.5763414332969001,0.10065088118545384,0.14942719631837065
C1,no,Insulin,1.0101010101010102,0.08790521027927069,0.25975298182202033,0.2413961818657787,0.166743278911597,0.38879251723390834,0.15241284149079373,0.1631379207603576
C1,no,Insulin,1.5151515151515151,0.05581684492186845,0.21472905206924978,0.1829189551491525,0.18514771040407016,0.28065837297690166,0.18357457883795616,0.15895985230152437
C1,no,Insulin,2.0202020202020203,0.04015686274127419,0.20469745573468298,0.1584301131637516,0.19949003425182038,0.21697608989296002,0.2000866425702,0.1506528706287283
C1,no,Insulin,2.5252525252525255,0.032472066791527594,0.20392730016514776,0.14752996159079443,0.208578543557666,0.17925829747940544,0.20811175364025788,0.1429965838780307
C1,no,Insulin,3.0303030303030303,0.02864621286795108,0.20489595928178472,0.14252009075552294,0.2137861938877203,0.15707472553323518,0.21179623700755784,0.13718452257220143
C1,no,Insulin,3.5353535353535355,0.026715046008871517,0.2057771937909831,0.1401803350623727,0.2165983452081606,0.1441993699768534,0.21342249531976076,0.13314832761157508
C1,no,Insulin,4.040404040404041,0.02573015951708207,0.20631741761466388,0.13907907073891176,0.2180585263563986,0.13683498141808773,0.21411924974002552,0.13048312136772477
C1,no,Insulin,4.545454545454546,0.025224104775506854,0.20660346870021534,0.13855879615484307,0.21879580037530685,0.13267920269671774,0.2144105449122095,0.12877838646224793
C1,no,Insulin,5.050505050505051,0.024962555872072252,0.20674333760634642,0.13831256520397683,0.21916034314293228,0.13036084000177967,0.2145297180515391,0.12771123752206276
C1,no,Insulin,5.555555555555556,0.02482669288377529,0.20680826757675655,0.13819593105899916,0.21933769294566102,0.129079555901765,0.21457749686858074,0.12705332253304483
C1,no,Insulin,6.0606060606060606,0.024755796188293155,0.20683728987841854,0.1381406620200891,0.21942287756499734,0.12837669024010795,0.2145962751280597,0.12665220021752882
C1,no,Insulin,6.565656565656566,0.024718646951789384,0.20684987971802332,0.13811446623108864,0.21946337844941802,0.1279933731190015,0.21460350720092328,0.1264096693314623
C1,no,Insulin,7.070707070707071,0.024699109597404977,0.2068552070649671,0.1381020504868063,0.21948247766935386,0.12778527261380102,0.21460623097932047,0.12626395135649146
C1,no,Insulin,7.575757575757576,0.02468880157298831,0.20685740947040182,0.13809616485743806,0.21949142448701314,0.12767269747060966,0.2146072328645902,0.12617682879923608
C1,no,Insulin,8.080808080808081,0.024683348133020533,0.2068583021572058,0.13809337484091214,0.21949559407193583,0.12761196135780997,0.21460759102386145,0.12612493626610885
C1,no,Insulin,8.585858585858587,0.02468045659565662,0.20685865685738442,0.13809205227641527,0.2194975292460502,0.12757926118959165,0.21460771456445876,0.12609411951313051
C1,no,Insulin,9.090909090909092,0.02467892065289532,0.20685879509349817,0.13809142529944837,0.21949842456876584,0.12756168321221842,0.21460775523722736,0.12607586151407107
C1,no,Insulin,9.595959595959597,0.024678103613134845,0.20685884786925118,0.13809112806346754,0.21949883781424784,0.1275522452722944,0.21460776770914147,0.12606506401718562
C1,no,Insulin,10.101010101010102,0.024677668431480948,0.20685886756089386,0.1380909870913951,0.21949902828451887,0.12754718157730893,0.2146077710987355,0.12605868726125832
C1,no,Insulin,10.606060606060607,0.024677436724830505,0.20685887454921456,0.13809092045134447,0.21949911560511137,0.1275444693495904,0.21460777170621984,0.12605492689927678
C1,no,Insulin,11.111111111111112,0.02467731324153228,0.20685887705507544,0.13809088889843027,0.21949915569514564,0.12754301746746313,0.21460777171528062,0.12605271181068473
C1,no,Insulin,11.616161616161618,0.024677247294146297,0.2068588779449638,0.1380908738546137,0.2194991742573046,0.12754223939917317,0.2146077716393683,0.12605140751008875
C1,no,Insulin,12.121212121212121,0.024677212221976816,0.20685887822642562,0.13809086677520963,0.2194991827203382,0.12754182423373142,0.21460777155414368,0.1260506414961319
C1,no,Insulin,12.626262626262626,0.024677193335791357,0.20685887836065364,0.1380908633190108,0.21949918675443772,0.12754160033266557,0.21460777153545502,0.1260501898201565
C1,no,Insulin,13.131313131313131,0.024677183105823144,0.20685887840481434,0.13809086160351655,0.2194991887223978,0.12754147882937827,0.21460777152200178,0.12604992266304185
C1,no,Insulin,13.636363636363637,0.024677177674157655,0.20685887840029354,0.1380908608395777,0.21949918955363748,0.127541414068827,0.21460777150085547,0.12604976474091883
C1,no,Insulin,14.141414141414142,0.02467717489763848,0.20685887839357936,0.13809086052686215,0.21949918986489236,0.1275413808788418,0.2146077714928918,0.12604967341378293
