NON $ % + - . 0
#NON	a	c	e	b	d	f
0.0	0.9469095510671292	0.06380037342028688	0.09692447461071496	0.15127734876261079	0.24895363999740805	0.6489240438364643
0.5050505050505051	0.37431912727579725	0.1473462322637884	0.2019090784970826	0.1929568869251716	0.20571091364069916	0.2130212463507401
1.0101010101010102	0.24082538417517904	0.20883464037167632	0.24873219919658665	0.23091798586393372	0.14940229379487904	0.10088401997856689
1.5151515151515151	0.211940956502892	0.2461881991495568	0.26751526277701215	0.25117148341236906	0.11089561180602674	0.07200457292511073
2.0202020202020203	0.20671985343195673	0.26720292282709895	0.274821415381294	0.26051585581499387	0.0905446587179034	0.06532418413899252
2.5252525252525255	0.20626290485743978	0.27854430328243934	0.27763294339566685	0.26454951332416804	0.08126347695039748	0.06426374652981184
3.0303030303030303	0.20649637148329447	0.28450894800869564	0.27871057430354634	0.26622659389994	0.07741813572777845	0.06439320837045076
3.5353535353535355	0.20669405283935086	0.28759202759531094	0.27912299922852873	0.2669075743666461	0.07594202892662771	0.06464345356284497
4.040404040404041	0.20679845518399312	0.28916644938941144	0.2792807503574043	0.267179713132409	0.07541871465241383	0.06481882880416033
4.545454545454546	0.20684603905875829	0.28996346578092647	0.2793410770066784	0.267287256008683	0.07525278312623601	0.06491940526164883
5.050505050505051	0.2068662715751934	0.29036435838828595	0.2793641447039017	0.2673294108296789	0.07521067056093234	0.064972691704846
5.555555555555556	0.2068745508784071	0.2905650472387538	0.27937296567861664	0.2673458375916185	0.07520656591803256	0.0649998870000181
6.0606060606060606	0.20687786149881668	0.2906651532579544	0.27937633837058756	0.2673522098316687	0.07521141678284324	0.06501350797681403
6.565656565656566	0.20687916590695224	0.2907149526025498	0.2793776280011128	0.2673546735682244	0.07521661284652247	0.06502026485435675
7.070707070707071	0.2068796748594898	0.29073967454576827	0.27937812100561765	0.2673556235135553	0.0752203107915297	0.06502360070261476
7.575757575757576	0.20687987214624212	0.2907519302402856	0.27937830964909793	0.26735598933866134	0.07522259136115061	0.06502524410614235
8.080808080808081	0.2068799482602788	0.29075799549118275	0.2793783815860473	0.26735612961004857	0.07522390005783203	0.0650260527224723
8.585858585858587	0.20687997742405073	0.29076099532778416	0.2793784089953901	0.26735618328701344	0.07522461926483716	0.06502645071520885
9.090909090909092	0.2068799886677396	0.2907624758292606	0.2793784194887423	0.2673562038693168	0.07522500282113224	0.06502664605699116
9.595959595959597	0.20687999299298634	0.2907632083662688	0.2793784236092508	0.26735621195637826	0.07522520305614128	0.0650267425324008
