NON $ % + -
#NON	b	d	a	c
0.0	0.42781840567628626	0.9809540468257855	0.3854002319296689	0.83632060516691
0.5050505050505051	0.2224466915902082	0.6148433475063091	0.32524079909127274	0.3859096061185984
1.0101010101010102	0.12665922307408745	0.40771429462256586	0.2595863594711712	0.2442159350876252
1.5151515151515151	0.08136552389556587	0.2859149809066206	0.21897323241686986	0.19596253463855431
2.0202020202020203	0.06000821986778684	0.21273590928912714	0.19833975002775606	0.17801405483516408
2.5252525252525255	0.05001621524078353	0.16870195503528146	0.18876459314441899	0.17096046638547216
3.0303030303030303	0.04538811609533746	0.14251424540724628	0.18453497362669227	0.16814645696916408
3.5353535353535355	0.0432688359085141	0.12720017726464453	0.18272950502692648	0.16703669593857315
4.040404040404041	0.0423103262453225	0.11839455022046518	0.18198171511272135	0.16661165782811393
4.545454545454546	0.041882472636255955	0.11340579093436752	0.18168169203771345	0.16645643593391693
5.050505050505051	0.04169415018547093	0.11061423008927482	0.18156586117671433	0.16640400460187
5.555555555555556	0.04161250676638368	0.10906793548095747	0.181523419708129	0.16638873546583735
6.0606060606060606	0.04157770475405002	0.10821848340824311	0.18150908019443496	0.16638579443783266
6.565656565656566	0.0415631533848476	0.10775497727925427	0.1815049190736935	0.16638630080052189
7.070707070707071	0.041557208158368365	0.10750345088576847	0.18150413221922104	0.16638737008108503
7.575757575757576	0.04155484731329451	0.10736756005113231	0.18150428604452537	0.16638823118400847
8.080808080808081	0.04155394637788208	0.10729441697140012	0.18150457912467052	0.16638879762049819
8.585858585858587	0.041553620256419906	0.10725515908914887	0.18150482874700885	0.16638911879918877
9.090909090909092	0.04155351209389314	0.10723413762596484	0.1815049817954719	0.16638930050597353
9.595959595959597	0.04155348196235787	0.10722290150109921	0.18150507405730976	0.16638939444294248
10.101010101010102	0.04155347718373157	0.10721690492863954	0.1815051235744274	0.1663894433924774
10.606060606060607	0.04155347909056318	0.10721370514315294	0.18150514998682443	0.16638946768076143
11.111111111111112	0.04155348184013978	0.1072120043351903	0.18150516345796947	0.16638947954766195
11.616161616161618	0.04155348388703759	0.10721109948936854	0.18150517014689593	0.16638948526589384
12.121212121212121	0.0415534851655246	0.10721061334698996	0.1815051734631034	0.16638948801901446
12.626262626262626	0.041553485951633586	0.10721035731436235	0.18150517511738648	0.16638948923845814
13.131313131313131	0.04155348635462821	0.10721021898551848	0.18150517588141063	0.16638948983646523
13.636363636363637	0.04155348657546672	0.10721014343753643	0.18150517617348583	0.16638949017312596
14.141414141414142	0.04155348670630932	0.10721010742231667	0.18150517628892493	0.16638949030178599
14.646464646464647	0.04155348677555918	0.10721008475398493	0.18150517647827016	0.1663894902799513
15.151515151515152	0.041553486830517926	0.10721006784421283	0.18150517652413273	0.16638949033574263
15.656565656565657	0.041553486846555965	0.1072100609001444	0.18150517652933104	0.1663894903515749
16.161616161616163	0.04155348684793169	0.10721005820341079	0.18150517652187315	0.16638949035232617
16.666666666666668	0.04155348685024224	0.1072100560773379	0.18150517651976705	0.16638949035399198
17.171717171717173	0.04155348684008489	0.10721005768131396	0.1815051765075384	0.1663894903428273
17.67676767676768	0.04155348683627272	0.10721005727112329	0.18150517650017628	0.1663894903380387
18.181818181818183	0.04155348682871752	0.10721005944736636	0.18150517649338338	0.1663894903313425
18.68686868686869	0.04155348682171752	0.10721006147031155	0.18150517648708708	0.16638949032516148
19.191919191919194	0.04155348682015867	0.10721006199086533	0.18150517648565742	0.16638949032402967
19.6969696969697	0.04155348681859982	0.10721006251141911	0.18150517648422776	0.16638949032289782
20.202020202020204	0.04155348681704097	0.1072100630319729	0.1815051764827981	0.166389490321766
20.70707070707071	0.04155348681548212	0.10721006355252669	0.18150517648136844	0.16638949032063416
21.212121212121215	0.041553486813988794	0.10721006405217982	0.18150517647999945	0.16638949031955183
21.71717171717172	0.04155348681367149	0.10721006417673618	0.18150517647971906	0.16638949031935826
22.222222222222225	0.0415534868133542	0.10721006430129253	0.18150517647943865	0.1663894903191647
22.72727272727273	0.041553486813036895	0.10721006442584888	0.18150517647915823	0.16638949031897113
23.232323232323235	0.041553486812719594	0.10721006455040523	0.18150517647887784	0.1663894903187776
23.73737373737374	0.04155348681240613	0.10721006467348326	0.18150517647860087	0.16638949031858638
24.242424242424242	0.04155348681238428	0.1072100646840678	0.18150517647858305	0.16638949031857544
24.747474747474747	0.04155348681236243	0.10721006469465233	0.18150517647856526	0.1663894903185645
25.252525252525253	0.041553486812340584	0.10721006470523688	0.18150517647854747	0.16638949031855357
25.757575757575758	0.041553486812318734	0.10721006471582141	0.18150517647852968	0.16638949031854264
26.262626262626263	0.04155348681229688	0.10721006472640594	0.1815051764785119	0.1663894903185317
26.767676767676768	0.04155348681227503	0.10721006473699048	0.1815051764784941	0.16638949031852077
27.272727272727273	0.04155348681225319	0.10721006474757501	0.1815051764784763	0.16638949031850983
27.77777777777778	0.04155348681223134	0.10721006475815956	0.1815051764784585	0.1663894903184989
28.282828282828284	0.04155348681220949	0.10721006476874409	0.18150517647844072	0.16638949031848796
28.78787878787879	0.041553486812187644	0.10721006477932862	0.18150517647842293	0.16638949031847702
29.292929292929294	0.041553486812165794	0.10721006478991316	0.18150517647840514	0.1663894903184661
29.7979797979798	0.04155348681214394	0.1072100648004977	0.18150517647838735	0.16638949031845515
30.303030303030305	0.04155348681212209	0.10721006481108224	0.18150517647836956	0.16638949031844422
30.80808080808081	0.04155348681210025	0.10721006482166677	0.18150517647835177	0.16638949031843325
31.313131313131315	0.0415534868120784	0.1072100648322513	0.18150517647833397	0.16638949031842232
