NON $ % + - . 0
#NON	c	e	d	a	b	f
0.0	0.8851597904090359	0.5342080336553756	0.9308173762046561	0.2252596461840859	0.5978219880740286	0.5277584454315846
0.5050505050505051	0.3996712731313632	0.3065686021816804	0.5155403524637809	0.30364098185468125	0.3987042409585602	0.3030243062454896
1.0101010101010102	0.23668300143893126	0.2491072398871165	0.3573820505260764	0.29683774844266314	0.3136373196929988	0.17941670984282423
1.5151515151515151	0.16825779094208992	0.23171238345501535	0.29057113111134814	0.27751090322773503	0.27286282701050385	0.11329999603549487
2.0202020202020203	0.1320452226236861	0.22539865053900224	0.2602810080617398	0.2624953263295927	0.25252252792201374	0.07813687270129459
2.5252525252525255	0.1101543526267497	0.22311257009603158	0.24596435616464749	0.2532415800824962	0.2423011157889713	0.05915938824134128
3.0303030303030303	0.09633500588041016	0.22254850209016738	0.23904309707394908	0.2480623257796971	0.23717725391868405	0.04864040845429433
3.5353535353535355	0.08757323471130768	0.22268627590139659	0.23565768998852815	0.24530422585989708	0.2346189770853092	0.04263511281069311
4.040404040404041	0.08204861151721664	0.2230398147174721	0.23399193679491476	0.24387644936908123	0.2333458224827158	0.03911685169851443
4.545454545454546	0.0785846614263935	0.2233990033346175	0.23316987949814205	0.24314973392206388	0.2327136203365271	0.037015019452423484
5.050505050505051	0.07642130190793199	0.22369202941820096	0.23276359121884868	0.24278367060723458	0.232400125511367	0.035742518243302795
5.555555555555556	0.0750737069452167	0.2239081967063283	0.23256264259207665	0.2426004670775451	0.2322447979307511	0.034965522071410744
6.0606060606060606	0.07423576841294083	0.2240589037337669	0.23246321796588912	0.24250915194508568	0.2321678737439203	0.03448861535441176
6.565656565656566	0.07371543957062376	0.22416034895801776	0.23241401794929703	0.2424637556863973	0.23212978934083292	0.03419501065459196
7.070707070707071	0.07339268529579755	0.2242270654700659	0.2323896656271284	0.24244122158144746	0.2321109341966712	0.034013944122817476
7.575757575757576	0.07319265586680371	0.22427024660339684	0.23237761329109136	0.2424300481779966	0.23210160113031278	0.03390218172542146
8.080808080808081	0.07306878081117665	0.22429787573286095	0.23237164873531316	0.2424245119428103	0.23209698181403826	0.03383316868958764
8.585858585858587	0.07299212723707436	0.224315411506993	0.23236869563224996	0.24242176937529178	0.23209469504532007	0.033790542417012716
9.090909090909092	0.07294469477266684	0.22432645959532657	0.23236723452921615	0.2424204112948715	0.23209356308039686	0.033764219791200055
9.595959595959597	0.07291539448396463	0.22433341173574772	0.23236651139032502	0.2424197393969063	0.23209300345593417	0.03374795738187674
10.101010101010102	0.0728972668158404	0.2243377449588713	0.23236615368282096	0.24241940674461043	0.23209272624678082	0.03373791923058068
10.606060606060607	0.07288607155451972	0.22434045047345227	0.232365976679683	0.24241924213837307	0.23209258912643638	0.03373172083629819
11.111111111111112	0.0728791560556973	0.22434213387105365	0.23236588905083796	0.24241916064726726	0.2320925212497142	0.0337278937261205
11.616161616161618	0.07287488288071546	0.22434318024929134	0.2323658455605827	0.24241912020332265	0.23209248756496112	0.03372552967014627
12.121212121212121	0.07287224446233871	0.22434383077196865	0.23236582411515044	0.24241910025995836	0.23209247095822383	0.03372406987405372
12.626262626262626	0.07287061924854235	0.22434423209201906	0.23236581377016086	0.2424190906396661	0.23209246294621755	0.033723171313858595
13.131313131313131	0.07286961227881772	0.2243444783566101	0.2323658083834617	0.2424190856304558	0.23209245876884643	0.03372261578964754
13.636363636363637	0.07286899389909614	0.22434463446567668	0.2323658057634772	0.2424190831938732	0.2320924567435679	0.0337222729352925
14.141414141414142	0.0728686126586569	0.22434473251419804	0.2323658044736601	0.2424190819944207	0.23209245574845738	0.03372206106185365
14.646464646464647	0.07286837259604177	0.22434478676848887	0.23236580377208188	0.24241908134208387	0.2320924551978602	0.0337219304667917
15.151515151515152	0.07286822627575007	0.22434482237032757	0.23236580344267327	0.24241908103571969	0.23209245494237396	0.0337218498811803
15.656565656565657	0.0728681369305481	0.22434484667653418	0.2323658032831994	0.24241908088741138	0.2320924548207729	0.03372179978776959
16.161616161616163	0.07286808137675682	0.22434486068587034	0.23236580320446812	0.2424190808141932	0.23209245476005247	0.03372176903905636
16.666666666666668	0.07286804709885288	0.22434486931474354	0.23236580316558628	0.2424190807780344	0.23209245473001774	0.03372175007684135
17.171717171717173	0.07286802574482562	0.22434487464985886	0.23236580314627683	0.24241908076007737	0.23209245471507428	0.0337217382797827
17.67676767676768	0.07286801291369022	0.22434487782637685	0.23236580313798827	0.24241908075236945	0.2320924547086355	0.03372173120252679
18.181818181818183	0.07286800510341976	0.2243448797371316	0.23236580313418517	0.24241908074883295	0.23209245470566295	0.033721726902970955
18.68686868686869	0.07286800020960725	0.22434488092955363	0.23236580313166819	0.24241908074649235	0.2320924547037025	0.03372172421034575
