,,,Slide ID,b,d,a,c
,,,Antibody Name,b,d,a,c
,,,HUGO ID,b,d,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,9.090909090909092,0.01856064853670084,0.0045614108610736405,0.18498042939837217,0.02177776534758046
C1,no,Insulin,9.595959595959597,0.018537619196835584,0.004554468185440583,0.18497994432182263,0.02175256776385728
C1,no,Insulin,10.101010101010102,0.01852243940323132,0.004549893071003209,0.18497968801977024,0.02173595693338691
C1,no,Insulin,10.606060606060607,0.018512437512196108,0.004546878805347728,0.18497955311938374,0.021725011365799848
C1,no,Insulin,11.111111111111112,0.018505846890423457,0.004544893058817889,0.1849794821090054,0.0217177985185651
C1,no,Insulin,11.616161616161618,0.0185015013473442,0.004543583797846121,0.1849794445293542,0.021713042610474718
C1,no,Insulin,12.121212121212121,0.018498638338870863,0.0045427203919620246,0.1849794248053307,0.021709909247466044
C1,no,Insulin,12.626262626262626,0.018496750008550507,0.004542152112633886,0.1849794143520063,0.021707842441794637
C1,no,Insulin,13.131313131313131,0.018495505594809857,0.004541777182421992,0.1849794088366556,0.021706480460455237
C1,no,Insulin,13.636363636363637,0.018494687638213127,0.004541530742287984,0.184979405954962,0.021705585217861485
C1,no,Insulin,14.141414141414142,0.01849414681843064,0.004541367626096596,0.18497940440329233,0.021704993323921666
C1,no,Insulin,14.646464646464647,0.018493785270231624,0.00454125833002067,0.18497940354232148,0.021704597670991605
C1,no,Insulin,15.151515151515152,0.01849355451078946,0.004541188417460347,0.18497940314272718,0.02170434516591928
C1,no,Insulin,15.656565656565657,0.018493397897553335,0.004541140919151398,0.18497940292198292,0.021704173800031076
C1,no,Insulin,16.161616161616163,0.01849329767384345,0.004541109602016392,0.18497940281700886,0.021704064282527535
C1,no,Insulin,16.666666666666668,0.01849322764565337,0.004541090679508883,0.184979402756592,0.021703987291767007
C1,no,Insulin,17.171717171717173,0.018493183228481806,0.004541077495105934,0.18497940272372593,0.021703938646444328
C1,no,Insulin,17.67676767676768,0.018493154025424303,0.00454106870545852,0.18497940270631452,0.021703906682508923
C1,no,Insulin,18.181818181818183,0.01849313492101594,0.004541062903098199,0.1849794026973161,0.021703885780176117
C1,no,Insulin,18.68686868686869,0.018493122367976986,0.004541059074675101,0.18497940269255836,0.021703872048301945
C1,no,Insulin,19.191919191919194,0.018493113997851803,0.004541056600196035,0.18497940269001883,0.021703862879668776
C1,no,Insulin,19.6969696969697,0.018493107981519784,0.0045410548657433105,0.18497940268846663,0.021703856282316508
C1,no,Insulin,20.202020202020204,0.01849310347180574,0.004541053515691536,0.18497940268736157,0.021703851345058988
C1,no,Insulin,20.70707070707071,0.018493100833472848,0.004541052712353327,0.18497940268692117,0.021703848458747517
C1,no,Insulin,21.212121212121215,0.01849309906152942,0.004541052169584792,0.1849794026867153,0.021703846520771633
C1,no,Insulin,21.71717171717172,0.018493097740087287,0.004541051768973156,0.18497940268656599,0.02170384507484632
C1,no,Insulin,22.222222222222225,0.018493097327307365,0.004541051640967202,0.18497940268666932,0.021703844623635456
C1,no,Insulin,22.72727272727273,0.01849309631698714,0.00454105133292319,0.18497940268663274,0.02170384351841825
C1,no,Insulin,23.232323232323235,0.018493096675857933,0.004541051441393995,0.1849794026867813,0.021703843911146208
C1,no,Insulin,23.73737373737374,0.018493097034728727,0.004541051549864801,0.1849794026869299,0.021703844303874165
C1,no,Insulin,24.242424242424242,0.01849309713589498,0.004541051580375253,0.18497940268696134,0.021703844414595705
C1,no,Insulin,24.747474747474747,0.018493097227218834,0.004541051607908198,0.18497940268698831,0.021703844514546693
C1,no,Insulin,25.252525252525253,0.018493097318542685,0.0045410516354411415,0.1849794026870153,0.021703844614497682
C1,no,Insulin,25.757575757575758,0.01849309740986654,0.004541051662974086,0.18497940268704227,0.02170384471444867
C1,no,Insulin,26.262626262626263,0.01849309750119039,0.004541051690507031,0.18497940268706925,0.02170384481439966
C1,no,Insulin,26.767676767676768,0.018493097592514243,0.0045410517180399755,0.18497940268709623,0.021703844914350644
C1,no,Insulin,27.272727272727273,0.018493097683838097,0.00454105174557292,0.18497940268712318,0.021703845014301632
C1,no,Insulin,27.77777777777778,0.01849309771255905,0.004541051754228301,0.18497940268712987,0.021703845045736383
C1,no,Insulin,28.282828282828284,0.018493097735777703,0.004541051761224494,0.18497940268713475,0.021703845071149096
C1,no,Insulin,28.78787878787879,0.018493097758996355,0.004541051768220687,0.18497940268713964,0.021703845096561807
C1,no,Insulin,29.292929292929294,0.018493097782215008,0.004541051775216879,0.18497940268714455,0.02170384512197452
C1,no,Insulin,29.7979797979798,0.01849309780543366,0.004541051782213072,0.18497940268714944,0.02170384514738723
C1,no,Insulin,30.303030303030305,0.018493097828652317,0.004541051789209264,0.18497940268715435,0.021703845172799944
C1,no,Insulin,30.80808080808081,0.01849309785187097,0.0045410517962054565,0.18497940268715923,0.021703845198212654
C1,no,Insulin,31.313131313131315,0.018493097855804292,0.004541051797390597,0.18497940268715998,0.021703845202517665
C1,no,Insulin,31.81818181818182,0.018493097856987734,0.0045410517977471435,0.18497940268716015,0.02170384520381295
C1,no,Insulin,32.323232323232325,0.01849309785817118,0.00454105179810369,0.18497940268716032,0.02170384520510823
C1,no,Insulin,32.82828282828283,0.018493097859354622,0.004541051798460236,0.18497940268716048,0.02170384520640351
C1,no,Insulin,33.333333333333336,0.018493097860538068,0.004541051798816783,0.18497940268716065,0.021703845207698795
C1,no,Insulin,33.83838383838384,0.01849309786172151,0.004541051799173329,0.18497940268716082,0.021703845208994075
C1,no,Insulin,34.343434343434346,0.018493097862904956,0.004541051799529876,0.18497940268716098,0.021703845210289358
C1,no,Insulin,34.84848484848485,0.018493097864088398,0.004541051799886423,0.18497940268716115,0.02170384521158464
C1,no,Insulin,35.35353535353536,0.018493097865271844,0.004541051800242969,0.18497940268716132,0.02170384521287992
C1,no,Insulin,35.85858585858586,0.01849309786645529,0.0045410518005995154,0.18497940268716148,0.021703845214175205
C1,no,Insulin,36.36363636363637,0.01849309786763873,0.004541051800956062,0.18497940268716165,0.021703845215470485
C1,no,Insulin,36.86868686868687,0.018493097868822177,0.004541051801312608,0.18497940268716181,0.021703845216765768
C1,no,Insulin,37.37373737373738,0.01849309787000562,0.004541051801669155,0.18497940268716198,0.02170384521806105
C1,no,Insulin,37.87878787878788,0.018493097871189065,0.004541051802025701,0.18497940268716215,0.02170384521935633
C1,no,Insulin,38.38383838383839,0.018493097872372508,0.004541051802382247,0.18497940268716231,0.021703845220651614
C1,no,Insulin,38.88888888888889,0.018493097873555953,0.004541051802738794,0.18497940268716248,0.021703845221946898
C1,no,Insulin,39.3939393939394,0.018493097874739396,0.004541051803095341,0.18497940268716265,0.021703845223242178
C1,no,Insulin,39.8989898989899,0.01849309787592284,0.004541051803451887,0.1849794026871628,0.02170384522453746
C1,no,Insulin,40.40404040404041,0.018493097877106283,0.004541051803808434,0.18497940268716298,0.021703845225832744
C1,no,Insulin,40.909090909090914,0.01849309787828973,0.00454105180416498,0.18497940268716315,0.021703845227128024
C1,no,Insulin,41.41414141414142,0.018493097879473175,0.004541051804521527,0.1849794026871633,0.021703845228423307
C1,no,Insulin,41.919191919191924,0.018493097880656617,0.004541051804878073,0.18497940268716348,0.02170384522971859
C1,no,Insulin,42.42424242424243,0.018493097881840063,0.004541051805234619,0.18497940268716365,0.02170384523101387
C1,no,Insulin,42.929292929292934,0.018493097883023505,0.004541051805591166,0.1849794026871638,0.021703845232309154
C1,no,Insulin,43.43434343434344,0.01849309788420695,0.004541051805947712,0.18497940268716395,0.021703845233604437
C1,no,Insulin,43.939393939393945,0.018493097885390393,0.0045410518063042585,0.18497940268716412,0.021703845234899717
C1,no,Insulin,44.44444444444445,0.01849309788657384,0.004541051806660806,0.18497940268716428,0.021703845236195
C1,no,Insulin,44.949494949494955,0.01849309788775728,0.004541051807017352,0.18497940268716445,0.021703845237490284
C1,no,Insulin,45.45454545454546,0.018493097888940727,0.004541051807373899,0.18497940268716462,0.021703845238785564
C1,no,Insulin,45.959595959595966,0.01849309789012417,0.004541051807730445,0.18497940268716478,0.021703845240080847
C1,no,Insulin,46.46464646464647,0.018493097891307615,0.004541051808086991,0.18497940268716495,0.02170384524137613
C1,no,Insulin,46.969696969696976,0.018493097892491057,0.004541051808443538,0.18497940268716512,0.02170384524267141
C1,no,Insulin,47.47474747474748,0.018493097893674502,0.004541051808800084,0.18497940268716528,0.021703845243966693
C1,no,Insulin,47.979797979797986,0.018493097894857948,0.0045410518091566305,0.18497940268716545,0.021703845245261973
C1,no,Insulin,48.484848484848484,0.01849309789604139,0.004541051809513177,0.18497940268716562,0.021703845246557257
C1,no,Insulin,48.98989898989899,0.018493097897224836,0.004541051809869723,0.18497940268716578,0.02170384524785254
C1,no,Insulin,49.494949494949495,0.01849309789840828,0.0045410518102262706,0.18497940268716595,0.02170384524914782
C1,no,Insulin,50.0,0.018493097899591724,0.004541051810582817,0.18497940268716612,0.021703845250443103
