,,,Slide ID,f,e,b,a,c,d
,,,Antibody Name,f,e,b,a,c,d
,,,HUGO ID,f,e,b,a,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.3543854175959924,0.7932387690596091,0.13083331179572533,0.5830467962549145,0.4344620467981197,0.7079502526238942
C1,no,Insulin,0.5050505050505051,0.25150031062778005,0.405284381502477,0.15528354629659447,0.2722634994811993,0.3419181332408387,0.4673041919017822
C1,no,Insulin,1.0101010101010102,0.21720512292888242,0.2828139966433246,0.15636683721108866,0.14241592454572813,0.2865658966383418,0.334833763689284
C1,no,Insulin,1.5151515151515151,0.20227875371169307,0.23980529032702194,0.15120276054171328,0.08753871594221327,0.25177246227753036,0.26005385128624436
C1,no,Insulin,2.0202020202020203,0.19391046487653651,0.2218984095560008,0.14546695574479065,0.06389877696425827,0.229084195749386,0.21680647827979185
C1,no,Insulin,2.5252525252525255,0.18848112538683504,0.21281933388214871,0.14070207417344827,0.05338869453379579,0.21395175419588378,0.1912503872808331
C1,no,Insulin,3.0303030303030303,0.1847450049471308,0.20742855656629963,0.13710277751497002,0.04849187484279175,0.20372296652833904,0.17585047257692002
C1,no,Insulin,3.5353535353535355,0.1821280956449033,0.20391953186525388,0.13449211692189855,0.046064699621194534,0.1967523919479981,0.16640062429013755
C1,no,Insulin,4.040404040404041,0.18029030590820827,0.2015358479722301,0.13263547867917042,0.04477239465803057,0.19197773622228778,0.16050293235631605
C1,no,Insulin,4.545454545454546,0.17900219327170233,0.19988917113067708,0.1313288220372351,0.04403333489183723,0.1886962529021111,0.1567642218431011
C1,no,Insulin,5.050505050505051,0.17810190555469374,0.19874540325359477,0.1304147087005479,0.043583721741775744,0.18643593541671352,0.15436037372360922
C1,no,Insulin,5.555555555555556,0.17747428269328822,0.1979501350662176,0.12977752653577845,0.04329700730870534,0.18487664446821764,0.15279524548063858
C1,no,Insulin,6.0606060606060606,0.17703762511680066,0.19739744940765788,0.12933439987247727,0.04310815064266161,0.18379984491433823,0.15176500130472453
C1,no,Insulin,6.565656565656566,0.176734283922312,0.1970136766669599,0.1290266939610725,0.04298114311744714,0.18305570903675422,0.15108047959153423
C1,no,Insulin,7.070707070707071,0.17652378434937852,0.19674740945420288,0.12881323983992082,0.04289464671634421,0.18254121192992073,0.15062208138566252
C1,no,Insulin,7.575757575757576,0.17637782459938894,0.19656279213868932,0.1286652706332023,0.04283530328888971,0.18218536893928353,0.15031310831562342
C1,no,Insulin,8.080808080808081,0.1762766704287688,0.19643484946390033,0.1285627435036024,0.04279441685264088,0.18193919556048196,0.1501037324514543
C1,no,Insulin,8.585858585858587,0.17620659409739253,0.19634621504004054,0.12849172605452663,0.042766182287516934,0.18176886507289483,0.1499612356718203
C1,no,Insulin,9.090909090909092,0.17615806020619773,0.19628482866829075,0.12844254539790775,0.0427466609938406,0.1816509993412619,0.14986391817314149
C1,no,Insulin,9.595959595959597,0.17612445308951918,0.1962423208495307,0.12840849277353283,0.042733153111589636,0.18156942973642545,0.1497972654213209
C1,no,Insulin,10.101010101010102,0.1761011863130102,0.19621289116804885,0.1283849170562983,0.0427238048037992,0.18151297734323457,0.1497515164028669
C1,no,Insulin,10.606060606060607,0.17608507366205559,0.19619251332815496,0.1283685948351438,0.04271733423887209,0.18147390558842502,0.14972005780722267
C1,no,Insulin,11.111111111111112,0.17607392539157596,0.19617841018495338,0.12835729756697367,0.042712853952535206,0.1814468632235542,0.14969839667978743
C1,no,Insulin,11.616161616161618,0.17606620509643878,0.19616864575291115,0.12834947622967613,0.04270975334016592,0.18142814621414732,0.1496834647696623
C1,no,Insulin,12.121212121212121,0.176060861682276,0.1961618872391615,0.12834406270618637,0.042707606934415346,0.18141519190798436,0.1496731630413019
C1,no,Insulin,12.626262626262626,0.17605715867422506,0.1961572035238652,0.12834031113237562,0.04270611936178752,0.18140621500214701,0.14966604203114345
C1,no,Insulin,13.131313131313131,0.1760546037017282,0.19615397186856953,0.1283377226519574,0.04270509291439725,0.1814000214057319,0.14966113884660973
C1,no,Insulin,13.636363636363637,0.17605283154018486,0.19615173033970248,0.12833592724384293,0.04270438092209153,0.18139572552039623,0.14965774297068413
C1,no,Insulin,14.141414141414142,0.17605160492634594,0.19615017885423996,0.12833468455116834,0.04270388810600324,0.18139275219326673,0.14965539549731546
C1,no,Insulin,14.646464646464647,0.1760507572176992,0.19614910662948734,0.12833382573596647,0.04270354752012353,0.18139069738668923,0.1496537748009993
C1,no,Insulin,15.151515151515152,0.17605016871203016,0.19614836225006915,0.12833322950924964,0.04270331106042618,0.1813892708380666,0.14965265033646594
C1,no,Insulin,15.656565656565657,0.1760497609283372,0.19614784644947947,0.128332816362193,0.042703147197217746,0.18138828231667106,0.14965187162153598
C1,no,Insulin,16.161616161616163,0.1760494789383114,0.19614748976816024,0.1283325306713789,0.042703033890647196,0.1813875987833743,0.14965133351398124
C1,no,Insulin,16.666666666666668,0.17604928409592113,0.1961472433435622,0.12833233330763522,0.0427029556383661,0.1813871266331636,0.1496509619703056
C1,no,Insulin,17.171717171717173,0.1760491487054958,0.196147072156433,0.12833219622280478,0.04270290131891259,0.1813867987471255,0.14965070396981053
C1,no,Insulin,17.67676767676768,0.17604905415652672,0.19614695265942494,0.12833210054681113,0.042702863432302035,0.18138656994202046,0.14965052392237088
C1,no,Insulin,18.181818181818183,0.17604898835847518,0.19614686953177773,0.12833203399078233,0.042702837076269505,0.1813864107657325,0.14965039870503447
C1,no,Insulin,18.68686868686869,0.17604894170928997,0.19614681054634284,0.1283319867327891,0.042702818315840906,0.1813862976578736,0.14965030978858193
C1,no,Insulin,19.191919191919194,0.17604891308629825,0.19614677427566304,0.1283319576259858,0.042702806691034996,0.18138622786665565,0.1496502550136646
C1,no,Insulin,19.6969696969697,0.17604889201987486,0.19614674732427428,0.12833193591552575,0.0427027979038885,0.18138617559877462,0.14965021396730901
C1,no,Insulin,20.202020202020204,0.17604887734558544,0.19614672831452448,0.12833192053505352,0.042702791579422715,0.1813861383821474,0.14965018472242814
C1,no,Insulin,20.70707070707071,0.17604886486032165,0.19614671254791366,0.1283319079203483,0.04270278659459766,0.18138610823943332,0.14965016104016235
C1,no,Insulin,21.212121212121215,0.17604885679521878,0.19614670251727043,0.12833189996208003,0.04270278354448461,0.18138608940084408,0.14965014622894943
C1,no,Insulin,21.71717171717172,0.17604885139732268,0.19614669586621306,0.12833189471306097,0.04270278157228898,0.18138607704921803,0.14965013651257678
C1,no,Insulin,22.222222222222225,0.17604884729801892,0.1961466907550027,0.1283318906530294,0.042702780009070615,0.1813860674235687,0.14965012894277616
C1,no,Insulin,22.72727272727273,0.1760488455727223,0.19614668862924917,0.12833188897655995,0.04270277938046197,0.18138606347916272,0.14965012583620538
C1,no,Insulin,23.232323232323235,0.17604884246047658,0.19614668476330907,0.12833188591257297,0.042702778210348576,0.18138605623224874,0.14965012013468207
C1,no,Insulin,23.73737373737374,0.17604884309623164,0.1961466855551803,0.12833188654181873,0.042702778452853696,0.18138605772335945,0.14965012130445235
C1,no,Insulin,24.242424242424242,0.17604884369141802,0.19614668629692664,0.12833188713139732,0.04270277868030892,0.1813860591209509,0.14965012240088638
C1,no,Insulin,24.747474747474747,0.17604884398676712,0.19614668666820678,0.12833188742780144,0.04270277879653259,0.18138605982735506,0.1496501229553031
C1,no,Insulin,25.252525252525253,0.17604884428211626,0.19614668703948696,0.12833188772420556,0.04270277891275626,0.18138606053375922,0.14965012350971985
C1,no,Insulin,25.757575757575758,0.1760488445616151,0.19614668739090774,0.1283318880047827,0.04270277902281243,0.18138606120252226,0.14965012403460368
C1,no,Insulin,26.262626262626263,0.17604884470044227,0.19614668756607626,0.1283318881448954,0.04270277907813182,0.18138606153721984,0.14965012429738261
C1,no,Insulin,26.767676767676768,0.17604884483926944,0.1961466877412448,0.12833188828500808,0.04270277913345121,0.1813860618719174,0.14965012456016155
C1,no,Insulin,27.272727272727273,0.17604884496838893,0.19614668790416853,0.12833188841532825,0.04270277918490671,0.18138606218322784,0.14965012480458006
C1,no,Insulin,27.77777777777778,0.17604884499075282,0.1961466879324357,0.12833188843795978,0.042702779193870846,0.18138606223734932,0.14965012484708845
C1,no,Insulin,28.282828282828284,0.17604884501311674,0.1961466879607029,0.12833188846059135,0.04270277920283498,0.1813860622914708,0.14965012488959686
C1,no,Insulin,28.78787878787879,0.17604884503548066,0.1961466879889701,0.12833188848322288,0.042702779211799116,0.18138606234559226,0.14965012493210525
C1,no,Insulin,29.292929292929294,0.17604884505784454,0.19614668801723728,0.12833188850585445,0.04270277922076325,0.18138606239971375,0.14965012497461366
C1,no,Insulin,29.7979797979798,0.17604884508020846,0.19614668804550447,0.12833188852848598,0.042702779229727386,0.18138606245383523,0.14965012501712205
C1,no,Insulin,30.303030303030305,0.17604884510257238,0.19614668807377167,0.12833188855111755,0.04270277923869152,0.18138606250795672,0.14965012505963046
C1,no,Insulin,30.80808080808081,0.17604884512493627,0.19614668810203884,0.12833188857374908,0.042702779247655656,0.1813860625620782,0.14965012510213885
C1,no,Insulin,31.313131313131315,0.17604884514730018,0.19614668813030603,0.12833188859638064,0.04270277925661979,0.1813860626161997,0.14965012514464726
C1,no,Insulin,31.81818181818182,0.1760488451696641,0.19614668815857322,0.12833188861901218,0.042702779265583926,0.18138606267032117,0.14965012518715565
C1,no,Insulin,32.323232323232325,0.176048845192028,0.19614668818684042,0.12833188864164374,0.04270277927454806,0.18138606272444266,0.14965012522966403
C1,no,Insulin,32.82828282828283,0.1760488452143919,0.1961466882151076,0.1283318886642753,0.042702779283512196,0.18138606277856412,0.14965012527217245
C1,no,Insulin,33.333333333333336,0.17604884523675582,0.1961466882433748,0.12833188868690684,0.04270277929247633,0.1813860628326856,0.14965012531468083
C1,no,Insulin,33.83838383838384,0.1760488452591197,0.196146688271642,0.1283318887095384,0.04270277930144047,0.1813860628868071,0.14965012535718925
C1,no,Insulin,34.343434343434346,0.17604884528148362,0.19614668829990917,0.12833188873216994,0.04270277931040461,0.18138606294092857,0.14965012539969763
C1,no,Insulin,34.84848484848485,0.1760488452852084,0.19614668830461948,0.1283318887359422,0.0427027793119001,0.1813860629499525,0.149650125406787
C1,no,Insulin,35.35353535353536,0.17604884528882075,0.19614668830918766,0.1283318887396007,0.042702779313350536,0.18138606295870435,0.14965012541366265
C1,no,Insulin,35.85858585858586,0.1760488452924331,0.19614668831375584,0.12833188874325915,0.04270277931480097,0.18138606296745619,0.14965012542053832
C1,no,Insulin,36.36363636363637,0.17604884529604545,0.19614668831832402,0.12833188874691764,0.04270277931625141,0.18138606297620802,0.149650125427414
C1,no,Insulin,36.86868686868687,0.17604884529965778,0.19614668832289217,0.1283318887505761,0.04270277931770185,0.18138606298495988,0.14965012543428965
C1,no,Insulin,37.37373737373738,0.17604884530327014,0.19614668832746035,0.1283318887542346,0.042702779319152284,0.1813860629937117,0.14965012544116532
C1,no,Insulin,37.87878787878788,0.17604884530688247,0.19614668833202853,0.1283318887578931,0.04270277932060272,0.18138606300246354,0.149650125448041
C1,no,Insulin,38.38383838383839,0.17604884531049483,0.1961466883365967,0.12833188876155155,0.04270277932205316,0.1813860630112154,0.14965012545491665
C1,no,Insulin,38.88888888888889,0.17604884531410717,0.19614668834116486,0.12833188876521004,0.042702779323503595,0.18138606301996724,0.14965012546179232
C1,no,Insulin,39.3939393939394,0.17604884531771953,0.19614668834573304,0.12833188876886853,0.04270277932495403,0.1813860630287191,0.149650125468668
C1,no,Insulin,39.8989898989899,0.17604884532133186,0.19614668835030122,0.128331888772527,0.04270277932640447,0.18138606303747093,0.14965012547554363
C1,no,Insulin,40.40404040404041,0.17604884532494422,0.1961466883548694,0.12833188877618548,0.042702779327854906,0.18138606304622276,0.1496501254824193
C1,no,Insulin,40.909090909090914,0.17604884532855655,0.19614668835943755,0.12833188877984394,0.04270277932930534,0.18138606305497462,0.14965012548929496
C1,no,Insulin,41.41414141414142,0.1760488453321689,0.19614668836400573,0.12833188878350243,0.04270277933075578,0.18138606306372645,0.14965012549617063
C1,no,Insulin,41.919191919191924,0.17604884533261214,0.19614668836456625,0.12833188878395135,0.04270277933093377,0.1813860630648004,0.14965012549701437
C1,no,Insulin,42.42424242424243,0.17604884533272136,0.19614668836470442,0.128331888784062,0.04270277933097765,0.1813860630650651,0.14965012549722237
C1,no,Insulin,42.929292929292934,0.17604884533283058,0.19614668836484256,0.12833188878417265,0.04270277933102153,0.18138606306532984,0.1496501254974304
C1,no,Insulin,43.43434343434344,0.17604884533293982,0.1961466883649807,0.12833188878428328,0.042702779331065414,0.18138606306559454,0.1496501254976384
C1,no,Insulin,43.939393939393945,0.17604884533304904,0.19614668836511887,0.12833188878439394,0.04270277933110929,0.18138606306585928,0.1496501254978464
C1,no,Insulin,44.44444444444445,0.17604884533315826,0.196146688365257,0.12833188878450458,0.04270277933115317,0.181386063066124,0.14965012549805443
C1,no,Insulin,44.949494949494955,0.1760488453332675,0.19614668836539514,0.12833188878461524,0.04270277933119705,0.18138606306638871,0.14965012549826243
