NON $ % + - . 0 1 2 3 4 5 6 7 8 9 : ; < > ? @ A
#NON	b	c	l	n	g	m	i	v	r	s	o	h	d	e	u	t	q	j	k	f	p	a
0.0	0.8991285790720775	0.5652758105122239	0.11276586288207668	0.6270519489625557	0.29565950761542037	0.7173191256297495	0.5461217334021394	0.801061397458678	0.22515459177380903	0.7761819581948972	0.15619020527880567	0.3319182171241706	0.35172584035459276	0.723608561202698	0.2409224708390576	0.0041005163347649365	0.6966121969128485	0.8887296920325893	0.6251086266391029	0.4134593998857571	0.6098409294447359	0.9149808845628328
0.5050505050505051	0.3143092432514405	0.32090703407349536	0.2046263304726916	0.3612950263246673	0.23552499405439775	0.38598719258298786	0.30810921866888946	0.3391441648301067	0.27482534743212134	0.45227388925564466	0.06116777895159911	0.24657260905601708	0.2721356186861766	0.4499045395506278	0.2679753131749009	0.016047253997593203	0.3182738945656409	0.5382742581351944	0.4318643685194915	0.1967261897893485	0.20721255719916531	0.4483824809861946
1.0101010101010102	0.1489665202927868	0.23308684421647285	0.2101747617919232	0.23189941245533724	0.20121762390730308	0.22799862916215013	0.17672579323177606	0.1880070403149089	0.249128503541452	0.34932469365306446	0.05025820610298189	0.20838212448420154	0.24362954358186656	0.3196641767880079	0.25323579952395725	0.0316098546347658	0.18680469493205992	0.3260051771444457	0.32389169216295927	0.11024037877979845	0.1239475546755986	0.2339497644986648
1.5151515151515151	0.1103657047506622	0.1959267160693956	0.19490550140455512	0.171655686030775	0.17959194703622677	0.15583408087234887	0.10296772382600847	0.14779896921353106	0.21576148376365373	0.311133654349045	0.058655922495176406	0.1886095917259829	0.2291286988394176	0.2514373821318802	0.22996144289120424	0.046571822920587744	0.14868668890570752	0.19749472625442147	0.2610251028062047	0.06855417105246374	0.1194517449263509	0.13833973976149785
2.0202020202020203	0.10740527076113267	0.17763641550048564	0.18004029121512855	0.14546436663939724	0.1657661748187824	0.12497819027936181	0.06143300637447037	0.14410677198808902	0.19188136894631624	0.29407830124358264	0.06905651365002397	0.17751021163679026	0.22054327228604717	0.21497723033353616	0.21069547471487723	0.05892955400083207	0.14335608396134328	0.12011114070623843	0.2246536871781272	0.04608402693817621	0.13045248090128217	0.09764676290552111
2.5252525252525255	0.11263301727261373	0.16809283866498936	0.17047652088826207	0.1354499356377659	0.15740924010096427	0.11331046399580222	0.0381237871375749	0.150370136648925	0.17847882020753827	0.28570398167460087	0.07748717754796369	0.17143588347291303	0.2157714596483852	0.1964303061597198	0.19826896527087584	0.06830479134100412	0.1478631209391995	0.07381912349529819	0.2045721973818091	0.03345155936145506	0.141579460129136	0.08167679096351722
3.0303030303030303	0.11834071518708203	0.1633877637071455	0.16561125426800052	0.13270336559001025	0.15290039058772953	0.11008080285397781	0.02503111964413919	0.1577533831628628	0.17232283007786503	0.2818562122259266	0.08355077413940173	0.16856193383143814	0.21367293655305913	0.18790305834355023	0.19156258892128258	0.07504346121501143	0.15403778924013117	0.04623507940209065	0.19427250591149092	0.026142312525422786	0.14995389011601917	0.07639244256052558
3.5353535353535355	0.12276614308441633	0.16146628731651763	0.16369769038730722	0.1329092926783485	0.15088937541880995	0.11021372301641987	0.01759430149887113	0.16376618681353436	0.17020128964898573	0.2805617610207377	0.08767879383786398	0.16765126730215307	0.21324605559770882	0.18461507386980056	0.18856157901846932	0.07970033731518496	0.15933437364371708	0.029795943714580254	0.18950197094183513	0.021721626711062446	0.15569055348064278	0.07541121281846022
4.040404040404041	0.1258266679267838	0.16104023236281287	0.16330341381644667	0.1340733754227007	0.15031863970601472	0.1114212495811108	0.013283239990680474	0.16806650203079107	0.16997522708582363	0.2806060888226635	0.0903949879769001	0.16780900235071564	0.2136854194141579	0.18381197942736452	0.18759461689922766	0.08281886328952016	0.16324593650752867	0.019964627343511576	0.18763086580165642	0.018911524990647934	0.1594475810006713	0.07593372643811788
4.545454545454546	0.12782773576761663	0.16130938893540261	0.16355138519815526	0.13534659787316222	0.15046168509240818	0.11275239447828327	0.01072130736523154	0.1709430422884681	0.17046969022969596	0.2812297305485565	0.09213728814503948	0.16843851141422436	0.21445321309270277	0.18403186834244328	0.18758489186249755	0.08485276543840238	0.1659270324824436	0.014052784231521927	0.1871493981039512	0.017057299256251404	0.16183983516693395	0.07680640950931107
5.050505050505051	0.1290920740706188	0.1618198868804102	0.1639883559831391	0.13642217026249365	0.15088137479169	0.11387211515218605	0.009160618325605696	0.17278852991728724	0.17112552936901226	0.28200361706203625	0.0932316487221272	0.16918863030766487	0.2152492498104827	0.1845671577495864	0.18793625205286396	0.08614944293861379	0.16768293741007173	0.010474669034854797	0.18725331271770865	0.015809530324849403	0.16333116652680343	0.07760748448850836
5.555555555555556	0.12987162405409422	0.16234534835429926	0.16441411187619856	0.13723282639648415	0.1513479583403717	0.11471033463613323	0.008188815383488758	0.17393795475159995	0.1717168591122788	0.28272054299180877	0.09390650945304377	0.1698828054320443	0.21593790091220846	0.18511316540953937	0.18835888982517518	0.08695972262579131	0.16879704272498125	0.008293907616291344	0.18754720802076483	0.01496424516444322	0.16424438358095322	0.07822296842031824
6.0606060606060606	0.13034283831219726	0.1627929132651556	0.1647593315476272	0.13780456451214065	0.15176000881779347	0.11529715116609096	0.0075727443518387805	0.1746373349029363	0.17217774295254035	0.2833042181890565	0.09431571356589336	0.17045267713864637	0.21647916256117047	0.18556294577384616	0.18873330029592164	0.08745695068487705	0.16948687880233904	0.006955260077131525	0.18785597575114782	0.014391589341918457	0.16479452708433603	0.07865575811159072
6.565656565656566	0.13062264631026496	0.1631391690706665	0.1650142684575557	0.13819009043015842	0.1520860296937183	0.11568990830402648	0.007176648407071141	0.1750543817242589	0.172509654017113	0.2837453732627296	0.09455983642838538	0.17088820617244896	0.21687991687741343	0.18589753990310556	0.18902465810764674	0.08775691366888853	0.16990532665665944	0.006127587279221109	0.18811496109176584	0.014004473348538438	0.16512071584459173	0.0789438670311672
7.070707070707071	0.13078591824972793	0.1633917765653721	0.16519187768776633	0.13844145306112646	0.15232767613997453	0.1159441238483872	0.006919206010619701	0.17529837953912378	0.1727367830761846	0.2840631312740805	0.09470309534436923	0.17120562786723592	0.21716494465769767	0.18613158831211501	0.18923515044271713	0.08793486406934446	0.17015443770085698	0.005612149678091951	0.18831029755950132	0.013743360599344211	0.16531097060383562	0.07912837930097888
7.575757575757576	0.13087944159542858	0.16356894337545125	0.1653106295393827	0.13860091785750153	0.15249920184060467	0.11610425950425576	0.006750470708017249	0.17543837105855814	0.17288655954006948	0.2842845103947174	0.09478569621303577	0.17142938851497733	0.21736201998333674	0.1862884731223126	0.18937984003574768	0.08803861920678024	0.17030002498553323	0.005288854161910188	0.18844847872714846	0.013567481453724441	0.16541997225002064	0.07924300640846525
8.080808080808081	0.13093189582129203	0.16368977492204323	0.16538754715384346	0.13869969380132982	0.1526173018747133	0.1162027714738379	0.006639144353283369	0.17551696590922167	0.17298247657804708	0.28443510040926806	0.0948323823853742	0.17158337327032755	0.21749554772339172	0.18639027016558643	0.18947569592794097	0.08809798160119452	0.17038346211511643	0.005084641993217683	0.18854198130821836	0.013449060077569209	0.16548114488126162	0.07931237991086124
8.585858585858587	0.1309605705151567	0.16377050528192813	0.16543606529960148	0.13875952375431605	0.15269682233111248	0.11626204371353532	0.006565301993712024	0.17555995772709387	0.17304238398934493	0.2845357502400382	0.09485814482071117	0.1716874842606725	0.21758468889489208	0.18645456910481073	0.18953734489708585	0.08813121018284141	0.1704302290309106	0.004954756198175171	0.18860313909252263	0.013369290609043124	0.16551461622565455	0.07935334589684863
9.090909090909092	0.1309757282467456	0.16382361985418614	0.1654659520694012	0.13879495923905819	0.15274948144335992	0.11629691931915298	0.006516105983022499	0.1755826941912582	0.17307895142652424	0.28460215700306385	0.09487193104467728	0.1717569713584969	0.21764357965007075	0.18649422175628136	0.18957599370822414	0.08814931463269832	0.17045574005177597	0.00487159000215985	0.1886420331693073	0.01331550550677499	0.16553233225487665	0.07937693482085431
9.595959595959597	0.13098336684733317	0.1638581557157748	0.16548394824091361	0.13881544639361232	0.15278391297216662	0.11631695189676143	0.0064832062631248995	0.1755941579183854	0.1731007746758346	0.28464554724013513	0.09487900094641498	0.17180291182143553	0.21768218336539835	0.18651812308929935	0.1895996596807334	0.08815883247434789	0.1704691682091994	0.004817992613701835	0.18866615897132524	0.013279190059981663	0.16554127615623962	0.07939014078198293
10.101010101010102	0.13098693319169452	0.16388041071132173	0.16549453317836813	0.13882696363210345	0.15280620948610235	0.11632813943641496	0.006461134081470599	0.17559951474540134	0.17311349137326165	0.28467369828345074	0.09488239686650239	0.1718330797297119	0.2177073571036533	0.18653219567340137	0.18961381771534497	0.08816358307432076	0.17047588088019006	0.0047832400345485205	0.18868077184996043	0.013254633605217506	0.16554546397588646	0.07939728296552256
10.606060606060607	0.13098837602732277	0.16389466054394997	0.16550060403026548	0.1388332206950673	0.1528205482002898	0.11633417559017117	0.006446279541801335	0.17560168633840356	0.17312070912104982	0.28469187741334734	0.09488385119457671	0.17185280557062654	0.2177237230184425	0.18654027564975917	0.18962208724644106	0.08816576528514529	0.17047897173486176	0.0047605663388441445	0.18868941515087126	0.01323799765823232	0.16554716804434877	0.07940097438494953
11.111111111111112	0.13098876362415088	0.1639037368480987	0.16550397854255425	0.13883645805288738	0.1528297175709095	0.11633727449761902	0.006436260571703891	0.1756022745194139	0.17312467020281713	0.28470357451521616	0.09488432182915893	0.17186566322288505	0.21773433963385205	0.18654477275208464	0.18962678275751196	0.08816661060975473	0.17048017515403338	0.0047456995398441285	0.18869439146604183	0.013226713174296927	0.16554763531286135	0.07940275098905188
11.616161616161618	0.13098867402935255	0.1639095001097003	0.1655057825609249	0.13883801581529448	0.1528355612062659	0.11633875136233685	0.006429486174686291	0.1756021460776158	0.1731267520671458	0.28471108908626797	0.09488433248330269	0.17187403420086342	0.217741224559785	0.1865471809146342	0.18962936117013565	0.0881668025745627	0.1704804546156011	0.004735897936120997	0.1886971692660215	0.013219046141379767	0.16554754133287475	0.07940350640756076
12.121212121212121	0.13098840240931858	0.16391315209152832	0.16550669413148933	0.1388386708192219	0.15283927699233488	0.11633936295238478	0.006424896797900813	0.1756017436855768	0.17312777720515932	0.28471591317396033	0.0948841546454376	0.17187948265064903	0.21774569057085666	0.18654840074169546	0.1896307144675501	0.08816670322158582	0.17048032098686675	0.004729406729347496	0.18869865909126596	0.013213829107288657	0.1655472316381863	0.07940374208951868
12.626262626262626	0.1309880923137374	0.16391546333136658	0.16550711281063507	0.13883886328391074	0.15284163615861707	0.11633953507379018	0.006421783509263565	0.17560128264330183	0.17312822633787592	0.2847190106157651	0.09488392325626542	0.17188303032069138	0.21774859126456592	0.1865489633936057	0.1896313763898219	0.08816649790487097	0.1704800361048105	0.004725091738911588	0.1886994119327162	0.013210277569727025	0.1655468746931409	0.07940373209290574
13.131313131313131	0.13098780942786797	0.1639169298302402	0.16550727316243177	0.13883884091423673	0.152843137051801	0.11633950572322656	0.0064196656427838285	0.17560086152128684	0.17312837927639294	0.28472100683109786	0.0948837022901323	0.17188534786435442	0.21775048479456785	0.18654918097648898	0.18963166503815596	0.08816627858618858	0.17047973009401127	0.004722206825078198	0.1886997596592001	0.013207855108404923	0.16554654789103554	0.07940362449183799
