NON $ % + - . 0
#NON	d	b	f	c	a	e
0.0	0.11576128451894341	0.79830633625469	0.4829473460217909	0.3947102676673043	0.5742057303625933	0.4722941392395451
0.5050505050505051	0.2257284198634846	0.41588493802627047	0.2834604145284319	0.3363272705450513	0.2041922594161815	0.3925014876094901
1.0101010101010102	0.213407073094266	0.26624203057635676	0.18380399618866836	0.2831427248748998	0.10492132498365091	0.31901792331107875
1.5151515151515151	0.19032750529155332	0.20467985016166904	0.13639907251026234	0.24089563589431703	0.07276175282849398	0.2633193240422367
2.0202020202020203	0.17466567978439293	0.17815629485897935	0.11416464226927572	0.2108602164275016	0.05996731230979471	0.22458155480371964
2.5252525252525255	0.16566397383237497	0.16605168508456725	0.10358338759938736	0.19120585562501663	0.05398469239710693	0.19875323191551802
3.0303030303030303	0.1606534783159605	0.16013330527278632	0.09836419295211105	0.17904387328731722	0.05088209468548656	0.1819030993560681
3.5353535353535355	0.15784436643676134	0.1570459480640333	0.09567455271064149	0.17177356308589603	0.049176919000112077	0.17104790473150097
4.040404040404041	0.15624670974578436	0.155355885160857	0.0942319323695861	0.16751275378848293	0.04821217405002777	0.16411407458577362
4.545454545454546	0.15532833519571806	0.15440303723202004	0.09343454419468017	0.16504193615355675	0.0476592183251597	0.15971421338097838
5.050505050505051	0.15479755635688094	0.15385756107498774	0.09298507322782974	0.16361648360278763	0.0473406684740833	0.15693782982137394
5.555555555555556	0.15449023801607092	0.15354319148244205	0.09272878586326008	0.1627959026081995	0.047156867856385135	0.15519445450179875
6.0606060606060606	0.1543123235533597	0.15336160180767758	0.09258174921772055	0.16232383740663722	0.04705079844108917	0.1541045047586385
6.565656565656566	0.15420941573597705	0.15325668216529056	0.09249713871359662	0.1620522655496785	0.04698960529676346	0.15342573407028773
7.070707070707071	0.15414995466935	0.1531960908438968	0.09244838888862905	0.16189599909358351	0.04695431649910251	0.15300451193308615
7.575757575757576	0.15411562481651483	0.15316111738138025	0.09242028486748544	0.16180604400104773	0.046933970690244194	0.15274392813861618
8.080808080808081	0.1540958192481685	0.153140943231718	0.09240408371110416	0.16175425152623257	0.04692224400421724	0.15258318050457859
8.585858585858587	0.1540843985965727	0.1531293110833761	0.09239474519996364	0.16172442400678638	0.04691548585157889	0.15248427218859137
9.090909090909092	0.1540778137918887	0.153122604060786	0.09238936122529119	0.1617072433899466	0.04691159172740817	0.1524235523477072
9.595959595959597	0.15407402009565663	0.15311874059250324	0.0923862597568854	0.16169734535464045	0.046909347186048056	0.1523863549771619
10.101010101010102	0.15407183059056026	0.15311651002171361	0.09238447018053604	0.1616916457874781	0.04690805566908459	0.15236361194572126
10.606060606060607	0.15407057252005538	0.15311522955751194	0.09238344174977135	0.1616883586289836	0.04690730952314045	0.15234972950228862
11.111111111111112	0.1540698532501448	0.15311449627193235	0.09238285049755739	0.16168646609038181	0.04690687766344006	0.15234127132413486
11.616161616161618	0.15406940676860242	0.1531140416443927	0.09238249556003929	0.16168538057484808	0.04690664173480717	0.15233611796684202
12.121212121212121	0.15406917825617153	0.15311380936746685	0.092382304673376	0.1616847498757755	0.04690649427733429	0.1523329927671589
12.626262626262626	0.1540690467247376	0.153113675222873	0.09238219448002784	0.16168438691778023	0.0469064092681114	0.15233109600088648
13.131313131313131	0.15406896802600645	0.15311359501051933	0.09238212961102724	0.1616841782149727	0.04690636142330737	0.15232994509246622
13.636363636363637	0.15406892234801337	0.1531135484703618	0.09238209217606735	0.16168405871068575	0.046906334242830534	0.15232925100873315
14.141414141414142	0.15406889596253606	0.1531135215887218	0.09238207056639676	0.16168398975119105	0.04690631857155007	0.15232883101928144
14.646464646464647	0.15406888044944414	0.15311350577938865	0.09238205780424354	0.16168394874439374	0.046906309193933446	0.15232857237973918
15.151515151515152	0.15406887173869838	0.15311349691218476	0.09238205058242831	0.16168392519138894	0.04690630374566078	0.15232841625538604
15.656565656565657	0.15406886682742013	0.15311349192761006	0.09238204654874523	0.16168391216078667	0.04690630076386767	0.15232832376111524
16.161616161616163	0.15406886362373226	0.15311348867406616	0.09238204404973055	0.1616839047944243	0.046906299214589595	0.1523282679770615
16.666666666666668	0.15406886128547626	0.153113486279055	0.0923820423906936	0.16168390089016746	0.046906298599602526	0.15232823540923934
17.171717171717173	0.15406885913320068	0.15311348405233674	0.09238204103420272	0.16168389881169504	0.046906298569351454	0.152328215684095
17.67676767676768	0.1540688573994801	0.15311348225548524	0.09238203999240467	0.16168389757847082	0.04690629870206422	0.15232820289241872
18.181818181818183	0.15406885792110492	0.15311348280149817	0.09238204012404587	0.16168389638947095	0.04690629811511223	0.15232819459901903
18.68686868686869	0.15406885895943237	0.1531134838837051	0.09238204056549479	0.16168389556011337	0.04690629748624135	0.152328189954724
19.191919191919194	0.15406885932999148	0.1531134842716686	0.09238204070832941	0.16168389513393733	0.04690629721601519	0.15232818712724847
19.6969696969697	0.15406885966251663	0.15311348461993915	0.0923820408416509	0.1616838947948136	0.04690629698870395	0.15232818488991307
20.202020202020204	0.15406885958004982	0.1531134845348623	0.09238204080727624	0.16168389486367013	0.04690629703968866	0.15232818509436177
20.70707070707071	0.15406885955873362	0.15311348451285609	0.09238204079951243	0.16168389489098606	0.046906297056221416	0.1523281851923664
21.212121212121215	0.15406885955325622	0.153113484507186	0.09238204079864117	0.16168389490754242	0.04690629706383067	0.15232818526280062
21.71717171717172	0.1540688595477788	0.1531134845015159	0.09238204079776989	0.1616838949240988	0.04690629707143992	0.15232818533323483
22.222222222222225	0.1540688595423014	0.15311348449584583	0.09238204079689863	0.16168389494065516	0.04690629707904918	0.15232818540366908
22.72727272727273	0.154068859540491	0.15311348449396342	0.09238204079704188	0.1616838949497974	0.046906297082856825	0.15232818544495763
23.232323232323235	0.1540688595409524	0.15311348449442758	0.09238204079781365	0.1616838949543464	0.04690629708430928	0.15232818546818966
23.73737373737374	0.15406885954141378	0.15311348449489173	0.09238204079858543	0.1616838949588954	0.04690629708576173	0.15232818549142166
24.242424242424242	0.15406885954187516	0.15311348449535586	0.0923820407993572	0.16168389496344437	0.04690629708721418	0.15232818551465366
24.747474747474747	0.15406885954215715	0.15311348449563988	0.09238204079981059	0.16168389496606894	0.046906297088047014	0.15232818552811714
25.252525252525253	0.15406885954221147	0.1531134844956952	0.09238204079985982	0.16168389496625066	0.046906297088093345	0.15232818552918087
25.757575757575758	0.1540688595422658	0.15311348449575055	0.09238204079990904	0.1616838949664324	0.04690629708813967	0.15232818553024463
26.262626262626263	0.1540688595423201	0.1531134844958059	0.09238204079995825	0.16168389496661412	0.046906297088186	0.15232818553130836
26.767676767676768	0.15406885954237443	0.15311348449586124	0.09238204080000748	0.16168389496679586	0.04690629708823233	0.1523281855323721
27.272727272727273	0.15406885954242874	0.15311348449591658	0.0923820408000567	0.1616838949669776	0.04690629708827866	0.15232818553343586
27.77777777777778	0.15406885954248306	0.1531134844959719	0.09238204080010592	0.16168389496715932	0.046906297088324986	0.1523281855344996
28.282828282828284	0.15406885954253738	0.15311348449602724	0.09238204080015515	0.16168389496734106	0.04690629708837132	0.15232818553556335
28.78787878787879	0.1540688595425917	0.15311348449608259	0.09238204080020436	0.16168389496752278	0.04690629708841765	0.15232818553662708
29.292929292929294	0.15406885954264601	0.15311348449613793	0.09238204080025358	0.16168389496770452	0.04690629708846397	0.15232818553769084
29.7979797979798	0.15406885954270036	0.15311348449619325	0.09238204080030281	0.16168389496788624	0.0469062970885103	0.15232818553875457
30.303030303030305	0.15406885954275468	0.1531134844962486	0.09238204080035203	0.16168389496806798	0.046906297088556634	0.15232818553981833
30.80808080808081	0.154068859542809	0.15311348449630394	0.09238204080040126	0.1616838949682497	0.046906297088602965	0.15232818554088207
31.313131313131315	0.1540688595428633	0.15311348449635928	0.09238204080045048	0.16168389496843144	0.04690629708864929	0.1523281855419458
31.81818181818182	0.15406885954291763	0.1531134844964146	0.09238204080049969	0.16168389496861316	0.04690629708869562	0.15232818554300956
32.323232323232325	0.15406885954297195	0.15311348449646994	0.09238204080054892	0.1616838949687949	0.04690629708874195	0.1523281855440733
32.82828282828283	0.15406885954302627	0.1531134844965253	0.09238204080059814	0.16168389496897664	0.04690629708878828	0.15232818554513705
33.333333333333336	0.15406885954308058	0.15311348449658063	0.09238204080064737	0.16168389496915836	0.046906297088834606	0.15232818554620078
33.83838383838384	0.1540688595431349	0.15311348449663598	0.09238204080069659	0.1616838949693401	0.04690629708888094	0.15232818554726454
34.343434343434346	0.15406885954318922	0.1531134844966913	0.09238204080074582	0.16168389496952182	0.04690629708892727	0.15232818554832828
34.84848484848485	0.15406885954324354	0.15311348449674664	0.09238204080079503	0.16168389496970356	0.0469062970889736	0.15232818554939204
35.35353535353536	0.15406885954329785	0.15311348449680198	0.09238204080084425	0.16168389496988528	0.04690629708901992	0.15232818555045577
35.85858585858586	0.1540688595433522	0.15311348449685733	0.09238204080089348	0.16168389497006702	0.046906297089066254	0.1523281855515195
36.36363636363637	0.15406885954340652	0.15311348449691264	0.0923820408009427	0.16168389497024874	0.046906297089112585	0.15232818555258326
36.86868686868687	0.15406885954346083	0.153113484496968	0.09238204080099192	0.16168389497043048	0.04690629708915891	0.152328185553647
37.37373737373738	0.15406885954351515	0.15311348449702333	0.09238204080104113	0.1616838949706122	0.04690629708920524	0.15232818555471075
37.87878787878788	0.15406885954356947	0.15311348449707868	0.09238204080109036	0.16168389497079394	0.04690629708925157	0.1523281855557745
38.38383838383839	0.1540688595436238	0.153113484497134	0.09238204080113958	0.16168389497097566	0.0469062970892979	0.15232818555683825
38.88888888888889	0.1540688595436781	0.15311348449718934	0.09238204080118881	0.1616838949711574	0.046906297089344226	0.15232818555790198
39.3939393939394	0.15406885954373242	0.15311348449724468	0.09238204080123803	0.16168389497133914	0.04690629708939056	0.15232818555896574
39.8989898989899	0.15406885954378674	0.15311348449730003	0.09238204080128726	0.16168389497152086	0.04690629708943689	0.15232818556002947
40.40404040404041	0.15406885954384106	0.15311348449735535	0.09238204080133647	0.1616838949717026	0.04690629708948322	0.1523281855610932
40.909090909090914	0.15406885954389538	0.1531134844974107	0.09238204080138569	0.16168389497188432	0.04690629708952954	0.15232818556215696
41.41414141414142	0.15406885954394972	0.15311348449746603	0.09238204080143492	0.16168389497206606	0.046906297089575874	0.1523281855632207
41.919191919191924	0.15406885954400404	0.15311348449752138	0.09238204080148414	0.16168389497224778	0.046906297089622205	0.15232818556428446
42.42424242424243	0.15406885954405836	0.15311348449757672	0.09238204080153337	0.16168389497242952	0.04690629708966853	0.1523281855653482
42.929292929292934	0.15406885954411267	0.15311348449763204	0.09238204080158259	0.16168389497261124	0.04690629708971486	0.15232818556641195
43.43434343434344	0.154068859544167	0.15311348449768739	0.0923820408016318	0.16168389497279298	0.04690629708976119	0.15232818556747568
43.939393939393945	0.1540688595442213	0.15311348449774273	0.09238204080168103	0.1616838949729747	0.04690629708980752	0.15232818556853944
44.44444444444445	0.15406885954427563	0.15311348449779807	0.09238204080173025	0.16168389497315644	0.046906297089853846	0.15232818556960318
44.949494949494955	0.15406885954432994	0.1531134844978534	0.09238204080177947	0.16168389497333818	0.04690629708990018	0.1523281855706669
45.45454545454546	0.15406885954438426	0.15311348449790874	0.0923820408018287	0.1616838949735199	0.04690629708994651	0.15232818557173067
45.959595959595966	0.15406885954440386	0.1531134844979287	0.09238204080184632	0.16168389497358443	0.04690629708996286	0.15232818557211145
46.46464646464647	0.15406885954440655	0.1531134844979314	0.09238204080184857	0.1616838949735919	0.04690629708996462	0.15232818557215974
46.969696969696976	0.15406885954440921	0.15311348449793416	0.09238204080185083	0.1616838949735994	0.046906297089966374	0.15232818557220804
47.47474747474748	0.1540688595444119	0.1531134844979369	0.09238204080185308	0.16168389497360686	0.04690629708996813	0.15232818557225633
47.979797979797986	0.1540688595444146	0.15311348449793963	0.09238204080185533	0.16168389497361432	0.04690629708996989	0.15232818557230465
48.484848484848484	0.15406885954441726	0.15311348449794238	0.09238204080185759	0.1616838949736218	0.04690629708997165	0.15232818557235295
48.98989898989899	0.15406885954441996	0.1531134844979451	0.09238204080185984	0.16168389497362928	0.0469062970899734	0.15232818557240124
49.494949494949495	0.15406885954442265	0.15311348449794784	0.09238204080186209	0.16168389497363675	0.04690629708997516	0.15232818557244954
50.0	0.1540688595444253	0.15311348449795056	0.09238204080186435	0.16168389497364422	0.04690629708997692	0.15232818557249783
