NON $ % + - . 0 1 2 3 4 5 6 7 8
#NON	m	i	l	g	f	d	k	h	a	n	e	j	c	b
0.0	0.2847448562919972	0.9276089705720287	0.7074105494702372	0.03197686577327319	0.5919022221946414	0.9250008468332555	0.7903453760129209	0.36049403703189165	0.6942471589215827	0.37441052587034473	0.521099842994714	0.3291460765484826	0.45978653161144367	0.7618816797654048
0.5050505050505051	0.27005228569678574	0.5622915534740537	0.3511514383989592	0.08478054623948525	0.28294999302313534	0.5801149094510385	0.4569352815119782	0.16862657923667276	0.4429436403520019	0.28344992681079373	0.251069318236081	0.27266628782747815	0.15127010095647667	0.5593941285459405
1.0101010101010102	0.22102169642008912	0.3704781491140577	0.18211429324566855	0.10559077000753876	0.13798400929774932	0.38348278155519155	0.31683571372593294	0.08622648706065532	0.3039635974657799	0.24901868442722813	0.12360597821282791	0.2433194009426789	0.06668742556002469	0.42895012210320854
1.5151515151515151	0.1749591302288802	0.27041049189030364	0.10122743163222406	0.11435144199742354	0.0700923134272548	0.27194251616258375	0.254768264422826	0.04994269672556157	0.22769481127340652	0.23695949399587332	0.06359422808521659	0.22466831666404755	0.039491213861577786	0.33919148240792174
2.0202020202020203	0.1396919568041217	0.21865757053113183	0.062319293279799	0.11851781127283659	0.03835241261577779	0.20900094831175933	0.2260375471673002	0.03366533963071483	0.18622829374115846	0.23356105744069333	0.03540824169958181	0.21300566184653089	0.029261686359069606	0.2753984743591841
2.5252525252525255	0.11542510000962554	0.19214833574648565	0.043538334695553856	0.12077874917470335	0.023513931632664836	0.17364413663615633	0.21234858199348036	0.026241434209993905	0.1638915210510661	0.23324707996984284	0.022174733148013288	0.20617520025579814	0.024928377556619162	0.23028309479900497
3.0303030303030303	0.10011035901515229	0.17870580469097253	0.0344449682412618	0.12212416320666568	0.01656439174337197	0.15385563104315264	0.2057190888722687	0.022799667586038776	0.15196383596245622	0.23382176707440236	0.015950460027556485	0.20239687951920918	0.022947145341412373	0.19940073893599228
3.5353535353535355	0.09114510933925163	0.171961041193722	0.03002875765334971	0.12295914234407357	0.013299478453055963	0.14281250498825726	0.2024822644708599	0.0211786388072185	0.14564629164743198	0.23449390151301128	0.01301334466476149	0.2003914195666807	0.02200017810731376	0.17919451639926923
4.040404040404041	0.08620437257003616	0.16861520960948	0.02787766668319684	0.12348160271324429	0.011759679520131246	0.1366637805688458	0.20089654165564913	0.020404254963448436	0.14232603896763696	0.23503139421247815	0.011621709467836352	0.19935683536972018	0.021536549328632405	0.16655645165641284
4.545454545454546	0.08359799656787058	0.16697634192338967	0.02682702834737236	0.12380578318542895	0.011030433203326091	0.13324622179442966	0.2001190727934149	0.02002995186940874	0.14059416568672953	0.2354052286942959	0.010959444868549134	0.19883338592940245	0.021306826480506493	0.15895148187812397
5.050505050505051	0.08226226152724672	0.166185207615671	0.026312660232062086	0.12400400346671547	0.01068361737520647	0.13134922636889335	0.19973810373899825	0.01984739559734816	0.13969759146353836	0.23564685857562456	0.010642922367494192	0.19857206140317268	0.02119241997395488	0.15451412486377325
5.555555555555556	0.08158979529291728	0.16580989176978989	0.026060338425787102	0.12412327980996068	0.010518013404516672	0.13029727844751554	0.1995516544166282	0.019757785098420477	0.1392370050757434	0.23579612051262075	0.01049102965600678	0.1984428073854556	0.02113536694019094	0.15198641347984576
6.0606060606060606	0.08125470258536943	0.16563566718388184	0.025936373526618806	0.12419396355588237	0.010438647284797249	0.12971433076097447	0.19946054904564114	0.019713615808721642	0.13900230056275215	0.23588553234814302	0.010417876274103873	0.19837929964353518	0.021106935585354092	0.15057314593180735
6.565656565656566	0.08108866122611087	0.16555706025578826	0.025875401201632505	0.12423527606441914	0.010400485442342556	0.1293914157458077	0.1994161079001279	0.019691793042534763	0.13888373673899387	0.23593791518371982	0.010382533708763166	0.19834824743291565	0.021092791858099043	0.14979450379334014
7.070707070707071	0.08100663451512145	0.16552298186394146	0.02584539249744423	0.12425912837515632	0.010382085438643017	0.12921258323181808	0.19939446970561248	0.019681001280538228	0.13882442106731813	0.23596809237260763	0.010365415262337372	0.19833312230743935	0.021085772079638427	0.14937055022299187
7.575757575757576	0.08096617337933264	0.16550907855354594	0.025830617456589794	0.1242727531468122	0.010373192208496768	0.1291135466583344	0.19938395279195528	0.019675664599916463	0.13879507023016474	0.23598524973631566	0.010357105906910977	0.1983257770636957	0.021082296574714204	0.14914193636220563
