NON $ % + - . 0 1 2 3 4 5 6 7 8 9 : ; <
#NON	o	c	n	d	j	r	i	h	f	g	a	p	k	e	q	b	m	l
0.0	0.9839658550641762	0.7302096957551181	0.04395240251689425	0.5609842400517058	0.3691889299061206	0.660616894915164	0.3252902669548303	0.10962097804557736	0.20062142893695112	0.44363982306857586	0.37778185877179915	0.4426557506782183	0.35159743603456084	0.5274017385502378	0.278314851170699	0.44039061755451303	0.8029947316481657	0.821711596023218
0.5050505050505051	0.43599201096989154	0.41271056513795057	0.10616294162351322	0.3192647216160421	0.20594131584948908	0.27768652392636717	0.3115297195698862	0.19639481875834036	0.2887448992995169	0.2385037460842203	0.14108383259252796	0.2987148842338634	0.25824321403416123	0.3502528877377858	0.1275962257083016	0.27531441377132243	0.3237215702904886	0.45320659929951246
1.0101010101010102	0.2571944994148175	0.28299692138333066	0.12494132559411092	0.22878392948414356	0.16361691738094353	0.1276107038383865	0.26604151900998785	0.23223775416519385	0.2752177123160035	0.18022122268646126	0.07023480237847712	0.2253264419370527	0.2341290102314341	0.2472995908747055	0.0764844231586301	0.2353790719713577	0.1941983042391964	0.2529296958750036
1.5151515151515151	0.1949230536112806	0.2342558674388879	0.1373123670254793	0.200250329124093	0.1589347084751031	0.06919600879766381	0.23404261883453434	0.25328137375855536	0.25303913670441924	0.15918263820760117	0.048510184980331425	0.19332276926162392	0.23599906934459491	0.1958480411721264	0.05894693091199881	0.21976356697687333	0.16436466820603088	0.14503371014094874
2.0202020202020203	0.17168389603099996	0.21985357638757527	0.14936802987179676	0.19655986843090756	0.16563991499072384	0.046306317571308236	0.2195346796194782	0.269687862010809	0.24185465834802852	0.14996184128238088	0.04134889970916107	0.18320728206353182	0.24680335757485358	0.17472177202002842	0.05251261485309046	0.2116091355822502	0.16316631280917737	0.08704691612789808
2.5252525252525255	0.1630085633684402	0.21910015774765096	0.16072262530313572	0.20178552694821775	0.17467796979742753	0.037251510849265666	0.21556242382666527	0.2833848371558766	0.23929131816888716	0.14614923180103054	0.038781444304777354	0.18220875462215938	0.2592059911974077	0.16834520603654748	0.049986183994916354	0.20801153322047516	0.16941829195434602	0.05592859228963997
3.0303030303030303	0.1601782021931585	0.22289117664240737	0.1703451062487591	0.20909008750549593	0.18282873935020644	0.033691250360075045	0.2162228411814462	0.2943933370371849	0.24071380160832184	0.14507572077718248	0.03786588980528709	0.1840926832960097	0.27012741896494014	0.16801460705289914	0.04902588225239896	0.2071494571825068	0.17649922199680074	0.039281280605713474
3.5353535353535355	0.159659446309214	0.22740459737177704	0.1777226851431384	0.21572612328047808	0.1891293688124891	0.03235070047378547	0.21832508224482128	0.30269015301166347	0.24329297260958047	0.1452210108238712	0.037610108934532926	0.18639653699529735	0.2785582213303008	0.16963716624098701	0.048745086573842904	0.20755169318683972	0.18238724662366368	0.030421861395004655
4.040404040404041	0.15994618473724784	0.23123624872583964	0.1829056296536687	0.22083520268312498	0.19356111022962505	0.03190407019727204	0.22047524422849918	0.30855079994426166	0.24575563991964858	0.14576655071177655	0.037614401561151	0.18832018452297897	0.2845094484569248	0.17152074333303502	0.04874655794112746	0.20833514640787787	0.18667197404930005	0.025739682513289272
4.545454545454546	0.16041635529058598	0.23405642114161357	0.18628847253730144	0.22440350963913286	0.1964701264829737	0.0318032544118159	0.22219669047334784	0.31245694427132137	0.24768029904404903	0.1463373987425675	0.03770284950782537	0.1897086537178313	0.28843235308863896	0.17308186618943036	0.04884295661935465	0.20909115745340184	0.18953603680095918	0.02328559884026337
5.050505050505051	0.16084133203700052	0.2359640572263303	0.18836939847947307	0.22673278955925266	0.1982800563150102	0.03182217273003048	0.22342014502666807	0.3149348764951056	0.24903221182189522	0.14679932658458797	0.03780084568307032	0.19063012827795436	0.2908822389916883	0.17420632607925632	0.04895157906607438	0.20968259410996132	0.1913355620907414	0.022011348927652476
5.555555555555556	0.1611606151289394	0.23718184501420467	0.18959182910171202	0.22817863585870343	0.19935972563551624	0.031871030866160124	0.22422703530088636	0.3164437610502882	0.24991764035816094	0.14712991299776396	0.037881753889016434	0.19120720319496695	0.2923481422404385	0.17495232372476058	0.049041998638145894	0.21009748902075698	0.19241436101728096	0.0213565050178562
